Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,114,keptBest,8,2,-3938.255,-1969.128,18
3,63,Permutate,8,2,-3937.646,-1968.823,11
5,115,keptBest,8,2,-3937.646,-1968.823,11
4,92,keptBest,8,2,-3937.646,-1968.823,11
4,87,Permutate,8,2,-3937.646,-1968.823,11
1,13,RandTop,8,2,-3937.644,-1968.822,6
3,65,Permutate,8,2,-3937.643,-1968.821,11
2,47,keptBest,8,2,-3937.632,-1968.816,11
1,12,RandTop,8,2,-3937.632,-1968.816,11
3,72,keptBest,8,2,-3937.632,-1968.816,11
1,7,Random,8,2,-3937.608,-1968.804,6
5,101,Heredity,8,2,-3937.496,-1968.748,18
3,61,RandTop,8,2,-3937.331,-1968.665,26
1,15,RandTop,8,2,-3937.329,-1968.665,26
5,118,Random,4,1,-1968.649,-1968.649,38
3,58,Heredity,8,2,-3937.25,-1968.625,4
5,103,Heredity,8,2,-3937.217,-1968.608,6
5,124,keptBest,4,1,-1968.582,-1968.582,6
4,96,RandTop,4,1,-1968.582,-1968.582,6
4,84,Random,8,2,-3937.111,-1968.556,51
5,119,RandTop,4,1,-1968.556,-1968.556,6
4,97,RandTop,4,1,-1968.555,-1968.555,6
1,27,RandTop,4,1,-1968.554,-1968.554,6
3,77,keptBest,4,1,-1968.554,-1968.554,6
2,53,keptBest,4,1,-1968.554,-1968.554,6
4,100,keptBest,4,1,-1968.554,-1968.554,6
2,33,Heredity,8,2,-3937.09,-1968.545,11
5,122,LatMutate,4,1,-1968.532,-1968.532,8
1,26,RandTop,4,1,-1968.531,-1968.531,25
4,99,LatMutate,4,1,-1968.531,-1968.531,71
5,108,RandTop,8,2,-3937.054,-1968.527,26
1,30,RandTop,4,1,-1968.527,-1968.527,12
2,37,Heredity,8,2,-3937.054,-1968.527,11
2,49,RandTop,4,1,-1968.523,-1968.523,99
1,25,RandTop,4,1,-1968.522,-1968.522,99
4,98,LatMutate,4,1,-1968.45,-1968.45,164
5,121,LatMutate,4,1,-1968.431,-1968.431,99
3,64,Permutate,8,2,-3936.86,-1968.43,6
2,43,Permutate,8,2,-3936.861,-1968.43,6
4,85,Random,8,2,-3936.855,-1968.427,6
1,23,Random,4,1,-1968.394,-1968.394,99
5,120,Permutate,4,1,-1968.392,-1968.392,8
1,28,RandTop,4,1,-1968.392,-1968.392,6
2,52,LatMutate,4,1,-1968.382,-1968.382,99
3,76,LatMutate,4,1,-1968.379,-1968.379,21
1,18,Random,4,1,-1968.371,-1968.371,99
2,48,Heredity,4,1,-1968.328,-1968.328,115
5,113,softmutate,8,2,-3936.597,-1968.298,25
4,82,Heredity,8,2,-3936.514,-1968.257,26
4,80,Heredity,8,2,-3936.472,-1968.236,26
4,81,Heredity,8,2,-3936.448,-1968.224,11
3,70,softmutate,8,2,-3936.436,-1968.218,1
3,75,RandTop,4,1,-1968.217,-1968.217,6
1,2,Random,8,2,-3936.429,-1968.215,4
3,62,Permutate,8,2,-3936.401,-1968.201,4
2,42,Permutate,8,2,-3936.366,-1968.183,4
