Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,107,keptBest,8,2,-3410.619,-1705.31,4
4,139,Random,8,2,-3410.428,-1705.214,1
3,83,Random,4,1,-1705.201,-1705.201,1
6,185,Permutate,4,1,-1705.197,-1705.197,166
6,191,LatMutate,4,1,-1705.065,-1705.065,65
5,145,keptBest,8,2,-3410.111,-1705.055,8
3,71,keptBest,8,2,-3410.111,-1705.055,8
1,24,Random,8,2,-3410.111,-1705.055,8
4,109,keptBest,8,2,-3410.111,-1705.055,8
6,181,keptBest,8,2,-3410.111,-1705.055,8
2,34,keptBest,8,2,-3410.111,-1705.055,8
5,153,LatMutate,4,1,-1705.032,-1705.032,8
5,172,RandTop,8,2,-3410.063,-1705.032,1
4,117,Permutate,4,1,-1705.028,-1705.028,8
5,149,Random,4,1,-1705.027,-1705.027,8
1,2,Random,4,1,-1705.022,-1705.022,8
2,36,keptBest,4,1,-1705.022,-1705.022,8
4,111,keptBest,4,1,-1705.022,-1705.022,8
1,4,Random,4,1,-1705.022,-1705.022,8
3,84,keptBest,4,1,-1705.022,-1705.022,8
1,3,Random,4,1,-1705.018,-1705.018,8
6,200,Permutate,4,1,-1705.013,-1705.013,8
4,127,Permutate,4,1,-1705.007,-1705.007,8
5,154,Permutate,4,1,-1705.006,-1705.006,8
3,88,Permutate,4,1,-1705.006,-1705.006,8
6,199,Permutate,4,1,-1705.006,-1705.006,8
3,76,Heredity,8,2,-3409.968,-1704.984,4
1,11,Random,4,1,-1704.935,-1704.935,8
2,44,keptBest,4,1,-1704.935,-1704.935,8
3,85,keptBest,4,1,-1704.935,-1704.935,8
3,106,RandTop,8,2,-3409.857,-1704.928,2
2,41,Random,8,2,-3409.841,-1704.92,190
3,93,Permutate,8,2,-3409.787,-1704.894,8
3,99,Permutate,8,2,-3409.779,-1704.889,8
1,28,Random,8,2,-3409.771,-1704.886,1
6,183,Heredity,4,1,-1704.846,-1704.846,2
2,62,Random,8,2,-3409.689,-1704.845,1
5,167,softmutate,8,2,-3409.675,-1704.837,1
3,81,LatMutate,4,1,-1704.833,-1704.833,2
3,89,Random,4,1,-1704.82,-1704.82,8
1,1,Random,8,2,-3409.622,-1704.811,2
2,35,keptBest,8,2,-3409.622,-1704.811,2
5,166,Permutate,8,2,-3409.617,-1704.809,2
3,98,Permutate,8,2,-3409.606,-1704.803,2
5,177,RandTop,8,2,-3409.601,-1704.801,44
6,207,RandTop,8,2,-3409.551,-1704.775,6
3,96,softmutate,8,2,-3409.543,-1704.771,12
2,57,Random,4,1,-1704.764,-1704.764,1
6,203,RandTop,4,1,-1704.753,-1704.753,71
3,104,Random,8,2,-3409.503,-1704.752,1
4,141,Random,8,2,-3409.493,-1704.746,1
1,29,RandTop,8,2,-3409.482,-1704.741,11
1,26,Random,8,2,-3409.469,-1704.735,1
5,175,RandTop,8,2,-3409.465,-1704.733,4
3,101,Heredity,8,2,-3409.452,-1704.726,1
5,176,Random,8,2,-3409.452,-1704.726,1
1,30,Random,8,2,-3409.422,-1704.711,1
3,72,Heredity,4,1,-1704.706,-1704.706,8
2,63,RandTop,8,2,-3409.409,-1704.705,2
1,27,RandTop,8,2,-3409.395,-1704.697,1
6,208,Heredity,8,2,-3409.376,-1704.688,2
4,118,Permutate,8,2,-3409.374,-1704.687,1
6,211,RandTop,8,2,-3409.371,-1704.685,11
3,100,softmutate,8,2,-3409.364,-1704.682,2
4,125,RandTop,8,2,-3409.358,-1704.679,1
4,140,softmutate,8,2,-3409.353,-1704.677,2
3,77,Heredity,8,2,-3409.319,-1704.66,2
2,60,Permutate,8,2,-3409.316,-1704.658,5
3,105,Permutate,8,2,-3409.31,-1704.655,1
4,136,RandTop,8,2,-3409.302,-1704.651,10
4,121,Heredity,8,2,-3409.296,-1704.648,2
1,21,Random,8,2,-3409.297,-1704.648,10
1,25,RandTop,8,2,-3409.25,-1704.625,6
1,22,RandTop,8,2,-3409.244,-1704.622,11
3,82,LatMutate,4,1,-1704.617,-1704.617,12
5,168,LatMutate,4,1,-1704.616,-1704.616,2
2,66,Random,8,2,-3409.217,-1704.609,8
3,103,LatMutate,4,1,-1704.603,-1704.603,8
5,148,Random,4,1,-1704.591,-1704.591,2
1,16,RandTop,4,1,-1704.584,-1704.584,10
1,19,RandTop,4,1,-1704.58,-1704.58,65
5,169,Permutate,8,2,-3409.155,-1704.578,12
6,209,LatMutate,4,1,-1704.574,-1704.574,1
2,51,Heredity,8,2,-3409.145,-1704.573,2
2,52,Heredity,8,2,-3409.116,-1704.558,12
5,159,LatMutate,4,1,-1704.551,-1704.551,1
2,49,RandTop,4,1,-1704.551,-1704.551,2
6,192,LatMutate,4,1,-1704.549,-1704.549,5
1,31,RandTop,8,2,-3409.091,-1704.546,1
3,86,RandTop,4,1,-1704.541,-1704.541,6
2,55,RandTop,8,2,-3409.076,-1704.538,6
2,54,Heredity,8,2,-3409.076,-1704.538,2
4,115,Heredity,8,2,-3409.052,-1704.526,2
1,10,Random,4,1,-1704.525,-1704.525,2
3,90,RandTop,4,1,-1704.515,-1704.515,38
2,37,Heredity,8,2,-3409.026,-1704.513,2
6,206,Heredity,8,2,-3409.023,-1704.511,1
1,13,Random,4,1,-1704.508,-1704.508,12
3,102,Random,8,2,-3408.966,-1704.483,65
1,12,Random,4,1,-1704.477,-1704.477,1
3,95,softmutate,8,2,-3408.953,-1704.476,2
4,123,Heredity,8,2,-3408.944,-1704.472,1
3,79,RandTop,8,2,-3408.938,-1704.469,2
5,155,LatMutate,4,1,-1704.467,-1704.467,2
1,18,Random,4,1,-1704.467,-1704.467,1
6,195,RandTop,4,1,-1704.464,-1704.464,1
6,189,RandTop,8,2,-3408.925,-1704.463,2
3,91,Heredity,8,2,-3408.924,-1704.462,1
4,126,LatMutate,8,2,-3408.917,-1704.459,2
2,53,Heredity,8,2,-3408.914,-1704.457,6
6,210,softmutate,8,2,-3408.915,-1704.457,2
3,92,Heredity,8,2,-3408.904,-1704.452,2
1,9,Random,4,1,-1704.442,-1704.442,2
4,137,RandTop,8,2,-3408.876,-1704.438,6
6,205,Heredity,8,2,-3408.873,-1704.437,2
1,6,RandTop,4,1,-1704.434,-1704.434,99
4,132,RandTop,4,1,-1704.432,-1704.432,6
2,38,Heredity,8,2,-3408.864,-1704.432,1
2,65,RandTop,8,2,-3408.855,-1704.428,65
2,43,LatMutate,8,2,-3408.855,-1704.428,8
4,138,softmutate,8,2,-3408.837,-1704.419,12
2,56,softmutate,8,2,-3408.828,-1704.414,2
3,94,softmutate,8,2,-3408.818,-1704.409,12
6,212,Heredity,8,2,-3408.795,-1704.398,1
6,213,softmutate,8,2,-3408.791,-1704.395,1
6,202,RandTop,4,1,-1704.39,-1704.39,2
5,151,Heredity,8,2,-3408.777,-1704.388,10
6,197,Heredity,8,2,-3408.768,-1704.384,2
5,174,softmutate,8,2,-3408.765,-1704.383,1
5,147,Random,4,1,-1704.38,-1704.38,2
2,68,RandTop,8,2,-3408.731,-1704.366,12
3,80,softmutate,8,2,-3408.73,-1704.365,59
4,112,Random,4,1,-1704.362,-1704.362,2
6,186,Heredity,8,2,-3408.707,-1704.354,2
4,135,Heredity,8,2,-3408.707,-1704.354,2
3,73,Random,4,1,-1704.354,-1704.354,2
2,45,Random,4,1,-1704.353,-1704.353,2
3,74,Random,4,1,-1704.347,-1704.347,2
4,116,Heredity,8,2,-3408.686,-1704.343,2
4,133,Heredity,8,2,-3408.657,-1704.329,2
4,134,Heredity,8,2,-3408.633,-1704.317,1
2,47,softmutate,8,2,-3408.632,-1704.316,2
6,193,Random,4,1,-1704.314,-1704.314,12
1,5,RandTop,4,1,-1704.308,-1704.308,1
6,201,Random,4,1,-1704.307,-1704.307,2
1,15,Random,4,1,-1704.305,-1704.305,2
6,187,Heredity,8,2,-3408.602,-1704.301,1
2,50,LatMutate,4,1,-1704.296,-1704.296,8
2,46,Heredity,8,2,-3408.591,-1704.295,2
1,17,Random,4,1,-1704.293,-1704.293,1
1,14,Random,4,1,-1704.287,-1704.287,2
6,194,Random,4,1,-1704.286,-1704.286,2
2,59,softmutate,8,2,-3408.543,-1704.272,12
2,61,Heredity,8,2,-3408.535,-1704.267,12
4,129,RandTop,4,1,-1704.265,-1704.265,2
5,162,Heredity,8,2,-3408.527,-1704.264,2
4,128,LatMutate,4,1,-1704.25,-1704.25,2
1,7,RandTop,4,1,-1704.216,-1704.216,6
5,170,Heredity,8,2,-3408.361,-1704.181,12
2,58,Heredity,8,2,-3408.357,-1704.178,1
4,119,LatMutate,8,2,-3408.343,-1704.171,12
2,67,softmutate,8,2,-3408.339,-1704.17,2
2,39,Heredity,8,2,-3408.324,-1704.162,25
1,8,RandTop,4,1,-1704.16,-1704.16,1
4,122,Heredity,8,2,-3408.308,-1704.154,1
1,23,RandTop,8,2,-3408.307,-1704.153,31
2,48,softmutate,8,2,-3408.306,-1704.153,1
4,124,Heredity,8,2,-3408.285,-1704.143,1
5,173,softmutate,8,2,-3408.254,-1704.127,2
4,113,RandTop,4,1,-1704.122,-1704.122,38
3,97,Heredity,8,2,-3408.238,-1704.119,1
5,163,Heredity,8,2,-3408.224,-1704.112,1
5,165,Heredity,8,2,-3408.222,-1704.111,1
5,157,Heredity,8,2,-3408.187,-1704.094,2
6,190,softmutate,8,2,-3408.148,-1704.074,2
5,152,LatMutate,4,1,-1704.07,-1704.07,119
5,164,Heredity,8,2,-3408.121,-1704.061,2
6,196,Heredity,8,2,-3408.107,-1704.054,2
2,40,Heredity,8,2,-3408.03,-1704.015,6
4,131,softmutate,8,2,-3408.022,-1704.011,1
3,75,RandTop,4,1,-1703.995,-1703.995,6
5,156,Heredity,8,2,-3407.98,-1703.99,2
5,158,Heredity,8,2,-3407.971,-1703.985,2
5,160,RandTop,4,1,-1703.981,-1703.981,1
4,130,Heredity,8,2,-3407.95,-1703.975,2
3,87,Heredity,8,2,-3407.899,-1703.95,1
