Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,155,keptBest,4,1,-715.821,-715.821,12
3,68,keptBest,8,2,-1431.317,-715.658,2
4,136,Heredity,8,2,-1431.233,-715.617,2
5,165,Permutate,8,2,-1431.146,-715.573,2
3,69,keptBest,8,2,-1431.066,-715.533,2
2,33,keptBest,8,2,-1431.066,-715.533,2
1,26,Random,8,2,-1431.066,-715.533,2
2,63,Random,8,2,-1430.902,-715.451,2
5,146,Permutate,8,2,-1430.725,-715.362,2
4,138,RandTop,8,2,-1430.723,-715.361,2
4,108,Heredity,4,1,-715.102,-715.102,10
5,159,keptBest,4,1,-715.102,-715.102,10
1,12,RandTop,4,1,-715.102,-715.102,10
4,122,keptBest,4,1,-715.101,-715.101,10
3,82,Heredity,4,1,-715.101,-715.101,10
3,73,Heredity,4,1,-715.101,-715.101,10
2,41,RandTop,4,1,-715.1,-715.1,10
5,149,Heredity,4,1,-715.099,-715.099,10
4,129,Heredity,8,2,-1430.003,-715.001,44
5,145,keptBest,8,2,-1430.003,-715.001,44
1,28,Random,8,2,-1429.985,-714.992,2
5,157,LatMutate,4,1,-714.982,-714.982,10
4,126,softmutate,8,2,-1429.959,-714.98,1
4,107,keptBest,8,2,-1429.93,-714.965,1
3,70,keptBest,8,2,-1429.93,-714.965,1
2,57,Heredity,8,2,-1429.93,-714.965,1
3,71,keptBest,8,2,-1429.916,-714.958,51
2,60,softmutate,8,2,-1429.916,-714.958,51
2,37,Heredity,4,1,-714.945,-714.945,38
4,115,Permutate,4,1,-714.941,-714.941,38
1,11,RandTop,4,1,-714.909,-714.909,10
1,23,Random,8,2,-1429.574,-714.787,2
3,84,Heredity,8,2,-1429.567,-714.783,2
4,131,Permutate,8,2,-1429.556,-714.778,1
5,174,softmutate,8,2,-1429.478,-714.739,2
2,49,LatMutate,4,1,-714.653,-714.653,12
2,66,Heredity,8,2,-1429.298,-714.649,1
2,62,Heredity,8,2,-1429.277,-714.639,1
5,172,Heredity,8,2,-1429.194,-714.597,12
2,46,Random,4,1,-714.587,-714.587,12
4,141,Heredity,8,2,-1429.095,-714.547,10
4,134,Heredity,8,2,-1429.08,-714.54,1
2,54,Permutate,8,2,-1429.055,-714.527,1
4,111,Random,4,1,-714.523,-714.523,25
3,98,Heredity,8,2,-1429.045,-714.523,2
3,100,softmutate,8,2,-1428.965,-714.483,1
4,110,Heredity,4,1,-714.464,-714.464,65
5,154,Permutate,8,2,-1428.912,-714.456,1
4,114,RandTop,4,1,-714.391,-714.391,115
4,130,Permutate,8,2,-1428.725,-714.363,1
4,135,Heredity,8,2,-1428.704,-714.352,1
3,92,Heredity,8,2,-1428.672,-714.336,1
2,36,keptBest,4,1,-714.292,-714.292,12
1,7,Random,4,1,-714.292,-714.292,12
4,139,Permutate,8,2,-1428.521,-714.261,1
2,47,Heredity,8,2,-1428.505,-714.252,5
1,24,RandTop,4,1,-714.216,-714.216,2
5,171,Heredity,8,2,-1428.39,-714.195,1
3,104,softmutate,8,2,-1428.357,-714.179,1
4,112,Random,4,1,-714.177,-714.177,12
1,4,Random,4,1,-714.176,-714.176,12
5,153,RandTop,4,1,-714.176,-714.176,12
1,1,Random,4,1,-714.175,-714.175,12
1,15,RandTop,4,1,-714.175,-714.175,12
5,152,RandTop,4,1,-714.174,-714.174,12
3,72,Heredity,4,1,-714.169,-714.169,12
5,177,Permutate,8,2,-1428.315,-714.158,8
5,176,RandTop,8,2,-1428.31,-714.155,12
3,79,RandTop,4,1,-714.145,-714.145,12
4,116,Random,8,2,-1428.247,-714.123,12
5,158,LatMutate,4,1,-714.11,-714.11,38
3,102,Random,8,2,-1428.173,-714.086,1
2,43,Permutate,8,2,-1428.17,-714.085,1
2,53,Random,8,2,-1428.168,-714.084,2
3,89,LatMutate,8,2,-1428.156,-714.078,1
3,90,LatMutate,4,1,-714.065,-714.065,38
5,164,Random,8,2,-1428.123,-714.061,2
2,56,softmutate,8,2,-1428.112,-714.056,10
2,61,Heredity,8,2,-1428.097,-714.049,1
1,30,RandTop,8,2,-1428.045,-714.023,1
5,163,Heredity,8,2,-1428.042,-714.021,5
3,78,softmutate,8,2,-1428.04,-714.02,1
3,97,softmutate,8,2,-1428.009,-714.005,12
1,29,Random,8,2,-1427.912,-713.956,12
2,34,keptBest,8,2,-1427.912,-713.956,12
3,99,Permutate,8,2,-1427.788,-713.894,2
1,27,Random,8,2,-1427.785,-713.892,1
5,169,Heredity,8,2,-1427.763,-713.881,1
5,161,Random,4,1,-713.878,-713.878,12
2,48,RandTop,8,2,-1427.753,-713.877,11
5,179,softmutate,8,2,-1427.745,-713.872,8
2,58,Random,8,2,-1427.682,-713.841,67
1,31,Random,8,2,-1427.584,-713.792,1
1,10,RandTop,4,1,-713.784,-713.784,25
2,44,keptBest,4,1,-713.755,-713.755,12
5,151,Random,4,1,-713.755,-713.755,12
1,3,Random,4,1,-713.755,-713.755,12
1,14,RandTop,4,1,-713.747,-713.747,12
4,119,LatMutate,4,1,-713.734,-713.734,12
2,38,Heredity,4,1,-713.715,-713.715,1
2,64,softmutate,8,2,-1427.427,-713.713,1
4,142,softmutate,8,2,-1427.383,-713.692,1
3,103,softmutate,8,2,-1427.365,-713.683,6
3,91,Random,4,1,-713.68,-713.68,1
2,45,Heredity,4,1,-713.674,-713.674,8
1,18,Random,4,1,-713.615,-713.615,5
4,125,softmutate,8,2,-1427.209,-713.605,2
5,160,Heredity,4,1,-713.592,-713.592,65
5,147,Heredity,4,1,-713.583,-713.583,1
4,123,Heredity,8,2,-1427.085,-713.543,1
4,120,LatMutate,4,1,-713.54,-713.54,1
1,13,RandTop,4,1,-713.535,-713.535,21
1,9,RandTop,4,1,-713.534,-713.534,21
1,8,RandTop,4,1,-713.525,-713.525,21
4,140,LatMutate,4,1,-713.468,-713.468,1
3,87,RandTop,8,2,-1426.921,-713.461,17
2,50,LatMutate,4,1,-713.453,-713.453,1
5,168,Heredity,8,2,-1426.891,-713.446,2
1,5,Random,4,1,-713.411,-713.411,5
2,42,Heredity,8,2,-1426.802,-713.401,1
1,20,RandTop,4,1,-713.397,-713.397,1
5,148,Heredity,4,1,-713.366,-713.366,12
4,127,softmutate,8,2,-1426.65,-713.325,1
3,88,Heredity,8,2,-1426.637,-713.318,1
3,94,Heredity,8,2,-1426.603,-713.302,1
3,85,Heredity,8,2,-1426.595,-713.297,1
5,173,Random,8,2,-1426.573,-713.286,1
5,167,Heredity,8,2,-1426.538,-713.269,8
2,51,Heredity,8,2,-1426.522,-713.261,1
1,25,RandTop,4,1,-713.257,-713.257,1
4,124,Heredity,8,2,-1426.472,-713.236,1
5,178,softmutate,8,2,-1426.455,-713.227,8
1,32,RandTop,8,2,-1426.435,-713.218,1
4,137,Random,8,2,-1426.37,-713.185,1
2,67,RandTop,8,2,-1426.364,-713.182,26
3,101,softmutate,8,2,-1426.331,-713.165,1
5,162,Heredity,8,2,-1426.318,-713.159,1
3,86,Random,8,2,-1426.292,-713.146,1
4,133,Heredity,8,2,-1426.285,-713.142,1
5,170,softmutate,8,2,-1426.173,-713.086,1
5,175,RandTop,8,2,-1426.048,-713.024,1
2,52,Heredity,8,2,-1425.805,-712.902,1
1,19,Random,4,1,-712.888,-712.888,1
3,74,Heredity,4,1,-712.828,-712.828,3
1,16,Random,4,1,-712.814,-712.814,22
3,76,Random,4,1,-712.814,-712.814,22
1,2,Random,4,1,-712.813,-712.813,22
3,75,Random,4,1,-712.802,-712.802,25
2,59,RandTop,8,2,-1425.487,-712.744,25
4,132,softmutate,8,2,-1425.394,-712.697,5
1,6,Random,4,1,-712.553,-712.553,38
3,80,RandTop,4,1,-712.535,-712.535,1
3,81,RandTop,4,1,-712.498,-712.498,6
1,21,RandTop,4,1,-712.497,-712.497,6
4,113,RandTop,4,1,-712.467,-712.467,65
3,77,Heredity,8,2,-1424.916,-712.458,36
3,95,Heredity,8,2,-1424.86,-712.43,1
3,93,Heredity,8,2,-1424.842,-712.421,1
2,65,softmutate,8,2,-1424.811,-712.406,1
4,128,Heredity,8,2,-1423.731,-711.866,1
5,166,RandTop,4,1,-711.614,-711.614,6
5,150,Random,4,1,-711.257,-711.257,3
2,39,Random,4,1,-711.213,-711.213,123
1,22,Random,8,2,-1422.15,-711.075,120
