Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
10,235,keptBest,4,1,-1886.207,-1886.207,191
7,164,softmutate,4,1,-1886.002,-1886.002,166
10,233,softmutate,4,1,-1885.953,-1885.953,166
5,121,keptBest,4,1,-1885.938,-1885.938,10
6,136,Permutate,4,1,-1885.938,-1885.938,10
6,144,keptBest,4,1,-1885.938,-1885.938,10
3,74,keptBest,4,1,-1885.938,-1885.938,10
4,97,keptBest,4,1,-1885.938,-1885.938,10
7,167,keptBest,4,1,-1885.938,-1885.938,10
9,213,keptBest,4,1,-1885.938,-1885.938,10
10,236,keptBest,4,1,-1885.938,-1885.938,47
8,190,keptBest,4,1,-1885.938,-1885.938,10
9,193,Heredity,4,1,-1885.938,-1885.938,47
2,51,keptBest,4,1,-1885.938,-1885.938,10
9,201,RandTop,4,1,-1885.938,-1885.938,47
2,42,RandTop,4,1,-1885.938,-1885.938,47
1,18,RandTop,4,1,-1885.938,-1885.938,10
6,124,Heredity,4,1,-1885.938,-1885.938,10
7,159,Permutate,4,1,-1885.938,-1885.938,10
7,149,Heredity,4,1,-1885.938,-1885.938,10
2,36,Heredity,4,1,-1885.937,-1885.937,47
5,102,Heredity,4,1,-1885.937,-1885.937,10
9,197,Heredity,4,1,-1885.937,-1885.937,10
6,127,Heredity,4,1,-1885.936,-1885.936,10
4,83,Heredity,4,1,-1885.936,-1885.936,10
6,138,LatMutate,4,1,-1885.931,-1885.931,10
6,133,RandTop,4,1,-1885.931,-1885.931,47
1,27,RandTop,4,1,-1885.931,-1885.931,47
8,181,RandTop,4,1,-1885.93,-1885.93,10
10,225,RandTop,4,1,-1885.93,-1885.93,47
4,81,Heredity,4,1,-1885.911,-1885.911,10
4,79,Heredity,4,1,-1885.909,-1885.909,10
8,173,Heredity,4,1,-1885.909,-1885.909,10
4,90,Permutate,4,1,-1885.908,-1885.908,10
2,31,Heredity,4,1,-1885.907,-1885.907,10
5,115,Permutate,4,1,-1885.905,-1885.905,10
4,91,Permutate,4,1,-1885.902,-1885.902,10
3,59,Heredity,4,1,-1885.902,-1885.902,10
6,135,Permutate,4,1,-1885.899,-1885.899,10
6,123,Heredity,4,1,-1885.898,-1885.898,10
9,210,softmutate,4,1,-1885.897,-1885.897,71
10,215,Heredity,4,1,-1885.896,-1885.896,1
3,66,Permutate,4,1,-1885.895,-1885.895,10
6,128,Heredity,4,1,-1885.894,-1885.894,10
4,95,softmutate,4,1,-1885.893,-1885.893,71
9,204,Permutate,4,1,-1885.892,-1885.892,10
5,101,Heredity,4,1,-1885.892,-1885.892,47
4,92,LatMutate,4,1,-1885.889,-1885.889,71
10,220,Heredity,4,1,-1885.888,-1885.888,10
1,9,Random,4,1,-1885.859,-1885.859,71
5,116,LatMutate,4,1,-1885.858,-1885.858,10
3,65,Permutate,4,1,-1885.852,-1885.852,160
3,54,Heredity,4,1,-1885.847,-1885.847,10
3,63,RandTop,4,1,-1885.842,-1885.842,10
10,222,Random,4,1,-1885.839,-1885.839,10
9,206,LatMutate,4,1,-1885.833,-1885.833,12
2,46,Permutate,4,1,-1885.823,-1885.823,10
2,47,LatMutate,4,1,-1885.812,-1885.812,69
8,179,RandTop,4,1,-1885.806,-1885.806,12
8,185,LatMutate,4,1,-1885.773,-1885.773,71
8,182,Permutate,4,1,-1885.764,-1885.764,160
9,209,softmutate,4,1,-1885.74,-1885.74,69
10,226,RandTop,4,1,-1885.688,-1885.688,10
5,119,softmutate,4,1,-1885.66,-1885.66,2
4,82,Heredity,4,1,-1885.658,-1885.658,10
8,176,Random,4,1,-1885.643,-1885.643,10
7,146,Heredity,4,1,-1885.58,-1885.58,164
8,172,Heredity,4,1,-1885.557,-1885.557,187
4,98,keptBest,4,1,-1885.452,-1885.452,123
5,105,Heredity,4,1,-1885.452,-1885.452,123
8,191,keptBest,4,1,-1885.452,-1885.452,123
7,168,keptBest,4,1,-1885.452,-1885.452,123
6,145,keptBest,4,1,-1885.452,-1885.452,123
9,214,keptBest,4,1,-1885.452,-1885.452,123
5,122,keptBest,4,1,-1885.452,-1885.452,123
10,237,keptBest,4,1,-1885.452,-1885.452,123
3,75,keptBest,4,1,-1885.452,-1885.452,123
1,29,RandTop,4,1,-1885.452,-1885.452,123
2,52,keptBest,4,1,-1885.452,-1885.452,123
3,62,Random,4,1,-1885.452,-1885.452,123
5,112,RandTop,4,1,-1885.451,-1885.451,123
2,35,Heredity,4,1,-1885.451,-1885.451,123
5,117,LatMutate,4,1,-1885.449,-1885.449,123
5,109,Random,4,1,-1885.448,-1885.448,123
5,106,Random,4,1,-1885.447,-1885.447,123
1,30,RandTop,4,1,-1885.447,-1885.447,123
4,84,Random,4,1,-1885.447,-1885.447,123
7,150,Heredity,4,1,-1885.447,-1885.447,123
10,224,Random,4,1,-1885.447,-1885.447,123
7,156,Random,4,1,-1885.447,-1885.447,123
1,24,RandTop,4,1,-1885.447,-1885.447,123
1,22,RandTop,4,1,-1885.447,-1885.447,123
9,200,Random,4,1,-1885.447,-1885.447,123
5,103,Heredity,4,1,-1885.447,-1885.447,123
5,114,Permutate,4,1,-1885.447,-1885.447,123
1,16,Random,4,1,-1885.447,-1885.447,123
2,34,Heredity,4,1,-1885.447,-1885.447,123
8,183,Permutate,4,1,-1885.447,-1885.447,123
1,19,RandTop,4,1,-1885.447,-1885.447,123
1,10,Random,4,1,-1885.447,-1885.447,123
3,70,softmutate,4,1,-1885.446,-1885.446,123
3,58,Heredity,4,1,-1885.446,-1885.446,123
7,152,Heredity,4,1,-1885.446,-1885.446,123
3,55,Heredity,4,1,-1885.446,-1885.446,123
2,41,Random,4,1,-1885.446,-1885.446,123
8,174,Heredity,4,1,-1885.446,-1885.446,123
4,77,Heredity,4,1,-1885.446,-1885.446,123
9,207,LatMutate,4,1,-1885.446,-1885.446,123
2,45,Permutate,4,1,-1885.446,-1885.446,123
9,198,Random,4,1,-1885.444,-1885.444,123
1,4,Random,4,1,-1885.444,-1885.444,123
2,32,Heredity,4,1,-1885.443,-1885.443,123
9,202,RandTop,4,1,-1885.442,-1885.442,123
6,132,Random,4,1,-1885.439,-1885.439,123
2,38,Heredity,4,1,-1885.438,-1885.438,123
5,104,Heredity,4,1,-1885.432,-1885.432,123
3,69,LatMutate,4,1,-1885.43,-1885.43,123
8,187,softmutate,4,1,-1885.428,-1885.428,123
10,221,Heredity,4,1,-1885.426,-1885.426,123
5,118,softmutate,4,1,-1885.418,-1885.418,10
4,80,Heredity,4,1,-1885.411,-1885.411,123
6,142,softmutate,4,1,-1885.41,-1885.41,123
1,15,Random,4,1,-1885.405,-1885.405,123
1,20,RandTop,4,1,-1885.392,-1885.392,10
3,60,Random,4,1,-1885.392,-1885.392,123
2,53,keptBest,4,1,-1885.392,-1885.392,10
1,26,RandTop,4,1,-1885.39,-1885.39,123
7,163,softmutate,4,1,-1885.38,-1885.38,123
1,5,Random,4,1,-1885.38,-1885.38,123
6,131,Random,4,1,-1885.323,-1885.323,191
6,126,Heredity,4,1,-1885.251,-1885.251,123
4,87,Random,4,1,-1885.216,-1885.216,8
5,110,Random,4,1,-1885.208,-1885.208,10
6,129,Random,4,1,-1885.055,-1885.055,12
6,130,Random,4,1,-1885.001,-1885.001,12
8,177,Random,4,1,-1884.935,-1884.935,12
1,13,Random,4,1,-1884.176,-1884.176,107
1,17,Random,4,1,-1884.162,-1884.162,107
5,107,Random,4,1,-1884.153,-1884.153,107
8,178,RandTop,4,1,-1883.8,-1883.8,65
7,147,Heredity,4,1,-1883.799,-1883.799,65
8,171,Heredity,4,1,-1883.791,-1883.791,65
3,76,keptBest,4,1,-1883.767,-1883.767,65
2,48,LatMutate,4,1,-1883.767,-1883.767,65
4,99,keptBest,4,1,-1883.767,-1883.767,65
9,195,Heredity,4,1,-1883.754,-1883.754,65
1,12,Random,4,1,-1883.669,-1883.669,187
1,3,Random,4,1,-1883.666,-1883.666,187
9,192,Heredity,4,1,-1883.664,-1883.664,12
4,93,LatMutate,4,1,-1883.663,-1883.663,12
2,40,Random,4,1,-1883.662,-1883.662,187
7,162,LatMutate,4,1,-1883.662,-1883.662,187
4,94,softmutate,4,1,-1883.658,-1883.658,12
9,211,softmutate,4,1,-1883.656,-1883.656,187
3,61,Random,4,1,-1883.654,-1883.654,187
1,21,RandTop,4,1,-1883.653,-1883.653,187
10,219,Heredity,4,1,-1883.651,-1883.651,187
1,8,Random,4,1,-1883.651,-1883.651,187
2,37,Heredity,4,1,-1883.646,-1883.646,187
9,205,LatMutate,4,1,-1883.643,-1883.643,2
6,140,softmutate,4,1,-1883.637,-1883.637,2
7,161,LatMutate,4,1,-1883.62,-1883.62,8
3,67,LatMutate,4,1,-1883.619,-1883.619,5
7,155,Random,4,1,-1883.616,-1883.616,2
1,14,Random,4,1,-1883.59,-1883.59,8
1,2,Random,4,1,-1883.582,-1883.582,5
8,186,LatMutate,4,1,-1883.577,-1883.577,2
7,154,Random,4,1,-1883.572,-1883.572,12
10,218,Heredity,4,1,-1883.561,-1883.561,8
10,223,Random,4,1,-1883.344,-1883.344,5
3,56,Heredity,4,1,-1883.309,-1883.309,10
5,100,Heredity,4,1,-1883.304,-1883.304,10
1,1,Random,4,1,-1883.293,-1883.293,5
1,28,RandTop,4,1,-1883.28,-1883.28,47
7,157,RandTop,4,1,-1883.28,-1883.28,47
8,170,Heredity,4,1,-1883.277,-1883.277,47
2,39,Random,4,1,-1883.276,-1883.276,5
8,180,RandTop,4,1,-1883.254,-1883.254,47
2,43,RandTop,4,1,-1883.244,-1883.244,47
