Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,178,keptBest,8,2,-1681.606,-840.803,5
5,156,keptBest,4,1,-840.773,-840.773,2
3,74,Heredity,8,2,-1681.224,-840.612,10
3,86,Heredity,8,2,-1680.837,-840.418,1
6,213,softmutate,8,2,-1680.694,-840.347,6
6,202,Permutate,8,2,-1680.256,-840.128,1
3,85,Heredity,8,2,-1680.205,-840.103,1
2,61,softmutate,8,2,-1680.186,-840.093,1
5,143,Heredity,4,1,-840.067,-840.067,12
6,192,keptBest,4,1,-840.067,-840.067,12
5,166,Random,4,1,-840.054,-840.054,12
1,8,Random,4,1,-840.041,-840.041,8
2,42,keptBest,4,1,-840.041,-840.041,8
3,71,keptBest,4,1,-840.041,-840.041,8
4,111,keptBest,4,1,-840.041,-840.041,8
3,84,Heredity,8,2,-1680.065,-840.032,2
3,79,LatMutate,4,1,-840.025,-840.025,12
4,106,Random,4,1,-840.025,-840.025,12
4,116,softmutate,8,2,-1679.99,-839.995,2
5,146,Heredity,8,2,-1679.971,-839.986,1
6,179,keptBest,8,2,-1679.971,-839.986,1
6,204,LatMutate,4,1,-839.956,-839.956,164
3,98,softmutate,8,2,-1679.906,-839.953,1
6,199,Permutate,4,1,-839.949,-839.949,164
2,31,keptBest,8,2,-1679.895,-839.948,164
3,68,keptBest,8,2,-1679.895,-839.948,164
4,104,keptBest,8,2,-1679.895,-839.948,164
5,141,keptBest,8,2,-1679.895,-839.948,164
6,180,keptBest,8,2,-1679.895,-839.948,164
1,25,RandTop,8,2,-1679.895,-839.948,164
4,109,softmutate,8,2,-1679.891,-839.945,164
4,124,RandTop,4,1,-839.913,-839.913,164
2,64,Heredity,8,2,-1679.801,-839.901,2
3,69,keptBest,8,2,-1679.801,-839.901,2
5,157,Permutate,4,1,-839.894,-839.894,166
4,137,Random,8,2,-1679.782,-839.891,2
2,54,LatMutate,8,2,-1679.719,-839.859,1
6,189,Heredity,8,2,-1679.557,-839.778,1
4,113,Heredity,8,2,-1679.54,-839.77,1
4,133,Random,8,2,-1679.468,-839.734,2
3,97,softmutate,8,2,-1679.406,-839.703,6
1,27,Random,8,2,-1679.341,-839.67,1
2,32,keptBest,8,2,-1679.341,-839.67,1
3,70,keptBest,8,2,-1679.341,-839.67,1
6,211,Heredity,8,2,-1679.336,-839.668,1
1,29,Random,8,2,-1679.215,-839.607,1
4,112,Heredity,8,2,-1679.122,-839.561,6
2,58,Heredity,8,2,-1679.116,-839.558,1
4,127,softmutate,8,2,-1679.087,-839.544,1
3,99,Heredity,8,2,-1679.074,-839.537,1
6,188,Heredity,8,2,-1679.053,-839.526,1
2,56,Heredity,8,2,-1678.968,-839.484,8
4,123,softmutate,8,2,-1678.934,-839.467,2
5,147,Heredity,8,2,-1678.909,-839.454,8
