Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,171,RandTop,8,2,-6053.758,-3026.879,2
3,70,keptBest,8,2,-6053.712,-3026.856,2
4,107,keptBest,8,2,-6053.69,-3026.845,12
1,10,RandTop,4,1,-3026.649,-3026.649,2
4,120,Permutate,8,2,-6053.286,-3026.643,1
4,129,Permutate,8,2,-6053.275,-3026.638,2
3,104,RandTop,8,2,-6053.261,-3026.631,2
4,116,RandTop,4,1,-3026.631,-3026.631,2
3,96,Heredity,8,2,-6053.261,-3026.631,2
5,170,Random,8,2,-6053.257,-3026.628,2
1,28,RandTop,8,2,-6053.236,-3026.618,1
2,68,Random,8,2,-6053.209,-3026.605,1
3,103,Random,8,2,-6053.199,-3026.6,2
4,139,softmutate,8,2,-6053.164,-3026.582,2
5,151,RandTop,4,1,-3026.581,-3026.581,2
2,63,Random,8,2,-6053.16,-3026.58,1
4,134,Permutate,8,2,-6053.145,-3026.573,2
3,95,softmutate,8,2,-6053.141,-3026.57,2
5,166,Heredity,8,2,-6053.103,-3026.551,2
5,176,Random,8,2,-6053.094,-3026.547,2
2,47,Permutate,4,1,-3026.536,-3026.536,12
1,7,Random,4,1,-3026.533,-3026.533,12
1,3,RandTop,4,1,-3026.531,-3026.531,2
3,84,LatMutate,4,1,-3026.527,-3026.527,12
5,161,Heredity,8,2,-6053.049,-3026.524,2
3,93,Heredity,8,2,-6053.043,-3026.522,2
3,76,Random,4,1,-3026.521,-3026.521,12
2,36,keptBest,8,2,-6053.037,-3026.518,2
1,31,Random,8,2,-6053.037,-3026.518,2
5,156,Heredity,8,2,-6053.015,-3026.508,2
2,66,Heredity,8,2,-6053.011,-3026.506,2
3,99,softmutate,8,2,-6052.995,-3026.497,2
5,149,LatMutate,4,1,-3026.496,-3026.496,2
3,79,RandTop,4,1,-3026.492,-3026.492,2
1,11,RandTop,4,1,-3026.486,-3026.486,2
5,173,softmutate,8,2,-6052.93,-3026.465,2
1,19,RandTop,8,2,-6052.924,-3026.462,1
4,132,Heredity,8,2,-6052.924,-3026.462,2
5,167,Heredity,8,2,-6052.904,-3026.452,2
3,83,RandTop,8,2,-6052.902,-3026.451,12
5,146,keptBest,8,2,-6052.902,-3026.451,12
4,109,keptBest,8,2,-6052.902,-3026.451,12
4,138,Permutate,8,2,-6052.896,-3026.448,2
2,37,keptBest,8,2,-6052.893,-3026.447,12
1,18,Random,8,2,-6052.893,-3026.447,12
5,174,Heredity,8,2,-6052.874,-3026.437,2
1,27,Random,8,2,-6052.859,-3026.43,1
2,43,LatMutate,4,1,-3026.42,-3026.42,1
5,163,softmutate,8,2,-6052.797,-3026.399,2
4,110,keptBest,8,2,-6052.796,-3026.398,28
3,73,keptBest,8,2,-6052.796,-3026.398,28
5,147,keptBest,8,2,-6052.796,-3026.398,28
2,62,RandTop,8,2,-6052.796,-3026.398,28
4,114,Random,4,1,-3026.392,-3026.392,12
3,81,Heredity,4,1,-3026.392,-3026.392,2
4,140,RandTop,8,2,-6052.778,-3026.389,2
4,113,Random,4,1,-3026.387,-3026.387,12
3,92,softmutate,8,2,-6052.76,-3026.38,2
2,55,Heredity,8,2,-6052.752,-3026.376,2
3,90,Heredity,8,2,-6052.746,-3026.373,2
5,168,RandTop,8,2,-6052.744,-3026.372,1
4,126,softmutate,8,2,-6052.73,-3026.365,2
4,122,softmutate,8,2,-6052.723,-3026.361,1
3,74,keptBest,8,2,-6052.719,-3026.36,10
2,49,RandTop,8,2,-6052.719,-3026.36,10
1,30,RandTop,8,2,-6052.711,-3026.355,1
5,153,Heredity,8,2,-6052.705,-3026.353,2
5,178,softmutate,8,2,-6052.679,-3026.34,2
3,100,softmutate,8,2,-6052.624,-3026.312,2
