Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,32,keptBest,8,2,-5746.991,-2873.495,1
4,136,Permutate,8,2,-5746.933,-2873.466,1
4,111,keptBest,4,1,-2873.286,-2873.286,1
5,144,keptBest,4,1,-2873.286,-2873.286,1
2,40,keptBest,4,1,-2873.286,-2873.286,1
3,73,keptBest,4,1,-2873.286,-2873.286,1
1,4,Random,4,1,-2873.286,-2873.286,1
1,25,Random,8,2,-5746.545,-2873.272,1
3,94,Permutate,8,2,-5746.539,-2873.27,1
5,170,RandTop,8,2,-5746.527,-2873.264,1
4,134,Random,8,2,-5746.508,-2873.254,1
1,23,RandTop,8,2,-5746.502,-2873.251,1
5,167,Random,8,2,-5746.481,-2873.241,1
3,98,Permutate,8,2,-5746.454,-2873.227,1
1,30,Random,8,2,-5746.389,-2873.194,8
2,35,keptBest,8,2,-5746.389,-2873.194,8
3,68,keptBest,8,2,-5746.389,-2873.194,8
1,19,Random,8,2,-5746.389,-2873.194,1
1,24,RandTop,8,2,-5746.366,-2873.183,1
2,59,RandTop,8,2,-5746.356,-2873.178,1
3,91,Random,8,2,-5746.343,-2873.172,7
1,27,RandTop,8,2,-5746.331,-2873.165,1
4,135,Random,8,2,-5746.285,-2873.142,1
4,107,Random,4,1,-2873.125,-2873.125,8
1,29,Random,8,2,-5746.248,-2873.124,1
1,6,Random,4,1,-2873.117,-2873.117,5
1,17,RandTop,8,2,-5746.176,-2873.088,1
5,169,RandTop,8,2,-5746.166,-2873.083,2
3,69,RandTop,4,1,-2873.083,-2873.083,2
1,12,Random,4,1,-2873.08,-2873.08,2
2,41,Heredity,8,2,-5746.151,-2873.076,1
2,48,Heredity,8,2,-5746.125,-2873.063,2
5,147,Random,4,1,-2873.063,-2873.063,8
3,71,LatMutate,4,1,-2873.06,-2873.06,2
2,46,softmutate,8,2,-5746.118,-2873.059,2
5,142,Permutate,4,1,-2873.059,-2873.059,1
4,121,softmutate,8,2,-5746.11,-2873.055,1
2,54,Heredity,8,2,-5746.108,-2873.054,1
1,7,Random,4,1,-2873.047,-2873.047,2
5,145,Heredity,4,1,-2873.047,-2873.047,1
1,21,Random,8,2,-5746.094,-2873.047,2
2,60,Random,8,2,-5746.086,-2873.043,1
2,38,Heredity,4,1,-2873.036,-2873.036,12
1,28,RandTop,8,2,-5746.047,-2873.023,1
1,10,RandTop,4,1,-2873.021,-2873.021,12
4,117,Permutate,4,1,-2873.005,-2873.005,1
5,165,Heredity,8,2,-5746.008,-2873.004,1
4,114,LatMutate,4,1,-2873.001,-2873.001,1
4,109,LatMutate,4,1,-2872.991,-2872.991,2
3,78,LatMutate,4,1,-2872.989,-2872.989,2
4,108,Permutate,4,1,-2872.978,-2872.978,12
2,61,RandTop,8,2,-5745.953,-2872.976,2
1,8,RandTop,4,1,-2872.967,-2872.967,2
2,47,LatMutate,4,1,-2872.963,-2872.963,1
5,150,LatMutate,4,1,-2872.957,-2872.957,2
3,82,Heredity,8,2,-5745.906,-2872.953,1
2,55,Random,8,2,-5745.899,-2872.949,4
4,125,Heredity,8,2,-5745.876,-2872.938,2
1,3,RandTop,4,1,-2872.934,-2872.934,2
3,79,RandTop,4,1,-2872.932,-2872.932,2
3,92,Heredity,8,2,-5745.827,-2872.913,1
3,88,Heredity,8,2,-5745.817,-2872.908,1
2,57,RandTop,8,2,-5745.812,-2872.906,2
5,164,softmutate,8,2,-5745.801,-2872.9,1
4,129,Random,8,2,-5745.788,-2872.894,2
5,141,Heredity,4,1,-2872.892,-2872.892,12
1,1,Random,4,1,-2872.887,-2872.887,2
4,105,Heredity,4,1,-2872.878,-2872.878,1
1,11,Random,4,1,-2872.877,-2872.877,1
2,42,LatMutate,4,1,-2872.87,-2872.87,1
5,149,LatMutate,4,1,-2872.864,-2872.864,2
4,130,Random,8,2,-5745.725,-2872.863,9
2,49,softmutate,8,2,-5745.726,-2872.863,2
5,143,LatMutate,4,1,-2872.842,-2872.842,2
4,106,Random,4,1,-2872.83,-2872.83,1
5,146,Random,4,1,-2872.819,-2872.819,5
4,112,Random,4,1,-2872.811,-2872.811,5
