Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,69,keptBest,8,2,-5604.716,-2802.358,137
5,144,keptBest,8,2,-5604.659,-2802.329,121
4,113,Permutate,4,1,-2802.316,-2802.316,215
3,91,Random,8,2,-5604.316,-2802.158,15
5,166,Random,8,2,-5604.291,-2802.146,12
3,94,Random,4,1,-2802.145,-2802.145,139
5,157,Permutate,8,2,-5604.263,-2802.131,11
3,70,keptBest,8,2,-5604.257,-2802.129,43
1,27,Random,8,2,-5604.257,-2802.129,43
2,33,keptBest,8,2,-5604.257,-2802.129,43
5,156,Permutate,8,2,-5604.226,-2802.113,13
6,210,Random,8,2,-5604.225,-2802.113,5
3,80,Random,4,1,-2802.111,-2802.111,139
6,199,Permutate,8,2,-5604.212,-2802.106,13
2,48,Permutate,8,2,-5604.208,-2802.104,18
6,198,Permutate,8,2,-5604.208,-2802.104,13
1,19,RandTop,8,2,-5604.205,-2802.103,18
1,15,Random,8,2,-5604.202,-2802.101,18
1,21,RandTop,8,2,-5604.197,-2802.099,18
4,128,Random,8,2,-5604.196,-2802.098,18
1,30,Random,8,2,-5604.184,-2802.092,12
1,23,Random,8,2,-5604.184,-2802.092,15
2,45,Heredity,8,2,-5604.169,-2802.084,53
3,86,softmutate,8,2,-5604.165,-2802.083,12
4,109,keptBest,8,2,-5604.165,-2802.083,12
5,147,keptBest,8,2,-5604.165,-2802.083,12
3,85,Random,8,2,-5604.164,-2802.082,12
2,44,Heredity,8,2,-5604.151,-2802.075,53
6,216,Random,8,2,-5604.148,-2802.074,139
1,28,RandTop,8,2,-5604.136,-2802.068,18
3,98,Permutate,8,2,-5604.135,-2802.067,2
1,24,Random,8,2,-5604.107,-2802.054,13
2,47,Heredity,8,2,-5604.109,-2802.054,53
4,130,Heredity,8,2,-5604.098,-2802.049,53
3,90,Heredity,8,2,-5604.034,-2802.017,139
4,131,Heredity,8,2,-5603.95,-2801.975,139
3,97,Heredity,8,2,-5603.939,-2801.97,43
4,129,Heredity,8,2,-5603.928,-2801.964,10
3,76,Heredity,8,2,-5603.92,-2801.96,139
5,154,Heredity,8,2,-5603.897,-2801.948,14
6,193,Heredity,8,2,-5603.87,-2801.935,139
1,3,Random,4,1,-2801.933,-2801.933,65
1,25,RandTop,8,2,-5603.865,-2801.933,65
3,77,keptBest,4,1,-2801.929,-2801.929,65
2,37,RandTop,4,1,-2801.929,-2801.929,65
5,167,RandTop,8,2,-5603.857,-2801.929,65
4,132,RandTop,8,2,-5603.855,-2801.927,55
4,111,RandTop,4,1,-2801.927,-2801.927,65
5,151,Random,4,1,-2801.927,-2801.927,65
3,95,Heredity,8,2,-5603.847,-2801.923,139
1,4,Random,4,1,-2801.917,-2801.917,65
4,127,Random,8,2,-5603.829,-2801.915,65
