Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,170,LatMutate,8,2,-248.591,-124.296,5
2,55,Random,8,2,-248.246,-124.123,5
4,122,LatMutate,8,2,-248.16,-124.08,12
4,123,softmutate,8,2,-248.138,-124.069,12
2,46,softmutate,8,2,-248.135,-124.068,12
5,180,LatMutate,8,2,-248.121,-124.06,2
5,169,Permutate,8,2,-248.099,-124.05,1
2,56,Random,8,2,-248.084,-124.042,1
1,29,Random,8,2,-248.071,-124.035,1
5,155,Random,8,2,-248.059,-124.03,1
2,67,Heredity,8,2,-248.053,-124.027,1
2,54,Heredity,8,2,-248.046,-124.023,1
3,88,Heredity,8,2,-247.974,-123.987,1
2,62,softmutate,8,2,-247.922,-123.961,1
4,116,Heredity,8,2,-247.922,-123.961,2
3,101,Heredity,8,2,-247.873,-123.937,1
1,31,Random,8,2,-247.849,-123.925,2
4,130,Heredity,8,2,-247.847,-123.924,2
3,80,Random,8,2,-247.811,-123.906,1
4,131,Random,8,2,-247.797,-123.899,2
3,107,softmutate,8,2,-247.759,-123.88,1
4,120,Permutate,8,2,-247.736,-123.868,5
2,42,Heredity,8,2,-247.733,-123.867,5
1,23,Random,8,2,-247.731,-123.866,5
1,32,RandTop,8,2,-247.619,-123.81,2
3,106,softmutate,8,2,-247.599,-123.8,2
3,83,softmutate,8,2,-247.596,-123.798,2
2,43,Heredity,8,2,-247.596,-123.798,2
4,124,softmutate,8,2,-247.593,-123.796,2
2,69,softmutate,8,2,-247.557,-123.779,2
4,112,Heredity,8,2,-247.557,-123.778,1
3,93,LatMutate,8,2,-247.554,-123.777,8
3,91,RandTop,8,2,-247.537,-123.769,6
4,138,softmutate,8,2,-247.525,-123.762,1
4,133,Permutate,8,2,-247.487,-123.743,1
3,103,softmutate,8,2,-247.463,-123.732,1
5,163,Heredity,8,2,-247.401,-123.701,1
4,132,RandTop,8,2,-247.373,-123.686,1
1,17,Random,8,2,-247.356,-123.678,1
1,25,RandTop,8,2,-247.278,-123.639,1
5,151,Heredity,8,2,-247.273,-123.636,1
5,182,softmutate,8,2,-247.265,-123.633,1
2,53,Heredity,8,2,-247.25,-123.625,1
3,87,Heredity,8,2,-247.162,-123.581,1
5,158,softmutate,8,2,-247.16,-123.58,11
3,89,Random,8,2,-247.1,-123.55,1
3,82,LatMutate,8,2,-247.095,-123.547,11
2,59,softmutate,8,2,-247.079,-123.539,2
5,147,keptBest,8,2,-247.078,-123.539,1
3,77,Heredity,8,2,-247.078,-123.539,1
4,110,keptBest,8,2,-247.078,-123.539,1
3,78,Heredity,8,2,-247.058,-123.529,2
5,167,RandTop,8,2,-247.02,-123.51,1
5,157,softmutate,8,2,-247.01,-123.505,12
3,76,Heredity,8,2,-247.005,-123.502,1
5,159,softmutate,8,2,-247.003,-123.502,12
4,135,Permutate,8,2,-247.003,-123.502,1
5,179,RandTop,8,2,-246.983,-123.492,1
3,90,RandTop,8,2,-246.98,-123.49,2
2,65,Permutate,4,1,-123.471,-123.471,10
3,86,keptBest,4,1,-123.471,-123.471,10
