Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,169,keptBest,4,1,-441.469,-441.469,12
5,171,Random,8,2,-882.861,-441.431,1
6,214,LatMutate,4,1,-441.43,-441.43,12
5,151,Permutate,8,2,-882.498,-441.249,11
6,185,keptBest,8,2,-882.498,-441.249,11
2,47,Heredity,4,1,-441.248,-441.248,5
4,129,keptBest,4,1,-441.248,-441.248,5
5,170,keptBest,4,1,-441.248,-441.248,5
3,90,keptBest,4,1,-441.248,-441.248,5
2,32,keptBest,8,2,-882.484,-441.242,11
1,6,RandTop,8,2,-882.484,-441.242,11
4,111,Heredity,8,2,-882.477,-441.239,2
6,216,LatMutate,4,1,-441.228,-441.228,22
5,173,Permutate,8,2,-882.381,-441.191,6
4,114,Permutate,8,2,-882.375,-441.188,5
2,33,keptBest,8,2,-882.363,-441.181,4
1,28,RandTop,8,2,-882.363,-441.181,4
4,135,RandTop,8,2,-882.356,-441.178,10
3,74,Random,8,2,-882.352,-441.176,12
4,108,keptBest,8,2,-882.352,-441.176,12
6,186,Heredity,8,2,-882.338,-441.169,1
4,131,keptBest,4,1,-441.159,-441.159,22
3,80,Random,4,1,-441.159,-441.159,22
2,34,keptBest,8,2,-882.313,-441.157,10
1,31,RandTop,8,2,-882.313,-441.157,10
5,167,Heredity,8,2,-882.313,-441.157,1
3,69,keptBest,8,2,-882.313,-441.157,10
6,193,Heredity,8,2,-882.307,-441.154,1
6,187,Heredity,8,2,-882.307,-441.153,2
5,148,Heredity,8,2,-882.276,-441.138,12
1,2,Random,8,2,-882.266,-441.133,9
2,40,Heredity,8,2,-882.24,-441.12,2
4,130,Heredity,8,2,-882.241,-441.12,1
6,210,softmutate,8,2,-882.218,-441.109,2
3,84,Heredity,8,2,-882.212,-441.106,1
3,85,Heredity,8,2,-882.201,-441.101,9
3,71,Heredity,8,2,-882.2,-441.1,5
3,76,softmutate,8,2,-882.192,-441.096,12
2,56,Random,8,2,-882.187,-441.093,1
2,55,Random,8,2,-882.137,-441.069,8
5,154,Heredity,4,1,-441.054,-441.054,22
3,70,keptBest,8,2,-882.106,-441.053,21
1,29,RandTop,8,2,-882.106,-441.053,21
2,35,keptBest,8,2,-882.106,-441.053,21
5,157,Random,4,1,-441.041,-441.041,22
5,150,Random,8,2,-882.072,-441.036,1
3,88,Heredity,8,2,-882.064,-441.032,12
5,168,Heredity,8,2,-882.053,-441.027,2
4,140,softmutate,8,2,-882.047,-441.023,2
4,121,RandTop,4,1,-441.022,-441.022,22
2,54,Heredity,8,2,-882.039,-441.02,1
3,87,Heredity,8,2,-882.036,-441.018,1
4,127,Heredity,8,2,-882.029,-441.015,1
1,22,Random,8,2,-882.028,-441.014,1
4,133,Random,8,2,-882.024,-441.012,2
3,83,RandTop,4,1,-441.01,-441.01,22
4,139,softmutate,8,2,-882.012,-441.006,2
1,30,RandTop,8,2,-882.008,-441.004,1
3,75,Permutate,8,2,-882.005,-441.003,1
6,195,softmutate,8,2,-882.003,-441.001,2
5,147,Heredity,8,2,-881.992,-440.996,2
2,45,softmutate,8,2,-881.99,-440.995,5
1,1,Random,8,2,-881.979,-440.99,15
4,132,Random,8,2,-881.969,-440.984,1
4,138,softmutate,8,2,-881.953,-440.977,1
2,53,Heredity,8,2,-881.941,-440.971,12
5,172,Random,8,2,-881.879,-440.94,20
3,94,Random,8,2,-881.858,-440.929,1
1,4,Random,8,2,-881.842,-440.921,2
5,165,Heredity,8,2,-881.821,-440.911,1
5,174,Permutate,8,2,-881.759,-440.88,1
6,190,Heredity,8,2,-881.761,-440.88,11
6,200,Random,4,1,-440.874,-440.874,1
4,126,Heredity,8,2,-881.738,-440.869,2
5,175,softmutate,8,2,-881.713,-440.857,1
1,11,Random,4,1,-440.795,-440.795,1
4,143,LatMutate,4,1,-440.774,-440.774,1
6,192,Heredity,8,2,-881.547,-440.773,1
3,105,Permutate,8,2,-881.539,-440.769,1
6,191,Heredity,8,2,-881.535,-440.767,5
3,89,Heredity,8,2,-881.53,-440.765,2
1,24,Random,8,2,-881.526,-440.763,1
2,51,Heredity,8,2,-881.514,-440.757,1
4,137,Permutate,8,2,-881.475,-440.738,12
2,46,Heredity,4,1,-440.73,-440.73,12
3,93,keptBest,4,1,-440.73,-440.73,12
1,23,Random,8,2,-881.451,-440.726,5
4,115,Heredity,4,1,-440.725,-440.725,12
2,36,Heredity,8,2,-881.421,-440.711,1
1,14,RandTop,4,1,-440.702,-440.702,12
3,106,LatMutate,4,1,-440.699,-440.699,12
5,152,softmutate,8,2,-881.394,-440.697,2
1,8,Random,4,1,-440.696,-440.696,12
2,68,RandTop,8,2,-881.384,-440.692,8
3,73,Heredity,8,2,-881.381,-440.691,1
1,5,RandTop,8,2,-881.379,-440.69,12
4,119,Random,4,1,-440.689,-440.689,12
1,10,Random,4,1,-440.688,-440.688,12
2,59,softmutate,8,2,-881.372,-440.686,1
3,91,Heredity,8,2,-881.371,-440.685,1
4,116,Heredity,4,1,-440.675,-440.675,12
3,102,softmutate,8,2,-881.348,-440.674,5
5,178,LatMutate,4,1,-440.668,-440.668,12
5,160,RandTop,4,1,-440.65,-440.65,12
3,81,Random,4,1,-440.644,-440.644,8
6,208,Heredity,8,2,-881.278,-440.639,1
2,37,Heredity,8,2,-881.262,-440.631,5
2,60,softmutate,8,2,-881.259,-440.629,2
5,177,LatMutate,4,1,-440.624,-440.624,1
4,124,Heredity,8,2,-881.2,-440.6,1
3,98,softmutate,8,2,-881.148,-440.574,1
1,25,Random,8,2,-881.149,-440.574,1
2,58,LatMutate,8,2,-881.121,-440.561,1
1,20,Random,8,2,-881.121,-440.56,1
1,12,RandTop,4,1,-440.543,-440.543,12
2,42,Random,8,2,-881.068,-440.534,9
2,52,Heredity,8,2,-880.973,-440.487,2
5,163,Heredity,8,2,-880.961,-440.48,1
3,100,softmutate,8,2,-880.948,-440.474,1
3,79,Random,4,1,-440.456,-440.456,1
3,99,softmutate,8,2,-880.89,-440.445,1
6,206,Heredity,8,2,-880.875,-440.437,1
3,95,RandTop,8,2,-880.812,-440.406,1
3,92,Heredity,8,2,-880.799,-440.399,1
5,176,softmutate,8,2,-880.76,-440.38,2
2,39,Heredity,8,2,-880.75,-440.375,1
5,166,Heredity,8,2,-880.704,-440.352,1
2,43,RandTop,8,2,-880.693,-440.347,1
6,199,Random,4,1,-440.346,-440.346,2
3,101,softmutate,8,2,-880.684,-440.342,2
5,158,RandTop,4,1,-440.319,-440.319,2
2,57,RandTop,8,2,-880.618,-440.309,7
4,128,Heredity,8,2,-880.619,-440.309,1
4,118,Random,4,1,-440.231,-440.231,1
3,77,Heredity,4,1,-440.163,-440.163,6
2,49,Random,4,1,-440.163,-440.163,1
6,204,RandTop,4,1,-440.137,-440.137,1
6,207,Heredity,8,2,-880.231,-440.116,1
1,26,Random,8,2,-880.209,-440.105,1
2,61,softmutate,8,2,-880.117,-440.058,1
3,96,RandTop,8,2,-880.074,-440.037,1
6,209,Heredity,8,2,-880.046,-440.023,1
1,27,Random,8,2,-880.044,-440.022,1
2,63,softmutate,8,2,-880.045,-440.022,1
5,162,Heredity,8,2,-880.031,-440.016,1
1,21,Random,8,2,-880.006,-440.003,1
2,62,softmutate,8,2,-879.949,-439.974,1
4,141,softmutate,8,2,-879.905,-439.953,1
6,211,softmutate,8,2,-879.699,-439.85,1
6,201,Random,4,1,-439.814,-439.814,1
4,120,RandTop,4,1,-439.808,-439.808,1
4,136,RandTop,8,2,-879.503,-439.751,47
6,203,RandTop,4,1,-439.703,-439.703,1
1,19,RandTop,4,1,-439.688,-439.688,10
4,113,Random,8,2,-879.337,-439.668,42
3,78,Heredity,4,1,-439.646,-439.646,8
1,17,RandTop,4,1,-439.643,-439.643,123
1,13,RandTop,4,1,-439.631,-439.631,10
1,16,RandTop,4,1,-439.631,-439.631,47
2,67,LatMutate,4,1,-439.625,-439.625,1
4,117,Random,4,1,-439.622,-439.622,8
5,161,LatMutate,4,1,-439.619,-439.619,1
3,82,RandTop,4,1,-439.598,-439.598,65
5,156,Random,4,1,-439.565,-439.565,12
2,48,Random,4,1,-439.534,-439.534,10
6,212,softmutate,8,2,-879.065,-439.532,2
5,159,RandTop,4,1,-439.504,-439.504,12
1,7,Random,4,1,-439.5,-439.5,1
1,3,Random,8,2,-878.31,-439.155,15
6,198,Random,4,1,-439.094,-439.094,2
5,180,softmutate,8,2,-875.872,-437.936,1
