Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,115,Permutate,8,2,-453.674,-226.837,15
5,160,keptBest,4,1,-226.823,-226.823,121
6,208,RandTop,8,2,-453.639,-226.819,4
2,57,keptBest,4,1,-226.79,-226.79,160
2,55,Random,8,2,-453.291,-226.646,40
7,233,Random,4,1,-226.636,-226.636,42
7,237,RandTop,4,1,-226.574,-226.574,42
6,180,keptBest,8,2,-453.051,-226.526,12
5,144,keptBest,8,2,-453.051,-226.526,12
3,74,Heredity,8,2,-453.051,-226.526,12
4,107,keptBest,8,2,-453.051,-226.526,12
7,217,keptBest,8,2,-453.051,-226.526,12
2,62,softmutate,8,2,-453.049,-226.524,2
3,75,Heredity,8,2,-453.036,-226.518,12
3,79,softmutate,8,2,-453.035,-226.518,12
1,30,Random,8,2,-453.031,-226.516,2
2,68,softmutate,8,2,-453.019,-226.509,2
7,226,RandTop,8,2,-453.019,-226.509,2
5,170,Permutate,8,2,-453.015,-226.508,12
6,187,Permutate,8,2,-453.009,-226.505,12
6,191,softmutate,8,2,-453.009,-226.505,2
6,185,Heredity,8,2,-453.011,-226.505,12
3,80,softmutate,8,2,-453.007,-226.503,12
3,98,Random,8,2,-453.002,-226.501,2
6,184,Heredity,8,2,-453.002,-226.501,12
2,48,Heredity,8,2,-452.999,-226.499,2
5,163,Heredity,8,2,-452.996,-226.498,12
3,92,Heredity,8,2,-452.993,-226.497,12
5,147,Heredity,8,2,-452.993,-226.497,2
5,165,Heredity,8,2,-452.992,-226.496,2
3,104,softmutate,8,2,-452.991,-226.496,12
2,61,softmutate,8,2,-452.988,-226.494,12
5,151,softmutate,8,2,-452.988,-226.494,2
5,169,Permutate,8,2,-452.98,-226.49,2
4,132,Heredity,8,2,-452.956,-226.478,2
6,203,Heredity,8,2,-452.953,-226.476,2
4,133,Heredity,8,2,-452.952,-226.476,2
4,134,Heredity,8,2,-452.95,-226.475,2
1,21,Random,8,2,-452.943,-226.472,2
5,161,Heredity,8,2,-452.941,-226.47,2
7,244,softmutate,8,2,-452.927,-226.463,2
7,223,Random,8,2,-452.922,-226.461,12
5,148,Heredity,8,2,-452.914,-226.457,12
