Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,217,keptBest,8,2,-1025.598,-512.799,1
6,202,softmutate,8,2,-1025.163,-512.581,9
7,249,LatMutate,8,2,-1025.153,-512.576,9
4,108,keptBest,8,2,-1025.144,-512.572,4
3,70,keptBest,8,2,-1025.144,-512.572,4
6,183,keptBest,8,2,-1025.144,-512.572,4
5,146,keptBest,8,2,-1025.144,-512.572,4
7,220,keptBest,8,2,-1025.144,-512.572,4
8,258,keptBest,8,2,-1025.144,-512.572,4
2,33,keptBest,8,2,-1025.144,-512.572,4
1,20,Random,8,2,-1025.144,-512.572,4
6,184,keptBest,8,2,-1025.142,-512.571,1
3,71,keptBest,8,2,-1025.142,-512.571,1
4,109,keptBest,8,2,-1025.142,-512.571,1
2,59,Permutate,8,2,-1025.142,-512.571,1
7,221,keptBest,8,2,-1025.142,-512.571,1
8,259,keptBest,8,2,-1025.142,-512.571,1
5,147,keptBest,8,2,-1025.142,-512.571,1
1,18,Random,8,2,-1025.137,-512.568,1
2,34,keptBest,8,2,-1025.137,-512.568,1
1,2,Random,8,2,-1025.133,-512.567,1
2,58,RandTop,8,2,-1025.12,-512.56,1
2,56,Random,8,2,-1025.115,-512.557,1
2,50,Heredity,8,2,-1025.086,-512.543,1
1,22,Random,8,2,-1025.08,-512.54,1
3,74,Heredity,8,2,-1025.067,-512.534,1
3,79,Heredity,8,2,-1025.066,-512.533,1
6,187,Heredity,8,2,-1025.057,-512.529,1
3,85,RandTop,8,2,-1025.056,-512.528,7
2,38,Heredity,8,2,-1025.054,-512.527,1
4,116,softmutate,8,2,-1025.029,-512.515,1
6,188,Heredity,8,2,-1025.029,-512.514,1
8,260,Heredity,8,2,-1025.028,-512.514,1
3,80,Heredity,8,2,-1025.026,-512.513,1
3,90,softmutate,8,2,-1025.026,-512.513,1
8,268,Heredity,8,2,-1025.019,-512.51,1
7,223,Random,8,2,-1024.996,-512.498,4
3,72,keptBest,8,2,-1024.99,-512.495,4
5,148,keptBest,8,2,-1024.99,-512.495,4
2,40,RandTop,8,2,-1024.99,-512.495,4
6,185,keptBest,8,2,-1024.99,-512.495,4
4,110,keptBest,8,2,-1024.99,-512.495,4
6,189,Random,8,2,-1024.987,-512.493,4
4,115,Permutate,8,2,-1024.985,-512.492,4
4,124,Permutate,8,2,-1024.978,-512.489,7
5,175,Heredity,8,2,-1024.973,-512.487,1
1,1,Random,8,2,-1024.974,-512.487,4
2,35,keptBest,8,2,-1024.974,-512.487,4
7,229,Heredity,8,2,-1024.963,-512.482,1
6,203,softmutate,8,2,-1024.949,-512.474,1
8,273,Permutate,8,2,-1024.945,-512.473,5
3,84,Random,8,2,-1024.946,-512.473,5
7,242,Permutate,8,2,-1024.947,-512.473,5
4,111,keptBest,8,2,-1024.946,-512.473,5
8,274,Permutate,8,2,-1024.945,-512.473,5
4,114,Permutate,8,2,-1024.944,-512.472,5
1,27,Random,8,2,-1024.944,-512.472,7
1,32,RandTop,8,2,-1024.941,-512.471,7
5,156,Heredity,8,2,-1024.932,-512.466,4
2,57,RandTop,8,2,-1024.93,-512.465,1
4,125,Permutate,8,2,-1024.918,-512.459,4
6,201,softmutate,8,2,-1024.917,-512.459,1
6,200,LatMutate,8,2,-1024.917,-512.459,1
2,55,Heredity,8,2,-1024.918,-512.459,4
7,224,Random,8,2,-1024.915,-512.457,4
4,138,LatMutate,8,2,-1024.905,-512.453,1
3,95,RandTop,4,1,-512.451,-512.451,5
6,192,RandTop,4,1,-512.45,-512.45,5
7,254,softmutate,8,2,-1024.9,-512.45,1
4,136,RandTop,8,2,-1024.897,-512.449,5
3,82,keptBest,4,1,-512.449,-512.449,5
2,41,Heredity,4,1,-512.449,-512.449,5
5,170,Random,4,1,-512.449,-512.449,5
7,252,LatMutate,4,1,-512.448,-512.448,5
3,88,Permutate,8,2,-1024.897,-512.448,4
8,281,RandTop,4,1,-512.448,-512.448,5
8,280,RandTop,4,1,-512.448,-512.448,5
8,261,Heredity,4,1,-512.447,-512.447,5
2,46,RandTop,4,1,-512.447,-512.447,5
2,42,Heredity,4,1,-512.447,-512.447,5
5,160,Random,8,2,-1024.892,-512.446,1
3,99,Heredity,8,2,-1024.892,-512.446,4
3,87,Permutate,8,2,-1024.892,-512.446,4
2,63,LatMutate,4,1,-512.445,-512.445,5
1,19,Random,8,2,-1024.891,-512.445,1
2,64,LatMutate,4,1,-512.445,-512.445,5
5,149,Heredity,8,2,-1024.886,-512.443,7
7,246,Heredity,8,2,-1024.884,-512.442,5
7,225,Heredity,4,1,-512.442,-512.442,5
5,161,Random,8,2,-1024.882,-512.441,1
6,198,Heredity,8,2,-1024.881,-512.441,5
8,269,Heredity,8,2,-1024.881,-512.441,1
7,236,RandTop,4,1,-512.44,-512.44,5
7,231,RandTop,8,2,-1024.878,-512.439,1
8,283,RandTop,4,1,-512.439,-512.439,5
3,78,Random,4,1,-512.439,-512.439,5
2,52,keptBest,4,1,-512.439,-512.439,5
1,6,Random,4,1,-512.439,-512.439,5
8,265,Heredity,8,2,-1024.871,-512.435,5
6,197,Heredity,8,2,-1024.867,-512.434,7
4,119,Heredity,8,2,-1024.866,-512.433,5
1,14,RandTop,4,1,-512.432,-512.432,5
8,267,Heredity,8,2,-1024.863,-512.431,5
6,199,Heredity,8,2,-1024.863,-512.431,5
1,16,RandTop,4,1,-512.431,-512.431,5
2,47,RandTop,4,1,-512.43,-512.43,5
1,10,RandTop,4,1,-512.43,-512.43,5
4,128,softmutate,8,2,-1024.858,-512.429,5
6,214,Permutate,8,2,-1024.856,-512.428,1
5,154,Random,4,1,-512.426,-512.426,5
5,150,RandTop,8,2,-1024.853,-512.426,4
