Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,181,keptBest,8,2,-1688.142,-844.071,87
8,280,RandTop,8,2,-1687.879,-843.939,2
8,263,Random,8,2,-1687.795,-843.897,12
6,191,keptBest,4,1,-843.869,-843.869,2
5,154,Permutate,4,1,-843.869,-843.869,2
4,124,LatMutate,4,1,-843.863,-843.863,2
5,155,keptBest,4,1,-843.863,-843.863,2
3,74,Heredity,4,1,-843.861,-843.861,2
4,115,keptBest,4,1,-843.861,-843.861,2
4,123,LatMutate,4,1,-843.855,-843.855,2
3,89,Heredity,4,1,-843.85,-843.85,2
6,182,keptBest,8,2,-1687.643,-843.822,12
3,90,Permutate,8,2,-1687.643,-843.822,12
5,144,keptBest,8,2,-1687.643,-843.822,12
4,106,keptBest,8,2,-1687.643,-843.822,12
7,242,Permutate,8,2,-1687.638,-843.819,12
3,70,keptBest,8,2,-1687.633,-843.817,12
2,33,keptBest,8,2,-1687.633,-843.817,12
1,20,Random,8,2,-1687.633,-843.817,12
6,213,softmutate,8,2,-1687.63,-843.815,12
4,116,keptBest,4,1,-843.814,-843.814,12
6,185,Heredity,4,1,-843.814,-843.814,12
5,157,keptBest,4,1,-843.814,-843.814,12
3,75,Heredity,4,1,-843.814,-843.814,12
6,193,keptBest,4,1,-843.814,-843.814,12
9,302,LatMutate,4,1,-843.808,-843.808,12
9,319,softmutate,8,2,-1687.615,-843.808,12
9,318,softmutate,8,2,-1687.616,-843.808,12
1,2,Random,4,1,-843.805,-843.805,12
2,44,keptBest,4,1,-843.805,-843.805,12
3,73,keptBest,4,1,-843.805,-843.805,12
9,310,Heredity,8,2,-1687.608,-843.804,12
9,298,Heredity,8,2,-1687.603,-843.801,2
4,112,softmutate,8,2,-1687.603,-843.801,12
9,303,LatMutate,4,1,-843.8,-843.8,2
4,117,keptBest,4,1,-843.8,-843.8,2
3,81,LatMutate,4,1,-843.8,-843.8,2
5,159,keptBest,4,1,-843.8,-843.8,2
8,272,keptBest,4,1,-843.799,-843.799,2
7,229,LatMutate,4,1,-843.799,-843.799,2
7,221,keptBest,8,2,-1687.596,-843.798,65
8,258,keptBest,8,2,-1687.596,-843.798,65
5,162,Permutate,8,2,-1687.596,-843.798,65
9,294,keptBest,8,2,-1687.596,-843.798,65
6,183,keptBest,8,2,-1687.596,-843.798,65
5,163,Permutate,8,2,-1687.595,-843.797,10
8,273,Heredity,8,2,-1687.592,-843.796,12
