Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,218,keptBest,8,2,-1944.51,-972.255,166
6,199,LatMutate,8,2,-1944.032,-972.016,63
4,113,Permutate,8,2,-1944.018,-972.009,63
7,219,keptBest,8,2,-1944.018,-972.009,63
5,145,keptBest,8,2,-1944.018,-972.009,63
6,182,keptBest,8,2,-1944.018,-972.009,63
6,213,Random,8,2,-1944.015,-972.007,63
4,126,Permutate,8,2,-1944.013,-972.007,63
4,108,keptBest,8,2,-1944.012,-972.006,63
3,70,keptBest,8,2,-1944.012,-972.006,63
2,33,keptBest,8,2,-1944.012,-972.006,63
1,22,Random,8,2,-1944.012,-972.006,63
7,232,Heredity,8,2,-1944.011,-972.006,63
6,211,Random,8,2,-1944.008,-972.004,63
2,65,RandTop,8,2,-1944.007,-972.003,63
1,24,Random,8,2,-1944.004,-972.002,63
5,158,softmutate,8,2,-1943.999,-971.999,63
5,154,Heredity,8,2,-1943.993,-971.996,63
7,230,Heredity,8,2,-1943.989,-971.995,63
2,54,RandTop,8,2,-1943.955,-971.978,12
1,16,Random,8,2,-1943.956,-971.978,12
6,187,Heredity,8,2,-1943.949,-971.975,12
5,149,Heredity,8,2,-1943.945,-971.973,12
6,186,Heredity,8,2,-1943.944,-971.972,12
5,150,Heredity,8,2,-1943.942,-971.971,12
7,223,Heredity,8,2,-1943.94,-971.97,12
3,90,Heredity,8,2,-1943.926,-971.963,12
4,112,Heredity,8,2,-1943.921,-971.96,12
1,20,RandTop,8,2,-1943.897,-971.949,12
1,19,RandTop,8,2,-1943.899,-971.949,12
3,97,Random,8,2,-1943.897,-971.949,12
5,177,softmutate,8,2,-1943.896,-971.948,63
6,189,Heredity,8,2,-1943.897,-971.948,12
2,51,Heredity,8,2,-1943.89,-971.945,12
5,146,keptBest,8,2,-1943.887,-971.944,71
6,183,keptBest,8,2,-1943.887,-971.944,71
4,109,keptBest,8,2,-1943.887,-971.944,71
3,71,keptBest,8,2,-1943.887,-971.944,71
1,21,Random,8,2,-1943.887,-971.944,71
2,34,keptBest,8,2,-1943.887,-971.944,71
7,220,keptBest,8,2,-1943.887,-971.944,71
