Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,143,keptBest,8,2,-2169.095,-1084.548,65
4,118,Permutate,8,2,-2168.926,-1084.463,63
3,80,Random,8,2,-2168.699,-1084.349,17
2,65,softmutate,8,2,-2168.662,-1084.331,8
3,72,keptBest,8,2,-2168.662,-1084.331,8
4,128,Heredity,8,2,-2168.619,-1084.31,65
5,158,Heredity,8,2,-2168.583,-1084.292,10
1,22,Random,8,2,-2168.579,-1084.29,12
2,35,keptBest,8,2,-2168.579,-1084.29,12
4,137,Random,8,2,-2168.568,-1084.284,12
3,73,keptBest,8,2,-2168.558,-1084.279,12
5,165,softmutate,8,2,-2168.558,-1084.279,12
2,49,Heredity,8,2,-2168.558,-1084.279,12
3,98,Heredity,8,2,-2168.553,-1084.277,2
5,151,Heredity,8,2,-2168.534,-1084.267,12
3,100,Random,8,2,-2168.498,-1084.249,12
4,115,Heredity,8,2,-2168.478,-1084.239,10
5,160,Heredity,8,2,-2168.453,-1084.226,10
3,74,keptBest,8,2,-2168.445,-1084.222,129
2,36,keptBest,8,2,-2168.445,-1084.222,129
1,27,Random,8,2,-2168.445,-1084.222,129
4,108,keptBest,8,2,-2168.445,-1084.222,129
5,145,keptBest,8,2,-2168.445,-1084.222,129
3,90,softmutate,8,2,-2168.442,-1084.221,12
1,25,RandTop,8,2,-2168.44,-1084.22,11
1,24,RandTop,8,2,-2168.44,-1084.22,11
2,37,keptBest,8,2,-2168.44,-1084.22,11
2,59,Permutate,8,2,-2168.423,-1084.212,11
3,102,Permutate,8,2,-2168.423,-1084.211,11
1,30,Random,8,2,-2168.42,-1084.21,2
2,42,Heredity,8,2,-2168.417,-1084.209,74
4,114,Heredity,8,2,-2168.418,-1084.209,74
1,29,Random,8,2,-2168.418,-1084.209,12
4,136,Random,8,2,-2168.417,-1084.208,74
4,116,Heredity,8,2,-2168.41,-1084.205,74
2,60,softmutate,8,2,-2168.384,-1084.192,12
2,63,softmutate,8,2,-2168.382,-1084.191,12
5,168,Heredity,8,2,-2168.378,-1084.189,74
4,141,Random,8,2,-2168.376,-1084.188,2
2,55,Heredity,8,2,-2168.347,-1084.173,2
1,32,RandTop,8,2,-2168.332,-1084.166,11
3,95,Permutate,8,2,-2168.308,-1084.154,11
2,48,Heredity,8,2,-2168.301,-1084.151,11
3,103,Heredity,8,2,-2168.295,-1084.148,11
2,53,Heredity,8,2,-2168.286,-1084.143,2
2,52,Heredity,8,2,-2168.286,-1084.143,11
2,68,Heredity,8,2,-2168.256,-1084.128,11
3,77,Random,4,1,-1084.124,-1084.124,156
5,149,Random,4,1,-1084.124,-1084.124,156
1,6,Random,4,1,-1084.123,-1084.123,156
2,54,softmutate,8,2,-2168.217,-1084.109,63
1,5,Random,4,1,-1084.109,-1084.109,65
3,85,RandTop,4,1,-1084.098,-1084.098,65
5,157,keptBest,4,1,-1084.098,-1084.098,65
4,119,keptBest,4,1,-1084.098,-1084.098,65
4,142,softmutate,8,2,-2168.179,-1084.09,11
1,21,RandTop,8,2,-2168.159,-1084.08,11
5,162,Permutate,8,2,-2168.149,-1084.074,11
3,87,Heredity,8,2,-2168.144,-1084.072,11
2,38,Heredity,8,2,-2168.143,-1084.071,11
4,109,softmutate,8,2,-2168.14,-1084.07,11
2,69,softmutate,8,2,-2168.135,-1084.068,160
1,15,RandTop,4,1,-1084.04,-1084.04,65
3,92,Heredity,8,2,-2168.04,-1084.02,11
2,58,RandTop,8,2,-2168.032,-1084.016,12
5,172,Heredity,8,2,-2168.024,-1084.012,11
4,134,RandTop,8,2,-2167.919,-1083.959,51
5,146,keptBest,8,2,-2167.919,-1083.959,51
1,20,Random,8,2,-2167.895,-1083.948,10
