Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
11,252,keptBest,8,2,-13081.011,-6540.506,2
11,245,Random,8,2,-13080.579,-6540.29,2
11,248,Permutate,8,2,-13080.483,-6540.242,2
11,249,Permutate,8,2,-13080.479,-6540.24,2
4,80,Random,8,2,-13080.434,-6540.217,2
10,220,Random,8,2,-13080.373,-6540.186,2
11,246,RandTop,8,2,-13080.332,-6540.166,2
1,11,Random,8,2,-13080.299,-6540.149,6
8,175,Random,8,2,-13080.257,-6540.129,2
1,16,RandTop,8,2,-13080.247,-6540.123,65
11,261,keptBest,4,1,-6540.116,-6540.116,1
9,211,Permutate,4,1,-6540.116,-6540.116,1
10,238,keptBest,4,1,-6540.116,-6540.116,1
6,146,keptBest,4,1,-6540.114,-6540.114,221
9,215,keptBest,4,1,-6540.114,-6540.114,221
5,123,keptBest,4,1,-6540.114,-6540.114,221
2,49,RandTop,4,1,-6540.114,-6540.114,221
4,100,keptBest,4,1,-6540.114,-6540.114,221
7,170,keptBest,4,1,-6540.114,-6540.114,221
3,76,keptBest,4,1,-6540.114,-6540.114,221
8,193,keptBest,4,1,-6540.114,-6540.114,221
4,81,RandTop,8,2,-13080.223,-6540.111,65
11,254,Heredity,4,1,-6540.104,-6540.104,65
10,234,Permutate,4,1,-6540.102,-6540.102,65
11,262,keptBest,4,1,-6540.102,-6540.102,65
9,216,keptBest,4,1,-6540.1,-6540.1,65
11,258,Permutate,4,1,-6540.1,-6540.1,65
8,183,Heredity,4,1,-6540.1,-6540.1,65
10,239,keptBest,4,1,-6540.1,-6540.1,65
10,232,RandTop,4,1,-6540.099,-6540.099,166
10,228,Heredity,4,1,-6540.096,-6540.096,65
6,137,Heredity,4,1,-6540.094,-6540.094,65
9,205,Heredity,4,1,-6540.094,-6540.094,65
7,171,keptBest,4,1,-6540.094,-6540.094,65
8,194,keptBest,4,1,-6540.094,-6540.094,65
9,204,Heredity,4,1,-6540.092,-6540.092,65
8,182,Heredity,4,1,-6540.086,-6540.086,65
6,130,Random,8,2,-13080.168,-6540.084,2
9,208,Random,4,1,-6540.074,-6540.074,65
4,101,keptBest,4,1,-6540.068,-6540.068,121
5,124,keptBest,4,1,-6540.068,-6540.068,121
6,147,keptBest,4,1,-6540.068,-6540.068,121
3,65,Heredity,4,1,-6540.068,-6540.068,121
11,244,Random,8,2,-13080.131,-6540.065,2
9,207,Random,4,1,-6540.053,-6540.053,121
5,106,Random,8,2,-13080.084,-6540.042,31
1,10,Random,8,2,-13080.065,-6540.033,2
8,184,Heredity,4,1,-6540.031,-6540.031,160
2,52,LatMutate,4,1,-6540.031,-6540.031,10
9,212,Permutate,4,1,-6540.028,-6540.028,160
5,115,Heredity,4,1,-6540.027,-6540.027,160
10,237,LatMutate,4,1,-6540.025,-6540.025,10
8,181,Heredity,4,1,-6540.022,-6540.022,10
4,99,LatMutate,4,1,-6540.014,-6540.014,10
8,190,Permutate,4,1,-6540.006,-6540.006,160
3,67,Random,4,1,-6540.004,-6540.004,160
1,12,RandTop,8,2,-13080.005,-6540.002,2
3,63,Heredity,4,1,-6540.0,-6540.0,160
1,22,Random,4,1,-6539.996,-6539.996,23
1,29,RandTop,4,1,-6539.995,-6539.995,160
3,77,keptBest,4,1,-6539.995,-6539.995,160
10,226,Heredity,4,1,-6539.995,-6539.995,160
2,53,keptBest,4,1,-6539.995,-6539.995,160
8,187,RandTop,4,1,-6539.994,-6539.994,160
3,66,Heredity,4,1,-6539.993,-6539.993,160
