Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,121,keptBest,4,1,-6624.486,-6624.486,221
2,47,keptBest,8,2,-13248.671,-6624.335,122
4,82,Random,8,2,-13248.553,-6624.277,141
3,69,keptBest,8,2,-13248.426,-6624.213,129
5,111,keptBest,8,2,-13248.426,-6624.213,129
4,89,keptBest,8,2,-13248.426,-6624.213,129
2,48,keptBest,8,2,-13248.426,-6624.213,129
1,16,RandTop,8,2,-13248.426,-6624.213,129
3,62,RandTop,8,2,-13248.118,-6624.059,2
3,58,Random,8,2,-13248.038,-6624.019,18
4,84,RandTop,8,2,-13247.938,-6623.969,36
1,8,Random,8,2,-13247.914,-6623.957,1
1,3,Random,8,2,-13247.865,-6623.933,88
1,14,RandTop,8,2,-13247.837,-6623.918,11
3,59,Random,8,2,-13247.833,-6623.916,88
1,12,RandTop,8,2,-13247.808,-6623.904,65
1,2,Random,8,2,-13247.752,-6623.876,187
5,107,RandTop,8,2,-13247.74,-6623.87,11
3,72,Random,4,1,-6623.846,-6623.846,139
2,39,RandTop,8,2,-13247.691,-6623.846,65
5,105,Random,8,2,-13247.594,-6623.797,123
1,6,Random,8,2,-13247.575,-6623.787,15
5,119,LatMutate,4,1,-6623.765,-6623.765,8
3,64,Permutate,8,2,-13247.501,-6623.75,123
3,63,Permutate,8,2,-13247.499,-6623.749,123
1,9,Random,8,2,-13247.382,-6623.691,2
5,116,RandTop,4,1,-6623.682,-6623.682,38
2,38,Random,8,2,-13247.332,-6623.666,9
1,13,RandTop,8,2,-13247.316,-6623.658,12
3,61,Random,8,2,-13247.283,-6623.641,7
1,1,Random,8,2,-13247.277,-6623.639,125
1,28,RandTop,4,1,-6623.636,-6623.636,10
4,95,RandTop,4,1,-6623.627,-6623.627,10
1,25,RandTop,4,1,-6623.622,-6623.622,10
2,40,RandTop,8,2,-13247.243,-6623.621,38
3,73,RandTop,4,1,-6623.603,-6623.603,10
2,41,RandTop,8,2,-13247.171,-6623.585,8
5,104,Random,8,2,-13247.117,-6623.558,12
1,5,Random,8,2,-13247.111,-6623.556,4
1,4,Random,8,2,-13247.092,-6623.546,9
1,24,RandTop,4,1,-6623.542,-6623.542,6
2,43,Permutate,8,2,-13247.068,-6623.534,4
4,83,Random,8,2,-13247.064,-6623.532,2
1,26,RandTop,4,1,-6623.528,-6623.528,47
1,11,Random,8,2,-13247.038,-6623.519,2
5,117,RandTop,4,1,-6623.51,-6623.51,47
3,71,Heredity,4,1,-6623.499,-6623.499,10
4,85,Permutate,8,2,-13246.995,-6623.497,2
3,70,Heredity,4,1,-6623.478,-6623.478,47
3,75,LatMutate,4,1,-6623.453,-6623.453,47
4,91,Random,4,1,-6623.393,-6623.393,10
1,17,RandTop,8,2,-13246.787,-6623.393,2
4,97,LatMutate,4,1,-6623.366,-6623.366,1
4,94,RandTop,4,1,-6623.333,-6623.333,6
4,90,Heredity,4,1,-6623.313,-6623.313,1
1,20,Random,4,1,-6623.31,-6623.31,97
1,21,Random,4,1,-6623.304,-6623.304,42
1,15,RandTop,8,2,-13246.595,-6623.297,11
5,115,Random,4,1,-6623.296,-6623.296,42
4,92,Random,4,1,-6623.267,-6623.267,23
2,50,Random,4,1,-6623.251,-6623.251,1
5,120,LatMutate,4,1,-6623.233,-6623.233,5
2,52,LatMutate,4,1,-6623.208,-6623.208,2
5,118,Permutate,4,1,-6623.116,-6623.116,2
1,7,Random,8,2,-13246.056,-6623.028,38
3,60,Random,8,2,-13246.033,-6623.017,2
5,103,Random,8,2,-13245.928,-6622.964,1
5,106,RandTop,8,2,-13245.851,-6622.926,10
4,98,LatMutate,4,1,-6622.895,-6622.895,12
5,113,Heredity,4,1,-6622.874,-6622.874,12
1,22,Random,4,1,-6622.871,-6622.871,12
2,51,Random,4,1,-6622.836,-6622.836,2
3,74,LatMutate,4,1,-6622.654,-6622.654,12
5,114,Random,4,1,-6622.507,-6622.507,12
4,79,Heredity,8,2,-13244.567,-6622.284,2
1,19,Random,4,1,-6622.224,-6622.224,6
2,32,Heredity,8,2,-13244.392,-6622.196,2
5,100,Heredity,8,2,-13244.295,-6622.147,12
2,33,Heredity,8,2,-13244.197,-6622.098,11
3,55,Heredity,8,2,-13244.162,-6622.081,2
4,93,Random,4,1,-6622.08,-6622.08,8
2,31,Heredity,8,2,-13243.919,-6621.96,2
3,54,Heredity,8,2,-13243.918,-6621.959,2
2,36,Heredity,8,2,-13243.85,-6621.925,2
2,45,softmutate,8,2,-13243.595,-6621.798,2
3,66,softmutate,8,2,-13243.576,-6621.788,2
2,35,Heredity,8,2,-13243.376,-6621.688,2
4,80,Heredity,8,2,-13243.231,-6621.616,2
2,34,Heredity,8,2,-13243.164,-6621.582,6
4,78,Heredity,8,2,-13243.119,-6621.56,2
5,101,Heredity,8,2,-13243.106,-6621.553,2
4,77,Heredity,8,2,-13243.034,-6621.517,4
4,81,Heredity,8,2,-13243.013,-6621.506,11
2,37,Heredity,8,2,-13242.931,-6621.466,2
3,56,Heredity,8,2,-13242.919,-6621.46,11
