Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,69,keptBest,8,2,-13151.982,-6575.991,65
5,149,Permutate,4,1,-6575.989,-6575.989,12
5,170,Permutate,8,2,-13151.811,-6575.906,2
3,77,Permutate,4,1,-6575.853,-6575.853,1
5,175,Random,8,2,-13151.579,-6575.79,2
2,34,keptBest,8,2,-13151.579,-6575.789,10
5,145,keptBest,8,2,-13151.579,-6575.789,10
1,16,RandTop,8,2,-13151.579,-6575.789,10
4,108,keptBest,8,2,-13151.579,-6575.789,10
3,71,keptBest,8,2,-13151.579,-6575.789,10
1,15,RandTop,8,2,-13151.565,-6575.783,10
3,72,LatMutate,4,1,-6575.775,-6575.775,2
3,73,Heredity,4,1,-6575.773,-6575.773,12
4,117,Permutate,4,1,-6575.771,-6575.771,12
3,80,keptBest,4,1,-6575.77,-6575.77,12
2,42,LatMutate,4,1,-6575.77,-6575.77,12
2,63,RandTop,8,2,-13151.539,-6575.769,10
4,142,RandTop,8,2,-13151.536,-6575.768,12
5,152,Heredity,4,1,-6575.768,-6575.768,12
4,123,Random,4,1,-6575.768,-6575.768,12
4,110,Heredity,4,1,-6575.76,-6575.76,12
4,112,Heredity,4,1,-6575.756,-6575.756,2
3,76,RandTop,4,1,-6575.756,-6575.756,12
1,11,RandTop,4,1,-6575.742,-6575.742,12
4,124,RandTop,4,1,-6575.739,-6575.739,12
5,174,Permutate,8,2,-13151.477,-6575.739,2
1,4,RandTop,4,1,-6575.738,-6575.738,12
5,157,RandTop,4,1,-6575.735,-6575.735,12
4,135,Permutate,8,2,-13151.416,-6575.708,2
4,137,RandTop,8,2,-13151.409,-6575.704,10
4,114,Heredity,4,1,-6575.686,-6575.686,87
5,153,Heredity,4,1,-6575.654,-6575.654,87
2,35,keptBest,8,2,-13151.29,-6575.645,11
1,18,RandTop,8,2,-13151.29,-6575.645,11
2,43,RandTop,4,1,-6575.629,-6575.629,2
1,19,RandTop,8,2,-13151.24,-6575.62,11
2,61,Random,8,2,-13151.233,-6575.616,2
5,178,RandTop,8,2,-13151.227,-6575.614,11
4,127,LatMutate,4,1,-6575.613,-6575.613,12
1,22,Random,8,2,-13151.202,-6575.601,2
3,106,Random,8,2,-13151.128,-6575.564,6
1,20,Random,8,2,-13151.115,-6575.557,10
3,93,LatMutate,4,1,-6575.536,-6575.536,2
2,65,RandTop,8,2,-13151.063,-6575.531,5
