Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,178,keptBest,4,1,-1570.474,-1570.474,5
8,284,Permutate,8,2,-3140.777,-1570.388,1
4,112,Heredity,4,1,-1570.162,-1570.162,1
3,80,Permutate,4,1,-1570.157,-1570.157,42
5,158,Permutate,4,1,-1570.157,-1570.157,42
5,153,Heredity,4,1,-1570.156,-1570.156,44
5,152,Heredity,4,1,-1570.155,-1570.155,5
7,225,Heredity,4,1,-1570.155,-1570.155,44
4,119,Permutate,4,1,-1570.155,-1570.155,44
2,47,Heredity,4,1,-1570.153,-1570.153,12
6,189,Heredity,4,1,-1570.15,-1570.15,12
6,186,Heredity,4,1,-1570.15,-1570.15,12
5,151,Heredity,4,1,-1570.149,-1570.149,1
5,149,Heredity,4,1,-1570.147,-1570.147,1
4,126,Heredity,4,1,-1570.146,-1570.146,44
7,232,LatMutate,4,1,-1570.138,-1570.138,44
4,127,Heredity,4,1,-1570.128,-1570.128,5
1,16,Random,4,1,-1570.051,-1570.051,5
1,26,Random,8,2,-3140.1,-1570.05,12
7,217,Heredity,4,1,-1570.019,-1570.019,2
8,257,keptBest,4,1,-1570.019,-1570.019,2
7,220,Heredity,4,1,-1570.015,-1570.015,2
2,46,Heredity,4,1,-1569.982,-1569.982,2
1,12,RandTop,4,1,-1569.975,-1569.975,1
8,259,keptBest,4,1,-1569.955,-1569.955,5
7,230,Random,4,1,-1569.955,-1569.955,5
7,223,keptBest,4,1,-1569.91,-1569.91,5
6,180,keptBest,4,1,-1569.91,-1569.91,5
5,164,Heredity,4,1,-1569.91,-1569.91,5
8,261,keptBest,4,1,-1569.91,-1569.91,5
5,162,Random,4,1,-1569.884,-1569.884,2
6,181,keptBest,4,1,-1569.884,-1569.884,2
7,224,keptBest,4,1,-1569.884,-1569.884,2
5,160,LatMutate,4,1,-1569.834,-1569.834,5
2,44,Heredity,4,1,-1569.832,-1569.832,5
5,150,keptBest,4,1,-1569.832,-1569.832,5
3,81,keptBest,4,1,-1569.832,-1569.832,5
4,114,keptBest,4,1,-1569.832,-1569.832,5
4,117,Heredity,4,1,-1569.819,-1569.819,5
3,94,LatMutate,4,1,-1569.815,-1569.815,12
7,245,RandTop,8,2,-3139.588,-1569.794,1
8,287,Random,8,2,-3139.517,-1569.758,1
6,177,keptBest,8,2,-3139.504,-1569.752,1
7,214,keptBest,8,2,-3139.504,-1569.752,1
5,169,Random,8,2,-3139.504,-1569.752,1
8,263,LatMutate,4,1,-1569.731,-1569.731,5
2,64,Random,8,2,-3139.434,-1569.717,1
8,277,Random,8,2,-3139.432,-1569.716,2
6,193,LatMutate,4,1,-1569.699,-1569.699,5
2,63,Random,8,2,-3139.371,-1569.686,1
5,148,Heredity,4,1,-1569.679,-1569.679,1
6,185,keptBest,4,1,-1569.679,-1569.679,1
5,161,Heredity,4,1,-1569.673,-1569.673,5
3,82,Heredity,4,1,-1569.673,-1569.673,5
2,41,keptBest,4,1,-1569.67,-1569.67,5
1,18,Random,4,1,-1569.67,-1569.67,5
2,52,softmutate,4,1,-1569.669,-1569.669,12
1,31,Random,8,2,-3139.324,-1569.662,1
2,32,keptBest,8,2,-3139.324,-1569.662,1
2,66,RandTop,8,2,-3139.293,-1569.646,2
6,195,LatMutate,4,1,-1569.621,-1569.621,1
4,120,LatMutate,4,1,-1569.614,-1569.614,12
5,155,keptBest,4,1,-1569.614,-1569.614,12
4,138,Heredity,8,2,-3139.21,-1569.605,1
3,74,Heredity,4,1,-1569.589,-1569.589,12
8,254,Heredity,4,1,-1569.588,-1569.588,12
3,85,Permutate,4,1,-1569.587,-1569.587,12
7,228,Permutate,4,1,-1569.586,-1569.586,12
6,182,Heredity,4,1,-1569.584,-1569.584,12
7,219,Heredity,4,1,-1569.575,-1569.575,8
2,39,Heredity,4,1,-1569.574,-1569.574,8
6,208,RandTop,8,2,-3139.129,-1569.565,11
6,206,RandTop,8,2,-3139.121,-1569.56,1
8,253,Heredity,4,1,-1569.556,-1569.556,5
8,256,Permutate,4,1,-1569.552,-1569.552,5
7,222,Permutate,4,1,-1569.549,-1569.549,1
6,187,Heredity,4,1,-1569.549,-1569.549,5
1,15,Random,4,1,-1569.544,-1569.544,1
8,260,Heredity,4,1,-1569.543,-1569.543,5
6,197,Heredity,4,1,-1569.54,-1569.54,1
8,276,LatMutate,4,1,-1569.53,-1569.53,12
3,86,Heredity,4,1,-1569.529,-1569.529,5
4,113,Heredity,4,1,-1569.525,-1569.525,12
3,97,Random,8,2,-3139.049,-1569.524,1
8,267,Random,4,1,-1569.522,-1569.522,5
6,205,Random,8,2,-3138.997,-1569.498,2
7,234,Random,4,1,-1569.489,-1569.489,1
6,190,Random,4,1,-1569.466,-1569.466,12
2,54,Permutate,4,1,-1569.405,-1569.405,8
6,207,Random,8,2,-3138.801,-1569.4,1
1,13,RandTop,4,1,-1569.393,-1569.393,1
8,269,RandTop,4,1,-1569.379,-1569.379,1
4,106,keptBest,8,2,-3138.459,-1569.229,1
2,60,Permutate,8,2,-3138.459,-1569.229,1
5,142,keptBest,8,2,-3138.459,-1569.229,1
3,69,keptBest,8,2,-3138.459,-1569.229,1
6,179,Heredity,4,1,-1569.173,-1569.173,2
8,251,Random,4,1,-1569.07,-1569.07,71
6,198,Random,4,1,-1569.064,-1569.064,1
5,143,Permutate,4,1,-1569.058,-1569.058,12
2,50,RandTop,4,1,-1569.001,-1569.001,12
5,157,keptBest,4,1,-1569.001,-1569.001,12
3,83,keptBest,4,1,-1569.001,-1569.001,12
4,118,keptBest,4,1,-1569.001,-1569.001,12
8,283,RandTop,8,2,-3137.834,-1568.917,2
3,71,Heredity,4,1,-1568.89,-1568.89,2
6,209,Random,8,2,-3137.756,-1568.878,1
4,107,keptBest,8,2,-3137.62,-1568.81,1
3,96,RandTop,8,2,-3137.62,-1568.81,1
1,2,Random,4,1,-1568.798,-1568.798,12
7,239,Random,8,2,-3137.566,-1568.783,1
8,262,Random,4,1,-1568.78,-1568.78,12
2,35,LatMutate,4,1,-1568.749,-1568.749,2
3,76,Heredity,4,1,-1568.723,-1568.723,2
5,166,RandTop,8,2,-3137.428,-1568.714,1
2,68,RandTop,8,2,-3137.421,-1568.711,1
4,123,Random,4,1,-1568.708,-1568.708,2
2,58,Random,8,2,-3137.334,-1568.667,2
7,249,Heredity,8,2,-3137.324,-1568.662,1
8,279,Permutate,8,2,-3137.28,-1568.64,1
7,226,Random,4,1,-1568.631,-1568.631,12
7,216,LatMutate,4,1,-1568.609,-1568.609,6
1,17,RandTop,4,1,-1568.578,-1568.578,1
