Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,112,Heredity,4,1,-1242.159,-1242.159,10
5,156,Heredity,4,1,-1241.924,-1241.924,12
3,80,LatMutate,4,1,-1241.924,-1241.924,2
5,161,LatMutate,4,1,-1241.921,-1241.921,12
3,87,Permutate,4,1,-1241.92,-1241.92,12
5,162,LatMutate,4,1,-1241.913,-1241.913,12
5,143,keptBest,8,2,-2483.784,-1241.892,18
4,134,Random,8,2,-2483.784,-1241.892,18
4,131,LatMutate,4,1,-1241.864,-1241.864,10
2,66,RandTop,8,2,-2483.562,-1241.781,26
5,144,keptBest,8,2,-2483.519,-1241.76,15
3,105,Random,8,2,-2483.519,-1241.76,15
4,108,keptBest,8,2,-2483.519,-1241.76,15
5,157,Heredity,4,1,-1241.758,-1241.758,2
4,114,Heredity,4,1,-1241.746,-1241.746,2
2,40,Random,4,1,-1241.738,-1241.738,2
3,73,Heredity,4,1,-1241.732,-1241.732,2
4,115,Heredity,4,1,-1241.72,-1241.72,2
2,36,Random,4,1,-1241.719,-1241.719,2
5,155,Heredity,4,1,-1241.369,-1241.369,8
4,121,keptBest,4,1,-1241.368,-1241.368,8
5,159,keptBest,4,1,-1241.368,-1241.368,8
3,99,LatMutate,4,1,-1241.368,-1241.368,8
3,106,softmutate,4,1,-1241.353,-1241.353,8
3,94,RandTop,4,1,-1241.332,-1241.332,8
5,168,LatMutate,4,1,-1241.285,-1241.285,8
5,147,Permutate,4,1,-1241.284,-1241.284,8
4,123,keptBest,4,1,-1241.2,-1241.2,2
5,160,keptBest,4,1,-1241.2,-1241.2,2
3,82,keptBest,4,1,-1241.2,-1241.2,2
1,9,Random,4,1,-1241.2,-1241.2,2
2,42,keptBest,4,1,-1241.2,-1241.2,2
4,126,RandTop,4,1,-1241.184,-1241.184,12
2,39,LatMutate,4,1,-1241.181,-1241.181,12
4,124,keptBest,4,1,-1241.181,-1241.181,12
5,165,RandTop,4,1,-1241.181,-1241.181,12
3,83,keptBest,4,1,-1241.181,-1241.181,12
5,151,LatMutate,4,1,-1241.179,-1241.179,12
4,135,Permutate,8,2,-2482.356,-1241.178,4
5,148,Permutate,4,1,-1241.144,-1241.144,2
4,119,Permutate,4,1,-1241.143,-1241.143,12
1,10,RandTop,4,1,-1241.139,-1241.139,2
4,125,Heredity,4,1,-1241.126,-1241.126,2
5,153,LatMutate,4,1,-1241.118,-1241.118,12
