Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,211,keptBest,4,1,-5047.117,-5047.117,87
11,258,keptBest,4,1,-5047.05,-5047.05,2
5,103,Heredity,4,1,-5046.908,-5046.908,2
10,214,Heredity,4,1,-5046.905,-5046.905,12
3,58,Heredity,4,1,-5046.896,-5046.896,2
3,54,Heredity,4,1,-5046.886,-5046.886,2
5,119,softmutate,4,1,-5046.881,-5046.881,2
6,132,Random,4,1,-5046.879,-5046.879,12
4,92,LatMutate,4,1,-5046.874,-5046.874,2
9,206,LatMutate,4,1,-5046.853,-5046.853,2
1,14,Random,4,1,-5046.846,-5046.846,2
10,228,LatMutate,4,1,-5046.839,-5046.839,2
9,208,LatMutate,4,1,-5046.834,-5046.834,12
7,165,softmutate,4,1,-5046.82,-5046.82,2
6,127,Heredity,4,1,-5046.801,-5046.801,2
11,254,LatMutate,4,1,-5046.793,-5046.793,2
8,175,Random,4,1,-5046.778,-5046.778,2
1,7,Random,4,1,-5046.773,-5046.773,12
8,172,Heredity,4,1,-5046.772,-5046.772,2
5,107,Random,4,1,-5046.768,-5046.768,2
6,145,keptBest,4,1,-5046.76,-5046.76,12
8,191,keptBest,4,1,-5046.76,-5046.76,12
5,115,softmutate,4,1,-5046.76,-5046.76,12
7,168,keptBest,4,1,-5046.76,-5046.76,12
6,142,softmutate,4,1,-5046.759,-5046.759,2
1,4,Random,4,1,-5046.747,-5046.747,2
5,102,Heredity,4,1,-5046.739,-5046.739,2
10,220,Random,4,1,-5046.73,-5046.73,12
1,1,Random,4,1,-5046.72,-5046.72,2
2,47,LatMutate,4,1,-5046.704,-5046.704,2
4,89,RandTop,4,1,-5046.697,-5046.697,12
1,21,RandTop,4,1,-5046.688,-5046.688,8
2,43,RandTop,4,1,-5046.686,-5046.686,12
10,231,LatMutate,4,1,-5046.685,-5046.685,2
3,60,Heredity,4,1,-5046.679,-5046.679,12
8,180,RandTop,4,1,-5046.678,-5046.678,12
4,87,RandTop,4,1,-5046.676,-5046.676,12
1,25,RandTop,4,1,-5046.675,-5046.675,2
11,244,Random,4,1,-5046.673,-5046.673,2
5,110,RandTop,4,1,-5046.671,-5046.671,12
10,219,Heredity,4,1,-5046.667,-5046.667,2
6,139,LatMutate,4,1,-5046.664,-5046.664,2
1,3,Random,4,1,-5046.655,-5046.655,2
1,26,RandTop,4,1,-5046.654,-5046.654,2
8,178,Random,4,1,-5046.652,-5046.652,2
6,124,Heredity,4,1,-5046.648,-5046.648,2
8,181,RandTop,4,1,-5046.646,-5046.646,12
3,69,Permutate,4,1,-5046.64,-5046.64,87
10,221,Random,4,1,-5046.638,-5046.638,8
1,9,Random,4,1,-5046.63,-5046.63,2
3,63,Random,4,1,-5046.626,-5046.626,2
1,5,Random,4,1,-5046.608,-5046.608,2
3,64,Random,4,1,-5046.597,-5046.597,2
2,50,softmutate,4,1,-5046.595,-5046.595,12
1,13,Random,4,1,-5046.587,-5046.587,2
1,22,RandTop,4,1,-5046.571,-5046.571,8
2,31,Heredity,4,1,-5046.569,-5046.569,87
3,76,keptBest,4,1,-5046.569,-5046.569,87
4,99,keptBest,4,1,-5046.569,-5046.569,87
5,122,keptBest,4,1,-5046.569,-5046.569,87
10,229,LatMutate,4,1,-5046.566,-5046.566,2
11,259,keptBest,4,1,-5046.566,-5046.566,2
7,156,Random,4,1,-5046.565,-5046.565,2
3,66,RandTop,4,1,-5046.564,-5046.564,2
6,137,Permutate,4,1,-5046.562,-5046.562,12
9,203,RandTop,4,1,-5046.558,-5046.558,2
1,12,Random,4,1,-5046.553,-5046.553,2
4,86,Random,4,1,-5046.552,-5046.552,2
2,32,Heredity,4,1,-5046.547,-5046.547,2
2,45,Permutate,4,1,-5046.546,-5046.546,44
7,155,Random,4,1,-5046.534,-5046.534,2
11,246,Random,4,1,-5046.532,-5046.532,2
2,40,Random,4,1,-5046.529,-5046.529,2
5,113,LatMutate,4,1,-5046.518,-5046.518,2
9,210,softmutate,4,1,-5046.516,-5046.516,2
4,88,RandTop,4,1,-5046.51,-5046.51,2
4,95,softmutate,4,1,-5046.507,-5046.507,2
8,182,RandTop,4,1,-5046.5,-5046.5,2
5,114,LatMutate,4,1,-5046.495,-5046.495,2
2,44,RandTop,4,1,-5046.488,-5046.488,2
3,73,softmutate,4,1,-5046.468,-5046.468,2
3,70,LatMutate,4,1,-5046.457,-5046.457,2
3,71,LatMutate,4,1,-5046.455,-5046.455,2
1,19,RandTop,4,1,-5046.449,-5046.449,2
10,232,softmutate,4,1,-5046.447,-5046.447,2
6,141,softmutate,4,1,-5046.44,-5046.44,2
9,207,LatMutate,4,1,-5046.439,-5046.439,2
5,109,RandTop,4,1,-5046.433,-5046.433,2
9,202,RandTop,4,1,-5046.428,-5046.428,2
11,242,Heredity,4,1,-5046.417,-5046.417,2
8,177,Random,4,1,-5046.413,-5046.413,2
6,135,RandTop,4,1,-5046.41,-5046.41,2
4,94,softmutate,4,1,-5046.398,-5046.398,1
10,233,softmutate,4,1,-5046.385,-5046.385,2
3,62,Random,4,1,-5046.364,-5046.364,2
7,164,softmutate,4,1,-5046.357,-5046.357,2
1,29,RandTop,4,1,-5046.353,-5046.353,2
2,53,keptBest,4,1,-5046.353,-5046.353,2
7,163,softmutate,4,1,-5046.35,-5046.35,2
6,138,LatMutate,4,1,-5046.345,-5046.345,2
2,41,Random,4,1,-5046.337,-5046.337,12
1,27,RandTop,4,1,-5046.336,-5046.336,25
11,245,Random,4,1,-5046.329,-5046.329,2
5,108,Random,4,1,-5046.329,-5046.329,2
7,157,RandTop,4,1,-5046.325,-5046.325,12
2,42,RandTop,4,1,-5046.319,-5046.319,2
11,249,RandTop,4,1,-5046.317,-5046.317,12
1,17,Random,4,1,-5046.315,-5046.315,2
10,222,Random,4,1,-5046.308,-5046.308,25
4,84,Random,4,1,-5046.29,-5046.29,2
4,85,Random,4,1,-5046.251,-5046.251,2
11,252,LatMutate,4,1,-5046.247,-5046.247,2
10,227,LatMutate,4,1,-5046.24,-5046.24,2
3,65,RandTop,4,1,-5046.217,-5046.217,2
6,131,Random,4,1,-5046.196,-5046.196,2
10,230,LatMutate,4,1,-5046.167,-5046.167,2
2,48,LatMutate,4,1,-5046.146,-5046.146,2
11,256,softmutate,4,1,-5046.137,-5046.137,2
8,185,LatMutate,4,1,-5046.127,-5046.127,2
2,39,Random,4,1,-5046.119,-5046.119,2
5,116,softmutate,4,1,-5046.107,-5046.107,2
9,209,LatMutate,4,1,-5046.104,-5046.104,2
10,223,RandTop,4,1,-5046.058,-5046.058,2
1,16,Random,4,1,-5046.054,-5046.054,2
11,247,Random,4,1,-5046.037,-5046.037,2
4,96,softmutate,4,1,-5046.016,-5046.016,2
7,154,Random,4,1,-5046.004,-5046.004,2
9,201,Random,4,1,-5045.853,-5045.853,2
7,158,RandTop,4,1,-5045.836,-5045.836,2
6,134,RandTop,4,1,-5045.822,-5045.822,2
2,49,softmutate,4,1,-5045.821,-5045.821,12
8,186,LatMutate,4,1,-5045.769,-5045.769,2
9,198,Random,4,1,-5045.757,-5045.757,2
1,18,RandTop,4,1,-5045.707,-5045.707,2
1,6,Random,4,1,-5045.706,-5045.706,2
1,28,RandTop,4,1,-5045.684,-5045.684,2
3,67,RandTop,4,1,-5045.664,-5045.664,2
5,117,softmutate,4,1,-5045.637,-5045.637,2
6,130,Random,4,1,-5045.588,-5045.588,2
9,200,Random,4,1,-5045.566,-5045.566,8
11,243,Random,4,1,-5045.55,-5045.55,2
1,23,RandTop,4,1,-5045.5,-5045.5,2
10,224,RandTop,4,1,-5045.467,-5045.467,12
11,248,RandTop,4,1,-5045.359,-5045.359,10
4,93,LatMutate,4,1,-5045.235,-5045.235,2
8,179,RandTop,4,1,-5045.209,-5045.209,1
1,24,RandTop,4,1,-5045.089,-5045.089,1
1,20,RandTop,4,1,-5044.852,-5044.852,1
1,30,RandTop,4,1,-5044.692,-5044.692,1
