Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,144,keptBest,8,2,-10319.437,-5159.718,63
5,146,keptBest,8,2,-10319.09,-5159.545,12
5,147,keptBest,8,2,-10319.014,-5159.507,74
4,132,Permutate,8,2,-10319.014,-5159.507,74
5,150,keptBest,4,1,-5159.432,-5159.432,12
4,112,Heredity,4,1,-5159.432,-5159.432,12
5,151,Heredity,4,1,-5159.397,-5159.397,12
4,109,Heredity,4,1,-5159.391,-5159.391,12
3,75,keptBest,4,1,-5159.382,-5159.382,12
4,118,keptBest,4,1,-5159.382,-5159.382,12
2,40,keptBest,4,1,-5159.382,-5159.382,12
1,1,Random,4,1,-5159.382,-5159.382,12
1,3,Random,4,1,-5159.38,-5159.38,12
2,36,Heredity,4,1,-5159.373,-5159.373,12
3,73,Heredity,4,1,-5159.365,-5159.365,12
5,155,Permutate,4,1,-5159.359,-5159.359,12
5,179,Random,8,2,-10318.71,-5159.355,2
2,34,keptBest,8,2,-10318.705,-5159.353,12
1,21,Random,8,2,-10318.705,-5159.353,12
5,149,Heredity,4,1,-5159.348,-5159.348,12
3,77,LatMutate,4,1,-5159.341,-5159.341,12
1,10,Random,4,1,-5159.34,-5159.34,87
4,110,LatMutate,4,1,-5159.333,-5159.333,12
4,116,Permutate,4,1,-5159.332,-5159.332,12
3,76,Random,4,1,-5159.332,-5159.332,166
4,119,keptBest,4,1,-5159.332,-5159.332,166
4,117,LatMutate,4,1,-5159.314,-5159.314,87
1,31,Random,8,2,-10318.624,-5159.312,2
4,128,LatMutate,4,1,-5159.311,-5159.311,12
2,43,Permutate,4,1,-5159.31,-5159.31,12
4,131,Random,8,2,-10318.59,-5159.295,12
4,120,keptBest,4,1,-5159.279,-5159.279,12
2,39,LatMutate,4,1,-5159.279,-5159.279,12
3,78,keptBest,4,1,-5159.279,-5159.279,12
2,44,LatMutate,4,1,-5159.266,-5159.266,2
4,113,Heredity,4,1,-5159.255,-5159.255,2
1,12,Random,4,1,-5159.231,-5159.231,12
2,41,keptBest,4,1,-5159.231,-5159.231,12
5,148,Heredity,4,1,-5159.23,-5159.23,12
5,157,LatMutate,4,1,-5159.211,-5159.211,2
5,154,Random,4,1,-5159.209,-5159.209,12
