Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,143,keptBest,8,2,-10545.678,-5272.839,11
4,134,Random,8,2,-10545.48,-5272.74,63
5,146,keptBest,8,2,-10545.276,-5272.638,65
4,110,keptBest,8,2,-10545.276,-5272.638,65
3,101,RandTop,8,2,-10545.276,-5272.638,65
6,182,keptBest,8,2,-10545.276,-5272.638,65
2,57,Permutate,8,2,-10545.108,-5272.554,12
3,79,Permutate,8,2,-10545.029,-5272.515,65
4,131,Random,8,2,-10544.988,-5272.494,2
3,87,Permutate,8,2,-10544.973,-5272.487,65
3,73,keptBest,8,2,-10544.862,-5272.431,65
2,35,keptBest,8,2,-10544.862,-5272.431,65
1,27,RandTop,8,2,-10544.862,-5272.431,65
6,208,Random,8,2,-10544.849,-5272.425,2
3,83,Permutate,8,2,-10544.842,-5272.421,12
2,42,Heredity,4,1,-5272.41,-5272.41,2
4,138,RandTop,8,2,-10544.809,-5272.404,10
1,17,RandTop,8,2,-10544.789,-5272.395,10
5,171,Random,8,2,-10544.788,-5272.394,11
1,20,RandTop,8,2,-10544.758,-5272.379,65
4,111,Permutate,4,1,-5272.375,-5272.375,87
6,186,keptBest,4,1,-5272.375,-5272.375,87
5,148,keptBest,4,1,-5272.375,-5272.375,87
6,183,Heredity,4,1,-5272.374,-5272.374,87
3,76,LatMutate,4,1,-5272.37,-5272.37,87
1,15,Random,8,2,-10544.736,-5272.368,87
3,75,Permutate,4,1,-5272.367,-5272.367,87
2,64,RandTop,8,2,-10544.724,-5272.362,11
5,173,Random,8,2,-10544.706,-5272.353,11
1,22,Random,8,2,-10544.696,-5272.348,87
1,7,Random,4,1,-5272.342,-5272.342,87
1,32,Random,8,2,-10544.667,-5272.334,12
1,11,Random,4,1,-5272.331,-5272.331,2
5,147,Random,4,1,-5272.315,-5272.315,87
1,21,RandTop,8,2,-10544.613,-5272.306,63
4,122,Random,8,2,-10544.61,-5272.305,12
1,9,RandTop,4,1,-5272.304,-5272.304,12
1,18,Random,8,2,-10544.604,-5272.302,1
6,194,Random,4,1,-5272.298,-5272.298,12
2,40,LatMutate,4,1,-5272.295,-5272.295,12
4,112,Random,4,1,-5272.295,-5272.295,156
1,24,Random,8,2,-10544.587,-5272.294,17
4,113,keptBest,4,1,-5272.27,-5272.27,87
3,74,Random,4,1,-5272.27,-5272.27,87
6,187,Random,4,1,-5272.263,-5272.263,12
4,121,Permutate,8,2,-10544.509,-5272.255,12
2,41,LatMutate,4,1,-5272.244,-5272.244,12
1,4,Random,4,1,-5272.243,-5272.243,156
2,37,keptBest,4,1,-5272.243,-5272.243,156
3,77,Heredity,4,1,-5272.226,-5272.226,12
4,114,Random,4,1,-5272.21,-5272.21,87
3,82,Random,4,1,-5272.196,-5272.196,2
5,161,Permutate,8,2,-10544.37,-5272.185,156
5,172,Permutate,8,2,-10544.368,-5272.184,8
6,196,Permutate,8,2,-10544.364,-5272.182,156
2,38,Random,4,1,-5272.176,-5272.176,87
4,137,Permutate,8,2,-10544.338,-5272.169,8
1,30,RandTop,8,2,-10544.302,-5272.151,11
5,152,LatMutate,4,1,-5272.148,-5272.148,12
5,154,Random,4,1,-5272.126,-5272.126,2
1,10,Random,4,1,-5272.125,-5272.125,12
1,8,Random,4,1,-5272.12,-5272.12,2
6,184,Random,4,1,-5272.118,-5272.118,12
2,67,Random,8,2,-10544.232,-5272.116,2
4,123,Permutate,8,2,-10544.23,-5272.115,12
2,39,RandTop,4,1,-5272.103,-5272.103,12
3,81,LatMutate,4,1,-5272.1,-5272.1,2
1,1,RandTop,4,1,-5272.098,-5272.098,123
2,43,keptBest,4,1,-5272.098,-5272.098,123
3,78,keptBest,4,1,-5272.098,-5272.098,123
6,205,Permutate,8,2,-10544.19,-5272.095,12
5,156,RandTop,4,1,-5272.094,-5272.094,12
1,2,RandTop,4,1,-5272.078,-5272.078,47
6,191,Random,4,1,-5272.076,-5272.076,87
1,5,RandTop,4,1,-5272.076,-5272.076,25
1,6,Random,4,1,-5272.062,-5272.062,2
6,189,RandTop,4,1,-5272.057,-5272.057,47
6,185,Heredity,4,1,-5272.054,-5272.054,8
5,153,LatMutate,4,1,-5272.049,-5272.049,2
5,155,Random,4,1,-5272.039,-5272.039,99
4,116,LatMutate,4,1,-5272.027,-5272.027,2
5,174,Random,8,2,-10544.033,-5272.016,2
5,158,Random,4,1,-5272.002,-5272.002,2
3,98,Random,8,2,-10543.924,-5271.962,2
3,92,Random,8,2,-10543.905,-5271.953,51
3,100,RandTop,8,2,-10543.849,-5271.925,51
1,3,Random,4,1,-5271.906,-5271.906,44
1,28,Random,8,2,-10543.787,-5271.894,2
6,204,RandTop,8,2,-10543.771,-5271.886,25
1,29,Random,8,2,-10543.668,-5271.834,2
6,213,RandTop,8,2,-10543.601,-5271.801,59
4,136,RandTop,8,2,-10543.582,-5271.791,2
6,192,Random,4,1,-5271.765,-5271.765,2
3,102,Random,8,2,-10543.525,-5271.763,12
3,84,Heredity,8,2,-10543.449,-5271.725,12
1,31,RandTop,8,2,-10543.398,-5271.699,63
2,44,Random,4,1,-5271.651,-5271.651,2
1,23,RandTop,8,2,-10543.272,-5271.636,1
5,168,Random,8,2,-10543.239,-5271.619,127
5,169,RandTop,8,2,-10543.237,-5271.618,11
2,58,Heredity,8,2,-10543.226,-5271.613,12
4,117,Random,4,1,-5271.593,-5271.593,2
6,193,Heredity,8,2,-10543.162,-5271.581,11
5,157,RandTop,4,1,-5271.551,-5271.551,2
2,47,RandTop,4,1,-5271.55,-5271.55,2
1,26,Random,8,2,-10543.082,-5271.541,13
4,129,Heredity,8,2,-10543.049,-5271.524,65
5,150,Heredity,8,2,-10542.818,-5271.409,2
3,85,Heredity,8,2,-10542.813,-5271.407,2
1,19,Random,8,2,-10542.688,-5271.344,1
2,36,Random,4,1,-5271.342,-5271.342,10
6,190,Heredity,4,1,-5271.338,-5271.338,2
5,149,Heredity,8,2,-10542.663,-5271.332,11
6,200,Heredity,8,2,-10542.662,-5271.331,2
2,53,Heredity,8,2,-10542.652,-5271.326,2
6,199,LatMutate,4,1,-5271.297,-5271.297,2
4,118,Heredity,8,2,-10542.566,-5271.283,2
6,188,Random,4,1,-5271.275,-5271.275,2
2,61,Heredity,8,2,-10542.536,-5271.268,1
1,12,Random,4,1,-5271.263,-5271.263,12
6,198,Heredity,8,2,-10542.502,-5271.251,87
5,162,Heredity,8,2,-10542.495,-5271.248,2
3,80,Heredity,8,2,-10542.488,-5271.244,2
6,202,softmutate,8,2,-10542.467,-5271.234,2
3,88,Heredity,8,2,-10542.414,-5271.207,2
4,142,softmutate,8,2,-10542.389,-5271.194,2
5,159,Random,4,1,-5271.187,-5271.187,1
