Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,149,keptBest,4,1,-1858.604,-1858.604,8
4,129,Permutate,8,2,-3717.133,-1858.567,8
3,78,LatMutate,4,1,-1858.526,-1858.526,1
8,253,keptBest,8,2,-3716.927,-1858.463,12
8,285,Heredity,8,2,-3716.808,-1858.404,1
6,196,Random,4,1,-1858.34,-1858.34,12
7,249,Heredity,8,2,-3716.672,-1858.336,1
2,69,RandTop,8,2,-3716.665,-1858.332,2
3,86,Heredity,4,1,-1858.332,-1858.332,2
3,71,keptBest,8,2,-3716.665,-1858.332,2
8,274,LatMutate,4,1,-1858.325,-1858.325,5
8,279,Heredity,8,2,-3716.646,-1858.323,12
4,138,Heredity,8,2,-3716.519,-1858.26,1
4,119,Heredity,4,1,-1858.258,-1858.258,1
5,170,Random,8,2,-3716.42,-1858.21,15
3,90,Heredity,8,2,-3716.358,-1858.179,1
3,83,LatMutate,4,1,-1858.156,-1858.156,5
3,84,Permutate,8,2,-3716.258,-1858.129,1
5,177,softmutate,8,2,-3716.254,-1858.127,1
3,72,keptBest,8,2,-3716.222,-1858.111,1
2,62,Heredity,8,2,-3716.222,-1858.111,1
5,144,keptBest,8,2,-3716.186,-1858.093,1
4,139,softmutate,8,2,-3716.186,-1858.093,1
7,217,keptBest,8,2,-3716.186,-1858.093,1
8,254,keptBest,8,2,-3716.186,-1858.093,1
6,182,keptBest,8,2,-3716.186,-1858.093,1
5,181,Random,8,2,-3716.165,-1858.082,1
6,192,Heredity,4,1,-1858.026,-1858.026,10
5,158,Random,4,1,-1858.021,-1858.021,10
7,225,Heredity,4,1,-1858.02,-1858.02,10
5,178,softmutate,8,2,-3716.034,-1858.017,2
7,233,LatMutate,4,1,-1858.017,-1858.017,10
3,76,keptBest,4,1,-1858.005,-1858.005,3
1,12,RandTop,4,1,-1858.005,-1858.005,3
2,37,keptBest,4,1,-1858.005,-1858.005,3
2,49,RandTop,4,1,-1858.0,-1858.0,3
8,278,Permutate,8,2,-3715.988,-1857.994,8
8,281,softmutate,8,2,-3715.986,-1857.993,1
7,231,LatMutate,4,1,-1857.989,-1857.989,3
3,73,keptBest,8,2,-3715.967,-1857.984,2
2,65,softmutate,8,2,-3715.967,-1857.984,2
4,130,softmutate,8,2,-3715.967,-1857.983,1
4,107,keptBest,8,2,-3715.962,-1857.981,2
3,88,Heredity,8,2,-3715.962,-1857.981,2
8,282,softmutate,8,2,-3715.931,-1857.966,1
4,142,Permutate,8,2,-3715.872,-1857.936,1
2,33,keptBest,8,2,-3715.821,-1857.911,1
1,32,Random,8,2,-3715.821,-1857.911,1
1,24,RandTop,8,2,-3715.811,-1857.906,18
4,122,Heredity,4,1,-1857.896,-1857.896,1
6,191,LatMutate,4,1,-1857.88,-1857.88,2
8,258,Heredity,4,1,-1857.879,-1857.879,2
1,10,Random,4,1,-1857.878,-1857.878,2
2,52,Heredity,8,2,-3715.752,-1857.876,1
1,4,Random,4,1,-1857.852,-1857.852,2
2,45,Random,4,1,-1857.851,-1857.851,1
8,283,RandTop,8,2,-3715.697,-1857.848,31
4,137,Permutate,8,2,-3715.683,-1857.841,1
2,67,Random,8,2,-3715.666,-1857.833,1
1,23,RandTop,8,2,-3715.655,-1857.828,2
2,34,keptBest,8,2,-3715.655,-1857.828,2
5,162,LatMutate,4,1,-1857.825,-1857.825,2
5,168,Permutate,8,2,-3715.625,-1857.813,1
2,41,keptBest,4,1,-1857.81,-1857.81,10
1,11,Random,4,1,-1857.81,-1857.81,10
3,103,RandTop,8,2,-3715.616,-1857.808,26
2,39,RandTop,4,1,-1857.806,-1857.806,10
5,161,Permutate,8,2,-3715.612,-1857.806,2
6,198,RandTop,4,1,-1857.804,-1857.804,10
6,186,Random,4,1,-1857.803,-1857.803,10
5,156,Random,4,1,-1857.78,-1857.78,1
2,42,Random,4,1,-1857.765,-1857.765,10
2,35,keptBest,8,2,-3715.517,-1857.758,4
1,31,RandTop,8,2,-3715.517,-1857.758,4
4,136,RandTop,8,2,-3715.51,-1857.755,7
8,271,RandTop,8,2,-3715.494,-1857.747,26
4,126,Random,8,2,-3715.48,-1857.74,5
2,60,softmutate,8,2,-3715.476,-1857.738,2
4,109,Heredity,4,1,-1857.734,-1857.734,2
8,263,LatMutate,4,1,-1857.73,-1857.73,2
1,30,RandTop,8,2,-3715.451,-1857.726,1
4,110,Heredity,4,1,-1857.723,-1857.723,2
1,3,Random,4,1,-1857.721,-1857.721,97
5,152,keptBest,4,1,-1857.72,-1857.72,97
8,262,keptBest,4,1,-1857.72,-1857.72,97
6,185,keptBest,4,1,-1857.72,-1857.72,97
4,115,keptBest,4,1,-1857.72,-1857.72,97
7,221,keptBest,4,1,-1857.72,-1857.72,97
7,222,Heredity,4,1,-1857.72,-1857.72,97
3,74,LatMutate,4,1,-1857.72,-1857.72,97
7,219,Heredity,4,1,-1857.719,-1857.719,2
4,112,LatMutate,4,1,-1857.719,-1857.719,2
4,116,Random,4,1,-1857.715,-1857.715,97
6,189,LatMutate,4,1,-1857.715,-1857.715,2
2,38,Random,4,1,-1857.714,-1857.714,97
1,9,Random,4,1,-1857.712,-1857.712,2
6,200,Random,4,1,-1857.712,-1857.712,2
2,66,Heredity,8,2,-3715.424,-1857.712,12
7,227,Random,4,1,-1857.706,-1857.706,97
5,167,RandTop,8,2,-3715.41,-1857.705,1
3,91,Heredity,8,2,-3715.397,-1857.698,1
8,280,softmutate,8,2,-3715.381,-1857.691,1
6,214,Random,8,2,-3715.373,-1857.686,1
8,269,Random,4,1,-1857.684,-1857.684,2
5,169,Heredity,8,2,-3715.354,-1857.677,2
3,77,Heredity,4,1,-1857.676,-1857.676,2
6,212,Heredity,8,2,-3715.335,-1857.668,1
2,57,softmutate,8,2,-3715.334,-1857.667,2
7,232,Permutate,8,2,-3715.302,-1857.651,1
8,264,Heredity,4,1,-1857.647,-1857.647,97
1,20,RandTop,8,2,-3715.273,-1857.637,1
5,165,RandTop,8,2,-3715.269,-1857.635,1
7,239,Heredity,8,2,-3715.266,-1857.633,2
7,248,RandTop,8,2,-3715.264,-1857.632,1
8,275,Heredity,8,2,-3715.247,-1857.624,2
5,171,Heredity,8,2,-3715.239,-1857.619,12
1,19,Random,8,2,-3715.231,-1857.616,1
1,22,Random,8,2,-3715.231,-1857.616,8
6,194,Random,4,1,-1857.612,-1857.612,6
7,224,keptBest,4,1,-1857.612,-1857.612,6
5,176,softmutate,8,2,-3715.192,-1857.596,1
7,234,Random,4,1,-1857.593,-1857.593,2
8,286,softmutate,8,2,-3715.179,-1857.59,1
5,163,Heredity,8,2,-3715.173,-1857.586,1
2,61,softmutate,8,2,-3715.165,-1857.582,2
5,179,Random,8,2,-3715.162,-1857.581,1
3,99,Random,8,2,-3715.155,-1857.578,1
2,51,softmutate,8,2,-3715.148,-1857.574,1
8,259,RandTop,4,1,-1857.564,-1857.564,6
8,289,Random,8,2,-3715.077,-1857.539,1
8,288,Random,8,2,-3715.071,-1857.535,1
7,247,RandTop,8,2,-3715.067,-1857.533,2
4,121,Random,4,1,-1857.533,-1857.533,2
5,151,LatMutate,4,1,-1857.532,-1857.532,1
3,92,Random,8,2,-3715.044,-1857.522,1
7,229,keptBest,4,1,-1857.518,-1857.518,8
6,201,LatMutate,4,1,-1857.518,-1857.518,8
8,266,keptBest,4,1,-1857.518,-1857.518,8
7,242,RandTop,8,2,-3715.029,-1857.515,1
5,148,Heredity,4,1,-1857.514,-1857.514,3
6,190,keptBest,4,1,-1857.514,-1857.514,3
6,183,keptBest,8,2,-3715.02,-1857.51,2
5,145,keptBest,8,2,-3715.02,-1857.51,2
4,108,keptBest,8,2,-3715.02,-1857.51,2
3,106,Heredity,8,2,-3715.02,-1857.51,2
1,29,Random,8,2,-3715.014,-1857.507,1
1,1,RandTop,4,1,-1857.485,-1857.485,123
5,147,Random,4,1,-1857.485,-1857.485,123
8,265,Heredity,4,1,-1857.484,-1857.484,123
4,118,keptBest,4,1,-1857.48,-1857.48,123
5,174,softmutate,8,2,-3714.96,-1857.48,12
5,155,keptBest,4,1,-1857.48,-1857.48,123
3,75,Heredity,4,1,-1857.48,-1857.48,123
6,211,Permutate,8,2,-3714.951,-1857.475,1
