Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,69,keptBest,8,2,-3611.282,-1805.641,1
5,176,RandTop,8,2,-3611.226,-1805.613,1
4,131,softmutate,8,2,-3610.818,-1805.409,1
5,175,Random,8,2,-3610.768,-1805.384,2
4,137,softmutate,8,2,-3610.764,-1805.382,2
5,146,keptBest,8,2,-3610.764,-1805.382,2
2,48,Heredity,8,2,-3610.71,-1805.355,2
4,115,LatMutate,4,1,-1805.349,-1805.349,5
5,147,keptBest,4,1,-1805.349,-1805.349,5
4,109,keptBest,8,2,-3610.695,-1805.347,1
3,92,Random,8,2,-3610.695,-1805.347,1
1,21,RandTop,8,2,-3610.688,-1805.344,34
2,51,softmutate,8,2,-3610.685,-1805.343,2
5,157,Permutate,8,2,-3610.628,-1805.314,1
4,117,Permutate,8,2,-3610.603,-1805.302,5
4,134,RandTop,8,2,-3610.539,-1805.27,2
3,95,Heredity,8,2,-3610.529,-1805.264,1
4,110,keptBest,8,2,-3610.529,-1805.264,1
4,126,Random,8,2,-3610.465,-1805.233,1
5,155,Heredity,8,2,-3610.465,-1805.232,4
3,86,Heredity,8,2,-3610.462,-1805.231,1
4,114,RandTop,4,1,-1805.226,-1805.226,5
2,67,Random,8,2,-3610.45,-1805.225,1
3,71,keptBest,8,2,-3610.45,-1805.225,1
5,154,Permutate,8,2,-3610.44,-1805.22,13
2,43,LatMutate,4,1,-1805.219,-1805.219,1
3,75,RandTop,4,1,-1805.216,-1805.216,5
2,66,softmutate,8,2,-3610.423,-1805.212,1
1,16,RandTop,4,1,-1805.202,-1805.202,1
3,100,softmutate,8,2,-3610.397,-1805.198,1
1,22,Random,8,2,-3610.393,-1805.197,1
2,52,Heredity,8,2,-3610.392,-1805.196,1
4,135,Permutate,8,2,-3610.366,-1805.183,1
1,8,Random,4,1,-1805.177,-1805.177,1
5,153,Heredity,4,1,-1805.164,-1805.164,1
4,125,Heredity,8,2,-3610.317,-1805.159,2
2,41,Permutate,4,1,-1805.154,-1805.154,1
3,83,Heredity,8,2,-3610.3,-1805.15,1
1,4,Random,4,1,-1805.142,-1805.142,1
3,90,Heredity,8,2,-3610.248,-1805.124,1
1,9,RandTop,4,1,-1805.122,-1805.122,1
3,91,Heredity,8,2,-3610.233,-1805.117,1
4,116,Heredity,8,2,-3610.201,-1805.1,3
3,72,Random,4,1,-1805.091,-1805.091,2
3,101,Random,8,2,-3610.163,-1805.082,2
1,6,Random,4,1,-1805.081,-1805.081,2
2,55,Heredity,8,2,-3610.154,-1805.077,1
1,28,RandTop,8,2,-3610.139,-1805.069,1
5,178,softmutate,8,2,-3610.125,-1805.063,1
4,130,RandTop,8,2,-3610.123,-1805.061,1
3,97,Heredity,8,2,-3610.117,-1805.059,2
4,127,LatMutate,8,2,-3610.101,-1805.05,1
3,78,LatMutate,4,1,-1805.042,-1805.042,1
4,121,Heredity,8,2,-3610.057,-1805.028,1
4,118,Heredity,8,2,-3610.055,-1805.028,1
2,54,softmutate,8,2,-3610.053,-1805.027,4
1,14,Random,4,1,-1805.023,-1805.023,1
5,161,Heredity,8,2,-3610.047,-1805.023,1
5,170,Random,8,2,-3610.044,-1805.022,1
1,30,Random,8,2,-3610.042,-1805.021,1
5,160,Heredity,8,2,-3610.022,-1805.011,1
5,151,Random,4,1,-1805.004,-1805.004,1
5,165,softmutate,8,2,-3609.997,-1804.998,1
1,27,Random,8,2,-3609.994,-1804.997,1
3,87,Permutate,8,2,-3609.983,-1804.991,1
5,171,Random,8,2,-3609.966,-1804.983,1
1,25,Random,8,2,-3609.939,-1804.97,1
2,34,keptBest,8,2,-3609.939,-1804.97,1
3,96,RandTop,8,2,-3609.937,-1804.969,1
2,53,RandTop,8,2,-3609.932,-1804.966,1
4,122,Heredity,8,2,-3609.869,-1804.935,2
4,133,Random,8,2,-3609.862,-1804.931,1
4,129,Heredity,8,2,-3609.856,-1804.928,1
4,124,Heredity,8,2,-3609.846,-1804.923,1
5,156,Heredity,8,2,-3609.837,-1804.919,1
5,166,LatMutate,8,2,-3609.819,-1804.91,1
5,169,LatMutate,8,2,-3609.808,-1804.904,1
1,1,RandTop,4,1,-1804.904,-1804.904,2
2,38,keptBest,4,1,-1804.904,-1804.904,2
3,74,keptBest,4,1,-1804.904,-1804.904,2
3,103,softmutate,8,2,-3609.787,-1804.894,1
2,35,Heredity,4,1,-1804.893,-1804.893,2
3,89,Heredity,8,2,-3609.786,-1804.893,2
4,139,Heredity,8,2,-3609.776,-1804.888,1
2,57,Heredity,8,2,-3609.774,-1804.887,1
4,119,Random,8,2,-3609.773,-1804.886,2
2,39,Heredity,4,1,-1804.884,-1804.884,2
5,158,LatMutate,8,2,-3609.741,-1804.87,2
5,167,Heredity,8,2,-3609.737,-1804.869,1
3,80,RandTop,4,1,-1804.861,-1804.861,2
5,162,Heredity,8,2,-3609.684,-1804.842,1
3,102,Random,8,2,-3609.682,-1804.841,1
2,44,Heredity,4,1,-1804.839,-1804.839,1
1,24,Random,8,2,-3609.663,-1804.832,1
5,163,softmutate,8,2,-3609.658,-1804.829,1
5,152,Permutate,8,2,-3609.658,-1804.829,1
3,79,Heredity,4,1,-1804.826,-1804.826,2
3,94,Heredity,8,2,-3609.645,-1804.823,1
2,64,Random,8,2,-3609.644,-1804.822,1
4,112,LatMutate,4,1,-1804.819,-1804.819,1
3,99,softmutate,8,2,-3609.638,-1804.819,1
5,164,softmutate,8,2,-3609.619,-1804.81,1
5,149,Heredity,4,1,-1804.791,-1804.791,6
5,150,Heredity,4,1,-1804.789,-1804.789,1
2,59,softmutate,8,2,-3609.56,-1804.78,1
1,5,Random,4,1,-1804.767,-1804.767,1
2,46,Permutate,8,2,-3609.531,-1804.766,1
2,40,keptBest,4,1,-1804.749,-1804.749,6
1,13,RandTop,4,1,-1804.749,-1804.749,6
3,76,keptBest,4,1,-1804.749,-1804.749,6
3,73,RandTop,4,1,-1804.745,-1804.745,1
4,113,Random,4,1,-1804.743,-1804.743,2
2,56,Heredity,8,2,-3609.478,-1804.739,1
2,50,Heredity,8,2,-3609.466,-1804.733,1
1,20,Random,4,1,-1804.731,-1804.731,2
4,141,softmutate,8,2,-3609.436,-1804.718,1
1,18,RandTop,4,1,-1804.698,-1804.698,6
2,36,RandTop,4,1,-1804.694,-1804.694,1
3,98,LatMutate,8,2,-3609.386,-1804.693,1
4,142,RandTop,8,2,-3609.374,-1804.687,1
1,7,Random,4,1,-1804.682,-1804.682,2
2,37,LatMutate,4,1,-1804.68,-1804.68,1
1,10,RandTop,4,1,-1804.67,-1804.67,2
2,45,Random,4,1,-1804.642,-1804.642,2
1,15,Random,4,1,-1804.641,-1804.641,2
2,60,softmutate,8,2,-3609.25,-1804.625,1
2,68,Heredity,12,3,-5413.855,-1804.618,1
1,12,RandTop,4,1,-1804.606,-1804.606,1
1,17,RandTop,4,1,-1804.569,-1804.569,1
4,136,Heredity,8,2,-3609.133,-1804.567,1
2,49,Heredity,8,2,-3609.112,-1804.556,1
1,2,RandTop,4,1,-1804.553,-1804.553,1
5,174,Heredity,8,2,-3609.072,-1804.536,1
2,42,Random,4,1,-1804.526,-1804.526,1
3,104,softmutate,8,2,-3609.049,-1804.524,1
4,111,Random,4,1,-1804.498,-1804.498,1
4,123,Heredity,8,2,-3608.996,-1804.498,1
3,84,Heredity,8,2,-3608.985,-1804.493,1
4,128,Heredity,8,2,-3608.951,-1804.476,1
1,3,RandTop,4,1,-1804.466,-1804.466,1
3,77,RandTop,4,1,-1804.46,-1804.46,1
4,120,Heredity,8,2,-3608.876,-1804.438,1
1,11,Random,4,1,-1804.432,-1804.432,1
2,65,softmutate,8,2,-3608.78,-1804.39,1
2,61,RandTop,8,2,-3608.756,-1804.378,1
5,168,Heredity,8,2,-3608.725,-1804.363,1
5,172,RandTop,8,2,-3608.589,-1804.294,1
3,85,Heredity,8,2,-3608.522,-1804.261,1
4,132,Heredity,8,2,-3608.468,-1804.234,1
4,138,softmutate,8,2,-3608.209,-1804.105,1
5,177,RandTop,8,2,-3602.717,-1801.359,6
3,105,softmutate,8,2,-3602.423,-1801.212,1
5,159,softmutate,8,2,-3597.704,-1798.852,1
5,148,softmutate,8,2,-3547.243,-1773.621,1
