Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,83,keptBest,4,1,-2071.004,-2071.004,1
4,128,RandTop,8,2,-4141.982,-2070.991,1
2,44,LatMutate,4,1,-2070.956,-2070.956,1
2,61,Heredity,8,2,-4141.696,-2070.848,2
1,10,RandTop,4,1,-2070.793,-2070.793,1
1,31,Random,8,2,-4141.582,-2070.791,1
1,13,RandTop,4,1,-2070.779,-2070.779,1
5,154,keptBest,4,1,-2070.753,-2070.753,1
2,48,keptBest,4,1,-2070.753,-2070.753,1
4,118,keptBest,4,1,-2070.753,-2070.753,1
1,16,Random,4,1,-2070.753,-2070.753,1
3,86,keptBest,4,1,-2070.753,-2070.753,1
5,167,Heredity,8,2,-4141.499,-2070.75,2
3,78,Heredity,4,1,-2070.749,-2070.749,1
5,174,RandTop,8,2,-4141.488,-2070.744,1
4,132,Heredity,8,2,-4141.453,-2070.726,1
5,145,keptBest,8,2,-4141.446,-2070.723,8
4,133,Random,8,2,-4141.446,-2070.723,8
2,52,Heredity,4,1,-2070.719,-2070.719,1
1,21,RandTop,4,1,-2070.712,-2070.712,1
1,12,RandTop,4,1,-2070.704,-2070.704,1
5,155,RandTop,4,1,-2070.704,-2070.704,1
2,66,RandTop,8,2,-4141.379,-2070.689,1
3,93,Heredity,4,1,-2070.688,-2070.688,1
1,30,RandTop,8,2,-4141.328,-2070.664,1
3,95,Random,8,2,-4141.31,-2070.655,5
4,108,keptBest,8,2,-4141.31,-2070.655,5
5,146,keptBest,8,2,-4141.31,-2070.655,5
2,49,keptBest,4,1,-2070.652,-2070.652,1
1,23,RandTop,4,1,-2070.652,-2070.652,1
4,134,RandTop,8,2,-4141.29,-2070.645,1
3,94,Random,4,1,-2070.645,-2070.645,1
4,120,Random,4,1,-2070.639,-2070.639,1
5,170,Heredity,8,2,-4141.275,-2070.637,1
3,71,keptBest,8,2,-4141.267,-2070.633,1
4,109,keptBest,8,2,-4141.267,-2070.633,1
1,28,Random,8,2,-4141.266,-2070.633,1
2,67,RandTop,8,2,-4141.267,-2070.633,1
2,58,Permutate,8,2,-4141.264,-2070.632,1
3,99,softmutate,8,2,-4141.24,-2070.62,1
3,102,softmutate,8,2,-4141.228,-2070.614,4
2,70,softmutate,8,2,-4141.213,-2070.606,1
5,177,softmutate,8,2,-4141.207,-2070.603,1
3,88,keptBest,4,1,-2070.592,-2070.592,1
2,36,Heredity,4,1,-2070.592,-2070.592,1
2,69,Random,8,2,-4141.181,-2070.591,1
5,169,softmutate,4,1,-2070.586,-2070.586,1
5,164,Permutate,8,2,-4141.125,-2070.562,1
3,100,Heredity,8,2,-4141.103,-2070.552,1
2,51,Heredity,4,1,-2070.531,-2070.531,1
3,77,Heredity,4,1,-2070.525,-2070.525,1
4,136,Heredity,8,2,-4141.048,-2070.524,2
5,180,Heredity,8,2,-4141.049,-2070.524,1
5,173,Random,8,2,-4141.042,-2070.521,1
5,156,RandTop,4,1,-2070.521,-2070.521,1
1,26,Random,8,2,-4141.032,-2070.516,1
2,33,keptBest,8,2,-4141.032,-2070.516,1
2,41,Heredity,4,1,-2070.511,-2070.511,1
1,32,Random,8,2,-4141.014,-2070.507,1
4,110,Heredity,4,1,-2070.506,-2070.506,1
1,15,Random,4,1,-2070.501,-2070.501,1
2,68,softmutate,8,2,-4140.999,-2070.5,2
4,112,RandTop,4,1,-2070.496,-2070.496,1
4,124,LatMutate,4,1,-2070.495,-2070.495,1
1,29,Random,8,2,-4140.967,-2070.483,1
5,147,Heredity,4,1,-2070.482,-2070.482,1
5,166,Heredity,8,2,-4140.947,-2070.474,1
3,107,RandTop,8,2,-4140.919,-2070.46,1
3,90,Heredity,4,1,-2070.453,-2070.453,1
3,79,Heredity,4,1,-2070.451,-2070.451,1
5,178,RandTop,8,2,-4140.902,-2070.451,1
2,59,softmutate,4,1,-2070.442,-2070.442,1
2,43,Random,4,1,-2070.424,-2070.424,1
1,11,RandTop,4,1,-2070.415,-2070.415,1
1,22,RandTop,4,1,-2070.408,-2070.408,1
4,137,softmutate,8,2,-4140.816,-2070.408,1
2,42,Random,4,1,-2070.404,-2070.404,1
5,163,Random,4,1,-2070.399,-2070.399,1
4,114,LatMutate,4,1,-2070.399,-2070.399,1
5,158,LatMutate,4,1,-2070.375,-2070.375,1
4,125,Heredity,4,1,-2070.371,-2070.371,1
1,18,Random,4,1,-2070.365,-2070.365,1
4,127,Heredity,8,2,-4140.667,-2070.334,1
3,101,Random,8,2,-4140.632,-2070.316,1
3,96,Heredity,8,2,-4140.626,-2070.313,1
2,53,Random,4,1,-2070.313,-2070.313,1
2,56,Random,4,1,-2070.31,-2070.31,1
5,175,Random,8,2,-4140.599,-2070.3,1
4,130,Heredity,8,2,-4140.597,-2070.298,1
5,179,Random,8,2,-4140.562,-2070.281,2
5,181,softmutate,8,2,-4140.551,-2070.275,2
2,54,RandTop,4,1,-2070.267,-2070.267,1
3,104,RandTop,8,2,-4140.528,-2070.264,1
1,14,RandTop,4,1,-2070.259,-2070.259,1
5,161,RandTop,4,1,-2070.243,-2070.243,6
1,20,RandTop,4,1,-2070.224,-2070.224,6
5,148,Heredity,4,1,-2070.218,-2070.218,1
3,97,softmutate,8,2,-4140.404,-2070.202,1
4,126,softmutate,4,1,-2070.19,-2070.19,1
5,150,softmutate,4,1,-2070.187,-2070.187,1
3,103,softmutate,8,2,-4140.364,-2070.182,1
2,63,Heredity,8,2,-4140.331,-2070.166,1
5,176,softmutate,8,2,-4140.324,-2070.162,1
5,168,RandTop,8,2,-4140.312,-2070.156,1
1,24,Random,8,2,-4140.288,-2070.144,1
5,172,Heredity,8,2,-4140.276,-2070.138,1
2,65,softmutate,8,2,-4140.261,-2070.131,1
1,5,RandTop,4,1,-2070.08,-2070.08,5
4,121,RandTop,4,1,-2070.027,-2070.027,1
4,143,softmutate,8,2,-4139.972,-2069.986,1
3,98,softmutate,8,2,-4139.971,-2069.985,1
4,138,Heredity,8,2,-4139.941,-2069.97,1
3,105,RandTop,8,2,-4139.867,-2069.934,1
3,91,RandTop,4,1,-2069.905,-2069.905,1
5,165,Permutate,8,2,-4139.529,-2069.765,1
3,106,softmutate,8,2,-4139.434,-2069.717,1
4,141,Heredity,8,2,-4139.167,-2069.583,1
3,75,Heredity,4,1,-2069.564,-2069.564,1
4,139,Heredity,8,2,-4139.01,-2069.505,1
1,2,Random,4,1,-2069.502,-2069.502,38
2,34,Heredity,4,1,-2069.472,-2069.472,1
3,76,Heredity,4,1,-2069.446,-2069.446,6
2,62,softmutate,8,2,-4138.884,-2069.442,1
4,140,softmutate,8,2,-4138.845,-2069.423,1
4,113,RandTop,4,1,-2069.386,-2069.386,38
5,160,LatMutate,4,1,-2069.385,-2069.385,1
5,162,Permutate,4,1,-2069.38,-2069.38,1
4,123,Permutate,4,1,-2069.38,-2069.38,1
5,159,LatMutate,4,1,-2069.374,-2069.374,1
3,80,Random,4,1,-2069.371,-2069.371,6
1,25,Random,8,2,-4138.727,-2069.363,1
2,50,Permutate,4,1,-2069.309,-2069.309,6
4,129,Random,4,1,-2069.295,-2069.295,1
2,60,softmutate,4,1,-2069.291,-2069.291,6
3,72,Permutate,4,1,-2069.29,-2069.29,1
3,92,Permutate,4,1,-2069.276,-2069.276,1
3,82,Permutate,4,1,-2069.25,-2069.25,1
4,122,Permutate,4,1,-2069.229,-2069.229,1
4,142,RandTop,8,2,-4138.375,-2069.188,1
1,27,RandTop,8,2,-4138.195,-2069.098,1
5,171,Heredity,8,2,-4138.118,-2069.059,1
3,89,LatMutate,4,1,-2069.033,-2069.033,1
4,135,Heredity,8,2,-4137.742,-2068.871,1
4,131,Random,8,2,-4137.255,-2068.628,2
1,4,RandTop,4,1,-2067.643,-2067.643,1
5,157,RandTop,4,1,-2067.589,-2067.589,8
2,55,RandTop,4,1,-2067.23,-2067.23,1
1,6,RandTop,4,1,-2066.585,-2066.585,111
5,149,Random,4,1,-2066.582,-2066.582,111
