Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,71,keptBest,8,2,-4184.499,-2092.25,7
5,149,Permutate,4,1,-2092.121,-2092.121,5
2,62,RandTop,8,2,-4184.088,-2092.044,1
4,104,keptBest,8,2,-4184.088,-2092.044,1
3,73,keptBest,8,2,-4184.088,-2092.044,1
3,74,keptBest,8,2,-4184.058,-2092.029,12
5,142,keptBest,8,2,-4184.058,-2092.029,12
4,105,keptBest,8,2,-4184.058,-2092.029,12
2,46,RandTop,8,2,-4184.058,-2092.029,12
1,22,RandTop,8,2,-4183.991,-2091.996,1
2,66,Random,8,2,-4183.971,-2091.985,4
5,170,Heredity,8,2,-4183.954,-2091.977,1
5,163,Permutate,8,2,-4183.877,-2091.938,1
5,143,keptBest,8,2,-4183.875,-2091.938,1
2,42,Permutate,8,2,-4183.875,-2091.938,1
3,75,keptBest,8,2,-4183.875,-2091.938,1
4,106,keptBest,8,2,-4183.875,-2091.938,1
3,87,Permutate,8,2,-4183.872,-2091.936,1
4,126,Heredity,8,2,-4183.807,-2091.904,1
5,147,softmutate,4,1,-2091.865,-2091.865,1
4,131,Heredity,8,2,-4183.674,-2091.837,1
5,144,keptBest,8,2,-4183.674,-2091.837,1
4,134,softmutate,8,2,-4183.649,-2091.825,1
5,166,Permutate,8,2,-4183.536,-2091.768,1
4,132,softmutate,8,2,-4183.42,-2091.71,1
1,26,RandTop,8,2,-4183.404,-2091.702,1
1,23,RandTop,8,2,-4183.355,-2091.678,1
4,135,Heredity,8,2,-4183.324,-2091.662,1
4,123,LatMutate,8,2,-4183.292,-2091.646,1
4,107,keptBest,8,2,-4183.273,-2091.636,1
3,97,Permutate,8,2,-4183.273,-2091.636,1
2,65,Heredity,8,2,-4183.252,-2091.626,1
2,58,Heredity,8,2,-4183.174,-2091.587,2
1,18,RandTop,8,2,-4183.152,-2091.576,3
2,35,keptBest,8,2,-4183.152,-2091.576,3
3,79,Heredity,8,2,-4183.096,-2091.548,2
2,64,Heredity,8,2,-4183.094,-2091.547,1
2,56,Permutate,8,2,-4182.896,-2091.448,1
5,160,Heredity,8,2,-4182.871,-2091.436,1
2,36,keptBest,8,2,-4182.858,-2091.429,15
1,32,Random,8,2,-4182.858,-2091.429,15
3,101,softmutate,8,2,-4182.846,-2091.423,2
3,99,RandTop,8,2,-4182.807,-2091.404,1
2,61,Random,8,2,-4182.719,-2091.36,1
3,89,softmutate,8,2,-4182.694,-2091.347,1
4,130,Heredity,8,2,-4182.625,-2091.312,1
5,162,Random,8,2,-4182.623,-2091.312,20
2,37,keptBest,8,2,-4182.596,-2091.298,161
1,15,Random,8,2,-4182.596,-2091.298,161
1,12,Random,8,2,-4182.594,-2091.297,121
1,31,Random,8,2,-4182.556,-2091.278,1
2,59,Heredity,8,2,-4182.486,-2091.243,1
1,13,RandTop,8,2,-4182.481,-2091.241,215
3,77,Random,4,1,-2091.235,-2091.235,215
5,146,LatMutate,4,1,-2091.231,-2091.231,215
1,4,Random,4,1,-2091.229,-2091.229,121
4,113,Random,4,1,-2091.224,-2091.224,121
5,174,softmutate,8,2,-4182.355,-2091.178,1
4,129,softmutate,8,2,-4182.308,-2091.154,1
4,120,Heredity,8,2,-4182.265,-2091.133,1
2,50,Random,8,2,-4182.26,-2091.13,42
2,51,softmutate,8,2,-4182.225,-2091.112,2
1,3,Random,4,1,-2091.108,-2091.108,121
1,11,Random,8,2,-4182.181,-2091.09,2
3,86,Heredity,8,2,-4182.142,-2091.071,1
5,168,Random,8,2,-4182.124,-2091.062,9
3,80,Heredity,8,2,-4181.938,-2090.969,1
2,69,RandTop,8,2,-4181.82,-2090.91,1
3,83,Heredity,8,2,-4181.808,-2090.904,1
4,136,Random,8,2,-4181.799,-2090.9,1
2,45,Heredity,8,2,-4181.743,-2090.872,4
4,116,softmutate,8,2,-4181.705,-2090.853,2
3,91,Heredity,8,2,-4181.664,-2090.832,2
2,63,softmutate,8,2,-4181.55,-2090.775,1
4,122,Heredity,8,2,-4181.518,-2090.759,2
4,127,Heredity,8,2,-4181.445,-2090.722,1
5,167,Heredity,8,2,-4181.405,-2090.703,1
3,96,RandTop,8,2,-4181.403,-2090.701,1
5,161,Heredity,8,2,-4181.293,-2090.646,1
3,82,softmutate,8,2,-4181.205,-2090.602,2
4,140,softmutate,8,2,-4181.174,-2090.587,1
5,159,Heredity,8,2,-4181.108,-2090.554,1
3,84,Heredity,8,2,-4181.079,-2090.54,2
4,138,RandTop,8,2,-4181.064,-2090.532,1
3,93,Heredity,8,2,-4181.039,-2090.519,2
2,57,softmutate,8,2,-4181.02,-2090.51,1
2,49,Heredity,8,2,-4180.993,-2090.497,1
3,88,Heredity,8,2,-4180.986,-2090.493,1
1,17,Random,8,2,-4180.904,-2090.452,13
5,151,LatMutate,4,1,-2090.44,-2090.44,2
1,2,Random,4,1,-2090.435,-2090.435,2
1,10,RandTop,4,1,-2090.427,-2090.427,1
1,1,Random,4,1,-2090.41,-2090.41,10
3,81,Heredity,8,2,-4180.801,-2090.401,2
1,30,RandTop,8,2,-4180.781,-2090.391,1
1,6,Random,4,1,-2090.39,-2090.39,2
1,28,RandTop,8,2,-4180.779,-2090.389,1
3,78,RandTop,4,1,-2090.389,-2090.389,2
2,43,LatMutate,4,1,-2090.385,-2090.385,2
4,115,Permutate,8,2,-4180.763,-2090.382,1
4,128,Permutate,8,2,-4180.754,-2090.377,1
3,95,Heredity,8,2,-4180.722,-2090.361,1
5,153,RandTop,4,1,-2090.321,-2090.321,1
4,133,Heredity,8,2,-4180.63,-2090.315,1
4,124,Heredity,8,2,-4180.623,-2090.311,2
5,158,Heredity,8,2,-4180.618,-2090.309,2
4,108,Heredity,4,1,-2090.304,-2090.304,1
1,20,Random,8,2,-4180.559,-2090.28,4
4,125,Heredity,8,2,-4180.537,-2090.269,1
2,53,Heredity,8,2,-4180.521,-2090.261,1
5,169,Heredity,8,2,-4180.513,-2090.257,1
3,92,LatMutate,8,2,-4180.484,-2090.242,1
2,68,softmutate,8,2,-4180.451,-2090.225,1
5,164,softmutate,8,2,-4180.379,-2090.19,1
4,121,Random,8,2,-4180.316,-2090.158,1
4,114,Heredity,8,2,-4180.301,-2090.151,1
2,70,softmutate,8,2,-4180.253,-2090.127,1
3,98,Random,8,2,-4180.249,-2090.124,1
5,148,LatMutate,4,1,-2090.084,-2090.084,1
4,118,Heredity,8,2,-4180.16,-2090.08,1
5,155,Heredity,8,2,-4180.088,-2090.044,1
1,14,Random,8,2,-4180.024,-2090.012,2
1,7,Random,4,1,-2089.984,-2089.984,1
2,48,LatMutate,4,1,-2089.98,-2089.98,1
3,90,Heredity,8,2,-4179.949,-2089.974,1
4,119,Heredity,8,2,-4179.879,-2089.94,2
5,157,LatMutate,4,1,-2089.917,-2089.917,1
2,39,Heredity,8,2,-4179.748,-2089.874,1
5,171,Heredity,8,2,-4179.724,-2089.862,1
3,94,Heredity,8,2,-4179.724,-2089.862,1
2,54,Heredity,8,2,-4179.583,-2089.791,1
2,60,Random,8,2,-4179.483,-2089.742,1
2,41,Heredity,8,2,-4179.474,-2089.737,1
5,165,Heredity,8,2,-4179.398,-2089.699,1
3,85,Random,4,1,-2089.692,-2089.692,1
5,172,softmutate,8,2,-4179.364,-2089.682,1
5,173,softmutate,8,2,-4179.307,-2089.654,1
4,110,Heredity,4,1,-2089.568,-2089.568,1
4,139,softmutate,8,2,-4178.956,-2089.478,1
2,55,softmutate,8,2,-4178.914,-2089.457,5
3,100,LatMutate,8,2,-4178.744,-2089.372,1
2,47,softmutate,8,2,-4178.728,-2089.364,1
1,9,RandTop,4,1,-2089.316,-2089.316,10
2,52,Heredity,8,2,-4178.626,-2089.313,1
