Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,145,keptBest,8,2,-1828.968,-914.484,2
4,108,keptBest,8,2,-1828.388,-914.194,2
3,80,Heredity,8,2,-1828.388,-914.194,2
2,51,Heredity,8,2,-1828.357,-914.178,2
6,216,softmutate,8,2,-1828.338,-914.169,2
4,129,Heredity,8,2,-1828.288,-914.144,2
5,174,Heredity,8,2,-1828.253,-914.127,2
6,218,RandTop,8,2,-1827.774,-913.887,12
6,195,Heredity,8,2,-1827.625,-913.813,2
3,81,Random,8,2,-1827.541,-913.771,5
4,109,keptBest,8,2,-1827.541,-913.771,5
4,143,softmutate,8,2,-1827.508,-913.754,12
6,189,Permutate,8,2,-1827.359,-913.679,1
2,52,RandTop,8,2,-1827.353,-913.677,1
5,166,Heredity,8,2,-1827.338,-913.669,1
2,64,Heredity,8,2,-1827.335,-913.667,1
2,63,Heredity,8,2,-1827.247,-913.623,2
2,56,softmutate,8,2,-1827.211,-913.605,2
6,209,Heredity,8,2,-1827.211,-913.605,2
1,27,Random,8,2,-1827.189,-913.594,2
2,45,Heredity,8,2,-1827.169,-913.584,11
4,110,keptBest,8,2,-1827.169,-913.584,11
3,71,keptBest,8,2,-1827.169,-913.584,11
6,183,keptBest,8,2,-1827.169,-913.584,11
5,146,keptBest,8,2,-1827.169,-913.584,11
6,184,keptBest,8,2,-1827.104,-913.552,6
4,137,Heredity,8,2,-1827.104,-913.552,6
5,147,keptBest,8,2,-1827.104,-913.552,6
2,54,Heredity,8,2,-1827.084,-913.542,2
5,159,LatMutate,8,2,-1827.079,-913.54,2
4,141,softmutate,8,2,-1827.081,-913.54,2
3,92,softmutate,8,2,-1827.078,-913.539,4
4,111,keptBest,8,2,-1827.078,-913.539,4
5,158,RandTop,8,2,-1827.075,-913.537,9
4,144,softmutate,8,2,-1827.031,-913.516,11
4,119,Random,4,1,-913.48,-913.48,5
4,112,Random,4,1,-913.451,-913.451,5
3,83,Heredity,8,2,-1826.872,-913.436,15
4,130,Heredity,8,2,-1826.865,-913.433,1
6,201,Heredity,8,2,-1826.859,-913.43,1
2,68,softmutate,8,2,-1826.82,-913.41,2
1,19,RandTop,8,2,-1826.754,-913.377,2
5,153,Permutate,8,2,-1826.754,-913.377,1
2,34,keptBest,8,2,-1826.754,-913.377,2
6,190,softmutate,8,2,-1826.749,-913.375,2
6,205,LatMutate,8,2,-1826.727,-913.363,1
2,66,RandTop,8,2,-1826.706,-913.353,1
2,48,Heredity,8,2,-1826.695,-913.347,2
6,196,softmutate,8,2,-1826.685,-913.342,2
4,134,RandTop,8,2,-1826.68,-913.34,7
4,140,Permutate,8,2,-1826.654,-913.327,5
4,139,Random,8,2,-1826.646,-913.323,9
2,57,Heredity,8,2,-1826.647,-913.323,28
3,106,RandTop,8,2,-1826.644,-913.322,6
3,89,Heredity,8,2,-1826.601,-913.3,5
3,103,LatMutate,8,2,-1826.579,-913.29,1
1,28,Random,8,2,-1826.545,-913.273,2
3,90,Heredity,8,2,-1826.523,-913.261,1
3,102,Heredity,8,2,-1826.512,-913.256,1
2,61,Heredity,8,2,-1826.498,-913.249,1
6,186,LatMutate,4,1,-913.231,-913.231,25
1,17,Random,8,2,-1826.433,-913.217,1
6,206,LatMutate,8,2,-1826.425,-913.213,2
4,132,Permutate,8,2,-1826.35,-913.175,6
3,88,Permutate,8,2,-1826.33,-913.165,1
2,59,RandTop,8,2,-1826.329,-913.164,9
5,169,softmutate,8,2,-1826.315,-913.157,1
2,38,keptBest,4,1,-913.154,-913.154,156
3,75,keptBest,4,1,-913.154,-913.154,156
1,9,RandTop,4,1,-913.154,-913.154,156
6,197,Permutate,8,2,-1826.305,-913.152,1
3,98,Heredity,8,2,-1826.302,-913.151,2
5,156,Heredity,8,2,-1826.29,-913.145,1
3,96,Permutate,8,2,-1826.274,-913.137,1
6,204,Heredity,8,2,-1826.27,-913.135,2
4,136,softmutate,8,2,-1826.262,-913.131,1
5,168,softmutate,8,2,-1826.257,-913.129,2
6,200,Heredity,8,2,-1826.258,-913.129,2
5,165,Heredity,8,2,-1826.241,-913.121,1
5,177,Heredity,8,2,-1826.239,-913.12,2
5,160,Random,8,2,-1826.228,-913.114,5
5,161,Permutate,8,2,-1826.219,-913.11,6
4,128,softmutate,8,2,-1826.207,-913.103,2
3,73,RandTop,4,1,-913.103,-913.103,1
1,4,RandTop,4,1,-913.1,-913.1,1
3,79,Random,4,1,-913.1,-913.1,8
1,5,RandTop,4,1,-913.098,-913.098,1
3,77,keptBest,4,1,-913.098,-913.098,1
2,37,Permutate,4,1,-913.098,-913.098,1
5,148,Random,4,1,-913.097,-913.097,1
1,3,RandTop,4,1,-913.097,-913.097,1
3,104,softmutate,8,2,-1826.195,-913.097,10
5,180,RandTop,8,2,-1826.185,-913.093,1
5,173,Permutate,8,2,-1826.168,-913.084,1
6,192,Heredity,8,2,-1826.163,-913.081,2
5,181,softmutate,8,2,-1826.155,-913.078,2
2,65,RandTop,8,2,-1826.151,-913.076,4
3,72,keptBest,8,2,-1826.119,-913.059,38
2,35,keptBest,8,2,-1826.119,-913.059,38
1,32,RandTop,8,2,-1826.119,-913.059,38
2,36,Heredity,4,1,-913.058,-913.058,160
6,212,Permutate,8,2,-1826.11,-913.055,1
1,1,Random,4,1,-913.055,-913.055,160
2,39,keptBest,4,1,-913.055,-913.055,160
5,152,keptBest,4,1,-913.053,-913.053,38
4,117,RandTop,4,1,-913.053,-913.053,38
6,188,keptBest,4,1,-913.053,-913.053,38
1,11,RandTop,4,1,-913.052,-913.052,38
2,62,Random,8,2,-1826.091,-913.046,2
6,208,Random,8,2,-1826.09,-913.045,1
3,84,Heredity,8,2,-1826.088,-913.044,7
2,41,LatMutate,4,1,-913.033,-913.033,1
1,29,Random,8,2,-1826.065,-913.032,1
4,113,Random,4,1,-913.031,-913.031,5
5,154,keptBest,4,1,-913.031,-913.031,5
6,191,keptBest,4,1,-913.031,-913.031,5
4,114,Random,4,1,-913.028,-913.028,5
3,91,Random,8,2,-1826.029,-913.015,4
6,207,softmutate,8,2,-1826.011,-913.005,2
6,213,Random,8,2,-1825.999,-913.0,1
2,50,Permutate,8,2,-1825.999,-912.999,1
1,6,Random,4,1,-912.993,-912.993,1
1,21,Random,8,2,-1825.978,-912.989,5
4,115,Random,4,1,-912.985,-912.985,8
3,82,Heredity,8,2,-1825.957,-912.978,1
3,100,softmutate,8,2,-1825.947,-912.974,2
4,125,Permutate,8,2,-1825.939,-912.969,1
4,120,Heredity,8,2,-1825.911,-912.956,2
2,58,Random,8,2,-1825.905,-912.953,1
1,13,RandTop,4,1,-912.952,-912.952,1
6,217,Random,8,2,-1825.903,-912.951,1
4,121,Heredity,8,2,-1825.866,-912.933,2
3,93,softmutate,8,2,-1825.818,-912.909,1
4,116,Random,4,1,-912.907,-912.907,1
5,175,Heredity,8,2,-1825.808,-912.904,1
5,167,Heredity,8,2,-1825.806,-912.903,1
6,202,RandTop,8,2,-1825.804,-912.902,1
6,185,Heredity,4,1,-912.898,-912.898,5
4,138,Heredity,8,2,-1825.781,-912.891,2
4,123,RandTop,4,1,-912.886,-912.886,1
4,131,Heredity,8,2,-1825.773,-912.886,1
5,179,Heredity,8,2,-1825.767,-912.883,1
2,60,RandTop,8,2,-1825.765,-912.882,6
1,31,Random,8,2,-1825.733,-912.867,11
2,44,Random,4,1,-912.861,-912.861,6
5,178,Heredity,8,2,-1825.712,-912.856,1
5,172,RandTop,8,2,-1825.708,-912.854,11
3,78,RandTop,4,1,-912.853,-912.853,6
2,40,Random,4,1,-912.849,-912.849,1
5,163,Random,4,1,-912.847,-912.847,1
5,171,Heredity,8,2,-1825.69,-912.845,1
4,133,softmutate,8,2,-1825.683,-912.842,2
3,105,softmutate,8,2,-1825.665,-912.833,1
3,86,Heredity,8,2,-1825.629,-912.814,5
1,20,Random,8,2,-1825.625,-912.812,2
3,95,Heredity,8,2,-1825.601,-912.801,1
3,97,Heredity,8,2,-1825.577,-912.789,1
6,203,Heredity,8,2,-1825.575,-912.788,12
2,53,LatMutate,4,1,-912.787,-912.787,1
1,25,Random,8,2,-1825.574,-912.787,1
2,67,Random,8,2,-1825.566,-912.783,1
6,199,Heredity,8,2,-1825.559,-912.779,1
5,149,Random,4,1,-912.741,-912.741,1
1,10,RandTop,4,1,-912.737,-912.737,1
4,126,LatMutate,4,1,-912.726,-912.726,1
4,142,Heredity,8,2,-1825.437,-912.719,1
4,127,Heredity,8,2,-1825.434,-912.717,5
4,124,RandTop,4,1,-912.717,-912.717,1
5,151,Random,4,1,-912.715,-912.715,5
1,26,Random,8,2,-1825.417,-912.709,4
2,55,softmutate,8,2,-1825.408,-912.704,2
1,16,RandTop,4,1,-912.693,-912.693,6
1,15,Random,4,1,-912.69,-912.69,1
6,211,RandTop,8,2,-1825.344,-912.672,1
1,23,RandTop,8,2,-1825.252,-912.626,8
3,76,Random,4,1,-912.624,-912.624,25
3,101,Heredity,8,2,-1825.228,-912.614,1
4,135,LatMutate,8,2,-1825.175,-912.588,113
5,170,Heredity,8,2,-1825.144,-912.572,1
5,162,LatMutate,8,2,-1825.109,-912.555,13
3,85,Heredity,8,2,-1825.107,-912.554,1
6,219,softmutate,8,2,-1825.098,-912.549,2
3,74,RandTop,4,1,-912.545,-912.545,1
5,150,LatMutate,4,1,-912.519,-912.519,25
5,176,softmutate,8,2,-1825.012,-912.506,1
5,157,Heredity,8,2,-1824.986,-912.493,1
6,187,RandTop,4,1,-912.43,-912.43,2
1,7,RandTop,4,1,-912.426,-912.426,83
3,87,Heredity,8,2,-1824.84,-912.42,1
5,164,Random,8,2,-1824.832,-912.416,37
2,69,softmutate,8,2,-1824.828,-912.414,10
6,215,LatMutate,8,2,-1824.79,-912.395,1
1,24,Random,8,2,-1824.726,-912.363,4
1,22,Random,8,2,-1824.723,-912.362,4
