Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,182,keptBest,4,1,-1197.278,-1197.278,2
4,111,Heredity,4,1,-1197.023,-1197.023,12
6,184,Permutate,4,1,-1197.023,-1197.023,12
7,219,Heredity,4,1,-1197.021,-1197.021,12
5,145,Heredity,4,1,-1197.021,-1197.021,12
5,148,Heredity,4,1,-1197.021,-1197.021,12
5,146,Heredity,4,1,-1197.02,-1197.02,12
3,74,Permutate,4,1,-1197.019,-1197.019,12
3,89,LatMutate,4,1,-1197.019,-1197.019,1
1,10,Random,4,1,-1197.018,-1197.018,12
6,189,Permutate,4,1,-1197.018,-1197.018,12
2,38,keptBest,4,1,-1197.018,-1197.018,12
2,36,Permutate,4,1,-1197.018,-1197.018,12
5,147,Heredity,4,1,-1197.018,-1197.018,12
3,79,keptBest,4,1,-1197.018,-1197.018,12
4,112,Heredity,4,1,-1197.017,-1197.017,12
5,154,LatMutate,4,1,-1197.016,-1197.016,12
7,234,LatMutate,4,1,-1197.016,-1197.016,12
1,18,RandTop,4,1,-1196.942,-1196.942,12
7,252,Heredity,8,2,-2393.861,-1196.93,12
6,205,Heredity,8,2,-2393.74,-1196.87,1
6,215,softmutate,8,2,-2393.739,-1196.869,1
7,254,softmutate,8,2,-2393.707,-1196.854,12
3,75,Heredity,4,1,-1196.817,-1196.817,156
2,35,Random,4,1,-1196.816,-1196.816,156
4,130,softmutate,8,2,-2393.487,-1196.744,1
5,172,softmutate,8,2,-2393.468,-1196.734,12
5,158,LatMutate,4,1,-1196.609,-1196.609,1
5,164,softmutate,4,1,-1196.608,-1196.608,5
4,128,Permutate,8,2,-2393.206,-1196.603,8
7,236,Permutate,8,2,-2393.205,-1196.603,1
7,240,Heredity,8,2,-2393.147,-1196.574,1
2,69,softmutate,8,2,-2393.129,-1196.565,156
7,250,Heredity,8,2,-2393.119,-1196.56,8
6,209,Heredity,8,2,-2393.028,-1196.514,1
7,218,keptBest,8,2,-2393.028,-1196.514,1
3,70,keptBest,8,2,-2393.009,-1196.505,10
2,59,RandTop,8,2,-2393.009,-1196.505,10
1,26,RandTop,8,2,-2392.924,-1196.462,59
5,151,keptBest,4,1,-1196.447,-1196.447,2
6,183,keptBest,4,1,-1196.447,-1196.447,2
4,120,LatMutate,4,1,-1196.447,-1196.447,2
6,216,softmutate,8,2,-2392.863,-1196.431,12
3,102,Heredity,8,2,-2392.861,-1196.43,12
4,141,Permutate,8,2,-2392.847,-1196.424,2
5,167,Heredity,8,2,-2392.774,-1196.387,11
7,225,LatMutate,4,1,-1196.383,-1196.383,12
2,40,LatMutate,4,1,-1196.38,-1196.38,12
3,83,keptBest,4,1,-1196.38,-1196.38,12
3,81,keptBest,4,1,-1196.38,-1196.38,2
2,49,RandTop,4,1,-1196.38,-1196.38,2
4,117,keptBest,4,1,-1196.38,-1196.38,2
4,118,keptBest,4,1,-1196.38,-1196.38,12
5,152,keptBest,4,1,-1196.38,-1196.38,12
7,224,keptBest,4,1,-1196.378,-1196.378,2
6,196,Random,4,1,-1196.378,-1196.378,2
1,14,Random,4,1,-1196.377,-1196.377,2
2,46,LatMutate,4,1,-1196.377,-1196.377,2
2,39,keptBest,4,1,-1196.377,-1196.377,2
7,245,RandTop,8,2,-2392.754,-1196.377,11
6,201,RandTop,4,1,-1196.376,-1196.376,2
3,87,RandTop,4,1,-1196.375,-1196.375,2
3,106,softmutate,8,2,-2392.748,-1196.374,2
3,86,Random,4,1,-1196.374,-1196.374,2
7,222,Heredity,4,1,-1196.374,-1196.374,2
6,198,LatMutate,4,1,-1196.373,-1196.373,2
4,109,Heredity,4,1,-1196.373,-1196.373,2
5,161,Permutate,8,2,-2392.746,-1196.373,166
6,195,Random,4,1,-1196.373,-1196.373,2
4,125,Heredity,8,2,-2392.747,-1196.373,2
4,126,Heredity,8,2,-2392.746,-1196.373,2
1,13,Random,4,1,-1196.372,-1196.372,2
6,193,LatMutate,4,1,-1196.372,-1196.372,2
5,149,softmutate,4,1,-1196.371,-1196.371,2
2,45,Heredity,4,1,-1196.371,-1196.371,2
6,186,keptBest,4,1,-1196.371,-1196.371,2
6,200,Random,4,1,-1196.37,-1196.37,2
5,160,RandTop,4,1,-1196.369,-1196.369,2
2,53,softmutate,8,2,-2392.679,-1196.34,2
1,23,Random,8,2,-2392.677,-1196.339,2
4,107,keptBest,8,2,-2392.673,-1196.336,7
3,101,RandTop,8,2,-2392.673,-1196.336,7
4,133,Random,8,2,-2392.673,-1196.336,7
6,210,RandTop,8,2,-2392.666,-1196.333,1
7,229,Random,4,1,-1196.327,-1196.327,10
1,6,Random,4,1,-1196.326,-1196.326,2
3,96,Heredity,8,2,-2392.648,-1196.324,2
6,190,Heredity,4,1,-1196.321,-1196.321,2
1,17,Random,8,2,-2392.63,-1196.315,12
2,33,keptBest,8,2,-2392.63,-1196.315,12
5,166,Heredity,8,2,-2392.608,-1196.304,12
7,241,softmutate,8,2,-2392.583,-1196.292,1
4,114,LatMutate,4,1,-1196.255,-1196.255,12
6,187,keptBest,4,1,-1196.239,-1196.239,10
7,226,keptBest,4,1,-1196.239,-1196.239,10
4,119,keptBest,4,1,-1196.239,-1196.239,10
5,153,keptBest,4,1,-1196.239,-1196.239,10
3,93,LatMutate,4,1,-1196.239,-1196.239,10
6,217,softmutate,8,2,-2392.475,-1196.237,11
7,228,keptBest,4,1,-1196.22,-1196.22,83
6,185,Permutate,4,1,-1196.22,-1196.22,83
5,159,RandTop,4,1,-1196.217,-1196.217,83
3,71,keptBest,8,2,-2392.433,-1196.217,11
6,188,keptBest,4,1,-1196.217,-1196.217,83
2,65,RandTop,8,2,-2392.433,-1196.217,11
4,110,Heredity,4,1,-1196.215,-1196.215,83
3,72,Heredity,4,1,-1196.213,-1196.213,83
4,108,Heredity,4,1,-1196.211,-1196.211,10
5,155,keptBest,4,1,-1196.211,-1196.211,10
1,7,RandTop,4,1,-1196.211,-1196.211,10
2,42,keptBest,4,1,-1196.211,-1196.211,10
2,37,Heredity,4,1,-1196.21,-1196.21,10
5,144,Heredity,4,1,-1196.207,-1196.207,10
2,67,Heredity,8,2,-2392.397,-1196.199,7
6,211,Random,8,2,-2392.393,-1196.196,7
5,179,softmutate,8,2,-2392.388,-1196.194,2
3,105,softmutate,8,2,-2392.371,-1196.185,2
2,50,Heredity,4,1,-1196.182,-1196.182,2
4,123,LatMutate,4,1,-1196.178,-1196.178,12
7,255,softmutate,8,2,-2392.343,-1196.171,2
2,41,Heredity,4,1,-1196.166,-1196.166,160
4,121,Heredity,4,1,-1196.161,-1196.161,160
2,62,softmutate,8,2,-2392.321,-1196.161,11
4,113,Permutate,4,1,-1196.157,-1196.157,12
4,122,Random,4,1,-1196.156,-1196.156,12
4,115,LatMutate,4,1,-1196.155,-1196.155,12
7,227,Random,4,1,-1196.155,-1196.155,12
3,85,Random,4,1,-1196.153,-1196.153,12
7,249,RandTop,8,2,-2392.305,-1196.152,2
5,169,softmutate,8,2,-2392.3,-1196.15,2
3,77,Random,4,1,-1196.147,-1196.147,12
1,9,Random,4,1,-1196.147,-1196.147,12
2,47,Random,4,1,-1196.145,-1196.145,12
2,55,Random,8,2,-2392.271,-1196.136,7
1,4,RandTop,4,1,-1196.135,-1196.135,83
1,19,Random,8,2,-2392.267,-1196.134,7
7,237,Heredity,8,2,-2392.257,-1196.129,11
2,57,RandTop,8,2,-2392.256,-1196.128,26
5,178,softmutate,8,2,-2392.249,-1196.124,2
5,168,Permutate,8,2,-2392.245,-1196.122,12
6,214,softmutate,8,2,-2392.235,-1196.118,12
1,20,Random,8,2,-2392.203,-1196.102,7
2,58,softmutate,8,2,-2392.202,-1196.101,15
1,8,Random,8,2,-2392.186,-1196.093,14
3,103,softmutate,8,2,-2392.163,-1196.081,1
5,171,Random,8,2,-2392.151,-1196.075,5
2,54,Heredity,8,2,-2392.126,-1196.063,8
7,231,Heredity,8,2,-2392.12,-1196.06,8
1,24,Random,8,2,-2392.1,-1196.05,1
4,137,softmutate,8,2,-2392.095,-1196.048,6
3,100,softmutate,8,2,-2392.069,-1196.035,2
7,253,softmutate,8,2,-2392.06,-1196.03,2
5,157,LatMutate,4,1,-1196.021,-1196.021,123
1,5,RandTop,4,1,-1196.019,-1196.019,1
1,22,RandTop,8,2,-2392.038,-1196.019,2
3,99,Random,8,2,-2392.038,-1196.019,11
2,51,Heredity,4,1,-1196.014,-1196.014,10
2,52,Permutate,8,2,-2392.013,-1196.007,1
7,246,Heredity,8,2,-2392.011,-1196.006,2
4,132,Heredity,8,2,-2391.92,-1195.96,1
2,56,softmutate,8,2,-2391.907,-1195.953,2
6,212,Heredity,8,2,-2391.892,-1195.946,1
6,197,LatMutate,4,1,-1195.937,-1195.937,65
6,203,softmutate,4,1,-1195.936,-1195.936,65
4,131,Heredity,8,2,-2391.864,-1195.932,10
4,124,LatMutate,4,1,-1195.922,-1195.922,2
6,207,Heredity,8,2,-2391.844,-1195.922,2
4,138,RandTop,8,2,-2391.831,-1195.916,4
4,142,softmutate,8,2,-2391.827,-1195.913,1
5,176,Permutate,8,2,-2391.817,-1195.909,1
3,76,Heredity,4,1,-1195.906,-1195.906,5
3,94,Heredity,8,2,-2391.8,-1195.9,2
6,204,Heredity,8,2,-2391.772,-1195.886,2
3,98,softmutate,8,2,-2391.758,-1195.879,2
6,208,Heredity,8,2,-2391.757,-1195.878,2
7,243,softmutate,8,2,-2391.738,-1195.869,2
3,104,Heredity,8,2,-2391.736,-1195.868,1
7,247,RandTop,8,2,-2391.731,-1195.866,2
3,97,Heredity,8,2,-2391.695,-1195.847,2
7,242,Heredity,8,2,-2391.689,-1195.845,1
4,135,RandTop,8,2,-2391.678,-1195.839,2
2,34,keptBest,8,2,-2391.618,-1195.809,1
1,28,Random,8,2,-2391.618,-1195.809,1
1,31,Random,8,2,-2391.618,-1195.809,65
4,136,RandTop,8,2,-2391.59,-1195.795,2
2,66,Random,8,2,-2391.576,-1195.788,8
5,163,softmutate,8,2,-2391.543,-1195.771,2
7,244,Heredity,8,2,-2391.538,-1195.769,12
2,61,Heredity,8,2,-2391.526,-1195.763,2
5,156,Heredity,4,1,-1195.753,-1195.753,1
7,232,Heredity,8,2,-2391.467,-1195.733,2
7,233,Permutate,8,2,-2391.445,-1195.722,2
2,63,Heredity,8,2,-2391.394,-1195.697,1
6,206,Heredity,8,2,-2391.368,-1195.684,1
3,80,Permutate,4,1,-1195.671,-1195.671,1
3,90,Random,4,1,-1195.667,-1195.667,1
6,199,softmutate,4,1,-1195.638,-1195.638,1
4,143,Random,8,2,-2391.262,-1195.631,1
7,235,Heredity,8,2,-2391.239,-1195.619,1
5,162,softmutate,8,2,-2391.231,-1195.616,2
3,84,Heredity,4,1,-1195.609,-1195.609,2
2,48,RandTop,4,1,-1195.604,-1195.604,1
6,192,Permutate,4,1,-1195.586,-1195.586,1
5,175,Random,8,2,-2391.156,-1195.578,1
1,12,Random,4,1,-1195.561,-1195.561,1
1,29,Random,8,2,-2391.068,-1195.534,2
5,181,softmutate,8,2,-2391.055,-1195.528,1
4,140,RandTop,8,2,-2391.054,-1195.527,6
1,32,RandTop,8,2,-2391.043,-1195.521,2
5,180,softmutate,8,2,-2391.027,-1195.514,2
1,27,Random,8,2,-2391.001,-1195.5,1
1,2,RandTop,4,1,-1195.498,-1195.498,25
7,221,RandTop,4,1,-1195.498,-1195.498,25
7,220,Random,4,1,-1195.497,-1195.497,25
5,173,Heredity,8,2,-2390.991,-1195.496,1
1,1,Random,4,1,-1195.494,-1195.494,25
1,3,RandTop,4,1,-1195.494,-1195.494,25
3,73,RandTop,4,1,-1195.493,-1195.493,25
3,82,LatMutate,4,1,-1195.493,-1195.493,25
6,202,LatMutate,4,1,-1195.489,-1195.489,1
4,134,Random,8,2,-2390.969,-1195.484,5
2,43,Random,4,1,-1195.478,-1195.478,8
7,251,Random,8,2,-2390.875,-1195.438,2
4,139,softmutate,8,2,-2390.873,-1195.437,1
6,194,Heredity,4,1,-1195.433,-1195.433,12
6,191,RandTop,4,1,-1195.426,-1195.426,47
3,78,RandTop,4,1,-1195.425,-1195.425,10
2,68,Heredity,8,2,-2390.84,-1195.42,1
1,30,RandTop,8,2,-2390.836,-1195.418,1
7,248,softmutate,8,2,-2390.815,-1195.408,2
3,91,Heredity,4,1,-1195.404,-1195.404,1
1,11,Random,4,1,-1195.395,-1195.395,1
4,129,Heredity,8,2,-2390.789,-1195.394,2
6,213,softmutate,8,2,-2390.767,-1195.384,1
1,16,RandTop,4,1,-1195.382,-1195.382,2
5,177,Random,8,2,-2390.738,-1195.369,1
5,165,Heredity,8,2,-2390.73,-1195.365,11
3,88,Heredity,8,2,-2390.724,-1195.362,11
5,174,Random,8,2,-2390.702,-1195.351,12
7,230,RandTop,4,1,-1195.348,-1195.348,1
3,95,Heredity,8,2,-2390.684,-1195.342,1
7,239,Heredity,8,2,-2390.642,-1195.321,2
1,25,RandTop,8,2,-2390.565,-1195.282,1
2,44,Heredity,8,2,-2390.367,-1195.184,2
2,64,Heredity,8,2,-2390.336,-1195.168,1
1,15,RandTop,4,1,-1194.956,-1194.956,2
5,170,RandTop,8,2,-2389.899,-1194.95,1
4,127,Heredity,8,2,-2389.619,-1194.809,2
7,238,softmutate,8,2,-2389.515,-1194.757,2
1,21,RandTop,8,2,-2388.986,-1194.493,1
2,60,softmutate,8,2,-2388.824,-1194.412,2
