Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,147,keptBest,4,1,-1994.969,-1994.969,166
7,226,keptBest,4,1,-1994.953,-1994.953,156
5,152,Heredity,4,1,-1994.637,-1994.637,160
6,186,Heredity,4,1,-1994.632,-1994.632,160
4,109,Permutate,4,1,-1994.629,-1994.629,160
5,146,Heredity,4,1,-1994.62,-1994.62,156
4,116,Heredity,4,1,-1994.615,-1994.615,156
6,197,LatMutate,4,1,-1994.612,-1994.612,65
7,252,softmutate,8,2,-3989.211,-1994.606,1
2,49,LatMutate,4,1,-1994.604,-1994.604,160
7,238,Heredity,4,1,-1994.604,-1994.604,65
4,110,Heredity,4,1,-1994.602,-1994.602,65
6,193,Heredity,4,1,-1994.602,-1994.602,65
4,117,keptBest,4,1,-1994.589,-1994.589,65
3,87,LatMutate,4,1,-1994.589,-1994.589,65
5,161,LatMutate,4,1,-1994.58,-1994.58,65
4,123,Heredity,4,1,-1994.578,-1994.578,65
6,185,Heredity,4,1,-1994.571,-1994.571,160
7,232,Heredity,4,1,-1994.562,-1994.562,65
6,202,Heredity,4,1,-1994.561,-1994.561,65
7,217,keptBest,8,2,-3989.121,-1994.56,12
3,69,keptBest,8,2,-3989.121,-1994.56,12
6,180,keptBest,8,2,-3989.121,-1994.56,12
5,144,keptBest,8,2,-3989.121,-1994.56,12
7,234,Heredity,4,1,-1994.56,-1994.56,65
4,107,keptBest,8,2,-3989.121,-1994.56,12
2,62,Random,8,2,-3989.121,-1994.56,12
4,118,Heredity,4,1,-1994.555,-1994.555,65
4,132,Permutate,8,2,-3989.097,-1994.549,12
1,27,RandTop,8,2,-3989.09,-1994.545,12
2,33,keptBest,8,2,-3989.09,-1994.545,12
6,181,keptBest,8,2,-3988.981,-1994.49,25
5,145,keptBest,8,2,-3988.981,-1994.49,25
4,139,Random,8,2,-3988.981,-1994.49,25
7,218,keptBest,8,2,-3988.981,-1994.49,25
2,45,RandTop,4,1,-1994.451,-1994.451,10
7,251,Heredity,8,2,-3988.871,-1994.436,3
5,162,Random,4,1,-1994.419,-1994.419,12
7,230,Random,4,1,-1994.416,-1994.416,65
3,105,Random,8,2,-3988.829,-1994.415,11
7,219,keptBest,8,2,-3988.804,-1994.402,12
6,211,RandTop,8,2,-3988.804,-1994.402,12
