Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
11,367,keptBest,8,2,-2401.874,-1200.937,12
5,162,Permutate,8,2,-2401.62,-1200.81,63
11,370,Heredity,4,1,-1200.704,-1200.704,123
3,78,Random,4,1,-1200.704,-1200.704,123
10,336,keptBest,4,1,-1200.704,-1200.704,123
9,297,keptBest,4,1,-1200.704,-1200.704,123
5,147,keptBest,4,1,-1200.704,-1200.704,123
7,220,keptBest,4,1,-1200.704,-1200.704,123
6,190,keptBest,4,1,-1200.704,-1200.704,123
8,259,keptBest,4,1,-1200.704,-1200.704,123
4,110,keptBest,4,1,-1200.704,-1200.704,123
6,187,Permutate,4,1,-1200.703,-1200.703,123
2,38,keptBest,4,1,-1200.701,-1200.701,123
3,70,keptBest,4,1,-1200.701,-1200.701,123
1,5,RandTop,4,1,-1200.701,-1200.701,123
11,374,Random,4,1,-1200.7,-1200.7,123
3,80,Permutate,4,1,-1200.7,-1200.7,123
3,93,RandTop,8,2,-2401.401,-1200.7,123
8,258,Permutate,4,1,-1200.699,-1200.699,123
1,13,Random,4,1,-1200.699,-1200.699,123
9,296,Permutate,4,1,-1200.698,-1200.698,123
7,226,Permutate,4,1,-1200.698,-1200.698,123
6,185,Permutate,4,1,-1200.698,-1200.698,123
3,75,Heredity,4,1,-1200.696,-1200.696,123
10,331,keptBest,8,2,-2401.379,-1200.69,51
7,245,Heredity,8,2,-2401.379,-1200.69,51
9,293,keptBest,8,2,-2401.379,-1200.69,51
8,255,keptBest,8,2,-2401.379,-1200.69,51
3,102,softmutate,8,2,-2401.182,-1200.591,2
11,389,softmutate,8,2,-2401.174,-1200.587,26
4,128,Permutate,8,2,-2401.165,-1200.583,59
11,387,RandTop,8,2,-2401.125,-1200.562,59
4,132,RandTop,8,2,-2401.115,-1200.558,8
11,394,Heredity,8,2,-2401.084,-1200.542,10
4,119,RandTop,4,1,-1200.535,-1200.535,47
11,371,Permutate,4,1,-1200.534,-1200.534,47
8,261,keptBest,4,1,-1200.534,-1200.534,123
9,298,keptBest,4,1,-1200.534,-1200.534,123
7,236,LatMutate,4,1,-1200.534,-1200.534,123
10,341,RandTop,4,1,-1200.534,-1200.534,47
10,338,keptBest,4,1,-1200.534,-1200.534,123
11,378,Permutate,4,1,-1200.533,-1200.533,123
6,197,Permutate,4,1,-1200.532,-1200.532,123
7,233,RandTop,4,1,-1200.532,-1200.532,47
5,164,Permutate,8,2,-2401.056,-1200.528,11
6,180,keptBest,8,2,-2401.056,-1200.528,11
7,217,keptBest,8,2,-2401.056,-1200.528,11
10,360,softmutate,8,2,-2401.043,-1200.521,1
5,159,Heredity,4,1,-1200.488,-1200.488,1
11,393,softmutate,8,2,-2400.894,-1200.447,1
9,308,Permutate,8,2,-2400.836,-1200.418,10
8,284,Random,8,2,-2400.835,-1200.418,2
