Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,184,keptBest,4,1,-1578.335,-1578.335,5
1,16,RandTop,8,2,-3156.183,-1578.091,3
5,142,keptBest,8,2,-3156.183,-1578.091,3
2,32,keptBest,8,2,-3156.183,-1578.091,3
4,105,keptBest,8,2,-3156.183,-1578.091,3
3,70,keptBest,8,2,-3156.183,-1578.091,3
6,212,Random,8,2,-3156.062,-1578.031,43
9,290,keptBest,8,2,-3156.062,-1578.031,43
8,253,keptBest,8,2,-3156.062,-1578.031,43
7,216,keptBest,8,2,-3156.062,-1578.031,43
4,106,keptBest,8,2,-3156.025,-1578.012,43
2,69,softmutate,8,2,-3156.025,-1578.012,43
6,179,keptBest,8,2,-3156.025,-1578.012,43
3,71,keptBest,8,2,-3156.025,-1578.012,43
5,143,keptBest,8,2,-3156.025,-1578.012,43
5,151,keptBest,4,1,-1577.979,-1577.979,1
9,307,LatMutate,4,1,-1577.979,-1577.979,1
4,120,Random,4,1,-1577.979,-1577.979,1
9,321,Random,8,2,-3155.91,-1577.955,10
4,111,RandTop,4,1,-1577.948,-1577.948,10
9,324,RandTop,8,2,-3155.894,-1577.947,18
7,229,Heredity,8,2,-3155.885,-1577.943,10
8,254,keptBest,8,2,-3155.87,-1577.935,9
9,291,keptBest,8,2,-3155.87,-1577.935,9
7,217,keptBest,8,2,-3155.87,-1577.935,9
6,208,Heredity,8,2,-3155.87,-1577.935,9
2,47,softmutate,8,2,-3155.867,-1577.934,10
1,29,Random,8,2,-3155.866,-1577.933,1
8,255,keptBest,8,2,-3155.739,-1577.869,2
7,218,keptBest,8,2,-3155.739,-1577.869,2
6,203,Heredity,8,2,-3155.737,-1577.869,2
6,180,keptBest,8,2,-3155.739,-1577.869,2
5,160,softmutate,8,2,-3155.739,-1577.869,2
9,292,keptBest,8,2,-3155.739,-1577.869,2
8,283,Random,8,2,-3155.731,-1577.866,1
2,37,keptBest,4,1,-1577.864,-1577.864,2
3,74,keptBest,4,1,-1577.864,-1577.864,2
7,237,softmutate,8,2,-3155.728,-1577.864,2
4,112,keptBest,4,1,-1577.864,-1577.864,2
1,10,Random,4,1,-1577.864,-1577.864,2
8,260,Heredity,4,1,-1577.851,-1577.851,1
9,311,Heredity,8,2,-3155.693,-1577.847,18
9,323,softmutate,8,2,-3155.687,-1577.844,10
2,63,Heredity,8,2,-3155.681,-1577.841,1
9,306,softmutate,4,1,-1577.84,-1577.84,2
7,226,Heredity,4,1,-1577.831,-1577.831,10
6,202,Permutate,8,2,-3155.653,-1577.827,2
5,161,Heredity,8,2,-3155.639,-1577.819,2
6,199,Heredity,8,2,-3155.62,-1577.81,1
5,149,LatMutate,4,1,-1577.796,-1577.796,2
3,104,RandTop,8,2,-3155.585,-1577.792,2
6,207,Heredity,8,2,-3155.563,-1577.782,1
2,46,softmutate,8,2,-3155.549,-1577.775,12
9,302,Heredity,4,1,-1577.766,-1577.766,5
8,256,LatMutate,4,1,-1577.766,-1577.766,2
5,145,Heredity,4,1,-1577.761,-1577.761,2
4,108,Heredity,4,1,-1577.76,-1577.76,2
5,148,Permutate,4,1,-1577.76,-1577.76,2
6,188,RandTop,4,1,-1577.759,-1577.759,10
3,76,Permutate,4,1,-1577.759,-1577.759,2
9,296,Permutate,4,1,-1577.757,-1577.757,2
5,147,Permutate,4,1,-1577.757,-1577.757,2
5,153,Random,4,1,-1577.756,-1577.756,2
8,263,LatMutate,4,1,-1577.756,-1577.756,2
9,300,Permutate,4,1,-1577.756,-1577.756,10
6,189,LatMutate,4,1,-1577.755,-1577.755,2
2,35,LatMutate,4,1,-1577.755,-1577.755,2
3,84,softmutate,8,2,-3155.503,-1577.751,2
9,298,Random,4,1,-1577.749,-1577.749,2
3,78,LatMutate,4,1,-1577.748,-1577.748,1
1,12,Random,4,1,-1577.745,-1577.745,2
4,126,Heredity,8,2,-3155.486,-1577.743,11
6,193,RandTop,4,1,-1577.742,-1577.742,10
4,129,softmutate,8,2,-3155.413,-1577.706,2
7,246,Heredity,8,2,-3155.407,-1577.703,1
3,97,RandTop,8,2,-3155.39,-1577.695,12
9,319,Heredity,8,2,-3155.384,-1577.692,2
1,7,RandTop,4,1,-1577.687,-1577.687,2
2,41,LatMutate,4,1,-1577.686,-1577.686,10
1,27,RandTop,8,2,-3155.373,-1577.686,1
7,232,RandTop,8,2,-3155.368,-1577.684,1
5,172,LatMutate,8,2,-3155.368,-1577.684,2
5,162,Heredity,8,2,-3155.367,-1577.683,2
2,48,RandTop,8,2,-3155.359,-1577.68,14
4,107,keptBest,8,2,-3155.359,-1577.68,14
3,72,keptBest,8,2,-3155.359,-1577.68,14
6,181,keptBest,8,2,-3155.359,-1577.68,14
5,144,keptBest,8,2,-3155.359,-1577.68,14
5,177,Random,8,2,-3155.349,-1577.675,1
2,60,RandTop,8,2,-3155.341,-1577.67,1
2,49,Random,8,2,-3155.327,-1577.664,1
4,136,Random,8,2,-3155.326,-1577.663,2
2,56,Permutate,8,2,-3155.314,-1577.657,2
3,73,keptBest,8,2,-3155.314,-1577.657,2
3,93,softmutate,8,2,-3155.31,-1577.655,1
4,124,Heredity,8,2,-3155.31,-1577.655,1
8,266,Permutate,8,2,-3155.309,-1577.654,2
8,269,Heredity,8,2,-3155.307,-1577.654,1
6,197,Heredity,8,2,-3155.305,-1577.653,1
8,271,Heredity,8,2,-3155.288,-1577.644,1
5,158,RandTop,4,1,-1577.644,-1577.644,2
2,45,Heredity,8,2,-3155.279,-1577.64,12
5,173,softmutate,8,2,-3155.275,-1577.638,2
4,119,Permutate,4,1,-1577.637,-1577.637,2
8,282,Heredity,8,2,-3155.272,-1577.636,2
9,308,Random,4,1,-1577.632,-1577.632,23
1,9,Random,4,1,-1577.632,-1577.632,23
8,274,Permutate,8,2,-3155.264,-1577.632,2
1,3,RandTop,4,1,-1577.632,-1577.632,23
2,38,keptBest,4,1,-1577.632,-1577.632,23
9,305,LatMutate,4,1,-1577.631,-1577.631,2
2,64,softmutate,8,2,-3155.262,-1577.631,2
3,92,Heredity,8,2,-3155.259,-1577.629,4
3,83,Permutate,8,2,-3155.25,-1577.625,2
8,273,Heredity,8,2,-3155.224,-1577.612,2
3,98,softmutate,8,2,-3155.222,-1577.611,8
9,318,RandTop,8,2,-3155.222,-1577.611,1
2,43,Heredity,8,2,-3155.215,-1577.608,12
3,80,Random,4,1,-1577.601,-1577.601,1
9,304,Random,4,1,-1577.598,-1577.598,2
9,299,RandTop,4,1,-1577.598,-1577.598,1
1,2,Random,4,1,-1577.597,-1577.597,1
2,40,keptBest,4,1,-1577.597,-1577.597,1
4,138,Heredity,8,2,-3155.194,-1577.597,1
6,200,Heredity,8,2,-3155.182,-1577.591,1
4,115,Random,4,1,-1577.585,-1577.585,2
6,215,RandTop,8,2,-3155.165,-1577.582,1
2,42,Heredity,8,2,-3155.161,-1577.58,12
6,191,LatMutate,4,1,-1577.579,-1577.579,1
8,264,RandTop,4,1,-1577.575,-1577.575,2
7,249,RandTop,8,2,-3155.141,-1577.571,2
6,192,Random,4,1,-1577.568,-1577.568,2
3,88,Heredity,8,2,-3155.135,-1577.567,2
9,309,Heredity,8,2,-3155.114,-1577.557,1
2,50,Heredity,8,2,-3155.097,-1577.549,1
5,175,RandTop,8,2,-3155.098,-1577.549,1
9,294,Heredity,4,1,-1577.547,-1577.547,1
6,204,RandTop,8,2,-3155.094,-1577.547,6
4,128,softmutate,8,2,-3155.089,-1577.545,1
2,61,RandTop,8,2,-3155.066,-1577.533,2
5,166,Heredity,8,2,-3155.048,-1577.524,4
5,165,Heredity,8,2,-3155.039,-1577.519,1
4,117,RandTop,4,1,-1577.516,-1577.516,5
7,248,Random,8,2,-3155.022,-1577.511,1
5,159,RandTop,4,1,-1577.511,-1577.511,38
4,113,LatMutate,4,1,-1577.508,-1577.508,1
3,82,Heredity,8,2,-3155.012,-1577.506,2
1,19,Random,8,2,-3155.007,-1577.504,1
2,33,keptBest,8,2,-3155.007,-1577.504,1
4,121,Heredity,8,2,-3155.006,-1577.503,2
7,244,Heredity,8,2,-3154.991,-1577.496,1
4,114,Random,4,1,-1577.492,-1577.492,2
2,52,softmutate,8,2,-3154.984,-1577.492,1
5,178,RandTop,8,2,-3154.981,-1577.491,8
7,238,Heredity,8,2,-3154.978,-1577.489,1
5,152,Random,4,1,-1577.484,-1577.484,2
1,22,Random,8,2,-3154.965,-1577.483,1
1,14,RandTop,4,1,-1577.482,-1577.482,1
5,176,RandTop,8,2,-3154.963,-1577.481,9
1,13,Random,4,1,-1577.48,-1577.48,2
5,164,softmutate,8,2,-3154.949,-1577.475,2
3,89,Heredity,8,2,-3154.946,-1577.473,11
7,228,softmutate,4,1,-1577.471,-1577.471,2
9,326,RandTop,8,2,-3154.916,-1577.458,8
6,210,softmutate,8,2,-3154.9,-1577.45,8
7,236,Heredity,8,2,-3154.899,-1577.449,2
3,99,softmutate,8,2,-3154.897,-1577.448,1
4,127,Heredity,8,2,-3154.89,-1577.445,1
3,101,Heredity,8,2,-3154.885,-1577.442,1
6,195,softmutate,8,2,-3154.882,-1577.441,2
1,17,RandTop,8,2,-3154.878,-1577.439,51
4,137,Heredity,8,2,-3154.879,-1577.439,1
2,58,Heredity,8,2,-3154.875,-1577.437,1
6,201,Permutate,8,2,-3154.861,-1577.431,1
3,87,softmutate,8,2,-3154.861,-1577.43,2
9,315,softmutate,8,2,-3154.856,-1577.428,1
4,133,Permutate,8,2,-3154.852,-1577.426,1
9,320,Heredity,8,2,-3154.84,-1577.42,1
5,163,Heredity,8,2,-3154.839,-1577.42,2
8,275,Heredity,8,2,-3154.836,-1577.418,1
8,276,softmutate,8,2,-3154.835,-1577.417,12
9,325,Heredity,8,2,-3154.835,-1577.417,2
2,51,Heredity,8,2,-3154.83,-1577.415,2
8,280,Heredity,8,2,-3154.825,-1577.413,1
3,91,Heredity,8,2,-3154.824,-1577.412,2
8,289,RandTop,8,2,-3154.822,-1577.411,1
9,310,softmutate,4,1,-1577.409,-1577.409,12
7,231,RandTop,8,2,-3154.816,-1577.408,6
