Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,32,keptBest,8,2,-5631.249,-2815.624,140
1,21,Random,8,2,-5630.938,-2815.469,2
1,24,RandTop,8,2,-5630.857,-2815.429,11
5,157,Permutate,8,2,-5630.4,-2815.2,12
4,108,Permutate,4,1,-2815.175,-2815.175,2
2,37,LatMutate,4,1,-2815.151,-2815.151,2
3,94,RandTop,8,2,-5630.295,-2815.147,6
5,142,keptBest,8,2,-5630.295,-2815.147,6
4,105,keptBest,8,2,-5630.295,-2815.147,6
5,154,Permutate,8,2,-5630.275,-2815.138,65
1,6,Random,4,1,-2815.135,-2815.135,2
5,144,Permutate,4,1,-2815.13,-2815.13,12
4,112,keptBest,4,1,-2815.128,-2815.128,12
3,75,keptBest,4,1,-2815.128,-2815.128,12
2,36,keptBest,4,1,-2815.128,-2815.128,12
5,145,keptBest,4,1,-2815.128,-2815.128,12
1,5,RandTop,4,1,-2815.128,-2815.128,12
3,71,Heredity,4,1,-2815.119,-2815.119,2
5,153,RandTop,4,1,-2815.118,-2815.118,2
1,17,Random,8,2,-5630.232,-2815.116,5
3,91,Random,8,2,-5630.223,-2815.111,2
2,34,Heredity,4,1,-2815.101,-2815.101,2
3,96,RandTop,8,2,-5630.19,-2815.095,1
5,147,RandTop,4,1,-2815.094,-2815.094,2
5,149,RandTop,4,1,-2815.089,-2815.089,2
3,80,Random,4,1,-2815.081,-2815.081,2
1,4,RandTop,4,1,-2815.065,-2815.065,2
3,74,Heredity,4,1,-2815.043,-2815.043,2
2,60,RandTop,8,2,-5630.082,-2815.041,11
3,69,keptBest,8,2,-5630.082,-2815.041,11
2,59,RandTop,8,2,-5629.996,-2814.998,1
5,152,Permutate,8,2,-5629.989,-2814.995,1
2,39,Heredity,4,1,-2814.98,-2814.98,1
3,81,Heredity,8,2,-5629.953,-2814.976,2
5,151,Random,4,1,-2814.963,-2814.963,2
4,115,Random,4,1,-2814.944,-2814.944,1
4,127,Permutate,8,2,-5629.878,-2814.939,6
1,23,RandTop,8,2,-5629.878,-2814.939,1
1,12,Random,4,1,-2814.909,-2814.909,12
5,168,Random,8,2,-5629.789,-2814.894,10
5,150,Heredity,4,1,-2814.891,-2814.891,1
5,172,RandTop,8,2,-5629.769,-2814.885,10
4,138,Random,8,2,-5629.733,-2814.867,1
5,162,Heredity,8,2,-5629.695,-2814.847,2
4,106,keptBest,8,2,-5629.692,-2814.846,2
3,95,RandTop,8,2,-5629.692,-2814.846,2
5,143,keptBest,8,2,-5629.692,-2814.846,2
4,122,Heredity,8,2,-5629.687,-2814.843,5
2,52,RandTop,8,2,-5629.687,-2814.843,2
1,11,RandTop,4,1,-2814.843,-2814.843,1
4,137,softmutate,8,2,-5629.684,-2814.842,1
4,131,Permutate,8,2,-5629.662,-2814.831,25
3,78,LatMutate,4,1,-2814.828,-2814.828,1
3,76,keptBest,4,1,-2814.828,-2814.828,12
2,35,Heredity,4,1,-2814.828,-2814.828,12
5,146,Random,4,1,-2814.828,-2814.828,2
4,109,Heredity,4,1,-2814.824,-2814.824,1
3,70,Heredity,4,1,-2814.811,-2814.811,2
1,28,Random,8,2,-5629.615,-2814.808,9
1,30,RandTop,8,2,-5629.607,-2814.804,1
3,73,Heredity,4,1,-2814.798,-2814.798,2
5,160,Random,8,2,-5629.585,-2814.793,1
4,114,LatMutate,4,1,-2814.792,-2814.792,10
4,136,RandTop,8,2,-5629.575,-2814.787,1
1,9,Random,4,1,-2814.785,-2814.785,8
2,38,keptBest,4,1,-2814.785,-2814.785,8
4,130,RandTop,8,2,-5629.541,-2814.771,6
2,53,Permutate,8,2,-5629.521,-2814.761,2
3,77,Heredity,4,1,-2814.747,-2814.747,2
4,110,Random,4,1,-2814.745,-2814.745,2
2,44,RandTop,4,1,-2814.734,-2814.734,10
5,174,Heredity,8,2,-5629.431,-2814.715,2
1,18,Random,8,2,-5629.43,-2814.715,1
2,62,RandTop,8,2,-5629.411,-2814.705,4
1,25,RandTop,8,2,-5629.406,-2814.703,1
1,20,Random,8,2,-5629.406,-2814.703,1
3,98,Random,8,2,-5629.398,-2814.699,2
5,156,Heredity,8,2,-5629.396,-2814.698,11
4,116,RandTop,4,1,-2814.696,-2814.696,10
3,85,Heredity,8,2,-5629.387,-2814.693,11
3,101,Random,8,2,-5629.355,-2814.678,1
1,2,Random,4,1,-2814.676,-2814.676,6
3,99,Permutate,8,2,-5629.352,-2814.676,1
2,65,Random,8,2,-5629.327,-2814.664,1
3,92,Permutate,8,2,-5629.329,-2814.664,1
5,173,Permutate,8,2,-5629.321,-2814.66,1
1,8,Random,4,1,-2814.65,-2814.65,10
3,100,Random,8,2,-5629.29,-2814.645,1
4,113,LatMutate,4,1,-2814.642,-2814.642,1
3,90,RandTop,8,2,-5629.253,-2814.626,8
1,15,Random,8,2,-5629.244,-2814.622,1
2,49,Random,8,2,-5629.229,-2814.614,84
1,26,Random,8,2,-5629.176,-2814.588,2
3,97,LatMutate,4,1,-2814.575,-2814.575,1
1,10,RandTop,4,1,-2814.574,-2814.574,2
3,102,RandTop,8,2,-5629.149,-2814.574,1
2,40,keptBest,4,1,-2814.572,-2814.572,12
1,7,RandTop,4,1,-2814.572,-2814.572,12
1,14,RandTop,4,1,-2814.56,-2814.56,10
5,164,softmutate,8,2,-5629.118,-2814.559,2
3,72,Heredity,4,1,-2814.556,-2814.556,2
3,93,Permutate,8,2,-5629.094,-2814.547,1
4,133,Heredity,8,2,-5629.088,-2814.544,2
5,175,Random,8,2,-5629.086,-2814.543,2
4,135,Random,8,2,-5629.028,-2814.514,2
5,171,Heredity,8,2,-5629.027,-2814.514,1
1,31,Random,8,2,-5628.994,-2814.497,11
4,139,RandTop,8,2,-5628.989,-2814.495,8
2,43,Heredity,4,1,-2814.474,-2814.474,1
1,22,RandTop,8,2,-5628.881,-2814.44,1
3,89,Heredity,8,2,-5628.873,-2814.437,2
1,13,RandTop,4,1,-2814.435,-2814.435,10
4,129,Heredity,8,2,-5628.837,-2814.418,2
4,107,RandTop,4,1,-2814.413,-2814.413,12
2,42,LatMutate,4,1,-2814.407,-2814.407,12
4,125,Heredity,8,2,-5628.793,-2814.396,2
1,16,Random,8,2,-5628.788,-2814.394,1
2,64,Random,8,2,-5628.789,-2814.394,1
3,84,softmutate,8,2,-5628.783,-2814.392,2
2,55,Heredity,8,2,-5628.784,-2814.392,2
4,111,Random,4,1,-2814.39,-2814.39,12
4,132,Heredity,8,2,-5628.767,-2814.383,1
2,58,Heredity,8,2,-5628.753,-2814.376,2
5,158,softmutate,8,2,-5628.723,-2814.361,12
3,79,LatMutate,4,1,-2814.359,-2814.359,1
5,148,LatMutate,4,1,-2814.357,-2814.357,12
2,50,softmutate,8,2,-5628.713,-2814.356,2
3,87,softmutate,8,2,-5628.657,-2814.329,5
2,51,Random,8,2,-5628.658,-2814.329,124
1,3,RandTop,4,1,-2814.325,-2814.325,12
5,155,LatMutate,4,1,-2814.325,-2814.325,2
5,176,RandTop,8,2,-5628.638,-2814.319,1
5,163,Heredity,8,2,-5628.622,-2814.311,2
5,167,Heredity,8,2,-5628.608,-2814.304,2
5,161,Heredity,8,2,-5628.607,-2814.303,1
1,27,RandTop,8,2,-5628.598,-2814.299,1
4,121,Heredity,8,2,-5628.589,-2814.295,2
4,126,Heredity,8,2,-5628.577,-2814.289,2
1,29,Random,8,2,-5628.54,-2814.27,1
5,169,softmutate,8,2,-5628.5,-2814.25,2
2,57,Heredity,8,2,-5628.471,-2814.235,1
2,47,Heredity,8,2,-5628.46,-2814.23,2
4,117,RandTop,4,1,-2814.198,-2814.198,83
4,120,LatMutate,4,1,-2814.196,-2814.196,2
2,41,Random,4,1,-2814.192,-2814.192,38
3,83,softmutate,8,2,-5628.324,-2814.162,2
3,86,Heredity,8,2,-5628.254,-2814.127,12
4,118,Heredity,4,1,-2814.121,-2814.121,12
2,45,Heredity,8,2,-5628.237,-2814.118,2
5,165,Heredity,8,2,-5628.215,-2814.108,1
2,48,softmutate,8,2,-5628.162,-2814.081,11
3,82,Heredity,8,2,-5628.156,-2814.078,12
4,119,softmutate,8,2,-5628.143,-2814.071,11
4,124,softmutate,8,2,-5628.112,-2814.056,2
2,54,softmutate,8,2,-5628.1,-2814.05,2
5,159,Heredity,8,2,-5627.983,-2813.991,1
5,170,softmutate,8,2,-5627.964,-2813.982,1
3,88,Heredity,8,2,-5627.935,-2813.967,2
4,123,Heredity,8,2,-5627.648,-2813.824,2
2,56,Heredity,8,2,-5627.484,-2813.742,12
4,134,Heredity,8,2,-5627.44,-2813.72,6
2,66,softmutate,8,2,-5627.384,-2813.692,1
5,166,LatMutate,8,2,-5627.305,-2813.653,2
2,61,softmutate,8,2,-5627.304,-2813.652,12
4,128,Heredity,8,2,-5627.137,-2813.569,12
2,46,Heredity,8,2,-5626.859,-2813.43,2
2,63,Heredity,8,2,-5626.334,-2813.167,2
1,1,Random,4,1,-2812.358,-2812.358,229
