Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,144,keptBest,8,2,-1075.488,-537.744,1
6,191,keptBest,4,1,-536.705,-536.705,12
2,52,LatMutate,4,1,-536.705,-536.705,12
4,110,keptBest,4,1,-536.705,-536.705,12
3,76,keptBest,4,1,-536.705,-536.705,12
5,148,keptBest,4,1,-536.705,-536.705,12
3,72,keptBest,8,2,-1073.339,-536.67,12
2,33,keptBest,8,2,-1073.339,-536.67,12
1,31,RandTop,8,2,-1073.339,-536.67,12
1,6,RandTop,4,1,-536.621,-536.621,6
5,154,Permutate,4,1,-536.591,-536.591,2
6,189,Permutate,4,1,-536.579,-536.579,10
6,183,keptBest,8,2,-1073.153,-536.576,1
2,68,Random,8,2,-1073.153,-536.576,1
3,73,keptBest,8,2,-1073.153,-536.576,1
4,109,keptBest,8,2,-1073.153,-536.576,1
4,122,Random,4,1,-536.576,-536.576,2
5,145,keptBest,8,2,-1073.153,-536.576,1
6,216,Random,8,2,-1073.083,-536.541,4
6,196,keptBest,4,1,-536.525,-536.525,12
5,164,Permutate,4,1,-536.525,-536.525,12
3,85,Heredity,8,2,-1073.03,-536.515,2
6,198,Permutate,4,1,-536.51,-536.51,2
3,97,Random,8,2,-1072.988,-536.494,5
5,149,Random,4,1,-536.482,-536.482,10
6,194,Heredity,4,1,-536.481,-536.481,10
3,98,Permutate,8,2,-1072.938,-536.469,8
5,174,Random,8,2,-1072.913,-536.456,65
6,184,keptBest,8,2,-1072.913,-536.456,65
6,203,LatMutate,4,1,-536.446,-536.446,2
3,74,keptBest,8,2,-1072.881,-536.441,2
2,34,keptBest,8,2,-1072.881,-536.441,2
1,19,RandTop,8,2,-1072.881,-536.441,2
4,140,RandTop,8,2,-1072.856,-536.428,2
5,168,softmutate,8,2,-1072.831,-536.416,2
4,114,Permutate,4,1,-536.401,-536.401,12
2,62,softmutate,8,2,-1072.798,-536.399,2
5,156,keptBest,4,1,-536.397,-536.397,12
3,77,Random,4,1,-536.397,-536.397,12
4,112,keptBest,4,1,-536.397,-536.397,12
1,32,RandTop,8,2,-1072.791,-536.396,6
2,35,keptBest,8,2,-1072.791,-536.396,6
2,41,Heredity,8,2,-1072.779,-536.39,2
1,27,Random,8,2,-1072.771,-536.386,4
2,36,keptBest,8,2,-1072.771,-536.386,4
3,94,Heredity,8,2,-1072.766,-536.383,2
4,113,Random,4,1,-536.377,-536.377,12
1,26,Random,8,2,-1072.753,-536.377,2
5,157,keptBest,4,1,-536.377,-536.377,12
2,37,keptBest,8,2,-1072.753,-536.377,2
3,104,Permutate,8,2,-1072.715,-536.358,11
6,208,Heredity,8,2,-1072.705,-536.353,1
3,75,Heredity,4,1,-536.348,-536.348,1
5,147,Heredity,4,1,-536.346,-536.346,6
4,116,Heredity,8,2,-1072.683,-536.342,1
6,193,Heredity,4,1,-536.338,-536.338,8
2,39,Heredity,4,1,-536.337,-536.337,8
2,66,Random,8,2,-1072.655,-536.327,7
6,207,softmutate,8,2,-1072.654,-536.327,2
6,202,RandTop,4,1,-536.324,-536.324,1
5,180,softmutate,8,2,-1072.647,-536.324,11
5,159,Random,4,1,-536.322,-536.322,1
6,214,Random,8,2,-1072.641,-536.32,2
4,130,Heredity,8,2,-1072.637,-536.318,2
3,84,Random,4,1,-536.311,-536.311,6
4,115,keptBest,4,1,-536.311,-536.311,6
2,67,LatMutate,8,2,-1072.596,-536.298,2
3,89,softmutate,8,2,-1072.579,-536.29,2
6,199,Heredity,8,2,-1072.572,-536.286,2
5,166,LatMutate,4,1,-536.284,-536.284,1
6,185,Heredity,4,1,-536.282,-536.282,1
6,204,Heredity,4,1,-536.282,-536.282,12
2,42,Heredity,8,2,-1072.562,-536.281,11
1,23,Random,8,2,-1072.56,-536.28,1
6,213,Heredity,8,2,-1072.558,-536.279,2
5,176,Permutate,8,2,-1072.551,-536.276,2
3,83,Heredity,8,2,-1072.547,-536.273,2
5,178,Heredity,8,2,-1072.543,-536.272,1
3,101,RandTop,8,2,-1072.535,-536.267,2
2,46,Heredity,8,2,-1072.523,-536.261,2
6,211,Permutate,8,2,-1072.518,-536.259,1
1,28,RandTop,8,2,-1072.507,-536.254,1
5,146,Heredity,4,1,-536.246,-536.246,2
1,30,RandTop,8,2,-1072.491,-536.246,2
2,58,Heredity,8,2,-1072.489,-536.245,2
6,205,Heredity,8,2,-1072.483,-536.242,1
6,210,Heredity,8,2,-1072.471,-536.235,2
2,54,Heredity,8,2,-1072.467,-536.233,2
4,131,Permutate,8,2,-1072.465,-536.233,1
3,103,softmutate,8,2,-1072.457,-536.229,1
