Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,161,Heredity,8,2,-1806.184,-903.092,15
5,146,keptBest,8,2,-1805.996,-902.998,11
3,99,Permutate,8,2,-1805.761,-902.881,11
2,40,keptBest,4,1,-902.862,-902.862,12
3,76,keptBest,4,1,-902.862,-902.862,12
5,150,keptBest,4,1,-902.862,-902.862,12
4,113,keptBest,4,1,-902.862,-902.862,12
1,10,Random,4,1,-902.862,-902.862,12
5,159,Heredity,8,2,-1805.709,-902.855,12
5,172,Permutate,8,2,-1805.703,-902.851,12
4,130,Heredity,8,2,-1805.702,-902.851,12
5,147,keptBest,8,2,-1805.702,-902.851,12
2,50,Heredity,8,2,-1805.662,-902.831,7
4,124,Heredity,8,2,-1805.641,-902.821,15
5,171,Heredity,8,2,-1805.555,-902.777,11
5,149,Permutate,4,1,-902.773,-902.773,12
4,110,Heredity,4,1,-902.772,-902.772,12
5,151,keptBest,4,1,-902.772,-902.772,12
2,66,Heredity,8,2,-1805.499,-902.75,2
4,140,RandTop,8,2,-1805.471,-902.735,11
5,164,Heredity,8,2,-1805.469,-902.734,11
3,96,Random,8,2,-1805.458,-902.729,11
1,20,Random,8,2,-1805.456,-902.728,11
2,60,softmutate,8,2,-1805.452,-902.726,11
4,116,keptBest,4,1,-902.722,-902.722,12
3,80,Permutate,4,1,-902.722,-902.722,12
4,128,LatMutate,4,1,-902.714,-902.714,12
2,44,Heredity,8,2,-1805.425,-902.713,11
3,102,Heredity,8,2,-1805.427,-902.713,11
5,169,softmutate,8,2,-1805.313,-902.657,11
2,58,Random,8,2,-1805.296,-902.648,2
4,131,Heredity,8,2,-1805.24,-902.62,1
5,167,Heredity,8,2,-1805.24,-902.62,1
4,142,Random,8,2,-1805.228,-902.614,11
1,19,Random,8,2,-1805.169,-902.585,15
1,23,Random,8,2,-1805.144,-902.572,12
5,179,softmutate,8,2,-1805.137,-902.568,2
3,77,keptBest,4,1,-902.562,-902.562,2
3,75,Permutate,4,1,-902.562,-902.562,1
2,39,RandTop,4,1,-902.562,-902.562,2
4,117,keptBest,4,1,-902.562,-902.562,2
4,114,Random,4,1,-902.561,-902.561,2
1,9,RandTop,4,1,-902.56,-902.56,2
2,70,Random,8,2,-1805.11,-902.555,1
4,136,Heredity,8,2,-1805.104,-902.552,1
2,62,Permutate,8,2,-1805.086,-902.543,1
2,42,RandTop,4,1,-902.534,-902.534,47
4,115,RandTop,4,1,-902.533,-902.533,47
1,8,RandTop,4,1,-902.531,-902.531,47
4,119,RandTop,4,1,-902.531,-902.531,47
1,30,Random,8,2,-1805.058,-902.529,2
3,92,Random,8,2,-1805.011,-902.506,87
5,176,LatMutate,8,2,-1804.993,-902.497,2
5,180,Random,8,2,-1804.978,-902.489,2
4,135,Heredity,8,2,-1804.947,-902.474,128
1,27,Random,8,2,-1804.923,-902.461,20
2,34,keptBest,8,2,-1804.923,-902.461,20
3,73,keptBest,8,2,-1804.923,-902.461,20
4,123,RandTop,4,1,-902.434,-902.434,1
5,156,Heredity,8,2,-1804.859,-902.429,2
4,122,Random,4,1,-902.425,-902.425,87
4,125,Permutate,8,2,-1804.851,-902.425,2
3,105,softmutate,8,2,-1804.814,-902.407,2
2,35,keptBest,8,2,-1804.81,-902.405,59
1,22,RandTop,8,2,-1804.81,-902.405,59
2,53,softmutate,8,2,-1804.806,-902.403,4
1,18,RandTop,8,2,-1804.803,-902.401,59
3,84,RandTop,4,1,-902.4,-902.4,12
4,144,softmutate,8,2,-1804.779,-902.389,2
2,57,Heredity,8,2,-1804.773,-902.387,2
2,41,softmutate,8,2,-1804.747,-902.373,2
5,166,Heredity,8,2,-1804.715,-902.357,22
2,68,RandTop,8,2,-1804.663,-902.332,2
4,133,Heredity,8,2,-1804.627,-902.313,2
