Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,219,keptBest,8,2,-1307.973,-653.986,11
2,33,keptBest,8,2,-1307.253,-653.627,2
8,257,keptBest,8,2,-1307.253,-653.627,2
1,23,RandTop,8,2,-1307.253,-653.627,2
6,183,keptBest,8,2,-1307.253,-653.627,2
4,107,keptBest,8,2,-1307.253,-653.627,2
7,220,keptBest,8,2,-1307.253,-653.627,2
3,70,keptBest,8,2,-1307.253,-653.627,2
9,294,keptBest,8,2,-1307.253,-653.627,2
5,144,keptBest,8,2,-1307.253,-653.627,2
1,24,RandTop,8,2,-1307.246,-653.623,2
7,251,Random,8,2,-1307.207,-653.603,12
3,71,keptBest,8,2,-1307.166,-653.583,2
8,258,keptBest,8,2,-1307.166,-653.583,2
6,184,keptBest,8,2,-1307.166,-653.583,2
5,145,keptBest,8,2,-1307.166,-653.583,2
9,295,keptBest,8,2,-1307.166,-653.583,2
2,50,Permutate,8,2,-1307.166,-653.583,2
4,108,keptBest,8,2,-1307.166,-653.583,2
7,221,keptBest,8,2,-1307.166,-653.583,2
4,140,softmutate,8,2,-1307.041,-653.52,2
8,272,Permutate,8,2,-1306.99,-653.495,1
9,296,keptBest,8,2,-1306.99,-653.495,1
5,146,keptBest,8,2,-1306.986,-653.493,1
4,126,Permutate,8,2,-1306.986,-653.493,1
7,222,keptBest,8,2,-1306.986,-653.493,1
8,259,keptBest,8,2,-1306.986,-653.493,1
6,185,keptBest,8,2,-1306.986,-653.493,1
9,298,Permutate,8,2,-1306.9,-653.45,2
9,326,Random,8,2,-1306.897,-653.449,2
7,236,Permutate,8,2,-1306.87,-653.435,1
8,260,keptBest,8,2,-1306.832,-653.416,2
7,223,keptBest,8,2,-1306.832,-653.416,2
9,297,keptBest,8,2,-1306.832,-653.416,2
6,217,softmutate,8,2,-1306.832,-653.416,2
8,290,Permutate,8,2,-1306.809,-653.405,1
3,83,LatMutate,4,1,-653.399,-653.399,2
4,117,keptBest,4,1,-653.399,-653.399,2
6,189,keptBest,4,1,-653.399,-653.399,2
5,153,keptBest,4,1,-653.399,-653.399,2
7,255,softmutate,8,2,-1306.797,-653.399,2
5,147,keptBest,8,2,-1306.785,-653.393,2
2,56,Heredity,8,2,-1306.785,-653.393,2
3,72,keptBest,8,2,-1306.785,-653.393,2
4,109,keptBest,8,2,-1306.785,-653.393,2
6,194,Random,4,1,-653.391,-653.391,2
5,164,RandTop,4,1,-653.388,-653.388,2
9,329,RandTop,8,2,-1306.759,-653.38,2
8,286,Permutate,8,2,-1306.752,-653.376,1
3,103,Random,8,2,-1306.744,-653.372,2
5,157,Heredity,8,2,-1306.725,-653.363,2
9,299,Permutate,8,2,-1306.727,-653.363,2
9,322,Heredity,8,2,-1306.712,-653.356,2
8,278,Permutate,8,2,-1306.709,-653.355,1
8,271,Permutate,8,2,-1306.707,-653.354,1
6,203,Permutate,8,2,-1306.704,-653.352,1
2,58,Heredity,8,2,-1306.7,-653.35,2
2,34,keptBest,8,2,-1306.692,-653.346,2
1,28,RandTop,8,2,-1306.692,-653.346,2
4,110,keptBest,8,2,-1306.692,-653.346,2
3,73,keptBest,8,2,-1306.692,-653.346,2
4,120,Heredity,8,2,-1306.684,-653.342,2
7,247,RandTop,8,2,-1306.679,-653.34,2
2,60,Random,8,2,-1306.679,-653.339,2
2,52,Random,8,2,-1306.653,-653.326,2
7,234,Heredity,8,2,-1306.652,-653.326,2
6,199,Heredity,8,2,-1306.65,-653.325,2
3,81,Heredity,8,2,-1306.65,-653.325,2
9,319,Heredity,8,2,-1306.647,-653.324,2
3,92,Heredity,8,2,-1306.646,-653.323,2
1,21,Random,8,2,-1306.639,-653.319,2
3,74,keptBest,8,2,-1306.639,-653.319,2
2,35,keptBest,8,2,-1306.639,-653.319,2
9,309,Heredity,8,2,-1306.637,-653.318,2
7,248,Heredity,8,2,-1306.63,-653.315,1
8,270,Heredity,8,2,-1306.61,-653.305,2
5,169,Permutate,8,2,-1306.607,-653.304,2
3,77,Permutate,8,2,-1306.604,-653.302,2
4,141,Random,8,2,-1306.601,-653.3,2
8,291,softmutate,8,2,-1306.574,-653.287,1
8,292,softmutate,8,2,-1306.574,-653.287,2
2,43,Heredity,8,2,-1306.572,-653.286,2
7,246,Heredity,8,2,-1306.571,-653.285,2
3,89,Permutate,8,2,-1306.57,-653.285,2
5,162,Permutate,8,2,-1306.568,-653.284,2
2,49,Permutate,8,2,-1306.567,-653.283,2
5,170,Heredity,8,2,-1306.564,-653.282,2
5,158,Heredity,8,2,-1306.561,-653.28,11
3,84,Heredity,8,2,-1306.558,-653.279,11
6,193,Heredity,8,2,-1306.535,-653.267,2
8,263,Heredity,8,2,-1306.533,-653.267,10
9,302,Heredity,8,2,-1306.534,-653.267,10
8,268,Heredity,8,2,-1306.529,-653.264,10
8,282,Heredity,8,2,-1306.523,-653.262,2
4,118,Heredity,8,2,-1306.523,-653.262,2
6,201,Heredity,8,2,-1306.523,-653.262,11
7,231,Heredity,8,2,-1306.525,-653.262,2
3,94,Heredity,8,2,-1306.522,-653.261,2
6,197,Heredity,8,2,-1306.515,-653.257,2
6,191,Heredity,8,2,-1306.501,-653.251,10
7,224,Permutate,8,2,-1306.493,-653.247,12
3,87,Random,4,1,-653.234,-653.234,2
4,119,Heredity,8,2,-1306.466,-653.233,11
6,198,Heredity,8,2,-1306.463,-653.232,11
4,130,Heredity,8,2,-1306.462,-653.231,11
3,88,Heredity,8,2,-1306.456,-653.228,2
8,273,softmutate,8,2,-1306.454,-653.227,2
5,159,Heredity,8,2,-1306.435,-653.217,2
4,123,Heredity,8,2,-1306.434,-653.217,2
2,42,Heredity,8,2,-1306.433,-653.216,2
5,161,Heredity,8,2,-1306.398,-653.199,63
2,57,Heredity,8,2,-1306.395,-653.198,2
7,250,Heredity,8,2,-1306.374,-653.187,2
3,82,RandTop,4,1,-653.176,-653.176,2
2,46,keptBest,4,1,-653.175,-653.175,2
1,8,Random,4,1,-653.175,-653.175,2
7,235,LatMutate,4,1,-653.174,-653.174,2
3,75,Heredity,4,1,-653.174,-653.174,2
1,5,Random,4,1,-653.173,-653.173,2
9,328,RandTop,8,2,-1306.342,-653.171,11
6,204,Heredity,8,2,-1306.337,-653.169,12
5,167,Heredity,8,2,-1306.334,-653.167,2
3,95,LatMutate,8,2,-1306.332,-653.166,12
5,171,Heredity,8,2,-1306.325,-653.163,2
3,91,softmutate,8,2,-1306.323,-653.162,12
1,18,Random,4,1,-653.162,-653.162,2
9,316,Heredity,8,2,-1306.309,-653.155,2
7,228,Heredity,8,2,-1306.31,-653.155,2
6,206,Heredity,8,2,-1306.309,-653.154,63
5,160,Heredity,8,2,-1306.304,-653.152,11
1,26,Random,8,2,-1306.302,-653.151,2
7,237,softmutate,8,2,-1306.29,-653.145,47
9,307,LatMutate,4,1,-653.143,-653.143,2
5,176,softmutate,8,2,-1306.286,-653.143,47
7,227,Heredity,8,2,-1306.282,-653.141,2
6,186,Heredity,8,2,-1306.28,-653.14,2
5,177,Random,8,2,-1306.276,-653.138,2
2,61,RandTop,8,2,-1306.275,-653.137,11
4,129,Heredity,8,2,-1306.262,-653.131,12
6,213,Random,8,2,-1306.255,-653.127,11
8,276,Heredity,8,2,-1306.253,-653.127,12
7,241,LatMutate,8,2,-1306.254,-653.127,12
4,133,Heredity,8,2,-1306.254,-653.127,12
5,181,softmutate,8,2,-1306.251,-653.126,12
5,166,Heredity,8,2,-1306.252,-653.126,12
3,98,Heredity,8,2,-1306.25,-653.125,12
1,27,RandTop,8,2,-1306.247,-653.124,3
