Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,292,keptBest,8,2,-1481.531,-740.765,1
9,325,Heredity,8,2,-1481.467,-740.734,11
10,360,Heredity,8,2,-1481.339,-740.67,11
5,144,keptBest,8,2,-1481.265,-740.633,160
6,183,keptBest,8,2,-1481.023,-740.511,11
10,332,keptBest,8,2,-1481.023,-740.511,11
8,258,keptBest,8,2,-1481.023,-740.511,11
7,221,keptBest,8,2,-1481.023,-740.511,11
9,295,keptBest,8,2,-1481.023,-740.511,11
5,167,Heredity,8,2,-1481.023,-740.511,11
9,322,Heredity,8,2,-1481.013,-740.506,6
8,286,Heredity,8,2,-1480.966,-740.483,2
9,296,keptBest,8,2,-1480.966,-740.483,2
10,333,keptBest,8,2,-1480.966,-740.483,2
6,197,Heredity,8,2,-1480.897,-740.448,11
6,214,Random,8,2,-1480.862,-740.431,1
9,318,softmutate,8,2,-1480.846,-740.423,1
7,252,Permutate,8,2,-1480.762,-740.381,8
8,259,keptBest,8,2,-1480.762,-740.381,8
10,347,Permutate,8,2,-1480.747,-740.373,6
10,344,LatMutate,4,1,-740.344,-740.344,8
4,142,Heredity,8,2,-1480.667,-740.333,2
7,229,Permutate,4,1,-740.323,-740.323,115
2,42,Permutate,4,1,-740.322,-740.322,115
7,227,keptBest,4,1,-740.322,-740.322,115
3,76,keptBest,4,1,-740.322,-740.322,115
6,189,keptBest,4,1,-740.322,-740.322,115
5,150,keptBest,4,1,-740.322,-740.322,115
4,113,keptBest,4,1,-740.322,-740.322,115
1,4,RandTop,4,1,-740.321,-740.321,115
4,114,Permutate,4,1,-740.321,-740.321,115
10,336,RandTop,4,1,-740.321,-740.321,115
2,40,keptBest,4,1,-740.321,-740.321,115
8,263,RandTop,4,1,-740.321,-740.321,115
2,55,RandTop,8,2,-1480.64,-740.32,115
10,337,Random,4,1,-740.309,-740.309,5
9,303,LatMutate,4,1,-740.307,-740.307,5
4,140,Heredity,8,2,-1480.604,-740.302,2
9,311,Random,4,1,-740.29,-740.29,21
7,244,Heredity,8,2,-1480.573,-740.286,2
4,135,softmutate,8,2,-1480.557,-740.278,2
6,184,keptBest,8,2,-1480.557,-740.278,2
5,145,keptBest,8,2,-1480.557,-740.278,2
5,176,Heredity,8,2,-1480.544,-740.272,1
6,215,softmutate,8,2,-1480.545,-740.272,2
3,96,Heredity,8,2,-1480.525,-740.263,2
6,188,Random,4,1,-740.251,-740.251,6
6,190,Random,4,1,-740.247,-740.247,1
4,109,keptBest,8,2,-1480.47,-740.235,1
2,59,softmutate,8,2,-1480.47,-740.235,1
3,72,keptBest,8,2,-1480.47,-740.235,1
5,146,keptBest,8,2,-1480.47,-740.235,1
5,178,Heredity,8,2,-1480.454,-740.227,11
4,139,Permutate,8,2,-1480.447,-740.223,1
10,340,RandTop,4,1,-740.217,-740.217,6
3,83,Heredity,8,2,-1480.429,-740.214,2
6,186,Heredity,4,1,-740.207,-740.207,8
6,204,Heredity,8,2,-1480.402,-740.201,2
4,110,keptBest,8,2,-1480.387,-740.193,68
3,98,RandTop,8,2,-1480.387,-740.193,68
9,302,Random,4,1,-740.191,-740.191,1
9,299,Random,4,1,-740.19,-740.19,1
9,298,LatMutate,4,1,-740.188,-740.188,1
7,226,LatMutate,4,1,-740.187,-740.187,1
10,339,Permutate,4,1,-740.187,-740.187,1
9,317,Permutate,8,2,-1480.369,-740.184,1
4,125,Random,8,2,-1480.363,-740.182,8
6,198,Permutate,8,2,-1480.362,-740.181,6
9,309,softmutate,8,2,-1480.359,-740.18,31
4,126,LatMutate,8,2,-1480.343,-740.172,2
7,251,Heredity,8,2,-1480.341,-740.17,1
7,238,Random,8,2,-1480.334,-740.167,137
3,101,Heredity,8,2,-1480.329,-740.164,2
3,97,Random,8,2,-1480.315,-740.157,1
3,82,LatMutate,8,2,-1480.313,-740.156,8
5,174,softmutate,8,2,-1480.311,-740.155,1
4,132,softmutate,8,2,-1480.296,-740.148,1
6,213,Heredity,8,2,-1480.294,-740.147,2
5,165,Permutate,8,2,-1480.284,-740.142,2
2,34,keptBest,8,2,-1480.263,-740.132,4
3,73,keptBest,8,2,-1480.263,-740.132,4
1,15,Random,8,2,-1480.263,-740.132,4
6,212,Random,8,2,-1480.261,-740.131,2
6,199,softmutate,8,2,-1480.262,-740.131,4
6,211,Random,8,2,-1480.261,-740.13,1
5,177,Heredity,8,2,-1480.25,-740.125,2
1,20,RandTop,8,2,-1480.249,-740.124,26
2,35,keptBest,8,2,-1480.249,-740.124,26
8,275,softmutate,8,2,-1480.246,-740.123,1
3,106,softmutate,8,2,-1480.229,-740.115,1
