Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,183,keptBest,12,2,-782.119,-391.06,2
3,91,Heredity,12,2,-781.402,-390.701,2
4,120,Heredity,12,2,-781.402,-390.701,2
7,238,Heredity,12,2,-781.382,-390.691,1
6,210,Heredity,12,2,-781.38,-390.69,1
4,131,Heredity,12,2,-781.38,-390.69,2
3,69,keptBest,12,2,-781.38,-390.69,1
2,54,Heredity,12,2,-781.38,-390.69,1
5,166,Heredity,12,2,-781.376,-390.688,2
7,244,Heredity,12,2,-781.375,-390.687,2
4,108,keptBest,12,2,-781.372,-390.686,2
3,89,softmutate,12,2,-781.372,-390.686,2
5,146,keptBest,12,2,-781.372,-390.686,2
7,236,Heredity,12,2,-781.369,-390.685,12
7,251,softmutate,12,2,-781.371,-390.685,12
6,203,Heredity,12,2,-781.365,-390.682,1
7,219,keptBest,12,2,-781.362,-390.681,2
6,207,Heredity,12,2,-781.362,-390.681,2
7,232,Heredity,12,2,-781.36,-390.68,2
7,246,Heredity,12,2,-781.359,-390.679,2
6,199,Heredity,12,2,-781.313,-390.657,2
1,28,Random,12,2,-781.313,-390.656,11
2,33,keptBest,12,2,-781.313,-390.656,11
1,14,Random,6,1,-390.527,-390.527,6
7,254,RandTop,12,2,-781.033,-390.517,2
6,184,keptBest,12,2,-781.026,-390.513,59
5,171,softmutate,12,2,-781.026,-390.513,59
2,56,Heredity,12,2,-781.013,-390.506,2
2,58,Heredity,12,2,-780.956,-390.478,8
7,231,Permutate,12,2,-780.942,-390.471,1
5,147,keptBest,12,2,-780.932,-390.466,2
7,220,keptBest,12,2,-780.932,-390.466,2
4,142,Random,12,2,-780.932,-390.466,2
6,185,keptBest,12,2,-780.932,-390.466,2
5,158,Permutate,12,2,-780.923,-390.462,1
7,233,Heredity,12,2,-780.921,-390.461,2
6,201,Permutate,12,2,-780.92,-390.46,2
3,97,Heredity,12,2,-780.905,-390.453,1
6,204,Permutate,12,2,-780.902,-390.451,2
7,234,Permutate,12,2,-780.899,-390.449,2
4,119,Heredity,12,2,-780.874,-390.437,2
5,162,Permutate,12,2,-780.853,-390.427,11
6,212,LatMutate,12,2,-780.851,-390.426,6
6,214,softmutate,12,2,-780.823,-390.412,10
3,88,LatMutate,12,2,-780.789,-390.394,1
1,29,RandTop,12,2,-780.776,-390.388,1
4,126,Heredity,12,2,-780.771,-390.386,11
5,155,Heredity,12,2,-780.772,-390.386,2
6,211,Permutate,12,2,-780.771,-390.386,11
3,76,Heredity,12,2,-780.771,-390.385,1
2,62,Permutate,12,2,-780.768,-390.384,1
3,70,keptBest,12,2,-780.768,-390.384,1
1,16,RandTop,6,1,-390.377,-390.377,1
2,42,keptBest,6,1,-390.377,-390.377,1
5,177,Heredity,12,2,-780.75,-390.375,2
4,124,Permutate,12,2,-780.744,-390.372,1
5,165,Heredity,12,2,-780.694,-390.347,1
7,241,softmutate,12,2,-780.665,-390.333,2
3,86,Heredity,12,2,-780.667,-390.333,8
7,239,Heredity,12,2,-780.662,-390.331,2
5,168,softmutate,12,2,-780.661,-390.33,2
2,34,keptBest,12,2,-780.643,-390.322,2
1,26,Random,12,2,-780.643,-390.322,2
5,182,Random,12,2,-780.642,-390.321,2
4,127,Heredity,12,2,-780.641,-390.321,2
1,27,Random,12,2,-780.639,-390.319,3
7,249,Heredity,12,2,-780.634,-390.317,10
4,112,Random,6,1,-390.313,-390.313,10
3,93,Permutate,12,2,-780.624,-390.312,8
7,225,RandTop,6,1,-390.31,-390.31,10
5,150,Permutate,6,1,-390.31,-390.31,10
7,222,Random,6,1,-390.309,-390.309,10
1,24,RandTop,12,2,-780.612,-390.306,12
2,47,Heredity,12,2,-780.607,-390.303,1
4,138,Random,12,2,-780.604,-390.302,13
4,141,softmutate,12,2,-780.601,-390.301,11
3,90,softmutate,12,2,-780.595,-390.298,65
2,53,LatMutate,6,1,-390.297,-390.297,47
3,78,keptBest,6,1,-390.297,-390.297,47
3,99,Heredity,12,2,-780.592,-390.296,47
3,92,Heredity,12,2,-780.592,-390.296,47
4,140,softmutate,12,2,-780.583,-390.292,2
5,163,softmutate,12,2,-780.579,-390.29,2
