Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,80,keptBest,12,2,-3235.528,-1617.764,12
6,205,softmutate,12,2,-3235.089,-1617.544,2
5,174,softmutate,12,2,-3235.026,-1617.513,12
3,107,softmutate,12,2,-3234.938,-1617.469,1
2,64,softmutate,12,2,-3234.893,-1617.446,12
6,185,Permutate,12,2,-3234.891,-1617.446,2
3,81,keptBest,12,2,-3234.893,-1617.446,12
4,108,Heredity,12,2,-3234.89,-1617.445,12
6,194,keptBest,12,2,-3234.89,-1617.445,12
5,156,keptBest,12,2,-3234.89,-1617.445,12
6,195,keptBest,12,2,-3234.808,-1617.404,2
5,148,Heredity,12,2,-3234.808,-1617.404,2
5,163,RandTop,6,1,-1617.402,-1617.402,12
6,203,keptBest,6,1,-1617.402,-1617.402,12
5,173,Permutate,6,1,-1617.402,-1617.402,12
3,95,keptBest,6,1,-1617.401,-1617.401,12
5,167,keptBest,6,1,-1617.401,-1617.401,12
2,56,keptBest,6,1,-1617.401,-1617.401,12
4,134,keptBest,6,1,-1617.401,-1617.401,12
1,19,RandTop,6,1,-1617.401,-1617.401,12
6,183,Heredity,12,2,-3234.795,-1617.397,2
3,98,LatMutate,6,1,-1617.395,-1617.395,2
6,189,Heredity,12,2,-3234.789,-1617.394,2
3,100,LatMutate,6,1,-1617.392,-1617.392,12
2,68,LatMutate,6,1,-1617.389,-1617.389,71
2,67,Permutate,6,1,-1617.388,-1617.388,71
5,160,Heredity,6,1,-1617.388,-1617.388,71
2,57,keptBest,6,1,-1617.387,-1617.387,71
1,28,RandTop,6,1,-1617.387,-1617.387,71
4,141,LatMutate,6,1,-1617.387,-1617.387,71
5,178,LatMutate,6,1,-1617.386,-1617.386,71
2,65,LatMutate,6,1,-1617.386,-1617.386,12
4,135,softmutate,12,2,-3234.725,-1617.362,12
6,202,RandTop,12,2,-3234.66,-1617.33,2
4,114,Random,12,2,-3234.657,-1617.329,10
4,133,Heredity,6,1,-1617.322,-1617.322,2
5,169,keptBest,6,1,-1617.322,-1617.322,2
6,214,LatMutate,6,1,-1617.32,-1617.32,71
4,128,Heredity,6,1,-1617.319,-1617.319,12
3,101,LatMutate,6,1,-1617.319,-1617.319,2
5,153,Heredity,12,2,-3234.625,-1617.312,71
2,48,Heredity,6,1,-1617.285,-1617.285,2
6,200,Heredity,6,1,-1617.283,-1617.283,2
5,176,LatMutate,6,1,-1617.282,-1617.282,2
2,53,Heredity,6,1,-1617.281,-1617.281,2
3,87,Heredity,6,1,-1617.281,-1617.281,2
4,140,LatMutate,6,1,-1617.28,-1617.28,2
3,97,Permutate,6,1,-1617.279,-1617.279,2
6,206,Permutate,6,1,-1617.279,-1617.279,2
5,177,LatMutate,6,1,-1617.278,-1617.278,2
4,111,Permutate,12,2,-3234.556,-1617.278,12
4,142,LatMutate,6,1,-1617.278,-1617.278,2
4,120,softmutate,12,2,-3234.555,-1617.277,2
2,34,Heredity,12,2,-3234.546,-1617.273,2
2,36,Heredity,12,2,-3234.509,-1617.255,2
3,93,softmutate,12,2,-3234.508,-1617.254,12
4,109,Heredity,12,2,-3234.5,-1617.25,63
2,39,Heredity,12,2,-3234.493,-1617.246,2
5,147,Heredity,12,2,-3234.479,-1617.24,12
3,75,Heredity,12,2,-3234.472,-1617.236,2
5,170,softmutate,12,2,-3234.468,-1617.234,63
2,35,Heredity,12,2,-3234.461,-1617.23,11
4,121,Permutate,12,2,-3234.44,-1617.22,1
6,184,Permutate,12,2,-3234.425,-1617.212,12
3,105,softmutate,12,2,-3234.413,-1617.207,11
2,46,Permutate,12,2,-3234.389,-1617.194,2
5,159,Heredity,12,2,-3234.382,-1617.191,2
2,55,softmutate,12,2,-3234.369,-1617.185,12
3,96,softmutate,12,2,-3234.363,-1617.181,11
5,158,softmutate,12,2,-3234.348,-1617.174,63
5,149,Heredity,12,2,-3234.338,-1617.169,12
4,113,Heredity,12,2,-3234.327,-1617.164,12
2,60,RandTop,12,2,-3234.321,-1617.161,6
5,175,softmutate,12,2,-3234.314,-1617.157,6
2,62,softmutate,12,2,-3234.311,-1617.156,2
3,86,RandTop,12,2,-3234.298,-1617.149,12
6,211,softmutate,12,2,-3234.287,-1617.144,2
4,122,softmutate,12,2,-3234.277,-1617.139,2
3,73,Permutate,12,2,-3234.277,-1617.139,2
2,45,RandTop,12,2,-3234.276,-1617.138,11
2,38,Heredity,12,2,-3234.274,-1617.137,12
5,151,Heredity,12,2,-3234.273,-1617.136,11
1,5,Random,12,2,-3234.268,-1617.134,11
4,118,keptBest,12,2,-3234.25,-1617.125,2
3,77,Random,12,2,-3234.25,-1617.125,2
3,106,softmutate,12,2,-3234.243,-1617.121,10
4,119,keptBest,12,2,-3234.243,-1617.121,10
1,8,Random,12,2,-3234.233,-1617.116,2
4,138,softmutate,12,2,-3234.232,-1617.116,2
4,112,Permutate,12,2,-3234.21,-1617.105,2
6,212,RandTop,12,2,-3234.197,-1617.098,11
6,191,Heredity,12,2,-3234.189,-1617.095,12
1,26,Random,12,2,-3234.176,-1617.088,2
2,49,RandTop,12,2,-3234.171,-1617.086,5
1,31,RandTop,6,1,-1617.077,-1617.077,12
3,71,Heredity,12,2,-3234.148,-1617.074,2
2,43,Random,12,2,-3234.137,-1617.068,2
2,33,Heredity,12,2,-3234.128,-1617.064,2
4,124,Heredity,12,2,-3234.129,-1617.064,1
6,199,Heredity,6,1,-1617.055,-1617.055,2
4,131,RandTop,12,2,-3234.074,-1617.037,2
2,47,Random,12,2,-3234.071,-1617.036,1
3,90,Heredity,6,1,-1617.026,-1617.026,2
2,50,softmutate,12,2,-3234.047,-1617.024,12
4,129,softmutate,12,2,-3234.049,-1617.024,2
1,7,RandTop,12,2,-3234.043,-1617.022,2
5,145,Heredity,12,2,-3234.021,-1617.01,2
4,110,Heredity,12,2,-3234.012,-1617.006,2
3,74,Heredity,12,2,-3233.987,-1616.993,2
6,210,RandTop,12,2,-3233.964,-1616.982,2
1,29,Random,12,2,-3233.947,-1616.973,66
2,42,keptBest,12,2,-3233.947,-1616.973,66
3,82,keptBest,12,2,-3233.947,-1616.973,66
3,76,Heredity,12,2,-3233.947,-1616.973,2
3,99,softmutate,12,2,-3233.938,-1616.969,2
1,14,Random,12,2,-3233.927,-1616.964,66
5,180,Random,12,2,-3233.923,-1616.962,2
1,3,RandTop,12,2,-3233.91,-1616.955,176
2,40,Heredity,12,2,-3233.875,-1616.937,2
3,79,Random,12,2,-3233.861,-1616.931,5
1,2,RandTop,12,2,-3233.857,-1616.929,67
3,72,Permutate,12,2,-3233.857,-1616.928,2
