Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,169,keptBest,6,1,-675.189,-675.189,2
7,230,keptBest,12,2,-1350.108,-675.054,12
6,199,Permutate,12,2,-1349.907,-674.954,10
7,232,keptBest,12,2,-1349.907,-674.954,10
4,116,keptBest,12,2,-1349.906,-674.953,10
5,155,keptBest,12,2,-1349.906,-674.953,10
6,196,keptBest,12,2,-1349.906,-674.953,10
2,53,Permutate,12,2,-1349.906,-674.953,10
3,79,keptBest,12,2,-1349.906,-674.953,10
2,44,keptBest,12,2,-1349.905,-674.952,10
1,10,RandTop,12,2,-1349.905,-674.952,10
7,254,LatMutate,6,1,-674.929,-674.929,1
7,233,keptBest,12,2,-1349.857,-674.929,1
6,217,Random,12,2,-1349.857,-674.929,1
5,166,LatMutate,12,2,-1349.808,-674.904,11
7,249,softmutate,12,2,-1349.787,-674.894,1
3,74,Heredity,12,2,-1349.748,-674.874,2
3,97,Heredity,12,2,-1349.693,-674.846,2
5,156,keptBest,12,2,-1349.693,-674.846,2
6,197,keptBest,12,2,-1349.693,-674.846,2
7,234,keptBest,12,2,-1349.693,-674.846,2
4,117,keptBest,12,2,-1349.693,-674.846,2
6,193,Heredity,12,2,-1349.61,-674.805,2
3,91,softmutate,12,2,-1349.599,-674.8,2
4,130,softmutate,12,2,-1349.596,-674.798,2
5,167,softmutate,12,2,-1349.59,-674.795,2
7,250,softmutate,12,2,-1349.578,-674.789,2
2,43,Heredity,12,2,-1349.572,-674.786,2
3,80,keptBest,12,2,-1349.572,-674.786,2
6,192,Heredity,12,2,-1349.555,-674.777,2
7,256,RandTop,12,2,-1349.554,-674.777,2
7,225,Heredity,12,2,-1349.546,-674.773,2
7,222,Heredity,12,2,-1349.544,-674.772,2
2,46,keptBest,12,2,-1349.541,-674.771,2
1,23,RandTop,12,2,-1349.541,-674.771,2
1,4,Random,12,2,-1349.539,-674.77,2
6,208,keptBest,6,1,-674.767,-674.767,148
4,136,keptBest,6,1,-674.767,-674.767,148
2,56,keptBest,6,1,-674.767,-674.767,148
3,96,keptBest,6,1,-674.767,-674.767,148
5,170,keptBest,6,1,-674.767,-674.767,148
1,30,Random,6,1,-674.767,-674.767,148
4,140,LatMutate,6,1,-674.765,-674.765,148
7,248,LatMutate,6,1,-674.765,-674.765,148
2,65,LatMutate,6,1,-674.765,-674.765,148
5,174,LatMutate,6,1,-674.765,-674.765,148
1,24,Random,6,1,-674.765,-674.765,148
6,213,LatMutate,6,1,-674.765,-674.765,148
5,168,Random,6,1,-674.765,-674.765,148
2,62,LatMutate,6,1,-674.765,-674.765,148
1,25,Random,6,1,-674.765,-674.765,148
6,215,RandTop,6,1,-674.764,-674.764,148
4,138,RandTop,6,1,-674.764,-674.764,148
1,16,Random,6,1,-674.764,-674.764,148
2,64,Random,6,1,-674.764,-674.764,148
3,92,Heredity,6,1,-674.763,-674.763,148
1,22,RandTop,6,1,-674.763,-674.763,148
2,63,Random,6,1,-674.763,-674.763,148
5,175,Random,6,1,-674.763,-674.763,148
1,20,Random,6,1,-674.762,-674.762,148
