Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,110,keptBest,12,2,-979.666,-489.833,11
2,40,keptBest,12,2,-979.602,-489.801,2
6,203,Random,6,1,-489.769,-489.769,12
6,181,Heredity,12,2,-979.511,-489.755,11
3,82,Permutate,12,2,-979.322,-489.661,2
5,153,keptBest,12,2,-979.227,-489.613,2
4,105,Heredity,12,2,-979.227,-489.613,2
4,109,Heredity,12,2,-979.217,-489.609,2
4,111,Heredity,12,2,-979.176,-489.588,2
5,142,Permutate,12,2,-979.175,-489.588,2
4,115,Heredity,6,1,-489.587,-489.587,2
6,200,Heredity,6,1,-489.586,-489.586,2
5,173,LatMutate,6,1,-489.585,-489.585,2
4,136,LatMutate,6,1,-489.584,-489.584,2
6,212,LatMutate,6,1,-489.583,-489.583,1
5,148,Permutate,12,2,-979.164,-489.582,2
5,143,Heredity,12,2,-979.154,-489.577,2
5,145,Heredity,12,2,-979.155,-489.577,2
4,104,Heredity,12,2,-979.146,-489.573,2
5,144,Heredity,12,2,-979.145,-489.572,2
6,210,softmutate,12,2,-979.132,-489.566,12
5,172,Permutate,6,1,-489.561,-489.561,12
6,202,keptBest,6,1,-489.561,-489.561,12
5,150,Heredity,12,2,-979.121,-489.56,12
1,17,RandTop,12,2,-979.117,-489.558,10
4,125,keptBest,6,1,-489.556,-489.556,12
5,166,keptBest,6,1,-489.556,-489.556,12
3,88,keptBest,6,1,-489.556,-489.556,12
2,66,LatMutate,6,1,-489.556,-489.556,12
4,135,LatMutate,6,1,-489.553,-489.553,12
5,149,Heredity,12,2,-979.1,-489.55,2
6,179,Permutate,12,2,-979.095,-489.548,2
3,74,Heredity,12,2,-979.095,-489.548,2
3,72,Heredity,12,2,-979.097,-489.548,2
2,33,Heredity,12,2,-979.095,-489.547,2
6,184,Heredity,12,2,-979.094,-489.547,2
2,39,Heredity,12,2,-979.095,-489.547,2
2,50,Random,12,2,-979.093,-489.546,2
2,37,Permutate,12,2,-979.083,-489.541,11
6,187,Heredity,12,2,-979.069,-489.535,2
2,53,Heredity,12,2,-979.059,-489.53,2
6,186,Heredity,12,2,-979.052,-489.526,10
4,127,keptBest,6,1,-489.526,-489.526,2
3,93,LatMutate,6,1,-489.526,-489.526,2
4,131,Permutate,6,1,-489.525,-489.525,2
2,63,Random,12,2,-979.04,-489.52,2
5,141,Heredity,12,2,-979.026,-489.513,2
4,128,keptBest,6,1,-489.512,-489.512,1
3,89,keptBest,6,1,-489.512,-489.512,1
2,67,RandTop,6,1,-489.512,-489.512,1
2,36,Heredity,12,2,-979.017,-489.508,2
2,51,RandTop,12,2,-979.014,-489.507,2
2,69,Random,12,2,-979.013,-489.507,2
3,101,LatMutate,6,1,-489.506,-489.506,12
5,171,softmutate,12,2,-979.007,-489.504,11
4,106,Heredity,12,2,-979.009,-489.504,2
6,189,Heredity,12,2,-979.007,-489.503,11
5,146,Heredity,12,2,-978.995,-489.498,2
1,2,Random,12,2,-978.995,-489.498,2
2,55,Heredity,6,1,-489.486,-489.486,1
1,32,RandTop,12,2,-978.968,-489.484,2
4,132,RandTop,12,2,-978.951,-489.476,1
3,102,softmutate,12,2,-978.939,-489.469,2
3,71,Heredity,12,2,-978.927,-489.464,2
6,185,Random,12,2,-978.928,-489.464,123
6,199,softmutate,12,2,-978.928,-489.464,71
5,164,Random,12,2,-978.926,-489.463,2
2,64,RandTop,6,1,-489.449,-489.449,2
4,137,LatMutate,6,1,-489.447,-489.447,2
6,209,LatMutate,6,1,-489.446,-489.446,2
2,48,Heredity,6,1,-489.443,-489.443,12
3,90,keptBest,6,1,-489.443,-489.443,12
5,167,keptBest,6,1,-489.443,-489.443,12
6,204,keptBest,6,1,-489.443,-489.443,12
4,129,keptBest,6,1,-489.443,-489.443,12
2,58,keptBest,6,1,-489.442,-489.442,12
1,18,Random,6,1,-489.442,-489.442,12
5,154,Heredity,12,2,-978.87,-489.435,6
2,61,softmutate,12,2,-978.867,-489.433,2
2,38,Permutate,12,2,-978.864,-489.432,2
1,7,Random,12,2,-978.863,-489.431,6
2,42,keptBest,12,2,-978.863,-489.431,6
2,44,keptBest,12,2,-978.857,-489.429,2
1,3,Random,12,2,-978.857,-489.429,2
5,165,RandTop,12,2,-978.833,-489.417,2
5,147,Heredity,12,2,-978.831,-489.416,2
3,77,Heredity,12,2,-978.827,-489.414,2
4,133,RandTop,12,2,-978.828,-489.414,12
4,119,Random,12,2,-978.792,-489.396,12
6,214,softmutate,12,2,-978.788,-489.394,2
6,213,softmutate,12,2,-978.787,-489.393,11
2,57,Random,6,1,-489.382,-489.382,1
2,45,softmutate,12,2,-978.697,-489.348,2
1,15,Random,12,2,-978.658,-489.329,8
2,46,keptBest,12,2,-978.658,-489.329,8
3,79,Heredity,12,2,-978.652,-489.326,8
6,215,softmutate,12,2,-978.64,-489.32,2
4,134,softmutate,12,2,-978.636,-489.318,1
5,157,softmutate,12,2,-978.62,-489.31,1
4,140,softmutate,12,2,-978.578,-489.289,2
2,65,RandTop,6,1,-489.272,-489.272,1
4,139,softmutate,12,2,-978.535,-489.268,1
3,96,RandTop,12,2,-978.522,-489.261,11
6,191,Heredity,12,2,-978.466,-489.233,2
3,84,Heredity,12,2,-978.414,-489.207,1
3,94,softmutate,12,2,-978.399,-489.2,1
1,28,RandTop,6,1,-489.184,-489.184,148
3,97,RandTop,6,1,-489.179,-489.179,148
5,174,LatMutate,6,1,-489.178,-489.178,148
