Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,180,keptBest,12,2,-3445.603,-1722.802,65
8,274,LatMutate,6,1,-1721.521,-1721.521,38
8,290,RandTop,12,2,-3442.581,-1721.291,12
8,257,keptBest,12,2,-3442.525,-1721.262,6
6,181,keptBest,12,2,-3442.525,-1721.262,6
4,107,keptBest,12,2,-3442.525,-1721.262,6
3,91,Permutate,12,2,-3442.525,-1721.262,6
5,143,keptBest,12,2,-3442.525,-1721.262,6
7,219,keptBest,12,2,-3442.525,-1721.262,6
4,132,Random,12,2,-3442.519,-1721.259,6
4,108,keptBest,12,2,-3442.326,-1721.163,12
3,102,Random,12,2,-3442.326,-1721.163,12
5,144,keptBest,12,2,-3442.326,-1721.163,12
7,220,keptBest,12,2,-3442.326,-1721.163,12
8,258,keptBest,12,2,-3442.326,-1721.163,12
6,182,keptBest,12,2,-3442.326,-1721.163,12
8,266,keptBest,6,1,-1721.022,-1721.022,12
7,228,keptBest,6,1,-1721.022,-1721.022,12
6,202,LatMutate,6,1,-1721.022,-1721.022,12
3,70,keptBest,12,2,-3441.85,-1720.925,1
2,33,keptBest,12,2,-3441.85,-1720.925,1
1,30,Random,12,2,-3441.85,-1720.925,1
1,23,Random,12,2,-3441.838,-1720.919,6
5,172,Random,12,2,-3441.648,-1720.824,1
7,221,keptBest,12,2,-3441.561,-1720.781,8
8,259,keptBest,12,2,-3441.561,-1720.781,8
6,211,RandTop,12,2,-3441.561,-1720.781,8
3,73,Heredity,6,1,-1720.694,-1720.694,71
6,188,keptBest,6,1,-1720.694,-1720.694,71
4,110,keptBest,6,1,-1720.694,-1720.694,71
5,153,keptBest,6,1,-1720.694,-1720.694,71
2,48,RandTop,6,1,-1720.692,-1720.692,71
3,79,keptBest,6,1,-1720.692,-1720.692,71
7,231,Heredity,6,1,-1720.69,-1720.69,71
4,114,Heredity,6,1,-1720.69,-1720.69,71
3,87,Heredity,6,1,-1720.673,-1720.673,71
6,192,keptBest,6,1,-1720.597,-1720.597,2
4,111,keptBest,6,1,-1720.597,-1720.597,2
2,38,Permutate,6,1,-1720.597,-1720.597,2
5,154,keptBest,6,1,-1720.597,-1720.597,2
3,80,keptBest,6,1,-1720.597,-1720.597,2
7,224,Random,6,1,-1720.584,-1720.584,2
4,109,keptBest,12,2,-3441.125,-1720.562,191
3,101,Random,12,2,-3441.125,-1720.562,191
4,121,Permutate,12,2,-3441.079,-1720.54,8
3,75,RandTop,6,1,-1720.526,-1720.526,1
8,262,Random,6,1,-1720.524,-1720.524,166
6,200,RandTop,6,1,-1720.523,-1720.523,1
2,66,softmutate,12,2,-3441.018,-1720.509,1
2,34,keptBest,12,2,-3440.886,-1720.443,8
3,71,keptBest,12,2,-3440.886,-1720.443,8
1,19,Random,12,2,-3440.886,-1720.443,8
8,270,Permutate,6,1,-1720.432,-1720.432,8
4,130,RandTop,12,2,-3440.845,-1720.422,2
7,232,RandTop,6,1,-1720.42,-1720.42,8
7,240,LatMutate,6,1,-1720.418,-1720.418,12
3,89,Permutate,6,1,-1720.418,-1720.418,12
5,155,Permutate,6,1,-1720.418,-1720.418,12
4,120,Random,6,1,-1720.417,-1720.417,8
2,36,Heredity,6,1,-1720.417,-1720.417,12
3,83,keptBest,6,1,-1720.417,-1720.417,12
8,261,Heredity,6,1,-1720.416,-1720.416,12
2,43,Heredity,6,1,-1720.416,-1720.416,12
7,227,Permutate,6,1,-1720.416,-1720.416,12
1,8,Random,6,1,-1720.416,-1720.416,12
2,41,keptBest,6,1,-1720.416,-1720.416,12
7,236,Permutate,6,1,-1720.415,-1720.415,12
8,265,Permutate,6,1,-1720.415,-1720.415,8
6,191,Random,6,1,-1720.411,-1720.411,12
1,10,Random,6,1,-1720.403,-1720.403,12
6,185,Permutate,6,1,-1720.4,-1720.4,12
3,77,Permutate,6,1,-1720.4,-1720.4,12
6,210,Heredity,12,2,-3440.801,-1720.4,1
3,86,Heredity,6,1,-1720.399,-1720.399,12
6,195,Random,6,1,-1720.399,-1720.399,12
7,230,Heredity,6,1,-1720.399,-1720.399,12
4,112,Heredity,6,1,-1720.399,-1720.399,1
2,40,LatMutate,6,1,-1720.396,-1720.396,12
6,184,Heredity,6,1,-1720.395,-1720.395,6
5,158,Heredity,12,2,-3440.735,-1720.368,15
2,44,keptBest,6,1,-1720.348,-1720.348,5
1,9,Random,6,1,-1720.348,-1720.348,5
1,7,Random,6,1,-1720.348,-1720.348,5
5,161,Random,6,1,-1720.337,-1720.337,5
6,216,Random,12,2,-3440.637,-1720.319,1
5,159,Heredity,12,2,-3440.613,-1720.306,12
1,29,RandTop,12,2,-3440.613,-1720.306,6
5,169,Random,12,2,-3440.611,-1720.305,2
1,32,RandTop,12,2,-3440.598,-1720.299,4
1,24,RandTop,12,2,-3440.588,-1720.294,5
2,57,RandTop,12,2,-3440.556,-1720.278,2
4,137,Permutate,12,2,-3440.546,-1720.273,1
6,215,Permutate,12,2,-3440.535,-1720.268,1
1,3,RandTop,6,1,-1720.267,-1720.267,6
2,49,keptBest,6,1,-1720.267,-1720.267,6
1,25,Random,12,2,-3440.528,-1720.264,1
7,246,Random,12,2,-3440.516,-1720.258,2
3,92,Heredity,12,2,-3440.489,-1720.245,5
8,282,Heredity,12,2,-3440.478,-1720.239,5
6,198,Heredity,12,2,-3440.451,-1720.226,2
7,222,Heredity,6,1,-1720.226,-1720.226,6
5,145,Heredity,6,1,-1720.162,-1720.162,1
7,234,LatMutate,6,1,-1720.159,-1720.159,12
4,140,Heredity,12,2,-3440.316,-1720.158,1
5,167,Permutate,12,2,-3440.308,-1720.154,1
6,183,Heredity,6,1,-1720.142,-1720.142,65
8,275,Heredity,12,2,-3440.256,-1720.128,1
6,186,Heredity,6,1,-1720.121,-1720.121,6
3,82,Heredity,6,1,-1720.12,-1720.12,6
4,136,Permutate,12,2,-3440.237,-1720.119,1
8,268,Random,6,1,-1720.116,-1720.116,6
7,223,Heredity,6,1,-1720.104,-1720.104,8
5,171,Permutate,12,2,-3440.197,-1720.099,1
8,286,Permutate,12,2,-3440.187,-1720.093,1
4,128,RandTop,12,2,-3440.183,-1720.092,2
2,58,Permutate,12,2,-3440.164,-1720.082,1
7,242,Permutate,12,2,-3440.145,-1720.073,1
1,27,RandTop,12,2,-3440.147,-1720.073,8
3,97,Random,12,2,-3440.138,-1720.069,1
2,53,Heredity,12,2,-3440.121,-1720.06,1
4,129,Heredity,12,2,-3440.114,-1720.057,8
5,173,Random,12,2,-3440.085,-1720.042,3
6,193,LatMutate,6,1,-1720.025,-1720.025,12
3,74,Random,6,1,-1720.025,-1720.025,12
6,189,Random,6,1,-1720.025,-1720.025,1
5,163,LatMutate,6,1,-1720.024,-1720.024,12
2,50,LatMutate,6,1,-1720.021,-1720.021,12
1,20,RandTop,12,2,-3440.043,-1720.021,1
1,28,RandTop,12,2,-3440.027,-1720.013,1
5,170,RandTop,12,2,-3440.017,-1720.008,2
4,113,Heredity,6,1,-1720.008,-1720.008,2
5,147,Random,6,1,-1720.008,-1720.008,2
7,229,Heredity,6,1,-1720.005,-1720.005,1
1,22,RandTop,12,2,-3440.003,-1720.001,7
3,81,Heredity,6,1,-1719.989,-1719.989,1
4,134,Heredity,12,2,-3439.964,-1719.982,1
8,271,LatMutate,6,1,-1719.971,-1719.971,139
1,13,Random,6,1,-1719.963,-1719.963,44
2,47,RandTop,6,1,-1719.954,-1719.954,1
7,250,Heredity,12,2,-3439.903,-1719.951,1
3,78,LatMutate,6,1,-1719.951,-1719.951,1
8,267,Heredity,6,1,-1719.947,-1719.947,1
3,72,Heredity,6,1,-1719.943,-1719.943,1
6,205,Heredity,12,2,-3439.851,-1719.925,1
2,63,softmutate,12,2,-3439.833,-1719.917,1
1,14,Random,12,2,-3439.826,-1719.913,69
6,207,RandTop,12,2,-3439.811,-1719.906,2
5,149,RandTop,6,1,-1719.906,-1719.906,1
7,254,RandTop,12,2,-3439.786,-1719.893,1
4,115,Random,6,1,-1719.88,-1719.88,1
4,126,Random,12,2,-3439.756,-1719.878,186
6,217,Permutate,12,2,-3439.756,-1719.878,1
7,253,Random,12,2,-3439.709,-1719.854,1
2,64,Heredity,12,2,-3439.708,-1719.854,1
8,287,softmutate,12,2,-3439.701,-1719.851,2
4,141,softmutate,12,2,-3439.692,-1719.846,1
