Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,94,RandTop,12,2,-1332.071,-666.035,12
6,186,keptBest,6,1,-665.867,-665.867,1
6,194,LatMutate,6,1,-665.866,-665.866,1
4,108,Heredity,6,1,-665.827,-665.827,5
4,109,Heredity,6,1,-665.827,-665.827,5
5,147,keptBest,6,1,-665.827,-665.827,5
3,75,keptBest,6,1,-665.807,-665.807,5
4,117,keptBest,6,1,-665.807,-665.807,5
2,45,softmutate,6,1,-665.807,-665.807,5
4,118,keptBest,6,1,-665.772,-665.772,1
2,53,LatMutate,6,1,-665.772,-665.772,1
3,76,keptBest,6,1,-665.772,-665.772,1
3,82,Heredity,6,1,-665.635,-665.635,1
2,46,Random,6,1,-665.608,-665.608,1
1,15,Random,6,1,-665.603,-665.603,1
2,34,keptBest,6,1,-665.603,-665.603,1
7,220,Permutate,6,1,-665.582,-665.582,5
6,188,keptBest,6,1,-665.58,-665.58,5
5,150,keptBest,6,1,-665.58,-665.58,5
7,226,keptBest,6,1,-665.58,-665.58,5
3,85,Permutate,6,1,-665.58,-665.58,5
4,121,keptBest,6,1,-665.58,-665.58,5
4,114,Heredity,6,1,-665.574,-665.574,1
3,72,Permutate,6,1,-665.557,-665.557,1
3,81,Heredity,6,1,-665.524,-665.524,1
3,69,Heredity,6,1,-665.523,-665.523,1
1,19,Random,12,2,-1330.988,-665.494,4
7,250,softmutate,12,2,-1330.954,-665.477,1
5,152,Permutate,12,2,-1330.874,-665.437,1
7,227,Heredity,6,1,-665.396,-665.396,5
7,231,Permutate,6,1,-665.39,-665.39,8
6,181,keptBest,12,2,-1330.731,-665.366,1
5,145,keptBest,12,2,-1330.731,-665.366,1
4,140,RandTop,12,2,-1330.731,-665.366,1
7,218,keptBest,12,2,-1330.731,-665.366,1
6,203,Heredity,12,2,-1330.57,-665.285,2
4,107,keptBest,12,2,-1330.57,-665.285,2
3,101,softmutate,12,2,-1330.57,-665.285,2
4,138,Heredity,12,2,-1330.467,-665.234,1
4,132,Heredity,12,2,-1330.411,-665.205,1
3,83,keptBest,6,1,-665.192,-665.192,8
1,6,Random,6,1,-665.192,-665.192,8
2,38,keptBest,6,1,-665.192,-665.192,8
1,2,RandTop,6,1,-665.184,-665.184,8
3,86,keptBest,6,1,-665.184,-665.184,8
2,41,keptBest,6,1,-665.184,-665.184,8
3,87,keptBest,6,1,-665.183,-665.183,1
2,39,Heredity,6,1,-665.183,-665.183,1
4,111,Permutate,6,1,-665.182,-665.182,8
4,112,Permutate,6,1,-665.181,-665.181,8
2,33,keptBest,12,2,-1330.318,-665.159,2
1,24,RandTop,12,2,-1330.318,-665.159,2
6,182,keptBest,12,2,-1330.203,-665.102,2
4,135,softmutate,12,2,-1330.203,-665.102,2
5,146,keptBest,12,2,-1330.203,-665.102,2
7,219,keptBest,12,2,-1330.203,-665.102,2
7,243,Heredity,12,2,-1330.142,-665.071,1
1,1,Random,6,1,-665.047,-665.047,2
2,42,keptBest,6,1,-665.047,-665.047,2
6,191,LatMutate,6,1,-665.041,-665.041,8
3,78,Heredity,6,1,-665.04,-665.04,8
4,141,RandTop,12,2,-1330.079,-665.039,1
3,104,softmutate,12,2,-1330.066,-665.033,1
4,115,Heredity,6,1,-665.033,-665.033,1
6,211,Random,12,2,-1330.062,-665.031,1
6,210,Random,12,2,-1329.986,-664.993,8
6,213,Heredity,12,2,-1329.985,-664.992,1
5,156,Permutate,12,2,-1329.955,-664.977,8
2,51,Heredity,6,1,-664.961,-664.961,1
6,190,Permutate,12,2,-1329.911,-664.956,1
5,157,Permutate,12,2,-1329.907,-664.953,1
5,149,Heredity,6,1,-664.949,-664.949,1
3,91,LatMutate,6,1,-664.945,-664.945,1
1,16,RandTop,6,1,-664.877,-664.877,1
7,232,Heredity,12,2,-1329.717,-664.858,1
2,36,Heredity,6,1,-664.854,-664.854,1
1,25,Random,12,2,-1329.699,-664.85,1
1,13,Random,6,1,-664.843,-664.843,1
3,71,Heredity,6,1,-664.827,-664.827,5
5,179,Random,12,2,-1329.636,-664.818,1
6,189,Permutate,12,2,-1329.617,-664.808,1
5,173,Heredity,12,2,-1329.602,-664.801,1
3,77,Heredity,6,1,-664.78,-664.78,1
1,30,RandTop,12,2,-1329.498,-664.749,2
7,252,RandTop,12,2,-1329.498,-664.749,1
7,244,softmutate,12,2,-1329.478,-664.739,1
6,195,Heredity,12,2,-1329.459,-664.729,1
3,100,Random,12,2,-1329.442,-664.721,1
4,125,LatMutate,6,1,-664.72,-664.72,1
2,50,Heredity,6,1,-664.707,-664.707,1
3,102,Random,12,2,-1329.391,-664.696,1
5,163,softmutate,12,2,-1329.364,-664.682,1
7,247,Random,12,2,-1329.36,-664.68,1
2,60,softmutate,12,2,-1329.323,-664.662,2
7,242,Random,12,2,-1329.317,-664.658,1
4,126,Random,6,1,-664.641,-664.641,1
7,223,Random,6,1,-664.628,-664.628,1
2,37,Heredity,6,1,-664.624,-664.624,1
6,215,RandTop,12,2,-1329.239,-664.62,1
6,208,softmutate,12,2,-1329.224,-664.612,1
1,12,RandTop,12,2,-1329.212,-664.606,12
2,66,RandTop,12,2,-1329.204,-664.602,1
5,153,LatMutate,6,1,-664.601,-664.601,1
2,35,Heredity,6,1,-664.596,-664.596,1
1,10,RandTop,6,1,-664.594,-664.594,1
7,249,softmutate,12,2,-1329.185,-664.593,1
4,116,Heredity,6,1,-664.585,-664.585,1
5,171,Heredity,12,2,-1329.159,-664.579,1
5,175,Random,12,2,-1329.146,-664.573,1
4,136,Heredity,12,2,-1329.099,-664.549,1
7,251,RandTop,12,2,-1329.08,-664.54,1
