Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
10,330,Heredity,6,1,-2948.615,-2948.615,139
10,357,Permutate,12,2,-5896.742,-2948.371,1
6,195,LatMutate,6,1,-2948.266,-2948.266,38
7,233,Permutate,6,1,-2948.259,-2948.259,38
9,294,Heredity,6,1,-2948.239,-2948.239,6
8,266,Heredity,6,1,-2948.234,-2948.234,8
8,269,Permutate,6,1,-2948.215,-2948.215,38
7,230,LatMutate,6,1,-2948.206,-2948.206,38
10,341,Heredity,6,1,-2948.189,-2948.189,69
9,316,Heredity,6,1,-2948.159,-2948.159,1
8,259,keptBest,6,1,-2948.075,-2948.075,71
10,335,keptBest,6,1,-2948.075,-2948.075,71
7,225,Heredity,6,1,-2948.075,-2948.075,71
9,301,keptBest,6,1,-2948.075,-2948.075,71
8,270,LatMutate,6,1,-2947.943,-2947.943,38
8,274,Heredity,6,1,-2947.933,-2947.933,71
8,284,Permutate,12,2,-5895.845,-2947.923,1
10,336,keptBest,6,1,-2947.781,-2947.781,69
9,299,LatMutate,6,1,-2947.781,-2947.781,69
7,229,keptBest,6,1,-2947.768,-2947.768,8
6,188,keptBest,6,1,-2947.768,-2947.768,8
5,158,LatMutate,6,1,-2947.768,-2947.768,8
6,199,Heredity,6,1,-2947.759,-2947.759,38
10,345,LatMutate,6,1,-2947.742,-2947.742,166
9,290,keptBest,12,2,-5895.069,-2947.534,119
10,327,keptBest,12,2,-5895.069,-2947.534,119
7,255,softmutate,12,2,-5895.069,-2947.534,119
8,256,keptBest,12,2,-5895.069,-2947.534,119
9,291,keptBest,12,2,-5895.045,-2947.523,2
10,328,keptBest,12,2,-5895.045,-2947.523,2
8,281,softmutate,12,2,-5895.045,-2947.523,2
5,165,LatMutate,6,1,-2947.436,-2947.436,1
10,349,Random,12,2,-5894.834,-2947.417,63
10,344,Permutate,6,1,-2947.29,-2947.29,38
6,181,keptBest,12,2,-5894.49,-2947.245,1
7,219,keptBest,12,2,-5894.49,-2947.245,1
4,107,keptBest,12,2,-5894.49,-2947.245,1
8,257,keptBest,12,2,-5894.49,-2947.245,1
3,70,keptBest,12,2,-5894.49,-2947.245,1
2,61,Random,12,2,-5894.49,-2947.245,1
5,144,keptBest,12,2,-5894.49,-2947.245,1
9,305,keptBest,6,1,-2947.233,-2947.233,6
8,268,Heredity,6,1,-2947.233,-2947.233,6
6,217,softmutate,12,2,-5894.457,-2947.228,1
8,260,keptBest,6,1,-2947.2,-2947.2,38
7,232,keptBest,6,1,-2947.2,-2947.2,38
6,192,keptBest,6,1,-2947.2,-2947.2,38
4,117,Random,6,1,-2947.2,-2947.2,38
5,155,keptBest,6,1,-2947.2,-2947.2,38
5,150,Permutate,6,1,-2947.164,-2947.164,8
6,185,Permutate,6,1,-2947.164,-2947.164,8
3,74,Permutate,6,1,-2947.162,-2947.162,8
2,36,Heredity,6,1,-2947.156,-2947.156,8
3,104,RandTop,12,2,-5894.303,-2947.152,11
4,108,keptBest,12,2,-5894.303,-2947.152,11
6,182,keptBest,12,2,-5894.303,-2947.152,11
7,220,keptBest,12,2,-5894.303,-2947.152,11
5,145,keptBest,12,2,-5894.303,-2947.152,11
4,111,Heredity,6,1,-2947.151,-2947.151,8
3,71,keptBest,12,2,-5894.301,-2947.15,11
2,32,keptBest,12,2,-5894.301,-2947.15,11
1,25,RandTop,12,2,-5894.301,-2947.15,11
7,249,Heredity,12,2,-5894.286,-2947.143,1
7,223,Heredity,6,1,-2947.138,-2947.138,8
9,326,softmutate,12,2,-5894.261,-2947.131,1
7,251,Heredity,12,2,-5894.219,-2947.11,1
10,339,RandTop,6,1,-2947.107,-2947.107,8
6,193,keptBest,6,1,-2947.077,-2947.077,8
5,156,keptBest,6,1,-2947.077,-2947.077,8
2,46,RandTop,6,1,-2947.077,-2947.077,8
4,113,keptBest,6,1,-2947.077,-2947.077,8
3,76,keptBest,6,1,-2947.077,-2947.077,8
5,177,Permutate,12,2,-5894.15,-2947.075,1
8,287,Heredity,12,2,-5894.145,-2947.073,1
4,135,Permutate,12,2,-5894.144,-2947.072,1
7,252,softmutate,12,2,-5894.138,-2947.069,1
10,353,Heredity,12,2,-5894.055,-2947.027,11
9,293,LatMutate,6,1,-2946.981,-2946.981,8
9,303,LatMutate,6,1,-2946.979,-2946.979,8
8,286,Heredity,12,2,-5893.926,-2946.963,1
4,115,keptBest,6,1,-2946.931,-2946.931,8
5,157,keptBest,6,1,-2946.931,-2946.931,8
3,75,Permutate,6,1,-2946.931,-2946.931,8
5,151,Permutate,6,1,-2946.929,-2946.929,8
4,112,Permutate,6,1,-2946.927,-2946.927,8
7,221,Permutate,6,1,-2946.921,-2946.921,8
9,292,Heredity,6,1,-2946.915,-2946.915,8
