Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,189,Permutate,6,1,-2292.011,-2292.011,12
8,288,Permutate,12,2,-4583.588,-2291.794,2
10,352,Permutate,6,1,-2291.781,-2291.781,8
8,266,keptBest,6,1,-2291.78,-2291.78,44
10,345,keptBest,6,1,-2291.78,-2291.78,44
9,306,keptBest,6,1,-2291.78,-2291.78,44
7,228,Heredity,6,1,-2291.78,-2291.78,44
7,221,Heredity,6,1,-2291.778,-2291.778,8
7,231,Permutate,6,1,-2291.776,-2291.776,8
8,274,Permutate,6,1,-2291.776,-2291.776,44
8,272,Heredity,6,1,-2291.775,-2291.775,44
9,310,Permutate,6,1,-2291.774,-2291.774,8
6,200,Heredity,6,1,-2291.771,-2291.771,44
8,260,Heredity,6,1,-2291.771,-2291.771,42
7,229,keptBest,6,1,-2291.771,-2291.771,44
6,214,LatMutate,6,1,-2291.763,-2291.763,44
5,164,Permutate,12,2,-4583.525,-2291.762,11
8,264,Heredity,6,1,-2291.758,-2291.758,1
10,339,Permutate,6,1,-2291.749,-2291.749,42
10,353,Permutate,6,1,-2291.733,-2291.733,42
8,262,Permutate,6,1,-2291.725,-2291.725,42
6,188,Permutate,6,1,-2291.725,-2291.725,42
9,300,Permutate,6,1,-2291.724,-2291.724,42
7,242,Random,12,2,-4583.428,-2291.714,87
10,343,Heredity,6,1,-2291.673,-2291.673,44
10,355,Heredity,6,1,-2291.672,-2291.672,44
8,284,RandTop,6,1,-2291.567,-2291.567,2
10,346,keptBest,6,1,-2291.432,-2291.432,8
8,267,keptBest,6,1,-2291.432,-2291.432,8
7,220,Heredity,6,1,-2291.432,-2291.432,8
9,307,keptBest,6,1,-2291.432,-2291.432,8
7,218,keptBest,12,2,-4582.86,-2291.43,1
4,143,Random,12,2,-4582.86,-2291.43,1
5,144,keptBest,12,2,-4582.86,-2291.43,1
6,180,keptBest,12,2,-4582.86,-2291.43,1
9,304,Heredity,6,1,-2291.417,-2291.417,8
7,230,keptBest,6,1,-2291.388,-2291.388,42
5,161,LatMutate,6,1,-2291.388,-2291.388,42
6,195,keptBest,6,1,-2291.388,-2291.388,42
10,347,keptBest,6,1,-2291.388,-2291.388,42
9,308,keptBest,6,1,-2291.388,-2291.388,42
8,268,keptBest,6,1,-2291.388,-2291.388,42
9,313,Heredity,6,1,-2291.383,-2291.383,8
6,198,LatMutate,6,1,-2291.373,-2291.373,42
9,297,Heredity,6,1,-2291.364,-2291.364,6
6,184,Heredity,6,1,-2291.353,-2291.353,8
10,356,LatMutate,6,1,-2291.352,-2291.352,12
5,159,Permutate,6,1,-2291.348,-2291.348,6
