Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,188,keptBest,6,1,-2576.264,-2576.264,1
7,241,Heredity,12,2,-5152.29,-2576.145,36
5,145,keptBest,12,2,-5152.123,-2576.061,36
4,140,softmutate,12,2,-5152.123,-2576.061,36
7,218,keptBest,12,2,-5152.123,-2576.061,36
6,181,keptBest,12,2,-5152.123,-2576.061,36
4,108,keptBest,12,2,-5152.091,-2576.046,63
2,52,Random,12,2,-5152.091,-2576.046,63
3,70,keptBest,12,2,-5152.091,-2576.046,63
1,14,RandTop,12,2,-5152.072,-2576.036,63
2,33,keptBest,12,2,-5152.072,-2576.036,63
5,162,Permutate,12,2,-5151.935,-2575.967,1
1,16,Random,12,2,-5151.841,-2575.921,2
3,71,keptBest,12,2,-5151.841,-2575.921,2
2,34,keptBest,12,2,-5151.841,-2575.921,2
4,109,keptBest,12,2,-5151.841,-2575.921,2
7,233,Random,6,1,-2575.819,-2575.819,8
1,26,Random,12,2,-5151.607,-2575.803,1
7,227,Heredity,6,1,-2575.716,-2575.716,1
7,225,keptBest,6,1,-2575.716,-2575.716,1
6,194,Random,6,1,-2575.716,-2575.716,1
5,180,Random,12,2,-5151.422,-2575.711,1
2,61,RandTop,12,2,-5151.335,-2575.667,11
5,146,keptBest,12,2,-5151.335,-2575.667,11
4,110,keptBest,12,2,-5151.335,-2575.667,11
3,72,keptBest,12,2,-5151.335,-2575.667,11
6,204,Permutate,12,2,-5151.319,-2575.659,1
7,228,keptBest,6,1,-2575.593,-2575.593,5
6,190,keptBest,6,1,-2575.593,-2575.593,5
5,149,Permutate,6,1,-2575.593,-2575.593,5
4,119,Permutate,6,1,-2575.589,-2575.589,5
5,150,Permutate,6,1,-2575.589,-2575.589,5
4,139,Permutate,12,2,-5151.177,-2575.588,1
4,129,Heredity,12,2,-5151.173,-2575.586,1
4,118,Permutate,6,1,-2575.582,-2575.582,1
2,50,LatMutate,6,1,-2575.581,-2575.581,5
4,112,Random,6,1,-2575.576,-2575.576,5
3,76,keptBest,6,1,-2575.558,-2575.558,5
5,151,keptBest,6,1,-2575.558,-2575.558,5
4,121,keptBest,6,1,-2575.558,-2575.558,5
2,41,keptBest,6,1,-2575.558,-2575.558,5
1,8,Random,6,1,-2575.558,-2575.558,5
7,229,Permutate,6,1,-2575.544,-2575.544,1
7,219,keptBest,12,2,-5151.056,-2575.528,2
6,207,Heredity,12,2,-5151.056,-2575.528,2
1,22,Random,12,2,-5151.039,-2575.52,5
3,73,keptBest,12,2,-5151.039,-2575.52,5
2,35,keptBest,12,2,-5151.039,-2575.52,5
1,23,Random,12,2,-5151.026,-2575.513,1
7,236,RandTop,6,1,-2575.501,-2575.501,139
2,39,LatMutate,6,1,-2575.491,-2575.491,1
3,86,LatMutate,6,1,-2575.471,-2575.471,1
6,216,RandTop,12,2,-5150.907,-2575.454,1
6,197,softmutate,12,2,-5150.906,-2575.453,41
6,182,keptBest,12,2,-5150.903,-2575.452,6
5,159,Heredity,12,2,-5150.903,-2575.452,6
6,206,Heredity,12,2,-5150.898,-2575.449,1
6,195,Heredity,12,2,-5150.864,-2575.432,2
3,106,RandTop,12,2,-5150.777,-2575.388,11
4,143,Permutate,12,2,-5150.772,-2575.386,1
5,174,Permutate,12,2,-5150.756,-2575.378,1
6,183,keptBest,12,2,-5150.756,-2575.378,1
5,176,softmutate,12,2,-5150.737,-2575.369,2
3,84,Random,6,1,-2575.368,-2575.368,1
7,234,LatMutate,6,1,-2575.36,-2575.36,21
6,214,Random,12,2,-5150.72,-2575.36,1
2,47,Heredity,12,2,-5150.712,-2575.356,1
2,69,RandTop,12,2,-5150.692,-2575.346,2
2,49,softmutate,12,2,-5150.69,-2575.345,2
2,44,Heredity,12,2,-5150.675,-2575.338,11
4,126,LatMutate,6,1,-2575.337,-2575.337,8
5,153,keptBest,6,1,-2575.337,-2575.337,8
5,170,RandTop,12,2,-5150.66,-2575.33,11
2,36,keptBest,12,2,-5150.586,-2575.293,4
1,24,Random,12,2,-5150.586,-2575.293,4
7,250,RandTop,12,2,-5150.573,-2575.286,1
5,157,RandTop,6,1,-2575.281,-2575.281,44
5,179,Random,12,2,-5150.543,-2575.272,5
4,141,Permutate,12,2,-5150.494,-2575.247,1
7,252,Random,12,2,-5150.486,-2575.243,1
1,17,Random,12,2,-5150.472,-2575.236,1
3,101,Permutate,12,2,-5150.395,-2575.198,1
3,95,Permutate,12,2,-5150.382,-2575.191,1
5,175,Random,12,2,-5150.377,-2575.189,1
1,18,Random,12,2,-5150.361,-2575.181,1
4,122,RandTop,6,1,-2575.176,-2575.176,12
6,185,RandTop,6,1,-2575.171,-2575.171,12
5,156,RandTop,6,1,-2575.169,-2575.169,3
1,30,RandTop,12,2,-5150.29,-2575.145,1
1,25,Random,12,2,-5150.265,-2575.133,8
7,222,Heredity,6,1,-2575.131,-2575.131,8
6,209,RandTop,12,2,-5150.257,-2575.128,8
6,203,softmutate,12,2,-5150.25,-2575.125,2
2,64,Permutate,12,2,-5150.222,-2575.111,1
3,88,Heredity,12,2,-5150.218,-2575.109,1
7,226,Heredity,6,1,-2575.075,-2575.075,2
2,67,Permutate,12,2,-5150.125,-2575.063,1
5,172,Permutate,12,2,-5150.12,-2575.06,1
5,168,Permutate,12,2,-5150.117,-2575.058,1
1,12,Random,6,1,-2575.056,-2575.056,2
3,104,RandTop,12,2,-5150.101,-2575.051,11
3,79,LatMutate,6,1,-2575.036,-2575.036,5
1,28,Random,12,2,-5150.065,-2575.033,1
4,123,RandTop,6,1,-2575.029,-2575.029,38
4,125,LatMutate,6,1,-2575.019,-2575.019,12
7,253,RandTop,12,2,-5150.036,-2575.018,11
3,87,Heredity,12,2,-5150.017,-2575.009,2
6,202,softmutate,12,2,-5149.931,-2574.965,2
7,239,softmutate,12,2,-5149.925,-2574.962,11
7,238,Heredity,12,2,-5149.92,-2574.96,2
4,134,Random,12,2,-5149.91,-2574.955,31
5,166,Heredity,12,2,-5149.896,-2574.948,2
7,247,Random,12,2,-5149.888,-2574.944,1
7,244,Heredity,12,2,-5149.875,-2574.938,1
2,38,Random,6,1,-2574.921,-2574.921,5
4,144,Random,12,2,-5149.8,-2574.9,1
1,21,RandTop,12,2,-5149.787,-2574.893,6
6,189,RandTop,6,1,-2574.892,-2574.892,99
4,135,Heredity,12,2,-5149.737,-2574.869,2
7,243,Heredity,12,2,-5149.714,-2574.857,1
4,142,Heredity,12,2,-5149.712,-2574.856,1
2,53,Heredity,12,2,-5149.641,-2574.82,11
3,78,Permutate,6,1,-2574.811,-2574.811,38
6,198,softmutate,12,2,-5149.577,-2574.788,2
7,249,RandTop,12,2,-5149.565,-2574.782,1
3,90,softmutate,12,2,-5149.523,-2574.761,2
7,223,Heredity,6,1,-2574.757,-2574.757,1
3,89,RandTop,12,2,-5149.493,-2574.747,1
6,192,Heredity,6,1,-2574.74,-2574.74,1
4,136,Heredity,12,2,-5149.478,-2574.739,1
7,248,Heredity,12,2,-5149.474,-2574.737,2
6,217,Random,12,2,-5149.455,-2574.728,2
5,152,Heredity,6,1,-2574.728,-2574.728,1
6,199,LatMutate,6,1,-2574.725,-2574.725,8
6,212,RandTop,12,2,-5149.38,-2574.69,1
1,6,Random,6,1,-2574.688,-2574.688,23
7,235,LatMutate,6,1,-2574.685,-2574.685,5
5,165,Heredity,12,2,-5149.368,-2574.684,2
7,232,LatMutate,6,1,-2574.668,-2574.668,6
4,131,Heredity,12,2,-5149.259,-2574.63,8
6,208,Heredity,12,2,-5149.243,-2574.622,2
3,96,Heredity,12,2,-5149.231,-2574.616,1
2,60,RandTop,12,2,-5149.222,-2574.611,1
4,133,Heredity,12,2,-5149.217,-2574.608,2
1,20,RandTop,12,2,-5149.214,-2574.607,1
4,137,Heredity,12,2,-5149.208,-2574.604,6
1,31,RandTop,12,2,-5149.188,-2574.594,1
