Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,69,keptBest,12,2,-2852.522,-1426.261,12
4,111,Random,6,1,-1425.905,-1425.905,12
2,41,Random,6,1,-1425.902,-1425.902,12
3,82,LatMutate,6,1,-1424.824,-1424.824,12
5,145,keptBest,6,1,-1424.824,-1424.824,12
4,110,keptBest,6,1,-1424.824,-1424.824,12
4,106,keptBest,12,2,-2849.518,-1424.759,12
3,102,RandTop,12,2,-2849.518,-1424.759,12
5,143,keptBest,12,2,-2849.518,-1424.759,12
3,70,keptBest,12,2,-2849.504,-1424.752,12
2,65,RandTop,12,2,-2849.504,-1424.752,12
3,104,Permutate,12,2,-2847.351,-1423.676,1
5,156,Heredity,6,1,-1423.577,-1423.577,12
4,107,keptBest,12,2,-2846.451,-1423.226,3
5,144,keptBest,12,2,-2846.451,-1423.226,3
1,22,RandTop,12,2,-2846.451,-1423.226,3
3,71,keptBest,12,2,-2846.451,-1423.226,3
2,33,keptBest,12,2,-2846.451,-1423.226,3
3,101,Heredity,12,2,-2846.39,-1423.195,8
5,146,Heredity,6,1,-1422.838,-1422.838,2
4,115,softmutate,6,1,-1422.837,-1422.837,2
5,149,keptBest,6,1,-1422.837,-1422.837,2
2,44,softmutate,6,1,-1422.836,-1422.836,2
4,116,keptBest,6,1,-1422.836,-1422.836,2
3,72,keptBest,6,1,-1422.836,-1422.836,2
4,132,LatMutate,12,2,-2845.661,-1422.831,1
4,112,RandTop,6,1,-1422.818,-1422.818,12
1,9,RandTop,6,1,-1422.818,-1422.818,12
2,38,keptBest,6,1,-1422.818,-1422.818,12
2,35,Heredity,6,1,-1422.817,-1422.817,12
4,113,LatMutate,6,1,-1422.816,-1422.816,12
2,39,Heredity,6,1,-1422.672,-1422.672,6
3,76,keptBest,6,1,-1422.672,-1422.672,6
2,40,keptBest,6,1,-1422.671,-1422.671,6
1,13,Random,6,1,-1422.671,-1422.671,6
1,16,Random,6,1,-1422.668,-1422.668,6
4,128,Random,12,2,-2844.926,-1422.463,1
2,47,LatMutate,6,1,-1422.412,-1422.412,1
4,134,Heredity,12,2,-2844.734,-1422.367,1
2,63,Heredity,12,2,-2844.603,-1422.302,1
2,57,Heredity,12,2,-2844.524,-1422.262,1
3,100,Permutate,12,2,-2844.205,-1422.103,12
5,170,Heredity,12,2,-2844.197,-1422.099,2
4,121,LatMutate,6,1,-1422.06,-1422.06,8
2,64,RandTop,12,2,-2844.112,-1422.056,11
4,108,Heredity,6,1,-1421.933,-1421.933,12
2,43,keptBest,6,1,-1421.932,-1421.932,12
5,151,Random,6,1,-1421.932,-1421.932,12
1,2,Random,6,1,-1421.932,-1421.932,12
1,7,Random,6,1,-1421.932,-1421.932,12
1,8,RandTop,6,1,-1421.931,-1421.931,12
1,3,RandTop,6,1,-1421.93,-1421.93,12
3,73,Heredity,6,1,-1421.929,-1421.929,12
3,96,RandTop,12,2,-2843.789,-1421.894,8
1,20,RandTop,12,2,-2843.781,-1421.89,8
3,99,softmutate,12,2,-2843.777,-1421.888,1
5,166,RandTop,12,2,-2843.773,-1421.886,8
4,137,Heredity,12,2,-2843.677,-1421.839,1
3,90,Heredity,12,2,-2843.502,-1421.751,1
3,83,Random,6,1,-1421.746,-1421.746,12
2,46,Random,6,1,-1421.708,-1421.708,12
1,18,Random,6,1,-1421.708,-1421.708,12
4,135,Permutate,12,2,-2843.384,-1421.692,8
4,120,RandTop,6,1,-1421.67,-1421.67,1
5,162,Random,6,1,-1421.554,-1421.554,8
5,176,RandTop,12,2,-2843.08,-1421.54,1
4,129,RandTop,12,2,-2842.968,-1421.484,1
1,21,Random,12,2,-2842.955,-1421.477,8
2,54,Random,12,2,-2842.887,-1421.444,108
3,98,Permutate,12,2,-2842.756,-1421.378,1
1,12,Random,6,1,-1421.377,-1421.377,1
4,114,softmutate,6,1,-1421.351,-1421.351,2
5,154,LatMutate,6,1,-1421.321,-1421.321,2
3,95,RandTop,12,2,-2842.62,-1421.31,1
2,36,Permutate,6,1,-1421.243,-1421.243,10
4,126,Heredity,12,2,-2842.454,-1421.227,1
3,78,Heredity,6,1,-1421.223,-1421.223,35
5,171,Heredity,12,2,-2842.415,-1421.207,1
2,34,Heredity,6,1,-1421.158,-1421.158,12
5,167,softmutate,12,2,-2842.269,-1421.135,1
