Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
10,356,softmutate,12,2,-2190.963,-1095.481,11
12,406,keptBest,12,2,-2190.131,-1095.066,44
14,480,keptBest,12,2,-2190.131,-1095.066,44
11,399,Heredity,12,2,-2190.131,-1095.066,44
13,443,keptBest,12,2,-2190.131,-1095.066,44
6,213,softmutate,12,2,-2189.76,-1094.88,2
8,254,keptBest,12,2,-2189.76,-1094.88,2
9,291,keptBest,12,2,-2189.76,-1094.88,2
10,329,keptBest,12,2,-2189.76,-1094.88,2
7,217,keptBest,12,2,-2189.76,-1094.88,2
14,487,keptBest,6,1,-1094.85,-1094.85,12
13,450,keptBest,6,1,-1094.85,-1094.85,12
12,426,LatMutate,6,1,-1094.85,-1094.85,12
13,445,Permutate,6,1,-1094.768,-1094.768,10
10,338,keptBest,6,1,-1094.767,-1094.767,10
8,259,Permutate,6,1,-1094.767,-1094.767,10
10,335,Permutate,6,1,-1094.767,-1094.767,10
6,199,RandTop,6,1,-1094.767,-1094.767,10
12,415,keptBest,6,1,-1094.767,-1094.767,10
8,261,keptBest,6,1,-1094.767,-1094.767,10
11,377,keptBest,6,1,-1094.767,-1094.767,10
7,227,keptBest,6,1,-1094.767,-1094.767,10
9,299,keptBest,6,1,-1094.767,-1094.767,10
10,330,keptBest,12,2,-2189.458,-1094.729,1
9,292,keptBest,12,2,-2189.458,-1094.729,1
13,444,keptBest,12,2,-2189.458,-1094.729,1
8,255,keptBest,12,2,-2189.458,-1094.729,1
7,239,Permutate,12,2,-2189.458,-1094.729,1
14,481,keptBest,12,2,-2189.458,-1094.729,1
11,368,keptBest,12,2,-2189.458,-1094.729,1
12,407,keptBest,12,2,-2189.458,-1094.729,1
14,485,Permutate,12,2,-2189.418,-1094.709,12
14,504,Heredity,12,2,-2189.379,-1094.689,11
14,497,Permutate,12,2,-2189.352,-1094.676,38
14,500,Permutate,12,2,-2189.35,-1094.675,38
13,456,keptBest,6,1,-1094.663,-1094.663,12
12,417,RandTop,6,1,-1094.663,-1094.663,12
10,337,Permutate,6,1,-1094.663,-1094.663,12
14,488,keptBest,6,1,-1094.663,-1094.663,12
3,88,softmutate,6,1,-1094.662,-1094.662,12
6,191,keptBest,6,1,-1094.662,-1094.662,12
4,113,keptBest,6,1,-1094.662,-1094.662,12
5,151,keptBest,6,1,-1094.662,-1094.662,12
13,464,Permutate,12,2,-2189.32,-1094.66,74
14,514,softmutate,12,2,-2189.27,-1094.635,65
10,332,Heredity,6,1,-1094.629,-1094.629,12
9,300,keptBest,6,1,-1094.589,-1094.589,166
7,225,Permutate,6,1,-1094.589,-1094.589,166
8,262,keptBest,6,1,-1094.589,-1094.589,166
10,339,keptBest,6,1,-1094.589,-1094.589,166
4,111,Permutate,6,1,-1094.588,-1094.588,166
5,149,Random,6,1,-1094.588,-1094.588,166
6,188,Permutate,6,1,-1094.587,-1094.587,166
7,223,Permutate,6,1,-1094.587,-1094.587,166
7,228,keptBest,6,1,-1094.586,-1094.586,166
