Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,42,softmutate,12,2,-5478.231,-2739.116,2
2,48,keptBest,6,1,-2738.975,-2738.975,2
5,134,Heredity,12,2,-5477.739,-2738.869,2
6,201,softmutate,12,2,-5477.702,-2738.851,1
2,37,Heredity,12,2,-5477.685,-2738.843,1
6,188,keptBest,6,1,-2738.818,-2738.818,12
5,165,Random,6,1,-2738.818,-2738.818,12
5,139,RandTop,12,2,-5477.581,-2738.79,2
6,184,softmutate,12,2,-5477.533,-2738.766,1
6,169,Permutate,12,2,-5477.512,-2738.756,1
3,67,Heredity,12,2,-5477.47,-2738.735,2
6,171,keptBest,12,2,-5477.453,-2738.727,5
5,143,keptBest,12,2,-5477.453,-2738.727,5
4,116,Heredity,12,2,-5477.453,-2738.727,5
5,153,Permutate,12,2,-5477.455,-2738.727,2
6,173,keptBest,12,2,-5477.442,-2738.721,2
5,137,Random,12,2,-5477.442,-2738.721,2
5,157,Heredity,12,2,-5477.439,-2738.719,1
3,94,Random,12,2,-5477.319,-2738.66,2
3,84,keptBest,6,1,-2738.633,-2738.633,2
2,47,RandTop,6,1,-2738.633,-2738.633,2
6,178,Heredity,12,2,-5477.191,-2738.596,4
5,144,keptBest,12,2,-5477.181,-2738.59,2
4,108,keptBest,12,2,-5477.181,-2738.59,2
3,92,Random,12,2,-5477.181,-2738.59,2
3,78,Heredity,12,2,-5477.155,-2738.578,2
3,66,Heredity,12,2,-5477.12,-2738.56,2
5,164,LatMutate,6,1,-2738.557,-2738.557,2
1,20,RandTop,6,1,-2738.556,-2738.556,2
2,50,keptBest,6,1,-2738.556,-2738.556,2
3,86,keptBest,6,1,-2738.556,-2738.556,2
1,1,Random,6,1,-2738.555,-2738.555,2
1,17,Random,6,1,-2738.553,-2738.553,2
2,62,softmutate,12,2,-5477.089,-2738.544,1
6,177,Random,12,2,-5477.077,-2738.538,1
5,132,RandTop,12,2,-5477.047,-2738.523,2
2,53,Random,6,1,-2738.51,-2738.51,2
6,181,Heredity,6,1,-2738.504,-2738.504,2
1,6,RandTop,12,2,-5476.999,-2738.5,1
5,149,Permutate,12,2,-5476.983,-2738.492,1
6,175,Heredity,12,2,-5476.965,-2738.483,2
4,123,Permutate,12,2,-5476.96,-2738.48,1
2,32,Heredity,12,2,-5476.951,-2738.475,2
5,167,Permutate,12,2,-5476.895,-2738.447,1
5,145,keptBest,12,2,-5476.887,-2738.444,2
4,120,Permutate,12,2,-5476.887,-2738.444,2
2,58,Permutate,6,1,-2738.44,-2738.44,2
5,156,Heredity,6,1,-2738.439,-2738.439,2
6,200,LatMutate,6,1,-2738.437,-2738.437,2
3,93,RandTop,6,1,-2738.435,-2738.435,1
1,12,Random,6,1,-2738.435,-2738.435,12
4,118,keptBest,6,1,-2738.435,-2738.435,1
6,183,Random,6,1,-2738.419,-2738.419,2
4,122,Permutate,6,1,-2738.417,-2738.417,2
1,23,RandTop,6,1,-2738.405,-2738.405,2
4,109,keptBest,12,2,-5476.807,-2738.403,2
2,36,keptBest,12,2,-5476.807,-2738.403,2
