Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,103,Permutate,12,2,-5668.702,-2834.351,1
5,167,LatMutate,6,1,-2834.273,-2834.273,5
7,225,Heredity,6,1,-2834.244,-2834.244,1
2,51,Heredity,12,2,-5668.418,-2834.209,2
4,101,softmutate,12,2,-5668.398,-2834.199,2
7,221,softmutate,12,2,-5668.278,-2834.139,1
7,222,Random,12,2,-5668.264,-2834.132,2
1,12,Random,6,1,-2834.132,-2834.132,1
6,189,Heredity,6,1,-2834.119,-2834.119,1
5,169,Random,6,1,-2834.119,-2834.119,8
8,277,softmutate,12,2,-5668.187,-2834.093,1
7,212,Heredity,12,2,-5668.149,-2834.075,2
8,270,Random,12,2,-5668.119,-2834.059,2
2,62,Permutate,6,1,-2834.052,-2834.052,1
7,214,keptBest,12,2,-5668.074,-2834.037,2
6,173,Heredity,12,2,-5668.074,-2834.037,2
7,226,Random,6,1,-2833.989,-2833.989,1
6,175,Heredity,12,2,-5667.971,-2833.985,1
3,85,RandTop,6,1,-2833.963,-2833.963,1
6,174,softmutate,12,2,-5667.911,-2833.956,1
7,220,Permutate,12,2,-5667.912,-2833.956,1
8,246,keptBest,12,2,-5667.912,-2833.956,1
7,242,softmutate,12,2,-5667.903,-2833.951,2
4,107,keptBest,12,2,-5667.875,-2833.937,2
3,98,softmutate,12,2,-5667.875,-2833.937,2
5,143,keptBest,12,2,-5667.875,-2833.937,2
6,179,keptBest,12,2,-5667.875,-2833.937,2
7,215,keptBest,12,2,-5667.85,-2833.925,2
6,185,Heredity,12,2,-5667.85,-2833.925,2
4,126,LatMutate,6,1,-2833.905,-2833.905,1
5,151,Heredity,12,2,-5667.786,-2833.893,1
6,180,keptBest,12,2,-5667.786,-2833.893,1
8,279,Random,12,2,-5667.762,-2833.881,1
1,19,Random,6,1,-2833.873,-2833.873,1
7,239,RandTop,12,2,-5667.719,-2833.859,1
5,172,Random,12,2,-5667.669,-2833.834,1
6,183,Heredity,12,2,-5667.59,-2833.795,1
8,260,Permutate,12,2,-5667.518,-2833.759,1
4,112,Heredity,12,2,-5667.505,-2833.752,2
6,202,RandTop,12,2,-5667.497,-2833.749,2
1,30,Random,12,2,-5667.435,-2833.718,1
8,250,Heredity,12,2,-5667.424,-2833.712,2
7,208,Heredity,12,2,-5667.417,-2833.708,2
2,44,Heredity,12,2,-5667.368,-2833.684,1
8,253,Heredity,12,2,-5667.361,-2833.68,1
2,34,Heredity,12,2,-5667.274,-2833.637,1
4,100,Heredity,12,2,-5667.271,-2833.636,1
3,67,Heredity,12,2,-5667.27,-2833.635,1
2,31,Heredity,12,2,-5667.263,-2833.632,2
3,74,keptBest,12,2,-5667.263,-2833.632,2
4,109,keptBest,12,2,-5667.263,-2833.632,2
6,206,softmutate,12,2,-5667.264,-2833.632,1
5,144,keptBest,12,2,-5667.263,-2833.632,2
6,182,keptBest,12,2,-5667.263,-2833.632,2
7,229,Heredity,12,2,-5667.2,-2833.6,2
3,69,Heredity,12,2,-5667.181,-2833.591,1
3,72,Heredity,12,2,-5667.15,-2833.575,1
5,154,Random,6,1,-2833.569,-2833.569,1
4,115,Heredity,12,2,-5667.119,-2833.56,1
2,33,Heredity,12,2,-5667.114,-2833.557,1
2,38,keptBest,12,2,-5667.106,-2833.553,2
1,26,RandTop,12,2,-5667.106,-2833.553,2
5,142,Permutate,12,2,-5667.06,-2833.53,1
8,261,softmutate,12,2,-5667.044,-2833.522,1
5,137,Heredity,12,2,-5667.002,-2833.501,1
4,102,Heredity,12,2,-5666.998,-2833.499,1
5,171,Random,12,2,-5666.99,-2833.495,1
8,247,keptBest,12,2,-5666.972,-2833.486,1
7,216,keptBest,12,2,-5666.972,-2833.486,1
6,188,softmutate,12,2,-5666.972,-2833.486,1
