Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
12,407,Heredity,12,2,-5739.61,-2869.805,2
16,554,keptBest,6,1,-2869.794,-2869.794,2
12,396,Permutate,12,2,-5739.438,-2869.719,1
1,30,Random,12,2,-5739.234,-2869.617,2
14,465,Heredity,12,2,-5739.196,-2869.598,12
5,173,Permutate,6,1,-2869.595,-2869.595,12
2,50,Heredity,6,1,-2869.595,-2869.595,12
4,137,Permutate,6,1,-2869.595,-2869.595,12
3,92,keptBest,6,1,-2869.595,-2869.595,12
5,158,Heredity,6,1,-2869.595,-2869.595,12
1,32,RandTop,12,2,-5739.173,-2869.586,1
13,439,Heredity,12,2,-5739.163,-2869.581,1
7,223,Heredity,6,1,-2869.579,-2869.579,12
7,226,Heredity,12,2,-5739.139,-2869.57,2
4,119,softmutate,12,2,-5739.105,-2869.553,1
13,438,Permutate,12,2,-5739.104,-2869.552,1
10,355,softmutate,12,2,-5739.078,-2869.539,2
5,149,Heredity,6,1,-2869.525,-2869.525,12
9,294,keptBest,12,2,-5739.029,-2869.515,2
8,250,Heredity,12,2,-5739.029,-2869.515,2
3,79,Heredity,6,1,-2869.507,-2869.507,1
5,169,keptBest,6,1,-2869.502,-2869.502,8
3,74,Heredity,6,1,-2869.502,-2869.502,8
4,132,keptBest,6,1,-2869.502,-2869.502,8
5,155,Heredity,12,2,-5739.003,-2869.501,2
8,256,keptBest,12,2,-5739.003,-2869.501,2
9,286,Heredity,12,2,-5739.002,-2869.501,1
6,179,keptBest,12,2,-5739.003,-2869.501,2
7,215,keptBest,12,2,-5739.003,-2869.501,2
9,295,keptBest,12,2,-5739.003,-2869.501,2
14,469,Heredity,12,2,-5739.002,-2869.501,1
8,253,Heredity,12,2,-5738.99,-2869.495,2
8,269,Heredity,6,1,-2869.494,-2869.494,5
7,240,keptBest,6,1,-2869.487,-2869.487,5
6,198,Heredity,6,1,-2869.487,-2869.487,5
8,280,keptBest,6,1,-2869.487,-2869.487,5
11,390,softmutate,12,2,-5738.972,-2869.486,2
12,392,Heredity,12,2,-5738.97,-2869.485,2
12,395,RandTop,12,2,-5738.962,-2869.481,1
8,268,Heredity,6,1,-2869.479,-2869.479,38
4,126,Random,6,1,-2869.475,-2869.475,8
3,87,softmutate,12,2,-5738.948,-2869.474,1
16,540,keptBest,12,2,-5738.943,-2869.472,12
14,463,Heredity,12,2,-5738.943,-2869.472,12
15,505,keptBest,12,2,-5738.943,-2869.472,12
6,196,Random,6,1,-2869.463,-2869.463,2
4,129,Random,6,1,-2869.462,-2869.462,2
5,171,keptBest,6,1,-2869.462,-2869.462,2
6,204,keptBest,6,1,-2869.462,-2869.462,2
10,348,Permutate,6,1,-2869.459,-2869.459,10
5,143,keptBest,12,2,-5738.918,-2869.459,2
14,487,keptBest,6,1,-2869.459,-2869.459,10
4,114,Heredity,12,2,-5738.918,-2869.459,2
12,418,keptBest,6,1,-2869.459,-2869.459,10
11,383,keptBest,6,1,-2869.459,-2869.459,10
13,454,keptBest,6,1,-2869.459,-2869.459,10
8,267,Heredity,6,1,-2869.458,-2869.458,10
