Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,87,RandTop,6,1,-4291.651,-4291.651,12
4,111,Heredity,6,1,-4291.633,-4291.633,2
6,180,RandTop,6,1,-4291.498,-4291.498,5
1,21,RandTop,6,1,-4291.443,-4291.443,8
2,46,keptBest,6,1,-4291.443,-4291.443,8
6,192,keptBest,6,1,-4291.443,-4291.443,8
4,120,keptBest,6,1,-4291.443,-4291.443,8
3,84,keptBest,6,1,-4291.443,-4291.443,8
5,158,keptBest,6,1,-4291.443,-4291.443,8
6,170,Heredity,6,1,-4291.442,-4291.442,8
2,37,Heredity,6,1,-4291.441,-4291.441,8
5,148,Heredity,6,1,-4291.44,-4291.44,8
2,39,Random,6,1,-4291.44,-4291.44,8
3,96,LatMutate,6,1,-4291.438,-4291.438,2
3,91,LatMutate,6,1,-4291.436,-4291.436,8
6,173,Heredity,6,1,-4291.434,-4291.434,8
5,161,Random,6,1,-4291.416,-4291.416,8
5,149,Heredity,6,1,-4291.415,-4291.415,2
1,17,Random,6,1,-4291.414,-4291.414,8
4,114,Heredity,6,1,-4291.412,-4291.412,8
2,49,Random,6,1,-4291.408,-4291.408,8
6,191,Permutate,6,1,-4291.389,-4291.389,2
3,75,RandTop,12,2,-8582.68,-4291.34,8
6,196,Random,12,2,-8582.667,-4291.333,4
3,76,Heredity,6,1,-4291.309,-4291.309,2
5,169,LatMutate,6,1,-4291.295,-4291.295,8
6,184,Permutate,6,1,-4291.288,-4291.288,1
3,93,Permutate,6,1,-4291.287,-4291.287,1
6,193,keptBest,6,1,-4291.285,-4291.285,1
5,135,Heredity,6,1,-4291.285,-4291.285,1
3,73,Heredity,6,1,-4291.284,-4291.284,1
4,131,LatMutate,6,1,-4291.27,-4291.27,8
2,47,keptBest,6,1,-4291.269,-4291.269,1
1,15,Random,6,1,-4291.269,-4291.269,1
2,55,RandTop,6,1,-4291.264,-4291.264,5
5,139,Heredity,6,1,-4291.256,-4291.256,12
1,3,Random,6,1,-4291.243,-4291.243,1
6,174,Heredity,6,1,-4291.235,-4291.235,5
6,200,LatMutate,6,1,-4291.207,-4291.207,1
4,118,Random,6,1,-4291.194,-4291.194,12
5,166,Permutate,6,1,-4291.194,-4291.194,2
2,58,LatMutate,6,1,-4291.192,-4291.192,1
4,122,Random,12,2,-8582.366,-4291.183,2
5,134,keptBest,12,2,-8582.366,-4291.183,2
2,59,LatMutate,6,1,-4291.158,-4291.158,1
3,90,Random,6,1,-4291.155,-4291.155,1
5,145,Heredity,6,1,-4291.113,-4291.113,1
2,48,keptBest,6,1,-4291.089,-4291.089,1
1,16,Random,6,1,-4291.089,-4291.089,1
2,32,Heredity,6,1,-4291.049,-4291.049,1
4,121,keptBest,6,1,-4291.049,-4291.049,1
5,159,keptBest,6,1,-4291.049,-4291.049,1
3,85,keptBest,6,1,-4291.049,-4291.049,1
6,188,LatMutate,6,1,-4291.04,-4291.04,1
2,61,Permutate,6,1,-4291.028,-4291.028,1
1,4,RandTop,12,2,-8582.036,-4291.018,1
2,29,keptBest,12,2,-8582.036,-4291.018,1
5,152,RandTop,12,2,-8582.015,-4291.007,1
5,136,Heredity,6,1,-4290.995,-4290.995,1
2,52,keptBest,6,1,-4290.98,-4290.98,1
