Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,156,keptBest,12,2,-5903.266,-2951.633,1
3,106,softmutate,12,2,-5903.154,-2951.577,1
4,126,softmutate,12,2,-5903.104,-2951.552,1
3,72,Heredity,12,2,-5902.734,-2951.367,2
2,61,RandTop,12,2,-5902.703,-2951.351,5
3,79,keptBest,12,2,-5902.703,-2951.351,5
6,193,keptBest,12,2,-5902.648,-2951.324,1
5,180,softmutate,12,2,-5902.648,-2951.324,1
2,69,softmutate,12,2,-5902.637,-2951.319,2
7,234,Heredity,12,2,-5902.505,-2951.253,2
7,239,Heredity,12,2,-5902.454,-2951.227,1
5,173,softmutate,12,2,-5902.436,-2951.218,2
3,93,RandTop,12,2,-5902.39,-2951.195,1
4,110,Heredity,12,2,-5902.34,-2951.17,1
6,188,Heredity,12,2,-5902.33,-2951.165,2
7,223,Heredity,12,2,-5902.326,-2951.163,2
7,250,LatMutate,12,2,-5902.321,-2951.16,1
2,44,keptBest,12,2,-5902.234,-2951.117,1
1,6,Random,12,2,-5902.234,-2951.117,1
4,114,Heredity,12,2,-5902.199,-2951.099,1
4,109,Heredity,12,2,-5902.115,-2951.058,1
6,214,Heredity,12,2,-5902.08,-2951.04,1
1,16,Random,12,2,-5902.014,-2951.007,1
7,219,RandTop,12,2,-5901.985,-2950.993,150
3,87,softmutate,12,2,-5901.956,-2950.978,2
6,216,softmutate,12,2,-5901.934,-2950.967,1
5,146,Heredity,12,2,-5901.926,-2950.963,1
7,235,Permutate,12,2,-5901.874,-2950.937,1
2,42,Heredity,12,2,-5901.849,-2950.925,1
7,238,Random,12,2,-5901.727,-2950.863,1
7,252,softmutate,12,2,-5901.662,-2950.831,1
6,189,Heredity,12,2,-5901.556,-2950.778,1
6,194,keptBest,12,2,-5901.413,-2950.706,1
4,108,Heredity,12,2,-5901.413,-2950.706,1
5,157,keptBest,12,2,-5901.413,-2950.706,1
4,122,Random,12,2,-5901.307,-2950.654,1
4,140,softmutate,12,2,-5901.209,-2950.605,1
