Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,236,keptBest,6,1,-3117.329,-3117.329,1
4,113,keptBest,12,2,-6234.448,-3117.224,2
4,145,softmutate,12,2,-6234.409,-3117.204,2
5,172,Permutate,6,1,-3117.182,-3117.182,6
3,95,RandTop,6,1,-3117.124,-3117.124,1
6,202,keptBest,6,1,-3117.124,-3117.124,1
7,237,keptBest,6,1,-3117.124,-3117.124,1
5,169,keptBest,6,1,-3117.124,-3117.124,1
8,274,keptBest,6,1,-3117.124,-3117.124,1
4,130,keptBest,6,1,-3117.124,-3117.124,1
8,265,Heredity,12,2,-6234.243,-3117.122,1
7,221,Heredity,12,2,-6234.128,-3117.064,11
8,252,keptBest,12,2,-6234.128,-3117.064,11
3,76,keptBest,12,2,-6234.089,-3117.045,8
1,5,RandTop,12,2,-6234.089,-3117.045,8
2,41,keptBest,12,2,-6234.089,-3117.045,8
8,253,keptBest,12,2,-6234.089,-3117.045,8
6,189,keptBest,12,2,-6234.089,-3117.045,8
7,220,keptBest,12,2,-6234.089,-3117.045,8
4,114,keptBest,12,2,-6234.089,-3117.045,8
5,148,keptBest,12,2,-6234.089,-3117.045,8
4,136,Permutate,6,1,-3117.024,-3117.024,1
3,107,LatMutate,6,1,-3117.005,-3117.005,1
7,222,Permutate,12,2,-6234.0,-3117.0,2
1,20,Random,12,2,-6233.96,-3116.98,1
7,217,Permutate,12,2,-6233.961,-3116.98,1
6,204,keptBest,6,1,-3116.974,-3116.974,1
4,134,RandTop,6,1,-3116.974,-3116.974,1
5,170,keptBest,6,1,-3116.974,-3116.974,1
8,267,Random,6,1,-3116.973,-3116.973,1
3,93,keptBest,6,1,-3116.969,-3116.969,1
4,131,keptBest,6,1,-3116.969,-3116.969,1
2,48,Heredity,6,1,-3116.969,-3116.969,1
7,235,Random,6,1,-3116.952,-3116.952,1
4,133,Heredity,6,1,-3116.949,-3116.949,1
7,229,Heredity,6,1,-3116.948,-3116.948,1
2,50,Heredity,6,1,-3116.942,-3116.942,1
3,94,keptBest,6,1,-3116.942,-3116.942,1
8,263,Heredity,12,2,-6233.845,-3116.923,1
8,262,Random,6,1,-3116.918,-3116.918,1
6,194,Heredity,6,1,-3116.918,-3116.918,6
3,98,RandTop,6,1,-3116.911,-3116.911,1
6,197,Heredity,6,1,-3116.905,-3116.905,1
8,283,LatMutate,6,1,-3116.901,-3116.901,1
7,232,Random,6,1,-3116.895,-3116.895,1
1,23,RandTop,6,1,-3116.893,-3116.893,1
4,125,RandTop,12,2,-6233.786,-3116.893,1
2,34,Heredity,12,2,-6233.765,-3116.883,2
7,223,Permutate,12,2,-6233.764,-3116.882,1
4,144,softmutate,12,2,-6233.763,-3116.881,1
3,78,Permutate,12,2,-6233.759,-3116.879,1
6,205,Random,12,2,-6233.753,-3116.877,1
3,80,Heredity,12,2,-6233.752,-3116.876,2
3,79,Random,12,2,-6233.75,-3116.875,2
2,56,keptBest,6,1,-3116.871,-3116.871,1
1,30,RandTop,6,1,-3116.871,-3116.871,1
4,115,Heredity,12,2,-6233.728,-3116.864,1
3,84,softmutate,12,2,-6233.723,-3116.862,2
1,16,Random,6,1,-3116.858,-3116.858,1
8,287,softmutate,6,1,-3116.845,-3116.845,1
7,239,LatMutate,6,1,-3116.841,-3116.841,1
8,269,Heredity,12,2,-6233.658,-3116.829,1
5,156,Heredity,12,2,-6233.642,-3116.821,1
7,250,RandTop,12,2,-6233.633,-3116.817,1
4,139,softmutate,12,2,-6233.631,-3116.816,2
1,4,RandTop,12,2,-6233.632,-3116.816,2
8,276,softmutate,12,2,-6233.629,-3116.815,2
2,38,Heredity,12,2,-6233.601,-3116.8,2
6,182,Random,12,2,-6233.596,-3116.798,1
8,284,softmutate,6,1,-3116.798,-3116.798,1
1,22,RandTop,6,1,-3116.797,-3116.797,1
2,44,Heredity,12,2,-6233.595,-3116.797,2
3,86,Heredity,6,1,-3116.79,-3116.79,1
3,96,LatMutate,6,1,-3116.785,-3116.785,1
6,190,Heredity,12,2,-6233.567,-3116.783,1
8,261,Heredity,12,2,-6233.557,-3116.778,1
8,264,Random,6,1,-3116.776,-3116.776,1
2,62,softmutate,12,2,-6233.546,-3116.773,2
4,111,Heredity,12,2,-6233.542,-3116.771,1
5,165,Heredity,6,1,-3116.76,-3116.76,1
2,37,Heredity,12,2,-6233.514,-3116.757,2
8,272,Random,6,1,-3116.753,-3116.753,1
6,192,Heredity,12,2,-6233.487,-3116.743,1
8,285,LatMutate,6,1,-3116.72,-3116.72,1
2,63,RandTop,12,2,-6233.438,-3116.719,1
6,203,Random,12,2,-6233.429,-3116.714,1
7,227,Heredity,6,1,-3116.711,-3116.711,1
2,69,softmutate,12,2,-6233.418,-3116.709,2
7,226,Heredity,12,2,-6233.411,-3116.706,1
4,141,LatMutate,6,1,-3116.705,-3116.705,1
6,185,RandTop,12,2,-6233.406,-3116.703,1
4,120,Random,12,2,-6233.392,-3116.696,1
5,150,Random,12,2,-6233.38,-3116.69,12
8,286,Heredity,12,2,-6233.369,-3116.685,2
5,152,Heredity,6,1,-3116.684,-3116.684,1
5,167,Random,6,1,-3116.682,-3116.682,1
2,57,softmutate,12,2,-6233.336,-3116.668,1
5,178,LatMutate,6,1,-3116.667,-3116.667,1
1,9,Random,12,2,-6233.327,-3116.664,1
6,187,Random,12,2,-6233.322,-3116.661,1
3,81,Heredity,12,2,-6233.318,-3116.659,2
5,179,LatMutate,6,1,-3116.655,-3116.655,1
1,31,RandTop,12,2,-6233.309,-3116.654,2
8,268,RandTop,6,1,-3116.652,-3116.652,1
6,193,Heredity,6,1,-3116.649,-3116.649,1
7,215,Heredity,12,2,-6233.291,-3116.645,12
3,101,LatMutate,6,1,-3116.643,-3116.643,1
6,213,Random,12,2,-6233.282,-3116.641,2
8,255,Heredity,6,1,-3116.641,-3116.641,1
7,247,LatMutate,6,1,-3116.641,-3116.641,1
8,279,Random,12,2,-6233.281,-3116.64,1
6,211,softmutate,12,2,-6233.278,-3116.639,2
3,89,Heredity,6,1,-3116.639,-3116.639,1
8,259,softmutate,12,2,-6233.278,-3116.639,2
4,118,Random,12,2,-6233.273,-3116.637,4
1,13,Random,6,1,-3116.635,-3116.635,1
3,77,keptBest,12,2,-6233.259,-3116.629,2
2,39,Heredity,12,2,-6233.259,-3116.629,2
4,138,Random,6,1,-3116.624,-3116.624,1
4,123,Permutate,12,2,-6233.247,-3116.624,1
7,231,Random,12,2,-6233.236,-3116.618,1
6,206,RandTop,6,1,-3116.611,-3116.611,1
8,280,RandTop,12,2,-6233.212,-3116.606,2
6,201,Permutate,6,1,-3116.6,-3116.6,6
7,224,Permutate,12,2,-6233.199,-3116.6,1
8,266,Random,6,1,-3116.592,-3116.592,1
4,127,Random,6,1,-3116.592,-3116.592,1
1,11,Random,12,2,-6233.178,-3116.589,1
2,61,Permutate,6,1,-3116.587,-3116.587,8
5,158,Heredity,6,1,-3116.587,-3116.587,1
4,124,softmutate,12,2,-6233.165,-3116.583,2
8,288,softmutate,12,2,-6233.161,-3116.581,1
3,100,Permutate,6,1,-3116.577,-3116.577,1
2,45,Random,12,2,-6233.137,-3116.569,1
8,257,softmutate,12,2,-6233.138,-3116.569,2
6,212,LatMutate,6,1,-3116.558,-3116.558,1
2,68,RandTop,12,2,-6233.104,-3116.552,1
6,184,Heredity,12,2,-6233.085,-3116.543,1
1,32,RandTop,12,2,-6233.083,-3116.542,1
2,51,softmutate,12,2,-6233.081,-3116.541,1
2,53,Heredity,6,1,-3116.54,-3116.54,1
5,155,Heredity,6,1,-3116.539,-3116.539,1
5,163,Random,12,2,-6233.076,-3116.538,1
8,258,Heredity,6,1,-3116.536,-3116.536,1
1,25,RandTop,6,1,-3116.535,-3116.535,1
1,18,Random,12,2,-6233.068,-3116.534,2
8,278,Random,12,2,-6233.065,-3116.533,1
3,102,RandTop,6,1,-3116.53,-3116.53,1
3,87,softmutate,12,2,-6233.057,-3116.528,1
7,244,softmutate,12,2,-6233.044,-3116.522,1
4,117,Heredity,12,2,-6233.039,-3116.519,2
3,90,Random,12,2,-6233.036,-3116.518,1
2,42,keptBest,12,2,-6233.033,-3116.517,1
1,7,Random,12,2,-6233.033,-3116.517,1
2,70,softmutate,12,2,-6233.031,-3116.515,1
5,151,softmutate,12,2,-6233.023,-3116.512,2
6,181,Heredity,12,2,-6233.021,-3116.51,2
2,66,LatMutate,6,1,-3116.502,-3116.502,1
7,234,RandTop,12,2,-6232.99,-3116.495,1
2,43,Heredity,12,2,-6232.987,-3116.493,2
3,75,Heredity,12,2,-6232.985,-3116.492,1
8,256,Heredity,6,1,-3116.49,-3116.49,1
6,186,RandTop,12,2,-6232.978,-3116.489,2
3,97,softmutate,12,2,-6232.976,-3116.488,1
1,15,Random,6,1,-3116.484,-3116.484,1
1,8,RandTop,12,2,-6232.932,-3116.466,1
4,109,Heredity,12,2,-6232.928,-3116.464,2
3,83,softmutate,12,2,-6232.927,-3116.463,1
5,161,RandTop,12,2,-6232.924,-3116.462,1
5,173,RandTop,12,2,-6232.913,-3116.456,2
4,135,LatMutate,6,1,-3116.453,-3116.453,1
4,126,Random,12,2,-6232.898,-3116.449,1
3,72,Heredity,12,2,-6232.898,-3116.449,2
3,92,Heredity,6,1,-3116.446,-3116.446,1
2,33,Heredity,12,2,-6232.88,-3116.44,1
2,59,Random,6,1,-3116.436,-3116.436,1
3,105,RandTop,12,2,-6232.857,-3116.429,1
8,260,Heredity,12,2,-6232.845,-3116.423,1
5,159,Heredity,12,2,-6232.844,-3116.422,1
8,254,Heredity,6,1,-3116.421,-3116.421,1
4,128,softmutate,12,2,-6232.833,-3116.416,35
6,195,Random,12,2,-6232.817,-3116.409,9
1,2,Random,12,2,-6232.809,-3116.404,1
6,198,Random,12,2,-6232.806,-3116.403,1
6,209,LatMutate,6,1,-3116.402,-3116.402,1
8,270,Permutate,6,1,-3116.402,-3116.402,1
5,166,softmutate,12,2,-6232.801,-3116.4,1
7,228,Heredity,6,1,-3116.393,-3116.393,1
5,162,softmutate,12,2,-6232.765,-3116.383,1
1,24,RandTop,6,1,-3116.375,-3116.375,1
2,65,Random,6,1,-3116.372,-3116.372,8
2,47,softmutate,12,2,-6232.728,-3116.364,2
1,3,Random,12,2,-6232.728,-3116.364,1
4,143,Random,6,1,-3116.359,-3116.359,1
8,277,Permutate,6,1,-3116.355,-3116.355,1
4,110,Heredity,12,2,-6232.71,-3116.355,2
6,210,Permutate,6,1,-3116.352,-3116.352,1
7,225,Heredity,12,2,-6232.701,-3116.351,1
6,196,RandTop,12,2,-6232.684,-3116.342,1
3,71,Permutate,12,2,-6232.672,-3116.336,1
5,160,Heredity,12,2,-6232.66,-3116.33,1
1,14,RandTop,12,2,-6232.622,-3116.311,1
5,176,RandTop,6,1,-3116.303,-3116.303,1
1,6,RandTop,12,2,-6232.605,-3116.302,1
5,149,Permutate,12,2,-6232.591,-3116.296,1
5,174,RandTop,6,1,-3116.29,-3116.29,1
3,99,softmutate,12,2,-6232.574,-3116.287,2
2,35,softmutate,12,2,-6232.573,-3116.287,1
7,216,Heredity,12,2,-6232.563,-3116.282,1
2,52,Heredity,6,1,-3116.28,-3116.28,1
4,119,Heredity,12,2,-6232.551,-3116.276,1
5,146,Heredity,12,2,-6232.549,-3116.274,2
2,49,RandTop,12,2,-6232.537,-3116.269,1
6,191,Heredity,12,2,-6232.511,-3116.255,1
2,46,Random,12,2,-6232.494,-3116.247,1
7,248,LatMutate,6,1,-3116.236,-3116.236,8
2,36,Heredity,12,2,-6232.443,-3116.222,1
8,271,RandTop,6,1,-3116.205,-3116.205,8
4,116,Random,12,2,-6232.403,-3116.201,1
1,26,Random,12,2,-6232.39,-3116.195,1
5,157,softmutate,12,2,-6232.382,-3116.191,1
4,112,RandTop,12,2,-6232.369,-3116.184,1
