Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,117,keptBest,12,2,-5941.707,-2970.853,1
5,144,Heredity,12,2,-5941.262,-2970.631,1
5,150,keptBest,12,2,-5941.045,-2970.522,1
3,74,keptBest,12,2,-5941.045,-2970.522,1
6,184,keptBest,12,2,-5941.045,-2970.522,1
4,118,keptBest,12,2,-5941.045,-2970.522,1
7,224,keptBest,12,2,-5941.045,-2970.522,1
2,58,Random,12,2,-5941.045,-2970.522,1
5,167,LatMutate,6,1,-2970.368,-2970.368,1
7,233,keptBest,6,1,-2970.368,-2970.368,1
6,196,keptBest,6,1,-2970.368,-2970.368,1
2,48,Heredity,6,1,-2970.346,-2970.346,1
6,191,Heredity,12,2,-5940.687,-2970.343,2
7,226,keptBest,12,2,-5940.687,-2970.343,2
2,64,RandTop,6,1,-2970.341,-2970.341,2
7,235,keptBest,6,1,-2970.341,-2970.341,2
5,161,keptBest,6,1,-2970.341,-2970.341,2
4,126,keptBest,6,1,-2970.341,-2970.341,2
6,198,keptBest,6,1,-2970.341,-2970.341,2
3,91,keptBest,6,1,-2970.341,-2970.341,2
5,162,keptBest,6,1,-2970.339,-2970.339,1
3,81,Heredity,6,1,-2970.339,-2970.339,1
4,129,keptBest,6,1,-2970.339,-2970.339,1
5,155,Heredity,6,1,-2970.33,-2970.33,1
2,51,keptBest,6,1,-2970.31,-2970.31,2
1,23,RandTop,6,1,-2970.31,-2970.31,2
7,231,Heredity,12,2,-5940.616,-2970.308,1
3,80,Heredity,12,2,-5940.597,-2970.299,1
1,9,Random,6,1,-2970.291,-2970.291,1
2,53,Heredity,6,1,-2970.284,-2970.284,1
5,163,keptBest,6,1,-2970.272,-2970.272,1
4,130,keptBest,6,1,-2970.272,-2970.272,1
3,90,Heredity,6,1,-2970.272,-2970.272,1
5,159,RandTop,12,2,-5940.51,-2970.255,1
2,41,Heredity,12,2,-5940.459,-2970.23,1
5,156,Heredity,6,1,-2970.216,-2970.216,2
6,200,keptBest,6,1,-2970.216,-2970.216,2
3,76,Heredity,12,2,-5940.414,-2970.207,2
6,193,Heredity,6,1,-2970.192,-2970.192,1
5,165,RandTop,6,1,-2970.165,-2970.165,1
