Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,105,keptBest,12,2,-8197.037,-4098.519,1
5,143,Heredity,6,1,-4098.446,-4098.446,1
6,193,softmutate,6,1,-4098.305,-4098.305,5
5,171,RandTop,12,2,-8196.573,-4098.286,1
1,30,RandTop,12,2,-8196.549,-4098.275,1
1,24,Random,12,2,-8196.534,-4098.267,1
6,199,Random,6,1,-4098.264,-4098.264,5
6,178,keptBest,6,1,-4098.258,-4098.258,5
5,149,LatMutate,6,1,-4098.258,-4098.258,5
6,188,softmutate,6,1,-4098.256,-4098.256,1
1,9,Random,6,1,-4098.244,-4098.244,1
2,38,keptBest,6,1,-4098.244,-4098.244,1
1,31,Random,12,2,-8196.481,-4098.24,4
1,15,Random,6,1,-4098.23,-4098.23,5
5,165,Random,12,2,-8196.425,-4098.213,1
4,121,Random,6,1,-4098.205,-4098.205,1
2,42,softmutate,6,1,-4098.193,-4098.193,1
5,155,Random,6,1,-4098.191,-4098.191,5
3,104,RandTop,12,2,-8196.383,-4098.191,2
5,163,RandTop,12,2,-8196.353,-4098.176,2
6,186,Permutate,6,1,-4098.169,-4098.169,1
1,12,RandTop,6,1,-4098.165,-4098.165,1
6,200,Random,6,1,-4098.165,-4098.165,5
4,113,Heredity,6,1,-4098.16,-4098.16,1
6,180,Heredity,6,1,-4098.159,-4098.159,1
4,111,Permutate,6,1,-4098.159,-4098.159,1
4,108,Heredity,6,1,-4098.158,-4098.158,1
3,95,RandTop,12,2,-8196.315,-4098.157,1
1,26,RandTop,12,2,-8196.313,-4098.156,1
3,88,Permutate,12,2,-8196.309,-4098.154,1
4,112,Permutate,6,1,-4098.153,-4098.153,1
3,81,RandTop,6,1,-4098.148,-4098.148,1
3,80,RandTop,6,1,-4098.146,-4098.146,1
4,118,Random,6,1,-4098.146,-4098.146,8
5,146,keptBest,6,1,-4098.146,-4098.146,8
6,184,keptBest,6,1,-4098.146,-4098.146,8
6,194,RandTop,6,1,-4098.144,-4098.144,8
3,82,RandTop,6,1,-4098.144,-4098.144,8
4,130,RandTop,12,2,-8196.274,-4098.137,1
2,35,RandTop,6,1,-4098.135,-4098.135,8
2,48,softmutate,6,1,-4098.132,-4098.132,1
5,144,RandTop,6,1,-4098.131,-4098.131,1
5,141,keptBest,12,2,-8196.259,-4098.13,2
4,134,RandTop,12,2,-8196.259,-4098.13,2
3,74,Random,6,1,-4098.122,-4098.122,8
4,136,Random,12,2,-8196.238,-4098.119,4
4,122,LatMutate,6,1,-4098.112,-4098.112,5
6,179,Heredity,6,1,-4098.108,-4098.108,1
6,183,softmutate,6,1,-4098.103,-4098.103,1
3,98,RandTop,12,2,-8196.168,-4098.084,1
3,75,Permutate,6,1,-4098.075,-4098.075,5
2,46,Random,6,1,-4098.055,-4098.055,8
4,114,Heredity,6,1,-4098.027,-4098.027,5
5,148,keptBest,6,1,-4098.027,-4098.027,5
6,206,Random,12,2,-8196.054,-4098.027,1
1,28,Random,12,2,-8196.045,-4098.022,1
2,33,keptBest,12,2,-8196.045,-4098.022,1
1,20,Random,12,2,-8196.022,-4098.011,1
2,59,Random,12,2,-8195.998,-4097.999,1
5,151,LatMutate,6,1,-4097.997,-4097.997,1
1,22,Random,12,2,-8195.992,-4097.996,2
2,40,LatMutate,6,1,-4097.987,-4097.987,1
1,7,Random,6,1,-4097.986,-4097.986,5
2,39,keptBest,6,1,-4097.986,-4097.986,5
4,107,keptBest,6,1,-4097.981,-4097.981,5
3,76,Heredity,6,1,-4097.981,-4097.981,5
