Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,280,keptBest,6,1,-4396.956,-4396.956,5
8,251,keptBest,6,1,-4396.755,-4396.755,1
5,156,LatMutate,6,1,-4396.755,-4396.755,1
7,215,keptBest,6,1,-4396.755,-4396.755,1
6,180,keptBest,6,1,-4396.755,-4396.755,1
9,272,Heredity,6,1,-4396.743,-4396.743,5
2,53,RandTop,6,1,-4396.733,-4396.733,1
5,150,keptBest,6,1,-4396.733,-4396.733,1
4,120,keptBest,6,1,-4396.733,-4396.733,1
3,81,keptBest,6,1,-4396.733,-4396.733,1
6,177,Heredity,6,1,-4396.708,-4396.708,1
9,262,keptBest,12,2,-8793.415,-4396.707,5
6,170,keptBest,12,2,-8793.415,-4396.707,5
1,3,RandTop,12,2,-8793.415,-4396.707,5
3,70,keptBest,12,2,-8793.415,-4396.707,5
7,199,keptBest,12,2,-8793.415,-4396.707,5
5,129,keptBest,12,2,-8793.415,-4396.707,5
2,32,keptBest,12,2,-8793.415,-4396.707,5
8,229,keptBest,12,2,-8793.415,-4396.707,5
4,95,keptBest,12,2,-8793.415,-4396.707,5
9,267,Heredity,6,1,-4396.593,-4396.593,1
9,290,LatMutate,6,1,-4396.542,-4396.542,1
9,263,keptBest,12,2,-8792.93,-4396.465,1
6,172,keptBest,12,2,-8792.93,-4396.465,1
3,71,keptBest,12,2,-8792.93,-4396.465,1
2,39,Random,12,2,-8792.93,-4396.465,1
4,96,keptBest,12,2,-8792.93,-4396.465,1
7,200,keptBest,12,2,-8792.93,-4396.465,1
5,130,keptBest,12,2,-8792.93,-4396.465,1
8,230,keptBest,12,2,-8792.93,-4396.465,1
3,82,keptBest,6,1,-4396.422,-4396.422,1
2,40,Heredity,6,1,-4396.422,-4396.422,1
1,12,RandTop,12,2,-8792.772,-4396.386,4
2,33,keptBest,12,2,-8792.772,-4396.386,4
4,108,Heredity,6,1,-4396.332,-4396.332,6
4,103,Heredity,6,1,-4396.306,-4396.306,2
3,86,Permutate,6,1,-4396.305,-4396.305,12
