Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,257,keptBest,12,2,-1528.158,-764.079,1
2,64,RandTop,12,2,-1527.839,-763.92,1
5,171,Permutate,12,2,-1527.785,-763.892,1
4,125,Permutate,12,2,-1527.775,-763.888,1
4,126,Permutate,12,2,-1527.75,-763.875,2
9,313,Permutate,12,2,-1527.734,-763.867,1
4,116,Random,12,2,-1527.732,-763.866,1
2,63,RandTop,12,2,-1527.73,-763.865,1
1,29,RandTop,12,2,-1527.723,-763.861,1
4,133,RandTop,12,2,-1527.709,-763.854,1
8,291,softmutate,12,2,-1527.706,-763.853,1
9,311,Random,12,2,-1527.703,-763.852,1
1,22,Random,12,2,-1527.704,-763.852,1
2,65,Permutate,12,2,-1527.697,-763.848,1
6,195,Heredity,12,2,-1527.678,-763.839,1
4,124,Permutate,12,2,-1527.678,-763.839,1
8,271,Permutate,12,2,-1527.674,-763.837,1
4,134,RandTop,12,2,-1527.674,-763.837,1
4,121,Random,12,2,-1527.675,-763.837,2
7,230,RandTop,12,2,-1527.654,-763.827,1
4,114,Heredity,12,2,-1527.651,-763.826,1
3,105,RandTop,12,2,-1527.645,-763.822,1
6,211,Permutate,12,2,-1527.64,-763.82,1
3,102,Random,12,2,-1527.626,-763.813,1
9,329,RandTop,12,2,-1527.622,-763.811,1
5,162,LatMutate,12,2,-1527.616,-763.808,1
9,303,Heredity,12,2,-1527.613,-763.807,1
1,28,RandTop,12,2,-1527.613,-763.807,1
4,132,Random,12,2,-1527.609,-763.804,1
6,199,RandTop,12,2,-1527.606,-763.803,1
6,200,LatMutate,12,2,-1527.603,-763.801,1
8,270,RandTop,12,2,-1527.601,-763.8,1
4,113,Heredity,12,2,-1527.6,-763.8,1
9,296,keptBest,12,2,-1527.601,-763.8,1
9,324,Random,12,2,-1527.6,-763.8,2
3,97,Permutate,12,2,-1527.594,-763.797,1
9,309,Heredity,12,2,-1527.59,-763.795,1
5,163,LatMutate,12,2,-1527.583,-763.791,1
7,254,Random,12,2,-1527.576,-763.788,1
4,118,Heredity,12,2,-1527.574,-763.787,1
9,304,RandTop,12,2,-1527.575,-763.787,8
4,136,softmutate,12,2,-1527.57,-763.785,2
5,166,Heredity,12,2,-1527.567,-763.784,1
6,185,keptBest,12,2,-1527.567,-763.784,1
4,123,Permutate,12,2,-1527.558,-763.779,1
8,287,Permutate,12,2,-1527.55,-763.775,1
1,26,Random,12,2,-1527.543,-763.771,1
2,34,keptBest,12,2,-1527.543,-763.771,1
7,236,Heredity,12,2,-1527.54,-763.77,1
1,25,Random,12,2,-1527.54,-763.77,1
8,267,Heredity,12,2,-1527.517,-763.759,1
2,53,softmutate,12,2,-1527.517,-763.758,1
9,317,softmutate,12,2,-1527.513,-763.757,1
1,31,Random,12,2,-1527.514,-763.757,1
3,99,softmutate,12,2,-1527.512,-763.756,1
5,146,keptBest,12,2,-1527.512,-763.756,1
6,196,Heredity,12,2,-1527.511,-763.756,1
4,108,keptBest,12,2,-1527.512,-763.756,1
1,27,Random,12,2,-1527.504,-763.752,1
8,266,Heredity,12,2,-1527.503,-763.751,1
5,157,Heredity,12,2,-1527.495,-763.747,1
1,23,Random,12,2,-1527.484,-763.742,1
9,300,Heredity,12,2,-1527.483,-763.741,1
9,301,Heredity,12,2,-1527.48,-763.74,1
7,234,Heredity,12,2,-1527.475,-763.738,1
3,91,Permutate,12,2,-1527.474,-763.737,1
7,229,Heredity,12,2,-1527.465,-763.733,1
7,231,Permutate,12,2,-1527.463,-763.732,2
4,129,Heredity,12,2,-1527.453,-763.726,1
4,112,Heredity,12,2,-1527.451,-763.726,1
4,137,softmutate,12,2,-1527.449,-763.725,1
5,161,Permutate,12,2,-1527.45,-763.725,2
2,58,Heredity,12,2,-1527.448,-763.724,1
5,179,Heredity,12,2,-1527.447,-763.724,1
3,84,Heredity,12,2,-1527.442,-763.721,2
8,279,Heredity,12,2,-1527.436,-763.718,1
9,330,LatMutate,12,2,-1527.434,-763.717,1
7,251,Heredity,12,2,-1527.433,-763.716,1
8,280,Heredity,12,2,-1527.419,-763.709,1
2,40,Heredity,12,2,-1527.414,-763.707,1
6,210,Permutate,12,2,-1527.413,-763.707,1
7,252,Heredity,12,2,-1527.4,-763.7,1
9,322,Heredity,12,2,-1527.4,-763.7,1
3,96,Random,12,2,-1527.397,-763.699,1
8,269,Random,12,2,-1527.395,-763.697,1
6,212,softmutate,12,2,-1527.39,-763.695,1
2,69,softmutate,12,2,-1527.387,-763.694,1
8,282,Heredity,12,2,-1527.375,-763.687,1
9,297,keptBest,12,2,-1527.375,-763.687,1
6,186,keptBest,12,2,-1527.372,-763.686,1
5,147,keptBest,12,2,-1527.372,-763.686,1
4,109,keptBest,12,2,-1527.372,-763.686,1
3,104,softmutate,12,2,-1527.372,-763.686,1
9,323,Random,12,2,-1527.364,-763.682,1
4,130,Heredity,12,2,-1527.36,-763.68,1
2,59,Heredity,12,2,-1527.353,-763.676,1
8,283,Random,12,2,-1527.35,-763.675,1
6,218,Random,12,2,-1527.344,-763.672,1
8,285,Random,12,2,-1527.343,-763.671,1
6,215,softmutate,12,2,-1527.337,-763.669,1
2,68,softmutate,12,2,-1527.336,-763.668,1
1,14,RandTop,12,2,-1527.332,-763.666,1
3,101,Heredity,12,2,-1527.32,-763.66,1
7,239,Random,12,2,-1527.313,-763.656,1
2,61,Heredity,12,2,-1527.308,-763.654,1
8,268,Heredity,12,2,-1527.305,-763.653,1
5,160,Random,12,2,-1527.303,-763.651,1
4,117,Heredity,12,2,-1527.282,-763.641,1
8,264,Heredity,12,2,-1527.274,-763.637,2
7,227,Heredity,12,2,-1527.266,-763.633,1
9,312,RandTop,12,2,-1527.265,-763.632,1
8,275,softmutate,12,2,-1527.258,-763.629,1
2,52,softmutate,12,2,-1527.255,-763.627,1
6,213,softmutate,12,2,-1527.252,-763.626,1
6,214,softmutate,12,2,-1527.249,-763.625,1
9,308,Heredity,12,2,-1527.243,-763.622,2
5,159,Random,12,2,-1527.241,-763.621,1
3,98,softmutate,12,2,-1527.233,-763.617,1
7,226,Heredity,12,2,-1527.228,-763.614,1
8,272,LatMutate,12,2,-1527.222,-763.611,1
6,197,Heredity,12,2,-1527.219,-763.609,1
1,21,Random,12,2,-1527.219,-763.609,1
4,139,Random,12,2,-1527.213,-763.606,1
7,247,softmutate,12,2,-1527.211,-763.605,1
8,259,keptBest,12,2,-1527.211,-763.605,1
8,265,Heredity,12,2,-1527.207,-763.604,1
7,235,Heredity,12,2,-1527.188,-763.594,1
9,302,Heredity,12,2,-1527.187,-763.593,2
4,144,softmutate,12,2,-1527.182,-763.591,1
7,228,Heredity,12,2,-1527.172,-763.586,1
4,115,Heredity,12,2,-1527.155,-763.578,1
6,208,Heredity,12,2,-1527.154,-763.577,1
2,47,Heredity,12,2,-1527.141,-763.57,1
6,207,Heredity,12,2,-1527.137,-763.568,1
8,260,keptBest,12,2,-1527.137,-763.568,1
9,298,keptBest,12,2,-1527.137,-763.568,1
7,222,keptBest,12,2,-1527.137,-763.568,1
7,232,LatMutate,12,2,-1527.111,-763.555,1
6,219,softmutate,12,2,-1527.106,-763.553,1
6,209,RandTop,12,2,-1527.106,-763.553,1
8,274,softmutate,12,2,-1527.09,-763.545,1
3,75,Heredity,12,2,-1527.074,-763.537,2
3,95,Heredity,12,2,-1527.072,-763.536,1
7,253,Heredity,12,2,-1527.068,-763.534,1
9,325,RandTop,12,2,-1527.055,-763.527,1
8,286,Random,12,2,-1527.054,-763.527,1
7,250,Heredity,12,2,-1527.031,-763.515,1
9,316,softmutate,12,2,-1527.025,-763.513,2
6,202,softmutate,12,2,-1527.026,-763.513,2
7,246,softmutate,12,2,-1527.021,-763.511,1
9,326,softmutate,12,2,-1527.02,-763.51,1
3,88,Heredity,12,2,-1527.011,-763.506,1
3,85,Heredity,12,2,-1527.007,-763.504,1
3,76,Heredity,12,2,-1526.999,-763.5,1
2,62,RandTop,12,2,-1526.989,-763.494,1
3,71,keptBest,12,2,-1526.989,-763.494,1
9,310,Heredity,12,2,-1526.981,-763.491,1
7,245,softmutate,12,2,-1526.951,-763.476,1
9,315,softmutate,12,2,-1526.934,-763.467,1
2,60,Heredity,12,2,-1526.92,-763.46,1
3,100,softmutate,12,2,-1526.886,-763.443,1
8,284,Random,12,2,-1526.884,-763.442,1
2,48,Heredity,12,2,-1526.853,-763.426,1
8,273,LatMutate,12,2,-1526.849,-763.424,1
3,106,softmutate,12,2,-1526.788,-763.394,2
5,174,softmutate,12,2,-1526.712,-763.356,1
2,54,softmutate,12,2,-1526.682,-763.341,1
6,201,softmutate,12,2,-1526.672,-763.336,2
8,261,keptBest,12,2,-1526.672,-763.336,2
7,223,keptBest,12,2,-1526.672,-763.336,2
4,127,softmutate,12,2,-1526.662,-763.331,1
6,194,Heredity,12,2,-1526.603,-763.302,1
8,292,softmutate,12,2,-1526.581,-763.291,1
4,119,Heredity,12,2,-1526.479,-763.239,1
6,187,keptBest,12,2,-1526.479,-763.239,1
5,148,keptBest,12,2,-1526.479,-763.239,1
7,224,keptBest,12,2,-1526.479,-763.239,1
4,110,keptBest,12,2,-1526.47,-763.235,2
3,92,softmutate,12,2,-1526.47,-763.235,2
5,177,softmutate,12,2,-1526.461,-763.23,2
5,168,Heredity,12,2,-1526.46,-763.23,1
4,111,keptBest,12,2,-1526.437,-763.218,1
3,86,Heredity,12,2,-1526.437,-763.218,1
4,128,softmutate,12,2,-1526.377,-763.188,1
2,66,softmutate,12,2,-1526.373,-763.187,1
3,72,keptBest,12,2,-1526.373,-763.187,1
3,87,Heredity,12,2,-1526.366,-763.183,1
4,142,softmutate,12,2,-1526.319,-763.159,1
9,327,softmutate,12,2,-1526.22,-763.11,1
2,67,LatMutate,6,1,-763.104,-763.104,1
6,198,Heredity,12,2,-1526.206,-763.103,1
5,181,LatMutate,6,1,-763.101,-763.101,1
7,248,RandTop,6,1,-763.089,-763.089,1
8,293,Heredity,12,2,-1526.17,-763.085,1
2,36,Heredity,6,1,-763.083,-763.083,1
3,74,Permutate,6,1,-763.078,-763.078,1
5,153,Permutate,6,1,-763.075,-763.075,1
7,249,LatMutate,6,1,-763.074,-763.074,1
3,78,LatMutate,6,1,-763.071,-763.071,1
2,37,Heredity,6,1,-763.06,-763.06,1
3,82,keptBest,6,1,-763.06,-763.06,1
7,256,softmutate,12,2,-1526.104,-763.052,1
8,278,RandTop,6,1,-763.049,-763.049,1
4,141,LatMutate,6,1,-763.036,-763.036,1
5,164,keptBest,6,1,-763.036,-763.036,1
3,89,Random,12,2,-1526.045,-763.022,1
3,77,softmutate,12,2,-1526.026,-763.013,1
3,94,LatMutate,6,1,-762.991,-762.991,1
2,45,Heredity,6,1,-762.934,-762.934,1
