Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,105,keptBest,12,2,-3416.815,-1708.407,4
4,106,keptBest,12,2,-3416.699,-1708.35,2
1,25,RandTop,12,2,-3416.413,-1708.206,1
1,31,Random,12,2,-3416.374,-1708.187,1
2,35,keptBest,12,2,-3416.241,-1708.121,2
1,21,Random,12,2,-3416.241,-1708.121,2
2,65,RandTop,12,2,-3416.237,-1708.119,1
4,119,Permutate,6,1,-1708.062,-1708.062,12
5,159,keptBest,6,1,-1708.062,-1708.062,12
5,143,Heredity,6,1,-1708.061,-1708.061,12
5,156,Permutate,6,1,-1708.061,-1708.061,12
5,154,Permutate,6,1,-1708.06,-1708.06,12
1,1,Random,12,2,-3416.112,-1708.056,14
4,107,keptBest,12,2,-3416.105,-1708.052,1
5,141,keptBest,12,2,-3416.105,-1708.052,1
3,95,Random,12,2,-3416.105,-1708.052,1
5,171,Random,12,2,-3416.098,-1708.049,1
2,52,RandTop,6,1,-1708.047,-1708.047,1
3,79,Permutate,6,1,-1708.047,-1708.047,12
4,108,keptBest,6,1,-1708.047,-1708.047,12
5,142,keptBest,12,2,-3416.082,-1708.041,1
4,136,RandTop,12,2,-3416.082,-1708.041,1
1,27,Random,12,2,-3416.078,-1708.039,1
3,73,Heredity,6,1,-1708.034,-1708.034,1
2,49,Heredity,6,1,-1708.022,-1708.022,12
3,77,RandTop,6,1,-1708.016,-1708.016,8
4,109,keptBest,6,1,-1708.016,-1708.016,8
2,39,Heredity,6,1,-1708.01,-1708.01,12
4,114,Random,6,1,-1707.99,-1707.99,12
4,111,Heredity,6,1,-1707.988,-1707.988,12
4,129,LatMutate,6,1,-1707.985,-1707.985,25
2,58,Permutate,12,2,-3415.954,-1707.977,1
2,36,keptBest,12,2,-3415.941,-1707.971,1
1,28,Random,12,2,-3415.941,-1707.971,1
5,166,Random,12,2,-3415.933,-1707.966,1
2,37,keptBest,6,1,-1707.961,-1707.961,25
1,13,RandTop,6,1,-1707.961,-1707.961,25
2,50,Heredity,6,1,-1707.956,-1707.956,2
5,175,LatMutate,6,1,-1707.952,-1707.952,2
5,144,Heredity,6,1,-1707.942,-1707.942,44
5,147,Random,6,1,-1707.935,-1707.935,65
3,75,Heredity,6,1,-1707.933,-1707.933,5
2,40,Random,6,1,-1707.929,-1707.929,12
3,83,keptBest,6,1,-1707.929,-1707.929,12
3,89,Random,6,1,-1707.927,-1707.927,44
1,16,Random,6,1,-1707.922,-1707.922,44
5,145,Heredity,6,1,-1707.921,-1707.921,44
4,123,LatMutate,6,1,-1707.913,-1707.913,2
5,157,LatMutate,6,1,-1707.901,-1707.901,2
1,24,RandTop,12,2,-3415.792,-1707.896,1
4,124,softmutate,6,1,-1707.894,-1707.894,44
3,91,RandTop,6,1,-1707.89,-1707.89,12
4,137,RandTop,12,2,-3415.767,-1707.884,11
2,38,Heredity,6,1,-1707.868,-1707.868,44
4,118,Permutate,6,1,-1707.867,-1707.867,8
5,158,Heredity,6,1,-1707.864,-1707.864,5
5,150,Random,12,2,-3415.714,-1707.857,1
4,134,RandTop,12,2,-3415.694,-1707.847,2
4,113,Heredity,6,1,-1707.827,-1707.827,8
3,76,Random,6,1,-1707.823,-1707.823,12
1,10,RandTop,6,1,-1707.817,-1707.817,12
4,122,LatMutate,6,1,-1707.816,-1707.816,25
4,116,Random,6,1,-1707.809,-1707.809,1
5,163,Heredity,12,2,-3415.608,-1707.804,2
5,167,RandTop,12,2,-3415.607,-1707.804,1
3,92,RandTop,6,1,-1707.792,-1707.792,1
4,110,Heredity,6,1,-1707.779,-1707.779,1
1,30,Random,12,2,-3415.555,-1707.778,2
4,132,Heredity,6,1,-1707.774,-1707.774,1
1,15,Random,12,2,-3415.542,-1707.771,1
1,4,RandTop,6,1,-1707.76,-1707.76,12
3,100,RandTop,12,2,-3415.481,-1707.74,1
3,82,Heredity,12,2,-3415.457,-1707.729,4
3,72,Heredity,6,1,-1707.712,-1707.712,1
1,17,Random,6,1,-1707.696,-1707.696,12
3,99,LatMutate,6,1,-1707.695,-1707.695,2
3,86,keptBest,6,1,-1707.695,-1707.695,12
