Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,132,softmutate,12,2,-752.475,-376.238,8
3,69,keptBest,12,2,-752.399,-376.2,1
2,67,Random,12,2,-752.229,-376.114,1
5,177,Heredity,12,2,-752.071,-376.036,1
2,53,Heredity,12,2,-752.07,-376.035,1
3,94,Permutate,12,2,-752.071,-376.035,1
1,31,RandTop,12,2,-752.065,-376.033,1
3,95,LatMutate,12,2,-752.059,-376.03,1
2,43,Permutate,12,2,-752.06,-376.03,1
3,90,Heredity,12,2,-752.052,-376.026,6
2,42,RandTop,12,2,-752.035,-376.018,1
5,164,Heredity,12,2,-752.031,-376.016,1
4,128,Permutate,12,2,-752.022,-376.011,1
4,140,softmutate,12,2,-752.015,-376.008,1
4,126,RandTop,12,2,-752.014,-376.007,1
5,151,Random,12,2,-752.014,-376.007,6
2,68,Random,12,2,-752.002,-376.001,1
3,98,softmutate,12,2,-751.96,-375.98,1
2,57,Heredity,12,2,-751.926,-375.963,1
5,173,softmutate,12,2,-751.909,-375.955,1
5,171,softmutate,12,2,-751.903,-375.952,1
2,35,keptBest,12,2,-751.901,-375.951,5
1,21,RandTop,12,2,-751.901,-375.951,5
4,112,RandTop,12,2,-751.898,-375.949,5
4,136,Heredity,12,2,-751.873,-375.936,1
4,137,Permutate,12,2,-751.871,-375.935,1
4,123,Heredity,12,2,-751.869,-375.934,1
4,120,Heredity,12,2,-751.854,-375.927,1
2,60,softmutate,12,2,-751.851,-375.925,1
4,138,Random,12,2,-751.822,-375.911,1
5,165,Heredity,12,2,-751.76,-375.88,1
4,133,softmutate,12,2,-751.756,-375.878,1
4,111,Heredity,12,2,-751.736,-375.868,6
5,145,keptBest,12,2,-751.736,-375.868,6
4,108,keptBest,12,2,-751.733,-375.867,6
3,71,keptBest,12,2,-751.733,-375.867,6
2,40,Heredity,12,2,-751.733,-375.867,6
2,51,Heredity,12,2,-751.731,-375.865,1
5,150,Heredity,12,2,-751.721,-375.86,6
2,56,Heredity,12,2,-751.717,-375.858,1
1,23,RandTop,12,2,-751.714,-375.857,1
4,124,Heredity,12,2,-751.714,-375.857,1
1,30,Random,12,2,-751.703,-375.851,1
3,78,Heredity,12,2,-751.678,-375.839,1
3,89,Heredity,12,2,-751.675,-375.838,1
5,161,Heredity,12,2,-751.677,-375.838,1
3,91,Heredity,12,2,-751.674,-375.837,1
1,28,RandTop,12,2,-751.669,-375.835,1
3,83,softmutate,12,2,-751.656,-375.828,12
3,96,softmutate,12,2,-751.636,-375.818,1
5,179,softmutate,12,2,-751.621,-375.811,2
2,39,Heredity,12,2,-751.618,-375.809,1
2,54,Heredity,12,2,-751.596,-375.798,1
2,36,keptBest,12,2,-751.573,-375.786,12
1,13,RandTop,12,2,-751.573,-375.786,12
1,25,Random,12,2,-751.553,-375.776,12
5,163,Heredity,12,2,-751.535,-375.768,1
5,159,Heredity,12,2,-751.522,-375.761,1
5,176,Random,12,2,-751.504,-375.752,1
4,129,LatMutate,12,2,-751.471,-375.735,1
2,61,softmutate,12,2,-751.443,-375.721,1
5,172,softmutate,12,2,-751.442,-375.721,1
5,153,LatMutate,12,2,-751.426,-375.713,8
3,77,Heredity,12,2,-751.257,-375.628,1
2,63,softmutate,12,2,-751.17,-375.585,1
4,109,keptBest,12,2,-751.028,-375.514,1
5,146,keptBest,12,2,-751.028,-375.514,1
3,75,Heredity,12,2,-751.028,-375.514,1
4,113,Permutate,12,2,-750.963,-375.482,6
3,72,keptBest,12,2,-750.899,-375.45,1
2,64,softmutate,12,2,-750.899,-375.45,1
3,82,softmutate,12,2,-750.566,-375.283,1
3,73,keptBest,12,2,-750.565,-375.282,1
