Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,214,keptBest,12,2,-2671.757,-1335.878,1
1,4,RandTop,12,2,-2671.536,-1335.768,2
7,242,Random,12,2,-2671.321,-1335.66,1
4,133,Heredity,12,2,-2671.319,-1335.659,1
6,210,Heredity,12,2,-2671.313,-1335.657,1
3,75,RandTop,12,2,-2671.308,-1335.654,2
6,212,RandTop,12,2,-2671.3,-1335.65,1
7,247,Random,12,2,-2671.294,-1335.647,1
6,180,keptBest,6,1,-1335.627,-1335.627,12
7,235,keptBest,6,1,-1335.627,-1335.627,12
5,146,Heredity,6,1,-1335.627,-1335.627,12
3,81,Heredity,6,1,-1335.625,-1335.625,12
4,118,Permutate,6,1,-1335.625,-1335.625,12
3,90,Permutate,6,1,-1335.625,-1335.625,12
4,109,keptBest,6,1,-1335.625,-1335.625,12
2,44,Permutate,6,1,-1335.624,-1335.624,12
3,72,keptBest,6,1,-1335.624,-1335.624,12
7,217,Heredity,6,1,-1335.623,-1335.623,12
6,187,Permutate,6,1,-1335.621,-1335.621,12
7,226,Permutate,6,1,-1335.621,-1335.621,12
5,152,Heredity,12,2,-2671.226,-1335.613,1
5,147,Heredity,6,1,-1335.612,-1335.612,12
2,38,Heredity,6,1,-1335.607,-1335.607,12
5,148,Random,6,1,-1335.605,-1335.605,12
1,26,Random,12,2,-2671.205,-1335.602,2
3,83,Heredity,6,1,-1335.597,-1335.597,2
5,171,Random,12,2,-2671.192,-1335.596,1
1,7,Random,6,1,-1335.592,-1335.592,12
2,47,keptBest,6,1,-1335.592,-1335.592,12
7,220,Random,6,1,-1335.586,-1335.586,12
3,79,Heredity,6,1,-1335.583,-1335.583,12
6,182,Heredity,6,1,-1335.582,-1335.582,12
4,112,Random,6,1,-1335.582,-1335.582,12
4,129,LatMutate,6,1,-1335.582,-1335.582,12
2,40,Random,6,1,-1335.58,-1335.58,12
5,172,Random,12,2,-2671.158,-1335.579,1
2,37,Heredity,6,1,-1335.578,-1335.578,12
7,250,Random,12,2,-2671.148,-1335.574,1
3,98,Random,12,2,-2671.148,-1335.574,1
1,25,RandTop,12,2,-2671.146,-1335.573,1
3,91,LatMutate,6,1,-1335.571,-1335.571,12
3,82,Heredity,6,1,-1335.567,-1335.567,2
7,243,RandTop,12,2,-2671.102,-1335.551,1
3,71,keptBest,12,2,-2671.1,-1335.55,1
2,46,Heredity,12,2,-2671.1,-1335.55,1
4,136,softmutate,12,2,-2671.098,-1335.549,1
5,149,Permutate,6,1,-1335.547,-1335.547,12
3,97,LatMutate,6,1,-1335.546,-1335.546,12
5,144,keptBest,6,1,-1335.542,-1335.542,12
4,119,LatMutate,6,1,-1335.542,-1335.542,12
1,14,RandTop,6,1,-1335.54,-1335.54,2
1,11,RandTop,6,1,-1335.534,-1335.534,12
7,223,Random,6,1,-1335.526,-1335.526,2
5,163,Heredity,12,2,-2671.048,-1335.524,1
7,222,Random,6,1,-1335.523,-1335.523,12
1,5,Random,6,1,-1335.522,-1335.522,2
2,57,Heredity,12,2,-2671.028,-1335.514,1
7,244,Permutate,12,2,-2671.001,-1335.501,1
7,236,keptBest,6,1,-1335.499,-1335.499,12
6,181,Heredity,6,1,-1335.499,-1335.499,12
6,191,keptBest,6,1,-1335.493,-1335.493,2
5,145,Heredity,6,1,-1335.493,-1335.493,2
7,237,keptBest,6,1,-1335.493,-1335.493,2
4,135,Permutate,12,2,-2670.96,-1335.48,1
5,162,Heredity,12,2,-2670.95,-1335.475,2
4,138,Random,12,2,-2670.945,-1335.473,1
5,154,Permutate,12,2,-2670.932,-1335.466,1
5,173,Random,12,2,-2670.931,-1335.466,1
6,201,Heredity,12,2,-2670.917,-1335.458,1
1,13,RandTop,6,1,-1335.457,-1335.457,2
3,73,keptBest,6,1,-1335.457,-1335.457,2
4,122,keptBest,6,1,-1335.457,-1335.457,2
2,55,keptBest,6,1,-1335.457,-1335.457,2
1,32,Random,12,2,-2670.911,-1335.456,1
2,34,keptBest,12,2,-2670.911,-1335.456,1
2,48,Random,12,2,-2670.912,-1335.456,2
1,31,RandTop,12,2,-2670.909,-1335.455,1
7,240,Heredity,12,2,-2670.888,-1335.444,1
1,22,Random,12,2,-2670.875,-1335.437,1
5,160,Heredity,6,1,-1335.436,-1335.436,12
5,157,keptBest,6,1,-1335.428,-1335.428,65
6,193,keptBest,6,1,-1335.428,-1335.428,65
4,126,keptBest,6,1,-1335.428,-1335.428,65
3,89,Permutate,6,1,-1335.428,-1335.428,65
4,117,Permutate,6,1,-1335.426,-1335.426,65
3,92,Heredity,12,2,-2670.847,-1335.424,2
5,143,keptBest,12,2,-2670.847,-1335.424,2
4,107,keptBest,12,2,-2670.847,-1335.424,2
3,78,Heredity,6,1,-1335.423,-1335.423,12
3,77,Heredity,6,1,-1335.422,-1335.422,12
2,43,RandTop,6,1,-1335.42,-1335.42,221
3,76,keptBest,6,1,-1335.42,-1335.42,221
2,35,keptBest,12,2,-2670.838,-1335.419,65
6,186,RandTop,6,1,-1335.419,-1335.419,221
1,17,RandTop,12,2,-2670.838,-1335.419,65
2,42,RandTop,6,1,-1335.418,-1335.418,221
5,159,keptBest,6,1,-1335.418,-1335.418,221
4,114,RandTop,6,1,-1335.418,-1335.418,221
6,194,keptBest,6,1,-1335.418,-1335.418,221
1,20,RandTop,6,1,-1335.417,-1335.417,221
4,115,RandTop,6,1,-1335.417,-1335.417,221
2,53,LatMutate,6,1,-1335.417,-1335.417,12
3,86,Random,6,1,-1335.416,-1335.416,65
1,15,RandTop,6,1,-1335.416,-1335.416,221
2,39,Heredity,6,1,-1335.415,-1335.415,65
5,150,LatMutate,6,1,-1335.412,-1335.412,12
6,192,softmutate,12,2,-2670.822,-1335.411,2
2,67,RandTop,12,2,-2670.811,-1335.406,65
4,113,Random,6,1,-1335.404,-1335.404,221
6,209,Heredity,12,2,-2670.796,-1335.398,1
5,151,Heredity,12,2,-2670.796,-1335.398,1
2,66,RandTop,12,2,-2670.792,-1335.396,107
1,1,Random,6,1,-1335.394,-1335.394,221
6,211,Random,12,2,-2670.783,-1335.392,221
6,199,LatMutate,6,1,-1335.392,-1335.392,8
3,93,LatMutate,12,2,-2670.783,-1335.391,2
2,65,Random,12,2,-2670.772,-1335.386,107
7,229,Heredity,12,2,-2670.757,-1335.378,1
2,54,LatMutate,6,1,-1335.372,-1335.372,1
4,132,Heredity,12,2,-2670.742,-1335.371,1
5,165,RandTop,12,2,-2670.738,-1335.369,166
4,141,Random,12,2,-2670.737,-1335.369,1
2,41,Random,6,1,-1335.355,-1335.355,1
3,88,Random,6,1,-1335.344,-1335.344,191
1,3,Random,12,2,-2670.677,-1335.339,40
1,8,Random,6,1,-1335.336,-1335.336,1
1,6,Random,6,1,-1335.323,-1335.323,12
4,137,softmutate,12,2,-2670.624,-1335.312,2
6,213,Heredity,12,2,-2670.621,-1335.311,1
6,179,RandTop,12,2,-2670.619,-1335.31,1
7,225,RandTop,6,1,-1335.304,-1335.304,65
1,19,Random,6,1,-1335.293,-1335.293,8
5,177,RandTop,12,2,-2670.581,-1335.291,2
7,241,Random,12,2,-2670.578,-1335.289,2
6,196,Heredity,12,2,-2670.571,-1335.286,1
1,24,RandTop,12,2,-2670.566,-1335.283,25
1,21,Random,12,2,-2670.564,-1335.282,1
3,100,RandTop,12,2,-2670.558,-1335.279,6
5,170,Heredity,12,2,-2670.55,-1335.275,1
5,169,Heredity,12,2,-2670.545,-1335.273,1
5,168,LatMutate,6,1,-1335.272,-1335.272,1
1,18,Random,6,1,-1335.269,-1335.269,1
1,23,Random,12,2,-2670.534,-1335.267,1
2,61,Random,12,2,-2670.53,-1335.265,12
2,56,Heredity,12,2,-2670.526,-1335.263,1
1,28,Random,12,2,-2670.52,-1335.26,2
4,116,RandTop,6,1,-1335.257,-1335.257,1
1,2,Random,12,2,-2670.506,-1335.253,5
5,158,LatMutate,6,1,-1335.248,-1335.248,2
4,130,softmutate,12,2,-2670.495,-1335.247,1
2,52,Permutate,6,1,-1335.235,-1335.235,2
3,96,softmutate,12,2,-2670.456,-1335.228,1
4,131,Heredity,12,2,-2670.454,-1335.227,2
2,49,RandTop,12,2,-2670.449,-1335.224,12
5,153,Random,12,2,-2670.429,-1335.215,12
1,9,Random,6,1,-1335.203,-1335.203,2
4,134,RandTop,12,2,-2670.387,-1335.194,1
2,69,softmutate,12,2,-2670.387,-1335.194,1
7,232,softmutate,12,2,-2670.38,-1335.19,2
4,124,Heredity,12,2,-2670.37,-1335.185,1
