Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,71,keptBest,12,2,-2910.976,-1455.488,11
3,90,softmutate,12,2,-2910.625,-1455.313,2
3,94,Permutate,12,2,-2910.621,-1455.311,8
5,181,Random,12,2,-2910.54,-1455.27,2
4,130,Heredity,12,2,-2910.502,-1455.251,2
2,57,softmutate,12,2,-2910.49,-1455.245,1
3,96,Heredity,12,2,-2910.483,-1455.242,8
3,91,Heredity,12,2,-2910.481,-1455.24,8
4,125,Heredity,12,2,-2910.462,-1455.231,2
4,135,Heredity,12,2,-2910.456,-1455.228,8
3,93,RandTop,12,2,-2910.454,-1455.227,147
5,148,keptBest,12,2,-2910.454,-1455.227,147
4,110,keptBest,12,2,-2910.454,-1455.227,147
3,102,softmutate,12,2,-2910.453,-1455.226,2
4,131,Random,12,2,-2910.437,-1455.218,11
1,32,Random,12,2,-2910.417,-1455.208,11
3,89,Heredity,12,2,-2910.403,-1455.201,2
1,29,Random,12,2,-2910.386,-1455.193,12
2,35,keptBest,12,2,-2910.386,-1455.193,12
3,84,Heredity,12,2,-2910.374,-1455.187,2
4,128,Heredity,12,2,-2910.361,-1455.181,8
2,46,Heredity,12,2,-2910.346,-1455.173,11
1,21,Random,12,2,-2910.324,-1455.162,5
4,136,Heredity,12,2,-2910.315,-1455.158,2
3,92,Heredity,12,2,-2910.304,-1455.152,2
3,101,Permutate,12,2,-2910.3,-1455.15,11
5,166,Permutate,12,2,-2910.296,-1455.148,11
1,27,Random,12,2,-2910.293,-1455.147,1
2,52,Heredity,12,2,-2910.267,-1455.134,2
5,170,softmutate,12,2,-2910.263,-1455.132,2
2,63,Random,12,2,-2910.226,-1455.113,4
5,155,keptBest,6,1,-1455.111,-1455.111,12
4,114,Random,6,1,-1455.111,-1455.111,12
5,164,Heredity,12,2,-2910.214,-1455.107,1
4,126,Heredity,12,2,-2910.212,-1455.106,12
2,37,Permutate,6,1,-1455.106,-1455.106,12
2,65,Random,12,2,-2910.21,-1455.105,4
3,82,LatMutate,6,1,-1455.102,-1455.102,12
4,113,LatMutate,6,1,-1455.099,-1455.099,12
2,43,Random,6,1,-1455.077,-1455.077,12
2,54,softmutate,12,2,-2910.123,-1455.061,2
3,99,Heredity,12,2,-2910.103,-1455.052,2
4,118,keptBest,6,1,-1455.051,-1455.051,12
3,78,Heredity,6,1,-1455.051,-1455.051,12
5,180,Permutate,12,2,-2910.096,-1455.048,11
2,40,keptBest,6,1,-1455.044,-1455.044,12
1,8,Random,6,1,-1455.044,-1455.044,12
5,161,Random,6,1,-1455.035,-1455.035,12
5,178,softmutate,12,2,-2910.059,-1455.029,2
1,9,RandTop,6,1,-1455.028,-1455.028,12
1,6,Random,6,1,-1455.027,-1455.027,12
1,10,RandTop,6,1,-1455.027,-1455.027,12
1,30,Random,12,2,-2910.046,-1455.023,1
3,86,softmutate,12,2,-2910.035,-1455.018,12
5,182,RandTop,12,2,-2910.028,-1455.014,26
1,5,Random,6,1,-1455.01,-1455.01,12
3,87,RandTop,6,1,-1454.972,-1454.972,12
5,149,keptBest,12,2,-2909.927,-1454.963,7
4,139,Permutate,12,2,-2909.927,-1454.963,7
4,111,LatMutate,6,1,-1454.941,-1454.941,189
5,151,Heredity,6,1,-1454.94,-1454.94,189
2,36,Random,6,1,-1454.939,-1454.939,189
3,79,keptBest,6,1,-1454.939,-1454.939,189
4,120,keptBest,6,1,-1454.939,-1454.939,189
5,152,RandTop,6,1,-1454.938,-1454.938,189
3,77,RandTop,6,1,-1454.935,-1454.935,189
2,41,keptBest,6,1,-1454.928,-1454.928,189
1,7,Random,6,1,-1454.928,-1454.928,189
5,150,Heredity,6,1,-1454.924,-1454.924,189
2,62,Heredity,12,2,-2909.844,-1454.922,12
3,73,keptBest,12,2,-2909.844,-1454.922,12
4,138,Random,12,2,-2909.836,-1454.918,3
1,3,RandTop,6,1,-1454.915,-1454.915,189
5,156,Random,6,1,-1454.912,-1454.912,189
3,104,RandTop,12,2,-2909.813,-1454.907,11
4,145,RandTop,12,2,-2909.81,-1454.905,6
3,97,Random,12,2,-2909.809,-1454.904,12
4,133,softmutate,12,2,-2909.748,-1454.874,2
3,74,keptBest,12,2,-2909.745,-1454.872,11
2,68,RandTop,12,2,-2909.745,-1454.872,11
4,132,RandTop,12,2,-2909.708,-1454.854,2
3,85,Heredity,12,2,-2909.706,-1454.853,12
5,175,Permutate,12,2,-2909.632,-1454.816,1
5,179,Random,12,2,-2909.63,-1454.815,2
2,53,softmutate,12,2,-2909.622,-1454.811,2
5,162,Permutate,12,2,-2909.61,-1454.805,166
1,20,RandTop,12,2,-2909.573,-1454.787,11
1,24,RandTop,12,2,-2909.566,-1454.783,6
2,50,Heredity,12,2,-2909.562,-1454.781,2
4,121,Random,6,1,-1454.767,-1454.767,2
2,56,Heredity,12,2,-2909.503,-1454.751,8
5,172,Heredity,12,2,-2909.484,-1454.742,2
3,103,Random,12,2,-2909.476,-1454.738,189
2,39,Random,6,1,-1454.737,-1454.737,2
2,70,RandTop,12,2,-2909.474,-1454.737,11
5,165,Heredity,12,2,-2909.469,-1454.735,2
1,17,Random,12,2,-2909.449,-1454.725,13
3,95,Heredity,12,2,-2909.437,-1454.719,2
4,122,Random,6,1,-1454.693,-1454.693,12
4,124,Heredity,12,2,-2909.366,-1454.683,2
2,44,RandTop,6,1,-1454.677,-1454.677,2
2,66,RandTop,12,2,-2909.316,-1454.658,13
3,98,Heredity,12,2,-2909.268,-1454.634,1
3,100,RandTop,12,2,-2909.26,-1454.63,1
5,171,Heredity,12,2,-2909.252,-1454.626,2
2,45,Heredity,12,2,-2909.249,-1454.625,166
5,157,Heredity,12,2,-2909.242,-1454.621,166
1,1,Random,6,1,-1454.617,-1454.617,12
2,38,Permutate,6,1,-1454.617,-1454.617,12
3,107,softmutate,12,2,-2909.232,-1454.616,12
2,47,LatMutate,6,1,-1454.61,-1454.61,166
3,81,RandTop,6,1,-1454.61,-1454.61,12
4,123,Heredity,12,2,-2909.211,-1454.605,2
4,134,LatMutate,6,1,-1454.604,-1454.604,166
2,48,Heredity,12,2,-2909.206,-1454.603,166
5,177,Random,12,2,-2909.184,-1454.592,2
5,163,LatMutate,6,1,-1454.583,-1454.583,1
5,174,softmutate,12,2,-2909.16,-1454.58,2
5,158,LatMutate,6,1,-1454.577,-1454.577,166
5,168,Permutate,12,2,-2909.152,-1454.576,10
1,14,RandTop,6,1,-1454.566,-1454.566,166
5,160,Random,6,1,-1454.555,-1454.555,38
4,112,Permutate,12,2,-2909.108,-1454.554,166
4,129,Heredity,12,2,-2909.096,-1454.548,2
4,127,softmutate,12,2,-2909.091,-1454.546,166
1,11,RandTop,6,1,-1454.543,-1454.543,12
5,167,RandTop,6,1,-1454.523,-1454.523,12
4,115,RandTop,6,1,-1454.517,-1454.517,12
2,42,Heredity,6,1,-1454.512,-1454.512,2
1,16,Random,6,1,-1454.476,-1454.476,2
4,141,softmutate,12,2,-2908.946,-1454.473,46
2,55,Heredity,12,2,-2908.901,-1454.45,1
5,169,softmutate,12,2,-2908.852,-1454.426,2
3,83,Random,6,1,-1454.395,-1454.395,1
1,2,Random,6,1,-1454.383,-1454.383,12
3,76,Heredity,12,2,-2908.718,-1454.359,59
3,80,softmutate,12,2,-2908.69,-1454.345,59
5,153,Heredity,12,2,-2908.678,-1454.339,59
2,67,softmutate,12,2,-2908.594,-1454.297,2
2,61,Heredity,12,2,-2908.579,-1454.29,1
2,51,Heredity,12,2,-2908.572,-1454.286,12
3,105,softmutate,12,2,-2908.52,-1454.26,2
2,49,Heredity,12,2,-2908.501,-1454.251,12
2,60,LatMutate,6,1,-1454.243,-1454.243,12
4,116,RandTop,6,1,-1454.239,-1454.239,12
4,140,RandTop,12,2,-2908.448,-1454.224,1
1,13,RandTop,6,1,-1454.189,-1454.189,12
1,15,Random,12,2,-2908.33,-1454.165,193
4,119,Random,12,2,-2908.323,-1454.162,193
4,137,Random,12,2,-2908.281,-1454.141,5
1,28,RandTop,12,2,-2908.275,-1454.138,1
2,59,softmutate,12,2,-2908.209,-1454.104,1
1,22,Random,12,2,-2908.187,-1454.093,2
3,106,Random,12,2,-2908.171,-1454.086,1
1,31,RandTop,12,2,-2908.131,-1454.066,1
1,12,RandTop,6,1,-1454.033,-1454.033,6
5,159,Heredity,6,1,-1453.936,-1453.936,1
1,18,RandTop,12,2,-2907.834,-1453.917,3
1,4,RandTop,6,1,-1453.915,-1453.915,65
4,117,Permutate,6,1,-1453.889,-1453.889,1
3,88,Heredity,6,1,-1453.855,-1453.855,2
1,19,Random,12,2,-2907.682,-1453.841,1
2,69,softmutate,12,2,-2907.413,-1453.707,2
4,142,softmutate,12,2,-2907.379,-1453.689,2
3,75,Random,6,1,-1453.566,-1453.566,3
2,58,softmutate,12,2,-2906.811,-1453.406,1
5,154,RandTop,6,1,-1453.362,-1453.362,123
4,143,softmutate,12,2,-2906.659,-1453.329,1
