Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,220,keptBest,12,2,-2574.861,-1287.43,1
1,26,RandTop,12,2,-2574.851,-1287.425,12
5,154,keptBest,6,1,-1287.287,-1287.287,12
8,279,Permutate,12,2,-2574.46,-1287.23,8
3,105,Random,12,2,-2574.457,-1287.229,2
5,146,keptBest,12,2,-2574.404,-1287.202,12
4,109,keptBest,12,2,-2574.404,-1287.202,12
3,90,RandTop,12,2,-2574.404,-1287.202,12
7,222,keptBest,12,2,-2574.388,-1287.194,2
8,260,keptBest,12,2,-2574.388,-1287.194,2
5,174,RandTop,12,2,-2574.388,-1287.194,2
6,185,keptBest,12,2,-2574.388,-1287.194,2
1,22,RandTop,12,2,-2574.351,-1287.175,2
7,239,Heredity,12,2,-2574.336,-1287.168,1
7,223,Random,6,1,-1287.165,-1287.165,2
6,197,Permutate,12,2,-2574.32,-1287.16,10
5,169,RandTop,12,2,-2574.317,-1287.159,2
4,120,RandTop,6,1,-1287.159,-1287.159,2
2,34,keptBest,12,2,-2574.303,-1287.152,2
3,72,keptBest,12,2,-2574.303,-1287.152,2
1,18,Random,12,2,-2574.303,-1287.152,2
7,255,Heredity,12,2,-2574.294,-1287.147,2
1,15,RandTop,12,2,-2574.287,-1287.144,11
7,228,RandTop,6,1,-1287.131,-1287.131,2
4,124,Permutate,12,2,-2574.258,-1287.129,11
6,206,Permutate,12,2,-2574.233,-1287.117,2
6,204,Heredity,12,2,-2574.231,-1287.116,2
4,116,Random,6,1,-1287.115,-1287.115,2
4,125,LatMutate,6,1,-1287.114,-1287.114,148
7,230,keptBest,6,1,-1287.106,-1287.106,12
5,170,RandTop,12,2,-2574.212,-1287.106,2
8,265,keptBest,6,1,-1287.106,-1287.106,12
6,195,LatMutate,6,1,-1287.106,-1287.106,12
2,35,keptBest,12,2,-2574.202,-1287.101,9
1,32,Random,12,2,-2574.202,-1287.101,9
3,73,keptBest,12,2,-2574.202,-1287.101,9
4,110,keptBest,12,2,-2574.202,-1287.101,9
5,176,Heredity,12,2,-2574.2,-1287.1,2
4,122,softmutate,12,2,-2574.186,-1287.093,15
5,147,keptBest,12,2,-2574.186,-1287.093,15
7,257,Random,12,2,-2574.174,-1287.087,2
1,29,RandTop,12,2,-2574.169,-1287.085,2
4,123,Heredity,12,2,-2574.164,-1287.082,2
1,19,Random,12,2,-2574.163,-1287.082,2
2,46,Heredity,12,2,-2574.148,-1287.074,2
2,69,Random,12,2,-2574.146,-1287.073,2
6,186,keptBest,12,2,-2574.134,-1287.067,2
3,101,Heredity,12,2,-2574.133,-1287.067,1
5,178,RandTop,12,2,-2574.134,-1287.067,2
6,203,Heredity,12,2,-2574.131,-1287.066,2
5,158,Permutate,6,1,-1287.062,-1287.062,2
5,172,softmutate,12,2,-2574.125,-1287.062,12
8,262,Heredity,6,1,-1287.054,-1287.054,2
7,224,RandTop,6,1,-1287.05,-1287.05,2
6,189,Random,6,1,-1287.048,-1287.048,2
5,148,Heredity,6,1,-1287.047,-1287.047,2
5,151,RandTop,6,1,-1287.047,-1287.047,2
4,112,RandTop,6,1,-1287.044,-1287.044,2
1,3,RandTop,6,1,-1287.043,-1287.043,2
3,75,LatMutate,6,1,-1287.043,-1287.043,2
8,261,Heredity,6,1,-1287.043,-1287.043,2
3,79,Random,6,1,-1287.043,-1287.043,2
4,119,keptBest,6,1,-1287.043,-1287.043,2
5,164,Random,6,1,-1287.04,-1287.04,148
1,6,RandTop,6,1,-1287.039,-1287.039,2
8,263,Heredity,6,1,-1287.035,-1287.035,12
1,27,Random,12,2,-2574.066,-1287.033,1
7,251,Random,12,2,-2574.05,-1287.025,2
5,165,LatMutate,6,1,-1287.023,-1287.023,2
2,58,Heredity,12,2,-2574.042,-1287.021,2
1,4,Random,6,1,-1287.019,-1287.019,2
7,234,softmutate,12,2,-2574.034,-1287.017,2
2,38,Random,6,1,-1287.007,-1287.007,12
8,275,Permutate,12,2,-2574.012,-1287.006,2
5,179,Permutate,12,2,-2574.009,-1287.005,2
3,100,Heredity,12,2,-2574.007,-1287.003,2
7,226,Heredity,6,1,-1287.002,-1287.002,12
2,43,RandTop,6,1,-1287.001,-1287.001,12
2,42,Random,6,1,-1287.0,-1287.0,12
7,231,LatMutate,6,1,-1286.999,-1286.999,12
2,45,LatMutate,6,1,-1286.999,-1286.999,12
8,266,Permutate,6,1,-1286.997,-1286.997,12
5,156,keptBest,6,1,-1286.997,-1286.997,12
4,118,Random,6,1,-1286.997,-1286.997,12
5,153,RandTop,6,1,-1286.995,-1286.995,12
8,267,LatMutate,6,1,-1286.994,-1286.994,12
4,128,Heredity,12,2,-2573.982,-1286.991,12
7,235,RandTop,6,1,-1286.99,-1286.99,12
7,244,Permutate,12,2,-2573.97,-1286.985,2
3,94,Permutate,12,2,-2573.959,-1286.98,2
2,60,Heredity,12,2,-2573.955,-1286.978,2
3,102,Heredity,12,2,-2573.946,-1286.973,2
8,291,RandTop,12,2,-2573.945,-1286.973,2
3,81,Permutate,12,2,-2573.932,-1286.966,2
4,134,Heredity,12,2,-2573.928,-1286.964,12
2,53,Heredity,12,2,-2573.921,-1286.961,2
4,115,Heredity,6,1,-1286.958,-1286.958,12
2,61,Heredity,12,2,-2573.915,-1286.957,2
6,213,softmutate,12,2,-2573.911,-1286.956,2
5,171,Permutate,12,2,-2573.893,-1286.947,8
5,161,Heredity,12,2,-2573.892,-1286.946,2
8,290,RandTop,12,2,-2573.888,-1286.944,2
5,180,softmutate,12,2,-2573.884,-1286.942,2
7,240,Heredity,12,2,-2573.866,-1286.933,2
4,135,RandTop,12,2,-2573.849,-1286.925,5
5,163,softmutate,12,2,-2573.847,-1286.923,2
6,218,Random,12,2,-2573.838,-1286.919,2
8,281,Heredity,12,2,-2573.836,-1286.918,72
7,238,LatMutate,6,1,-1286.915,-1286.915,12
7,253,softmutate,12,2,-2573.83,-1286.915,2
3,86,LatMutate,6,1,-1286.914,-1286.914,12
2,50,softmutate,12,2,-2573.81,-1286.905,2
5,181,Heredity,12,2,-2573.777,-1286.888,2
3,95,Heredity,12,2,-2573.776,-1286.888,2
6,199,RandTop,12,2,-2573.765,-1286.883,10
5,166,Heredity,12,2,-2573.763,-1286.881,2
3,74,keptBest,12,2,-2573.742,-1286.871,2
2,36,keptBest,12,2,-2573.742,-1286.871,2
1,30,RandTop,12,2,-2573.742,-1286.871,2
5,155,Heredity,6,1,-1286.862,-1286.862,12
6,216,softmutate,12,2,-2573.722,-1286.861,2
2,37,keptBest,12,2,-2573.698,-1286.849,148
1,16,Random,12,2,-2573.698,-1286.849,148
7,254,softmutate,12,2,-2573.687,-1286.844,2
3,88,Heredity,12,2,-2573.66,-1286.83,2
1,9,Random,6,1,-1286.815,-1286.815,12
6,215,softmutate,12,2,-2573.624,-1286.812,2
6,187,RandTop,6,1,-1286.804,-1286.804,2
1,28,RandTop,12,2,-2573.609,-1286.804,5
1,14,Random,12,2,-2573.602,-1286.801,12
1,24,Random,12,2,-2573.578,-1286.789,2
2,70,softmutate,12,2,-2573.567,-1286.783,8
3,89,Permutate,12,2,-2573.564,-1286.782,2
7,237,RandTop,12,2,-2573.558,-1286.779,55
2,64,Heredity,12,2,-2573.535,-1286.767,1
7,233,Heredity,6,1,-1286.756,-1286.756,12
4,140,Random,12,2,-2573.509,-1286.754,1
3,87,softmutate,12,2,-2573.503,-1286.751,74
8,272,LatMutate,6,1,-1286.741,-1286.741,10
3,98,softmutate,12,2,-2573.481,-1286.74,1
6,211,Heredity,12,2,-2573.473,-1286.737,15
1,7,RandTop,6,1,-1286.733,-1286.733,2
3,80,RandTop,6,1,-1286.725,-1286.725,10
3,96,Heredity,12,2,-2573.451,-1286.725,1
5,175,softmutate,12,2,-2573.445,-1286.722,2
6,207,Permutate,12,2,-2573.441,-1286.72,1
5,173,Heredity,12,2,-2573.436,-1286.718,2
8,287,softmutate,12,2,-2573.431,-1286.716,1
7,243,Permutate,12,2,-2573.425,-1286.713,2
2,55,softmutate,12,2,-2573.424,-1286.712,2
2,48,Permutate,12,2,-2573.409,-1286.704,2
8,278,Heredity,12,2,-2573.408,-1286.704,2
1,17,RandTop,12,2,-2573.406,-1286.703,2
7,242,Random,12,2,-2573.398,-1286.699,65
3,99,softmutate,12,2,-2573.396,-1286.698,2
6,196,Heredity,12,2,-2573.347,-1286.673,12
2,44,Random,6,1,-1286.67,-1286.67,12
4,133,Heredity,12,2,-2573.336,-1286.668,1
8,283,Random,12,2,-2573.334,-1286.667,11
6,200,Heredity,12,2,-2573.319,-1286.659,12
7,225,LatMutate,6,1,-1286.657,-1286.657,2
4,127,Heredity,12,2,-2573.31,-1286.655,12
1,1,Random,6,1,-1286.654,-1286.654,12
2,56,Heredity,12,2,-2573.308,-1286.654,2
3,77,Random,6,1,-1286.653,-1286.653,12
8,271,Heredity,12,2,-2573.305,-1286.652,12
2,54,softmutate,12,2,-2573.304,-1286.652,12
6,188,LatMutate,6,1,-1286.649,-1286.649,2
3,97,softmutate,12,2,-2573.288,-1286.644,12
4,111,Random,6,1,-1286.641,-1286.641,12
4,139,softmutate,12,2,-2573.28,-1286.64,1
4,130,Heredity,12,2,-2573.276,-1286.638,12
4,137,Permutate,12,2,-2573.267,-1286.633,2
5,167,softmutate,12,2,-2573.267,-1286.633,2
7,256,softmutate,12,2,-2573.259,-1286.63,8
3,103,softmutate,12,2,-2573.253,-1286.626,2
2,63,RandTop,12,2,-2573.24,-1286.62,2
7,227,Random,6,1,-1286.615,-1286.615,12
4,132,Heredity,12,2,-2573.226,-1286.613,1
6,210,Heredity,12,2,-2573.186,-1286.593,1
6,212,Heredity,12,2,-2573.18,-1286.59,1
6,198,LatMutate,6,1,-1286.588,-1286.588,8
3,104,Heredity,12,2,-2573.16,-1286.58,12
5,177,Heredity,12,2,-2573.081,-1286.54,1
8,282,Heredity,12,2,-2573.076,-1286.538,1
5,168,Random,12,2,-2573.072,-1286.536,129
7,248,softmutate,12,2,-2573.071,-1286.535,10
8,288,softmutate,12,2,-2573.044,-1286.522,2
4,138,softmutate,12,2,-2573.018,-1286.509,5
8,280,Heredity,12,2,-2573.004,-1286.502,2
2,49,Permutate,12,2,-2573.003,-1286.501,12
6,219,Heredity,12,2,-2573.002,-1286.501,1
6,190,Random,6,1,-1286.484,-1286.484,6
1,21,Random,12,2,-2572.95,-1286.475,148
2,59,softmutate,12,2,-2572.95,-1286.475,2
7,250,Heredity,12,2,-2572.946,-1286.473,2
3,84,Heredity,12,2,-2572.937,-1286.469,63
6,201,Heredity,12,2,-2572.913,-1286.457,2
6,205,Heredity,12,2,-2572.907,-1286.454,2
6,194,RandTop,6,1,-1286.452,-1286.452,2
2,62,Heredity,12,2,-2572.892,-1286.446,2
6,208,softmutate,12,2,-2572.879,-1286.44,2
4,141,Random,12,2,-2572.819,-1286.41,4
8,284,Random,12,2,-2572.808,-1286.404,1
1,25,Random,12,2,-2572.776,-1286.388,1
7,247,softmutate,12,2,-2572.664,-1286.332,1
3,106,softmutate,12,2,-2572.661,-1286.331,2
1,13,RandTop,12,2,-2572.622,-1286.311,10
1,2,Random,6,1,-1286.301,-1286.301,1
2,65,softmutate,12,2,-2572.564,-1286.282,20
4,142,softmutate,12,2,-2572.553,-1286.276,1
1,12,Random,12,2,-2572.52,-1286.26,12
5,162,Random,12,2,-2572.518,-1286.259,12
5,159,LatMutate,6,1,-1286.256,-1286.256,1
6,193,Heredity,12,2,-2572.511,-1286.255,12
1,31,Random,12,2,-2572.511,-1286.255,2
2,39,Heredity,12,2,-2572.497,-1286.248,12
4,126,Heredity,12,2,-2572.493,-1286.246,12
8,273,Heredity,12,2,-2572.486,-1286.243,12
8,286,RandTop,12,2,-2572.482,-1286.241,12
8,289,Random,12,2,-2572.469,-1286.234,12
7,241,Heredity,12,2,-2572.459,-1286.23,36
4,121,LatMutate,6,1,-1286.219,-1286.219,2
4,136,softmutate,12,2,-2572.436,-1286.218,2
3,93,Random,12,2,-2572.432,-1286.216,12
8,277,softmutate,12,2,-2572.427,-1286.213,12
7,236,Heredity,12,2,-2572.411,-1286.206,1
7,232,Heredity,12,2,-2572.411,-1286.206,1
6,209,softmutate,12,2,-2572.395,-1286.197,166
7,246,softmutate,12,2,-2572.386,-1286.193,12
4,143,RandTop,12,2,-2572.386,-1286.193,1
8,292,softmutate,12,2,-2572.38,-1286.19,5
6,202,Random,12,2,-2572.376,-1286.188,63
8,285,Random,12,2,-2572.349,-1286.174,12
4,131,RandTop,12,2,-2572.343,-1286.171,1
2,47,Heredity,12,2,-2572.305,-1286.152,12
2,40,Heredity,12,2,-2572.301,-1286.15,12
6,214,softmutate,12,2,-2572.273,-1286.136,12
8,276,softmutate,12,2,-2572.269,-1286.135,15
7,249,Heredity,12,2,-2572.263,-1286.131,1
8,274,Heredity,12,2,-2572.257,-1286.128,15
6,191,Random,6,1,-1286.128,-1286.128,12
3,78,Random,6,1,-1286.102,-1286.102,12
2,66,RandTop,12,2,-2572.153,-1286.077,166
1,8,RandTop,6,1,-1286.074,-1286.074,10
1,10,Random,6,1,-1286.052,-1286.052,166
1,11,Random,6,1,-1286.051,-1286.051,12
2,41,Random,6,1,-1286.049,-1286.049,12
2,51,softmutate,12,2,-2572.096,-1286.048,2
3,85,LatMutate,6,1,-1286.046,-1286.046,12
5,149,Heredity,6,1,-1286.043,-1286.043,12
5,150,Random,6,1,-1286.04,-1286.04,12
3,92,Heredity,12,2,-2572.057,-1286.029,12
1,20,RandTop,12,2,-2572.048,-1286.024,166
5,157,RandTop,6,1,-1286.017,-1286.017,2
8,268,LatMutate,6,1,-1285.891,-1285.891,8
1,5,Random,6,1,-1285.888,-1285.888,1
8,270,Random,6,1,-1285.886,-1285.886,2
7,252,softmutate,12,2,-2571.38,-1285.69,2
2,68,RandTop,12,2,-2571.344,-1285.672,1
5,152,RandTop,6,1,-1285.58,-1285.58,65
4,113,RandTop,6,1,-1285.573,-1285.573,123
3,82,RandTop,6,1,-1285.573,-1285.573,123
3,91,softmutate,12,2,-2570.885,-1285.442,12
3,107,softmutate,12,2,-2570.316,-1285.158,2
