Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,36,LatMutate,6,1,-9707.479,-9707.479,2
6,203,Permutate,12,2,-19414.919,-9707.459,1
4,122,Permutate,12,2,-19414.736,-9707.368,10
2,34,keptBest,12,2,-19414.669,-9707.334,11
2,57,Permutate,12,2,-19414.6,-9707.3,51
3,103,RandTop,12,2,-19414.552,-9707.276,4
5,164,LatMutate,6,1,-9707.266,-9707.266,2
6,220,Random,12,2,-19414.51,-9707.255,12
4,113,Random,6,1,-9707.251,-9707.251,12
3,72,keptBest,12,2,-19414.454,-9707.227,2
4,110,keptBest,12,2,-19414.454,-9707.227,2
1,21,Random,12,2,-19414.454,-9707.227,2
5,149,keptBest,12,2,-19414.454,-9707.227,2
2,35,keptBest,12,2,-19414.454,-9707.227,2
2,37,keptBest,6,1,-9707.215,-9707.215,5
1,4,Random,6,1,-9707.215,-9707.215,5
4,118,keptBest,6,1,-9707.215,-9707.215,5
3,77,keptBest,6,1,-9707.215,-9707.215,5
3,105,Random,12,2,-19414.405,-9707.203,10
1,6,Random,6,1,-9707.202,-9707.202,5
5,175,RandTop,12,2,-19414.398,-9707.199,11
6,198,Heredity,6,1,-9707.199,-9707.199,1
1,26,RandTop,12,2,-19414.395,-9707.197,6
6,200,RandTop,6,1,-9707.192,-9707.192,6
2,65,RandTop,12,2,-19414.382,-9707.191,2
5,181,Random,12,2,-19414.337,-9707.168,1
4,115,LatMutate,6,1,-9707.166,-9707.166,2
1,30,Random,12,2,-19414.322,-9707.161,1
3,101,RandTop,12,2,-19414.285,-9707.143,2
5,173,RandTop,12,2,-19414.284,-9707.142,17
2,63,Permutate,12,2,-19414.281,-9707.141,1
5,176,Random,12,2,-19414.259,-9707.13,1
6,199,LatMutate,6,1,-9707.128,-9707.128,2
5,170,RandTop,12,2,-19414.255,-9707.127,12
5,171,RandTop,12,2,-19414.24,-9707.12,11
3,74,LatMutate,6,1,-9707.12,-9707.12,65
5,154,Permutate,6,1,-9707.119,-9707.119,47
2,39,Random,6,1,-9707.116,-9707.116,8
4,139,RandTop,12,2,-19414.228,-9707.114,1
2,46,RandTop,6,1,-9707.113,-9707.113,2
5,157,LatMutate,6,1,-9707.105,-9707.105,12
1,18,RandTop,6,1,-9707.104,-9707.104,10
3,73,Permutate,6,1,-9707.096,-9707.096,12
1,2,Random,6,1,-9707.091,-9707.091,162
5,153,Heredity,6,1,-9707.089,-9707.089,12
4,140,RandTop,12,2,-19414.172,-9707.086,1
1,29,RandTop,12,2,-19414.17,-9707.085,10
5,151,Heredity,6,1,-9707.082,-9707.082,65
3,82,RandTop,6,1,-9707.078,-9707.078,10
5,160,Random,6,1,-9707.075,-9707.075,2
6,217,Random,12,2,-19414.148,-9707.074,11
5,156,LatMutate,6,1,-9707.071,-9707.071,5
6,188,Heredity,6,1,-9707.064,-9707.064,65
6,213,Random,12,2,-19414.124,-9707.062,1
1,27,Random,12,2,-19414.117,-9707.059,1
3,104,RandTop,12,2,-19414.112,-9707.056,12
3,90,Random,12,2,-19414.085,-9707.043,58
3,100,Random,12,2,-19414.055,-9707.027,1
6,205,LatMutate,6,1,-9707.026,-9707.026,2
1,25,RandTop,12,2,-19414.025,-9707.013,10
4,138,RandTop,12,2,-19414.015,-9707.007,164
1,24,Random,12,2,-19414.012,-9707.006,10
6,194,LatMutate,6,1,-9707.005,-9707.005,65
6,202,Random,6,1,-9706.999,-9706.999,25
4,112,Random,6,1,-9706.983,-9706.983,2
2,67,Random,12,2,-19413.967,-9706.983,1
1,13,Random,6,1,-9706.982,-9706.982,2
3,78,Heredity,6,1,-9706.976,-9706.976,25
2,66,Random,12,2,-19413.951,-9706.975,2
2,49,RandTop,12,2,-19413.951,-9706.975,49
1,31,Random,12,2,-19413.945,-9706.972,1
1,5,Random,6,1,-9706.967,-9706.967,2
2,38,keptBest,6,1,-9706.967,-9706.967,2
3,76,RandTop,6,1,-9706.962,-9706.962,47
1,32,Random,12,2,-19413.913,-9706.957,2
3,106,Random,12,2,-19413.853,-9706.926,2
1,22,Random,12,2,-19413.817,-9706.909,164
4,121,Random,6,1,-9706.9,-9706.9,10
6,201,Random,6,1,-9706.898,-9706.898,12
4,143,Random,12,2,-19413.782,-9706.891,1
4,116,LatMutate,6,1,-9706.85,-9706.85,47
1,28,Random,12,2,-19413.692,-9706.846,11
2,69,Random,12,2,-19413.678,-9706.839,74
5,183,Random,12,2,-19413.671,-9706.835,2
4,111,Heredity,6,1,-9706.82,-9706.82,10
5,180,Random,12,2,-19413.63,-9706.815,12
4,144,Random,12,2,-19413.627,-9706.813,2
2,51,LatMutate,6,1,-9706.811,-9706.811,12
4,145,RandTop,12,2,-19413.559,-9706.78,11
1,10,RandTop,6,1,-9706.755,-9706.755,5
4,117,LatMutate,6,1,-9706.741,-9706.741,2
2,43,RandTop,6,1,-9706.735,-9706.735,123
6,210,RandTop,12,2,-19413.464,-9706.732,10
6,191,RandTop,6,1,-9706.727,-9706.727,123
1,1,RandTop,6,1,-9706.72,-9706.72,47
3,91,LatMutate,6,1,-9706.693,-9706.693,12
1,3,RandTop,6,1,-9706.689,-9706.689,5
3,79,RandTop,6,1,-9706.67,-9706.67,5
5,159,Random,6,1,-9706.67,-9706.67,12
2,40,Random,6,1,-9706.646,-9706.646,2
3,107,Random,12,2,-19413.285,-9706.643,2
6,221,RandTop,12,2,-19413.187,-9706.593,1
6,190,RandTop,6,1,-9706.593,-9706.593,10
1,8,RandTop,6,1,-9706.573,-9706.573,2
5,182,RandTop,12,2,-19413.128,-9706.564,2
2,41,RandTop,6,1,-9706.498,-9706.498,2
4,120,LatMutate,6,1,-9706.48,-9706.48,12
1,12,Random,6,1,-9706.425,-9706.425,10
1,15,RandTop,6,1,-9706.386,-9706.386,6
1,9,Random,6,1,-9706.374,-9706.374,2
1,19,RandTop,6,1,-9706.352,-9706.352,2
1,16,RandTop,6,1,-9706.327,-9706.327,1
3,80,LatMutate,6,1,-9706.318,-9706.318,10
4,123,RandTop,6,1,-9706.141,-9706.141,1
4,119,RandTop,6,1,-9706.003,-9706.003,10
4,133,RandTop,12,2,-19411.919,-9705.959,194
1,11,RandTop,6,1,-9705.599,-9705.599,1
1,17,RandTop,6,1,-9705.437,-9705.437,1
5,161,RandTop,6,1,-9705.216,-9705.216,21
3,81,RandTop,6,1,-9705.197,-9705.197,1
1,7,Random,6,1,-9704.939,-9704.939,8
1,14,Random,6,1,-9704.898,-9704.898,38
5,150,RandTop,6,1,-9704.893,-9704.893,38
6,197,RandTop,6,1,-9704.889,-9704.889,38
2,42,Heredity,12,2,-19409.084,-9704.542,13
2,55,softmutate,12,2,-19409.019,-9704.51,2
3,88,Heredity,12,2,-19408.936,-9704.468,1
2,50,softmutate,12,2,-19408.928,-9704.464,2
2,62,Heredity,12,2,-19408.853,-9704.426,1
2,60,Heredity,12,2,-19408.823,-9704.412,1
2,45,Heredity,12,2,-19408.808,-9704.404,2
2,54,Heredity,12,2,-19408.781,-9704.39,1
